y_m,u_g_m_per_s
0.0,0.0
0.0007936508,5.1426067
0.0015873016,5.759
0.0023809525,6.1191936
0.0031746032,6.374709
0.003968254,6.57289
0.004761905,6.7348104
0.0055555557,6.87171
0.0063492064,6.990297
0.007142857,7.094897
0.007936508,7.1884646
0.008730159,7.2731066
0.00952381,7.3503785
0.010317461,7.4214616
0.011111111,7.487274
0.011904762,7.5485444
0.012698413,7.605859
0.013492064,7.659697
0.014285714,7.7104573
0.015079365,7.758472
0.015873017,7.8040237
0.016666668,7.8473525
0.017460318,7.8886647
0.018253969,7.9281406
0.01904762,7.965936
0.01984127,8.002189
0.020634921,8.037019
0.021428572,8.070535
0.022222223,8.102831
0.023015874,8.133994
0.023809524,8.164101
0.024603175,8.19322
0.025396826,8.077152
0.026190476,7.8165994
0.026984127,7.556046
0.027777778,7.2954926
0.028571429,7.0349393
0.02936508,6.774386
0.03015873,6.513833
0.030952381,6.2532797
0.031746034,5.9927263
0.032539684,5.732173
0.033333335,5.4716196
0.034126986,5.2110662
0.034920637,4.950513
0.035714287,4.6899595
0.036507938,4.429406
0.03730159,4.168853
0.03809524,3.9082997
0.03888889,3.6477463
0.03968254,3.387193
0.04047619,3.1266398
0.041269843,2.8660865
0.042063493,2.6055331
0.042857144,2.3449798
0.043650795,2.0844264
0.044444446,1.8238732
0.045238096,1.5633199
0.046031747,1.3027666
0.046825398,1.0422132
0.04761905,0.78165996
0.0484127,0.5211066
0.04920635,0.2605533
0.05,0.0
