y_m,u_l_m_per_s
0.0,0.0
0.0007936508,0.45172495
0.0015873016,0.5076203
0.0023809525,0.54028314
0.0031746032,0.5634536
0.003968254,0.58142495
0.004761905,0.59610814
0.0055555557,0.60852236
0.0063492064,0.619276
0.007142857,0.6287613
0.007936508,0.63724613
0.008730159,0.64492154
0.00952381,0.65192866
0.010317461,0.6583746
0.011111111,0.6643426
0.011904762,0.6698986
0.012698413,0.675096
0.013492064,0.67997813
0.014285714,0.6845811
0.015079365,0.68893516
0.015873017,0.6930658
0.016666668,0.69699496
0.017460318,0.70074123
0.018253969,0.70432097
0.01904762,0.7077483
0.01984127,0.7110357
0.020634921,0.7141942
0.021428572,0.7172334
0.022222223,0.7201621
0.023015874,0.722988
0.023809524,0.72571814
0.024603175,0.7283587
0.025396826,0.7180655
0.026190476,0.6949021
0.026984127,0.6717387
0.027777778,0.6485753
0.028571429,0.6254119
0.02936508,0.6022485
0.03015873,0.5790851
0.030952381,0.5559217
0.031746034,0.5327583
0.032539684,0.50959486
0.033333335,0.48643148
0.034126986,0.46326807
0.034920637,0.44010466
0.035714287,0.41694126
0.036507938,0.39377788
0.03730159,0.37061447
0.03809524,0.34745106
0.03888889,0.32428765
0.03968254,0.30112424
0.04047619,0.27796084
0.041269843,0.25479743
0.042063493,0.23163404
0.042857144,0.20847063
0.043650795,0.18530723
0.044444446,0.16214383
0.045238096,0.13898042
0.046031747,0.11581702
0.046825398,0.09265362
0.04761905,0.06949021
0.0484127,0.04632681
0.04920635,0.023163404
0.05,0.0
