sample_id,frequency_hz,pipe_diameter_m,temperature_k,pressure_pa,gas_volume_fraction,superficial_velocity_gas_ms,superficial_velocity_liquid_ms,regime,interface_rms_m,leak_diameter_m,leaks_count,path_length_m,liquid_name,actual_velocity_gas_ms,actual_velocity_liquid_ms,alpha_interface_dbpm,alpha_leak_dbpm,alpha_shear_dbpm,alpha_vt_dbpm,attenuation_measured_dbpm,attenuation_over_path_db,attenuation_total_dbpm,bond_number,delta_u_ms,density_gas_kgm3,density_liquid_kgm3,density_mixture_kgm3,dominant_mechanism,froude_number,mach_mixture,prandtl_gas,prandtl_liquid,reflection_coeff_interface,reynolds_gas,reynolds_liquid,speed_sound_gas_mps,speed_sound_liquid_mps,speed_sound_mixture_mps,uncertainty_dbpm,viscosity_gas_PaS,viscosity_liquid_PaS,wavenumber_1pm,weber_liquid
0,68.57176956293833,0.014067513862401909,312.57934109363185,145060.894917739,0.8771269452745929,0.013246212916910536,0.09637126242951248,stratified_smooth,3.276029677777363e-05,0.0035996465283474536,0,2.203137703051003,water,0.015101819626306981,0.7843156715268452,8.735801672435764e-05,0.0,0.00019091621692124267,0.04661418511970938,0.04715601687825116,0.1038911987101846,0.04689245935335498,26.704776647384495,0.7692138519005383,1.616666452499197,992.3711976719105,123.35370218646699,vt,0.2951282493789857,0.0021923495069284603,0.7370269131493475,4.590197381843616,0.9992210889285085,18.030523777359686,16625.848268093,354.4287808487314,1482.0,50.0,0.44999999999999996,1.904840928616604e-05,0.0006585649041382518,8.61698270010317,119.27262895439458
1,682.8370271209159,0.014091036815331724,327.80795715903923,127296.20080400174,0.32653143531171147,0.27203793315914887,2.2385923404717802,intermittent,0.00020895246492949016,1.8979889695716492e-05,0,29.866175370833236,water,0.83311407031748,3.3239745072702855,0.07198466702004529,0.0,0.04067638422205981,0.08392498738894386,0.2052560046271559,6.130211830111197,0.19658603863104895,26.67774291385671,2.4908604369528056,1.3527772659612085,987.8026128522882,665.6957321752831,vt,6.753842812579116,0.05021260547261858,0.7640311646626589,3.5107746746423203,0.9993294195787084,804.2429711837051,91854.53982298107,362.9598534171834,1482.0,50.0,0.44999999999999996,1.9746332287504106e-05,0.0005036979447119541,85.80783152008655,2135.9741499961615
2,11721.722212632832,0.09436126310665209,301.22573642092505,1806161.024396125,0.7526670626311845,0.12562581900087072,0.9237137061667656,intermittent,0.0011563687554560283,4.174336083607671e-05,1,6.571846037400734,light_oil,0.16690755479814162,3.7346975133738516,0.27742590076414303,8.319926733767116e-06,0.0769151882701951,0.011140393637036847,0.30521990211418293,2.005858204244933,0.36548980259810876,2267.706592097888,3.56778995857571,20.887897939150704,800.0,213.5879826814529,interface,1.0908343895050083,0.008369452698154443,0.7164694674758105,259.51744449915105,0.9861208791585815,17766.072187231446,14484.761402234277,347.9324078376791,1300.0,125.37731713317731,0.44999999999999996,1.8517103533172042e-05,0.01946380833743633,587.4248585413862,35097.270503882915
3,5013.322392760498,0.07441810855022828,334.7869774928805,906838.3884092359,0.6566581732087902,7.052050696162171,0.06290786404531411,stratified_wavy,0.0020811831174542012,0.0010125364488408086,0,0.3798422473955655,light_oil,10.739302400976756,0.1832222558877719,1.1478827408488679,0.0,1.2044549734440253,0.023336020605665992,2.514319856925665,0.9550449051259413,2.3756737348985593,1431.178044437818,10.556080145088984,9.436081543336847,800.0,280.86974150146466,shear,8.328613784307555,0.08577725680830058,0.7761979276024223,233.5017147881618,0.9933659535855275,375922.68874270236,622.8672591334164,366.8032064461975,1300.0,82.94691186159474,0.44999999999999996,2.006078142908845e-05,0.017512628609112135,379.7565562284883,66.61987474929983
4,148.52815330763852,0.2479267078341199,353.09167294913834,970758.5763722511,0.18991927441065373,0.11971034679479925,0.02801658751904384,stratified_smooth,0.00032060967317334613,0.00023458552497532178,1,2.18909822219634,water,0.6303222627944285,0.03458493287648751,4.361074765002965e-05,2.501926613157148e-10,5.2122233775030096e-05,0.00021723484937679588,0.17979582575542855,0.39359072251953153,0.0003129680809945169,8126.302237245731,0.5957373299179409,9.577542896377405,980.2174981152585,795.8742621060992,vt,0.09474094028875522,0.001560021975293647,0.8075164412111507,2.448216577770112,0.9950451699000717,71715.54863936838,23928.509387269918,376.69736557986073,1482.0,94.69541881679972,0.44999999999999996,2.0870206234085404e-05,0.00035125058504592707,9.855069254939595,4.0372639357693245
5,54.1197378251212,0.03965091934116927,298.3303811584227,628052.9155316435,0.710243550052087,8.115036583921047,0.23097400515267882,stratified_wavy,0.0011379488782117487,0.009448857497689185,3,11.884386690760007,water,11.42570965033884,0.7971315399336201,0.015325634571449255,0.0009877911617681642,0.02513495848279221,0.0036620924239567313,0.15611991012449328,1.8553893820461764,0.04511047663996636,211.8497793282519,10.62857811040522,7.333800611186974,996.6458856524732,293.99335826331793,shear,13.384185987155615,0.12862482190711805,0.7111666794579253,6.180901987205827,0.9965674127771545,180766.84395717533,35522.625218642264,346.2562224370911,1482.0,64.88646954240689,0.44999999999999996,1.8380053345831072e-05,0.0008867865117942363,5.240604765974747,348.75595289822843
6,907.6321163056884,0.020040222634965296,359.35662182353735,464247.8276464306,0.7365511485458783,0.013842532097854252,0.0031513172181110486,stratified_smooth,3.552546058535245e-05,5.876071097434769e-05,0,1.5129501920517394,water,0.018793714632286705,0.01196178005983767,0.0010342176964929927,0.0,2.2832380811587553e-07,0.04836528211946947,1e-05,1.5129501920517395e-05,0.04939972813977058,53.2696436819521,0.006831934572449036,4.500435829218435,978.3380134529389,261.05682715705166,vt,0.0383336483238382,0.00029231108176576155,0.8180458829189391,2.2679701354986257,0.9976436102598145,80.17089153863279,720.7468115384868,380.0245655301633,1482.0,58.13617880413795,0.44999999999999996,2.1142338922358266e-05,0.00032539026334270094,98.0941798171693,0.038962839509316345
7,72.90928085272331,0.04014250404236986,287.10311238938897,446478.4181369999,0.038047541886497144,0.518278579213949,0.001870211714816944,stratified_smooth,0.0001516111589905743,0.0001631630448467194,3,1.4333427342680989,water,13.621867629716261,0.001944183102857952,3.1751396997622074e-05,1.7624876424898844e-11,0.001223895422859101,0.0006216466282600124,0.03638962712629134,0.05215880764419501,0.0018772934657416119,218.29206278489886,13.619923446613404,5.417425099652466,1000.0,962.1585778218988,shear,0.8290200337255849,0.0039949086385342395,0.6903644403983078,8.137719627676667,0.9975197036207415,166027.58482890337,66.8454235345061,339.6782938764008,1482.0,130.2029252713054,0.44999999999999996,1.784242092480716e-05,0.0011675350972276423,3.518373502410237,0.0021073966820578235
8,4488.682085348828,0.03708616437587282,307.8693616532041,909267.9972245191,0.9415049126299252,6.73622278465685,0.03551729902932666,stratified_wavy,0.0010284669182310368,0.0014228323210499461,1,2.693233750549926,water,7.154739921473611,0.6071843060020246,0.14553103786839552,0.38201645240410387,0.020547587521696022,0.0075565013191414825,0.8272545696201361,2.227989927197604,0.555651579113337,184.24021838342392,6.547555615471587,10.288588080811973,993.7841915040387,67.81824933113806,leak,11.228816461542374,0.04796039601039586,0.7285439387129319,5.036373266942529,0.9950975664921958,144987.45738495846,30969.871877666432,351.7483596328825,1482.0,141.19441553856936,0.44999999999999996,1.8829167402123487e-05,0.0007225786609673643,199.74742782627865,188.7176769674623
9,70.56899862997372,0.07616990467541623,323.00291020045506,165656.6408160564,0.6465758139349845,8.523819007297506,0.7442039800891173,stratified_wavy,0.002230978550579645,0.00014715594088791285,0,86.56132897740467,water,13.183015546811973,2.1056962410382813,0.03014706706297162,0.0,0.08639392157987323,0.006716849576586327,0.26898489418197224,23.28368991523808,0.12325783821943118,780.3212214947948,11.077319305773692,1.7866223416724099,989.2441269398635,350.77798717807934,shear,10.723463020241162,0.1853604597477325,0.7555790814698707,3.8023043026402026,0.9991222466589147,91870.40772994471,290849.6339992552,360.28987934002686,1482.0,50.0,0.44999999999999996,1.9527888785503617e-05,0.0005455242901922816,8.867961906684544,4640.2976591024635
