timestamp,climate_zone_id,outdoor_temp_c,outdoor_rh_pct,wind_m_s
2024-01-01T00:00:00,CZ-1,-10.95,72.5,1.89
2024-01-01T01:00:00,CZ-1,-9.93,73.4,3.58
2024-01-01T02:00:00,CZ-1,-10.21,67.0,2.21
2024-01-01T03:00:00,CZ-1,-9.01,66.3,4.16
2024-01-01T04:00:00,CZ-1,-9.33,72.4,4.25
2024-01-01T05:00:00,CZ-1,-7.77,70.3,5.72
2024-01-01T06:00:00,CZ-1,-7.38,70.8,1.6
2024-01-01T07:00:00,CZ-1,-4.28,72.3,1.96
2024-01-01T08:00:00,CZ-1,-2.85,66.1,5.94
2024-01-01T09:00:00,CZ-1,-2.73,73.1,1.63
2024-01-01T10:00:00,CZ-1,-1.45,69.2,4.94
2024-01-01T11:00:00,CZ-1,-0.22,69.4,5.25
2024-01-01T12:00:00,CZ-1,-0.26,71.2,5.54
2024-01-01T13:00:00,CZ-1,1.39,72.0,3.83
2024-01-01T14:00:00,CZ-1,1.58,72.6,2.09
2024-01-01T15:00:00,CZ-1,-0.64,69.1,5.43
2024-01-01T16:00:00,CZ-1,-0.09,70.2,4.99
2024-01-01T17:00:00,CZ-1,-2.84,65.8,4.29
2024-01-01T18:00:00,CZ-1,-4.36,65.3,4.57
2024-01-01T19:00:00,CZ-1,-4.93,69.8,4.99
2024-01-01T20:00:00,CZ-1,-5.63,65.9,2.36
2024-01-01T21:00:00,CZ-1,-9.1,66.6,3.53
2024-01-01T22:00:00,CZ-1,-10.38,74.8,1.79
2024-01-01T23:00:00,CZ-1,-10.61,75.8,4.23
2024-01-02T00:00:00,CZ-1,-11.52,68.9,3.79
2024-01-02T01:00:00,CZ-1,-10.26,71.3,2.61
2024-01-02T02:00:00,CZ-1,-10.74,74.9,5.68
2024-01-02T03:00:00,CZ-1,-9.18,75.0,2.41
2024-01-02T04:00:00,CZ-1,-9.37,70.0,3.27
2024-01-02T05:00:00,CZ-1,-8.44,72.3,3.43
2024-01-02T06:00:00,CZ-1,-7.24,68.3,2.05
2024-01-02T07:00:00,CZ-1,-4.34,74.4,4.4
2024-01-02T08:00:00,CZ-1,-3.77,67.2,2.12
2024-01-02T09:00:00,CZ-1,-2.08,71.9,1.92
2024-01-02T10:00:00,CZ-1,0.17,65.8,4.51
2024-01-02T11:00:00,CZ-1,-0.47,71.0,5.97
2024-01-02T12:00:00,CZ-1,0.56,68.1,3.1
2024-01-02T13:00:00,CZ-1,0.02,67.5,3.02
2024-01-02T14:00:00,CZ-1,0.7,70.9,3.23
2024-01-02T15:00:00,CZ-1,0.24,66.9,5.82
2024-01-02T16:00:00,CZ-1,-1.69,73.3,2.53
2024-01-02T17:00:00,CZ-1,-1.1,65.2,2.72
2024-01-02T18:00:00,CZ-1,-2.47,66.5,4.9
2024-01-02T19:00:00,CZ-1,-4.23,73.5,4.54
2024-01-02T20:00:00,CZ-1,-5.48,69.4,3.91
2024-01-02T21:00:00,CZ-1,-7.96,70.5,2.97
2024-01-02T22:00:00,CZ-1,-9.77,73.8,2.33
2024-01-02T23:00:00,CZ-1,-9.25,68.7,1.58
2024-01-03T00:00:00,CZ-1,-11.78,68.8,4.24
2024-01-03T01:00:00,CZ-1,-11.67,68.8,2.05
2024-01-03T02:00:00,CZ-1,-11.97,76.1,3.38
2024-01-03T03:00:00,CZ-1,-9.2,72.3,1.69
2024-01-03T04:00:00,CZ-1,-8.74,75.2,5.86
2024-01-03T05:00:00,CZ-1,-8.57,67.4,5.7
2024-01-03T06:00:00,CZ-1,-6.24,70.6,2.43
2024-01-03T07:00:00,CZ-1,-5.13,71.7,2.72
2024-01-03T08:00:00,CZ-1,-2.72,74.6,1.67
2024-01-03T09:00:00,CZ-1,-3.16,69.5,5.9
2024-01-03T10:00:00,CZ-1,-0.72,66.6,3.51
2024-01-03T11:00:00,CZ-1,0.58,70.5,4.45
2024-01-03T12:00:00,CZ-1,0.91,72.7,5.87
2024-01-03T13:00:00,CZ-1,0.54,66.0,2.53
2024-01-03T14:00:00,CZ-1,0.07,72.7,4.78
2024-01-03T15:00:00,CZ-1,-0.67,73.9,5.92
2024-01-03T16:00:00,CZ-1,0.05,64.3,4.31
2024-01-03T17:00:00,CZ-1,-1.09,68.7,1.75
2024-01-03T18:00:00,CZ-1,-3.05,68.5,3.78
2024-01-03T19:00:00,CZ-1,-3.87,71.0,4.62
2024-01-03T20:00:00,CZ-1,-7.64,67.2,2.71
2024-01-03T21:00:00,CZ-1,-9.19,69.2,2.98
2024-01-03T22:00:00,CZ-1,-8.08,69.1,1.66
2024-01-03T23:00:00,CZ-1,-9.28,68.2,2.32
2024-01-04T00:00:00,CZ-1,-11.19,67.0,2.76
2024-01-04T01:00:00,CZ-1,-10.63,68.7,4.99
2024-01-04T02:00:00,CZ-1,-11.78,74.3,2.15
2024-01-04T03:00:00,CZ-1,-9.99,70.0,2.85
2024-01-04T04:00:00,CZ-1,-8.93,66.7,5.81
2024-01-04T05:00:00,CZ-1,-7.15,67.2,5.52
2024-01-04T06:00:00,CZ-1,-5.87,71.3,4.94
2024-01-04T07:00:00,CZ-1,-4.47,69.9,2.78
2024-01-04T08:00:00,CZ-1,-3.16,66.1,5.21
2024-01-04T09:00:00,CZ-1,-1.48,69.5,3.43
2024-01-04T10:00:00,CZ-1,-0.27,69.2,5.59
2024-01-04T11:00:00,CZ-1,0.8,69.6,5.16
2024-01-04T12:00:00,CZ-1,-0.37,70.7,5.09
2024-01-04T13:00:00,CZ-1,1.51,73.4,4.39
2024-01-04T14:00:00,CZ-1,-0.2,64.3,4.37
2024-01-04T15:00:00,CZ-1,1.3,67.7,3.53
2024-01-04T16:00:00,CZ-1,-1.84,64.3,3.89
2024-01-04T17:00:00,CZ-1,-2.61,67.0,3.56
2024-01-04T18:00:00,CZ-1,-4.48,74.0,5.54
2024-01-04T19:00:00,CZ-1,-5.98,70.3,4.86
2024-01-04T20:00:00,CZ-1,-6.62,73.4,5.31
2024-01-04T21:00:00,CZ-1,-8.64,73.2,2.54
2024-01-04T22:00:00,CZ-1,-8.88,70.5,5.3
2024-01-04T23:00:00,CZ-1,-11.21,75.1,2.79
2024-01-05T00:00:00,CZ-1,-11.88,72.5,2.39
2024-01-05T01:00:00,CZ-1,-10.76,69.5,4.43
2024-01-05T02:00:00,CZ-1,-10.33,72.4,2.1
2024-01-05T03:00:00,CZ-1,-10.24,70.9,5.88
2024-01-05T04:00:00,CZ-1,-10.2,68.0,3.7
2024-01-05T05:00:00,CZ-1,-7.5,68.5,3.6
2024-01-05T06:00:00,CZ-1,-5.91,75.2,3.97
2024-01-05T07:00:00,CZ-1,-5.45,65.9,3.63
2024-01-05T08:00:00,CZ-1,-3.95,65.5,3.78
2024-01-05T09:00:00,CZ-1,-0.81,74.3,3.24
2024-01-05T10:00:00,CZ-1,0.24,73.5,1.84
2024-01-05T11:00:00,CZ-1,-0.79,71.4,2.68
2024-01-05T12:00:00,CZ-1,0.46,69.9,4.34
2024-01-05T13:00:00,CZ-1,0.47,64.9,3.14
2024-01-05T14:00:00,CZ-1,0.79,72.6,3.27
2024-01-05T15:00:00,CZ-1,-0.62,73.5,4.57
2024-01-05T16:00:00,CZ-1,-0.98,71.4,3.37
2024-01-05T17:00:00,CZ-1,-2.3,65.6,2.99
2024-01-05T18:00:00,CZ-1,-3.87,68.1,3.29
2024-01-05T19:00:00,CZ-1,-3.94,67.0,1.55
2024-01-05T20:00:00,CZ-1,-5.98,67.8,1.79
2024-01-05T21:00:00,CZ-1,-8.26,74.3,1.84
2024-01-05T22:00:00,CZ-1,-8.22,73.4,5.34
2024-01-05T23:00:00,CZ-1,-10.72,66.6,4.48
2024-01-06T00:00:00,CZ-1,-10.47,67.6,5.87
2024-01-06T01:00:00,CZ-1,-11.15,69.4,4.98
2024-01-06T02:00:00,CZ-1,-10.11,70.4,1.63
2024-01-06T03:00:00,CZ-1,-9.57,70.0,5.44
2024-01-06T04:00:00,CZ-1,-9.11,67.9,1.86
