mix_id,slump,air_content,unit_weight,fresh_temperature,rubber_content,rubber_size,cement,silica_fume,water,fine_aggregate,coarse_aggregate,crumb_rubber,superplasticizer,w_cm_ratio,total_cementitious
M00_Control,101.7,5.4,2381.7,24.2,0,N/A,380,30,171,720,1050,0.0,3.04,0.42,410
M05F_5pct_Fine,111.0,5.9,2361.7,24.0,5,1-4mm,380,30,171,684,1050,20.7,3.42,0.42,410
M10F_10pct_Fine,121.7,6.4,2338.7,24.1,10,1-4mm,380,30,171,648,1050,41.4,3.8,0.42,410
M15F_15pct_Fine,138.3,7.1,2315.0,23.9,15,1-4mm,380,30,171,612,1050,62.1,4.18,0.42,410
M20F_20pct_Fine,151.7,8.0,2291.7,24.0,20,1-4mm,380,30,171,576,1050,82.8,4.56,0.42,410
M10C_10pct_Coarse,111.7,6.2,2341.7,24.1,10,4-8mm,380,30,171,648,1050,41.4,3.65,0.42,410
M15C_15pct_Coarse,131.3,7.0,2318.7,24.0,15,4-8mm,380,30,171,612,1050,62.1,3.95,0.42,410
M10M_10pct_Mixed,121.3,6.3,2337.7,24.0,10,Mixed (1-8mm),380,30,171,648,1050,0.0,3.72,0.42,410
M25F_25pct_Fine,171.7,8.8,2264.7,23.9,25,1-4mm,380,30,171,540,1050,103.5,4.94,0.42,410
M30F_30pct_Fine,191.7,9.8,2238.7,23.8,30,1-4mm,380,30,171,504,1050,124.2,5.32,0.42,410
