building_id,name,address,latitude,longitude,construction_year,last_renovation_year,building_type,architectural_style,quality_rating
B_0001,Building 1,"134 Main Street, City 1",46.835567,8.983506,1969,2010.0,residential,art_deco,excellent
B_0002,Building 2,"974 Main Street, City 1",47.960406,0.251543,1979,,office,modern,excellent
B_0003,Building 3,"201 Main Street, City 1",40.547448,4.196896,2002,,educational,traditional,excellent
B_0004,Building 4,"698 Main Street, City 1",48.359807,8.700782,1966,2020.0,retail,gothic,excellent
B_0005,Building 5,"862 Main Street, City 1",48.921429,4.832679,1966,2019.0,industrial,traditional,good
B_0006,Building 6,"921 Main Street, City 1",49.060261,6.787183,1977,2007.0,retail,contemporary,good
B_0007,Building 7,"551 Main Street, City 1",48.354284,-3.723075,2019,2024.0,educational,brutalist,poor
B_0008,Building 8,"23 Main Street, City 1",41.5179,8.204436,1958,,healthcare,art_deco,poor
B_0009,Building 9,"311 Main Street, City 1",45.704452,-2.289034,1970,2007.0,industrial,contemporary,good
B_0010,Building 10,"580 Main Street, City 1",40.763741,2.260406,1978,,residential,modern,fair
B_0011,Building 11,"716 Main Street, City 2",42.648994,-3.714801,1956,2010.0,educational,gothic,excellent
B_0012,Building 12,"974 Main Street, City 2",42.272625,5.275064,1960,1984.0,residential,brutalist,fair
B_0013,Building 13,"223 Main Street, City 2",49.177021,-1.49175,1972,2017.0,residential,gothic,poor
B_0014,Building 14,"769 Main Street, City 2",48.575459,9.802912,2018,,healthcare,gothic,excellent
B_0015,Building 15,"507 Main Street, City 2",48.615129,-2.92788,1971,1994.0,industrial,brutalist,poor
B_0016,Building 16,"988 Main Street, City 2",46.684284,-2.184585,1994,2004.0,office,contemporary,poor
B_0017,Building 17,"524 Main Street, City 2",42.313729,3.512672,1991,,industrial,contemporary,fair
B_0018,Building 18,"362 Main Street, City 2",47.379444,1.468223,1973,1979.0,healthcare,art_deco,fair
B_0019,Building 19,"702 Main Street, City 2",44.930483,2.608349,1994,2010.0,residential,gothic,fair
B_0020,Building 20,"837 Main Street, City 2",46.710696,-2.265978,1973,,industrial,traditional,fair
B_0021,Building 21,"588 Main Street, City 3",42.227693,2.541656,1971,1992.0,healthcare,gothic,good
B_0022,Building 22,"57 Main Street, City 3",45.749396,1.941958,2001,2013.0,office,traditional,fair
B_0023,Building 23,"516 Main Street, City 3",49.938584,5.513288,1984,,educational,brutalist,excellent
B_0024,Building 24,"443 Main Street, City 3",45.858992,6.946613,1986,,healthcare,modern,poor
B_0025,Building 25,"352 Main Street, City 3",49.807543,6.499056,1980,,retail,modern,fair
B_0026,Building 26,"870 Main Street, City 3",48.825942,9.394037,2008,,educational,gothic,poor
B_0027,Building 27,"61 Main Street, City 3",41.50526,-0.607278,1984,,retail,gothic,good
