building_id,total_floor_area_m2,rooftop_area_m2,height_m,volume_m3,floor_count,rooms_count,window_area_m2,wall_area_m2,aspect_ratio
B_0001,1055.0,870.2,9.0,7588.0,2,47,484.4,2637.4,2.45
B_0002,170.6,167.6,32.4,4425.0,9,9,117.2,426.4,2.29
B_0003,3137.7,2934.6,3.4,8653.9,1,161,1258.1,7844.4,2.31
B_0004,3769.8,3100.6,25.1,75643.6,7,209,1743.0,9424.6,1.62
B_0005,2018.6,2190.4,18.5,29896.0,5,107,1043.7,5046.5,2.97
B_0006,768.8,890.5,33.2,20438.3,9,40,365.0,1922.0,1.29
B_0007,2196.5,1997.3,15.5,27309.1,4,127,1271.4,5491.2,1.42
B_0008,2311.2,2682.6,40.0,73944.8,11,109,1320.1,5777.9,1.52
B_0009,827.5,749.9,42.4,28077.9,12,34,454.7,2068.7,1.56
B_0010,1766.0,1852.5,29.7,41892.9,8,115,839.7,4415.0,1.46
B_0011,2004.7,2017.6,32.0,51280.1,9,89,886.7,5011.8,1.45
B_0012,1562.3,1418.1,42.8,53533.2,12,72,913.6,3905.7,1.27
B_0013,3118.9,2734.4,42.5,105930.4,12,157,1503.5,7797.2,2.35
B_0014,3209.2,2651.0,46.8,120143.6,13,130,2105.1,8023.0,2.26
B_0015,2886.1,2878.2,38.3,88341.7,10,145,1503.9,7215.2,1.5
B_0016,4040.8,3507.0,32.6,105349.8,9,175,1520.0,10102.0,1.28
B_0017,3023.9,3231.8,47.4,114694.0,13,132,1659.8,7559.8,2.44
B_0018,4943.1,5100.4,40.5,160319.5,11,312,2424.2,12357.7,2.88
B_0019,1097.1,1221.4,25.8,22641.1,7,60,574.6,2742.8,1.34
B_0020,3190.9,2741.1,32.5,83084.4,9,196,2054.6,7977.3,2.3
B_0021,2774.9,2998.9,46.6,103348.9,13,130,1263.5,6937.3,2.93
B_0022,3906.8,4402.3,10.0,31121.4,2,217,2559.8,9767.1,1.03
B_0023,4703.5,4121.4,5.7,21295.9,1,199,3147.4,11758.7,1.0
B_0024,2030.2,1750.7,28.5,46219.6,8,108,1191.5,5075.5,1.04
B_0025,4679.5,4191.0,42.7,159732.9,12,192,3314.6,11698.7,1.19
B_0026,3677.4,4154.8,44.6,131080.3,12,221,2295.6,9193.5,2.8
B_0027,2048.1,2042.7,35.3,57868.2,10,87,775.6,5120.3,1.21
B_0028,4305.9,4268.5,6.2,21279.0,1,193,2754.4,10764.8,1.39
B_0029,682.2,555.3,3.9,2127.1,1,43,508.0,1705.6,1.62
B_0030,3455.9,3997.1,15.5,42829.1,4,176,2449.8,8639.7,2.94
B_0031,4591.4,4954.6,9.7,35620.6,2,223,2371.0,11478.6,1.54
B_0032,2224.9,2493.7,47.4,84346.4,13,100,932.4,5562.2,1.67
B_0033,4376.7,4944.6,25.0,87479.8,7,225,3084.3,10941.7,1.91
B_0034,3848.9,3453.0,20.1,61952.2,5,156,1798.5,9622.1,2.22
B_0035,1681.3,1797.6,23.0,30893.2,6,110,841.2,4203.2,2.2
B_0036,383.0,325.2,41.5,12712.8,11,24,194.9,957.6,1.64
B_0037,4017.8,3502.7,48.4,155424.3,13,202,1816.2,10044.5,2.71
B_0038,554.7,570.5,47.8,21189.3,13,26,234.2,1386.7,1.8
B_0039,1836.0,1864.5,18.9,27693.9,5,117,744.5,4590.0,1.81
B_0040,1446.0,1712.2,11.7,13506.6,3,69,1010.8,3614.9,2.75
B_0041,548.5,460.7,32.8,14374.5,9,34,393.1,1371.2,1.46
B_0042,2873.3,2635.3,19.6,45098.2,5,140,1327.7,7183.4,1.48
B_0043,1817.0,2095.6,38.6,56181.1,11,105,1072.7,4542.6,2.83
B_0044,2185.6,2393.9,36.7,64249.0,10,101,1049.4,5463.9,2.82
B_0045,2978.1,2503.1,38.7,92115.1,11,138,1143.6,7445.2,1.99
B_0046,3036.3,2976.5,44.0,106988.0,12,125,1657.7,7590.6,2.85
B_0047,696.4,641.7,17.2,9579.3,4,38,417.4,1741.0,2.14
B_0048,3274.6,3093.6,4.2,11103.2,1,208,1594.2,8186.5,1.77
B_0049,240.9,227.8,46.5,8961.5,13,13,131.1,602.2,2.43
B_0050,1979.2,2241.8,31.5,49912.1,9,87,1252.1,4947.9,2.01
B_0051,1994.3,2295.9,26.1,41660.8,7,125,1416.3,4985.7,2.98
B_0052,2409.7,2015.1,45.0,86658.3,12,97,1711.8,6024.1,1.06
B_0053,1443.0,1470.4,33.2,38333.9,9,86,944.5,3607.5,2.28
B_0054,354.1,311.1,11.3,3207.6,3,18,214.2,885.3,2.2
B_0055,4279.8,4960.4,33.3,113874.0,9,174,3003.2,10699.5,1.07
B_0056,3645.9,3810.7,20.5,59856.7,5,162,2135.3,9114.7,2.96
B_0057,1282.2,1307.3,38.0,38937.3,10,69,509.1,3205.5,1.88
B_0058,3026.6,3362.9,9.0,21810.8,2,158,2178.9,7566.5,1.67
B_0059,1283.5,1203.8,33.6,34505.1,9,77,517.7,3208.7,1.15
B_0060,1321.2,1494.0,12.5,13223.3,3,79,745.5,3302.9,2.87
B_0061,1434.9,1692.9,47.0,53912.9,13,65,828.5,3587.3,1.84
B_0062,1998.4,2000.8,25.7,41011.4,7,106,1440.3,4996.0,2.35
B_0063,4635.6,5380.4,22.0,81412.6,6,262,1883.3,11589.1,2.56
B_0064,3093.7,3019.8,24.6,60940.1,7,152,1337.1,7734.3,2.87
B_0065,4958.1,4173.4,12.4,49134.2,3,222,3005.7,12395.2,1.55
