phi,g_phi,dg_dphi
0.0000,1.00000100,-2.00000000
0.0050,0.99002600,-1.99000000
0.0100,0.98010100,-1.98000000
0.0150,0.97022600,-1.97000000
0.0200,0.96040100,-1.96000000
0.0250,0.95062600,-1.95000000
0.0300,0.94090100,-1.94000000
0.0350,0.93122600,-1.93000000
0.0400,0.92160100,-1.92000000
0.0450,0.91202600,-1.91000000
0.0500,0.90250100,-1.90000000
0.0550,0.89302600,-1.89000000
0.0600,0.88360100,-1.88000000
0.0650,0.87422600,-1.87000000
0.0700,0.86490100,-1.86000000
0.0750,0.85562600,-1.85000000
0.0800,0.84640100,-1.84000000
0.0850,0.83722600,-1.83000000
0.0900,0.82810100,-1.82000000
0.0950,0.81902600,-1.81000000
0.1000,0.81000100,-1.80000000
0.1050,0.80102600,-1.79000000
0.1100,0.79210100,-1.78000000
0.1150,0.78322600,-1.77000000
0.1200,0.77440100,-1.76000000
0.1250,0.76562600,-1.75000000
0.1300,0.75690100,-1.74000000
0.1350,0.74822600,-1.73000000
0.1400,0.73960100,-1.72000000
0.1450,0.73102600,-1.71000000
0.1500,0.72250100,-1.70000000
0.1550,0.71402600,-1.69000000
0.1600,0.70560100,-1.68000000
0.1650,0.69722600,-1.67000000
0.1700,0.68890100,-1.66000000
0.1750,0.68062600,-1.65000000
0.1800,0.67240100,-1.64000000
0.1850,0.66422600,-1.63000000
0.1900,0.65610100,-1.62000000
0.1950,0.64802600,-1.61000000
0.2000,0.64000100,-1.60000000
0.2050,0.63202600,-1.59000000
0.2100,0.62410100,-1.58000000
0.2150,0.61622600,-1.57000000
0.2200,0.60840100,-1.56000000
0.2250,0.60062600,-1.55000000
0.2300,0.59290100,-1.54000000
0.2350,0.58522600,-1.53000000
0.2400,0.57760100,-1.52000000
0.2450,0.57002600,-1.51000000
0.2500,0.56250100,-1.50000000
0.2550,0.55502600,-1.49000000
0.2600,0.54760100,-1.48000000
0.2650,0.54022600,-1.47000000
0.2700,0.53290100,-1.46000000
0.2750,0.52562600,-1.45000000
0.2800,0.51840100,-1.44000000
0.2850,0.51122600,-1.43000000
0.2900,0.50410100,-1.42000000
0.2950,0.49702600,-1.41000000
0.3000,0.49000100,-1.40000000
0.3050,0.48302600,-1.39000000
0.3100,0.47610100,-1.38000000
0.3150,0.46922600,-1.37000000
0.3200,0.46240100,-1.36000000
0.3250,0.45562600,-1.35000000
0.3300,0.44890100,-1.34000000
0.3350,0.44222600,-1.33000000
0.3400,0.43560100,-1.32000000
0.3450,0.42902600,-1.31000000
0.3500,0.42250100,-1.30000000
0.3550,0.41602600,-1.29000000
0.3600,0.40960100,-1.28000000
0.3650,0.40322600,-1.27000000
0.3700,0.39690100,-1.26000000
0.3750,0.39062600,-1.25000000
0.3800,0.38440100,-1.24000000
0.3850,0.37822600,-1.23000000
0.3900,0.37210100,-1.22000000
0.3950,0.36602600,-1.21000000
0.4000,0.36000100,-1.20000000
0.4050,0.35402600,-1.19000000
0.4100,0.34810100,-1.18000000
0.4150,0.34222600,-1.17000000
0.4200,0.33640100,-1.16000000
0.4250,0.33062600,-1.15000000
0.4300,0.32490100,-1.14000000
0.4350,0.31922600,-1.13000000
0.4400,0.31360100,-1.12000000
0.4450,0.30802600,-1.11000000
0.4500,0.30250100,-1.10000000
0.4550,0.29702600,-1.09000000
0.4600,0.29160100,-1.08000000
0.4650,0.28622600,-1.07000000
0.4700,0.28090100,-1.06000000
0.4750,0.27562600,-1.05000000
0.4800,0.27040100,-1.04000000
0.4850,0.26522600,-1.03000000
0.4900,0.26010100,-1.02000000
0.4950,0.25502600,-1.01000000
0.5000,0.25000100,-1.00000000
0.5050,0.24502600,-0.99000000
0.5100,0.24010100,-0.98000000
0.5150,0.23522600,-0.97000000
0.5200,0.23040100,-0.96000000
0.5250,0.22562600,-0.95000000
0.5300,0.22090100,-0.94000000
0.5350,0.21622600,-0.93000000
0.5400,0.21160100,-0.92000000
0.5450,0.20702600,-0.91000000
0.5500,0.20250100,-0.90000000
0.5550,0.19802600,-0.89000000
0.5600,0.19360100,-0.88000000
0.5650,0.18922600,-0.87000000
0.5700,0.18490100,-0.86000000
0.5750,0.18062600,-0.85000000
0.5800,0.17640100,-0.84000000
0.5850,0.17222600,-0.83000000
0.5900,0.16810100,-0.82000000
0.5950,0.16402600,-0.81000000
0.6000,0.16000100,-0.80000000
0.6050,0.15602600,-0.79000000
0.6100,0.15210100,-0.78000000
0.6150,0.14822600,-0.77000000
0.6200,0.14440100,-0.76000000
0.6250,0.14062600,-0.75000000
0.6300,0.13690100,-0.74000000
0.6350,0.13322600,-0.73000000
0.6400,0.12960100,-0.72000000
0.6450,0.12602600,-0.71000000
0.6500,0.12250100,-0.70000000
0.6550,0.11902600,-0.69000000
0.6600,0.11560100,-0.68000000
0.6650,0.11222600,-0.67000000
0.6700,0.10890100,-0.66000000
0.6750,0.10562600,-0.65000000
0.6800,0.10240100,-0.64000000
0.6850,0.09922600,-0.63000000
0.6900,0.09610100,-0.62000000
0.6950,0.09302600,-0.61000000
0.7000,0.09000100,-0.60000000
0.7050,0.08702600,-0.59000000
0.7100,0.08410100,-0.58000000
0.7150,0.08122600,-0.57000000
0.7200,0.07840100,-0.56000000
0.7250,0.07562600,-0.55000000
0.7300,0.07290100,-0.54000000
0.7350,0.07022600,-0.53000000
0.7400,0.06760100,-0.52000000
0.7450,0.06502600,-0.51000000
0.7500,0.06250100,-0.50000000
0.7550,0.06002600,-0.49000000
0.7600,0.05760100,-0.48000000
0.7650,0.05522600,-0.47000000
0.7700,0.05290100,-0.46000000
0.7750,0.05062600,-0.45000000
0.7800,0.04840100,-0.44000000
0.7850,0.04622600,-0.43000000
0.7900,0.04410100,-0.42000000
0.7950,0.04202600,-0.41000000
0.8000,0.04000100,-0.40000000
0.8050,0.03802600,-0.39000000
0.8100,0.03610100,-0.38000000
0.8150,0.03422600,-0.37000000
0.8200,0.03240100,-0.36000000
0.8250,0.03062600,-0.35000000
0.8300,0.02890100,-0.34000000
0.8350,0.02722600,-0.33000000
0.8400,0.02560100,-0.32000000
0.8450,0.02402600,-0.31000000
0.8500,0.02250100,-0.30000000
0.8550,0.02102600,-0.29000000
0.8600,0.01960100,-0.28000000
0.8650,0.01822600,-0.27000000
0.8700,0.01690100,-0.26000000
0.8750,0.01562600,-0.25000000
0.8800,0.01440100,-0.24000000
0.8850,0.01322600,-0.23000000
0.8900,0.01210100,-0.22000000
0.8950,0.01102600,-0.21000000
0.9000,0.01000100,-0.20000000
0.9050,0.00902600,-0.19000000
0.9100,0.00810100,-0.18000000
0.9150,0.00722600,-0.17000000
0.9200,0.00640100,-0.16000000
0.9250,0.00562600,-0.15000000
0.9300,0.00490100,-0.14000000
0.9350,0.00422600,-0.13000000
0.9400,0.00360100,-0.12000000
0.9450,0.00302600,-0.11000000
0.9500,0.00250100,-0.10000000
0.9550,0.00202600,-0.09000000
0.9600,0.00160100,-0.08000000
0.9650,0.00122600,-0.07000000
0.9700,0.00090100,-0.06000000
0.9750,0.00062600,-0.05000000
0.9800,0.00040100,-0.04000000
0.9850,0.00022600,-0.03000000
0.9900,0.00010100,-0.02000000
0.9950,0.00002600,-0.01000000
1.0000,0.00000100,-0.00000000
