Sample_ID,Soil_Type,Undrained_Shear_Strength_kPa,Plasticity_Index_PI,Liquid_Limit_LL,Plastic_Limit_PL,Compression_Index_Cc,Swelling_Index_Cs,Elastic_Modulus_kPa,Poissons_Ratio,Unit_Weight_kN_m3,Friction_Angle_deg,OCR,Permeability_m_s,Moisture_Content_pct,Cohesion_kPa
CLAY-0001,Clay,188.7,15.5,32.5,16.9,0.2051,0.0409,37837.0,0.399,19.28,30.9,1.0,8.99e-09,22.9,85.4
CLAY-0002,Clay,151.7,48.9,65.8,17.0,0.4838,0.0681,31080.0,0.433,19.11,23.0,1.34,6.73e-09,43.6,80.7
CLAY-0003,Clay,32.0,43.4,65.6,22.3,0.487,0.0841,6393.0,0.41,17.3,23.2,2.2,1.23e-10,29.4,21.4
CLAY-0004,Clay,116.1,32.4,54.2,21.9,0.3783,0.062,22869.0,0.416,17.93,22.9,1.69,1.59e-10,28.7,56.0
CLAY-0005,Clay,25.6,51.7,69.3,17.6,0.5256,0.0846,4753.0,0.439,16.55,17.7,1.49,4.37e-10,32.0,16.2
CLAY-0006,Clay,170.2,20.5,43.6,23.1,0.2887,0.0654,33830.0,0.357,18.63,28.1,2.26,7.60e-09,33.4,80.5
CLAY-0007,Clay,149.3,43.5,60.7,17.3,0.4674,0.1045,30327.0,0.391,18.62,23.2,1.67,1.42e-10,37.6,77.4
CLAY-0008,Clay,185.3,38.3,60.1,21.8,0.4431,0.0848,36782.0,0.424,19.4,26.8,1.17,7.60e-10,29.8,91.2
CLAY-0009,Clay,55.8,15.8,34.7,18.9,0.1908,0.0355,11413.0,0.369,16.75,32.9,1.23,2.82e-09,24.0,31.9
CLAY-0010,Clay,72.8,13.9,38.8,24.9,0.2589,0.0454,14777.0,0.378,17.37,27.0,1.0,8.80e-08,27.8,29.3
CLAY-0011,Clay,87.5,45.1,64.9,19.8,0.467,0.0746,18106.0,0.38,17.53,17.0,2.37,2.62e-08,36.6,42.9
CLAY-0012,Clay,85.5,15.6,36.3,20.7,0.2289,0.0474,16494.0,0.38,18.13,33.3,1.64,2.46e-10,29.1,37.1
CLAY-0013,Clay,100.2,51.0,70.8,19.8,0.5648,0.0747,20165.0,0.431,18.37,18.1,2.42,3.12e-08,35.3,55.0
CLAY-0014,Clay,191.2,50.3,70.0,19.7,0.5201,0.0681,38047.0,0.454,19.82,21.1,1.99,9.21e-09,45.7,104.7
CLAY-0015,Clay,77.8,45.8,66.6,20.8,0.5224,0.0811,15789.0,0.456,16.95,21.2,1.5,2.04e-09,38.9,33.6
CLAY-0016,Clay,88.0,20.4,44.7,24.3,0.3428,0.0647,16892.0,0.4,18.66,29.9,1.0,2.13e-10,31.8,46.0
CLAY-0017,Clay,65.5,47.3,72.5,25.2,0.5505,0.0895,12332.0,0.442,17.5,20.1,4.25,6.22e-10,41.4,36.7
CLAY-0018,Clay,110.9,50.9,66.6,15.7,0.5197,0.0717,22049.0,0.422,18.17,20.0,2.04,5.61e-10,35.6,49.1
CLAY-0019,Clay,64.5,14.7,36.5,21.9,0.2339,0.0469,12770.0,0.377,17.56,33.8,1.0,1.04e-10,30.0,20.0
CLAY-0020,Clay,150.1,57.1,82.0,24.9,0.6578,0.0888,29932.0,0.446,19.24,15.7,2.28,2.64e-10,35.5,67.9
CLAY-0021,Clay,191.7,14.1,32.9,18.8,0.2087,0.0299,39206.0,0.35,20.0,33.7,2.8,5.16e-10,22.9,103.0
CLAY-0022,Clay,152.5,16.3,31.5,15.1,0.2195,0.0284,29981.0,0.385,19.29,31.3,1.1,8.08e-09,23.3,74.3
