Simulation_ID,Soil_Type,Structure_Type,H_D_Ratio,Groundwater_Condition,Elastic_Modulus_kPa,Poissons_Ratio,Cohesion_kPa,Friction_Angle_deg,Unit_Weight_kN_m3,Max_Displacement_mm,Surface_Settlement_mm,Lateral_Displacement_mm,Heave_mm,Pore_Water_Pressure_kPa,Max_Plastic_Strain,Primary_Failure_Mode,All_Failure_Modes,Failure_Detected
FEM-0001,Sand,Tunnel,0.5,Dry,16220.0,0.328,2.8,37.0,17.49,6.29,5.54,4.78,0.0,0.0,0.00994,No_Failure,No_Failure,0
FEM-0002,Sand,Tunnel,0.5,Dry,32681.0,0.292,3.9,35.9,18.53,3.32,3.81,0.78,0.0,2.4,0.0056,No_Failure,No_Failure,0
FEM-0003,Sand,Tunnel,0.5,Dry,21601.0,0.267,4.1,35.7,19.44,5.25,6.0,1.27,0.0,2.1,0.00503,No_Failure,No_Failure,0
FEM-0004,Sand,Tunnel,0.5,Dry,35980.0,0.302,4.7,35.8,16.11,2.97,2.92,0.69,0.0,0.0,0.00581,No_Failure,No_Failure,0
FEM-0005,Sand,Tunnel,0.5,Dry,15905.0,0.303,1.1,37.0,17.99,7.25,6.5,3.02,0.0,2.2,0.012,No_Failure,No_Failure,0
FEM-0006,Sand,Tunnel,0.5,Partially_Saturated,19293.0,0.255,0.1,35.3,18.0,7.84,4.53,3.2,0.0,37.0,0.01344,No_Failure,No_Failure,0
FEM-0007,Sand,Tunnel,0.5,Partially_Saturated,37449.0,0.253,2.9,29.2,18.26,3.93,3.0,1.46,0.0,15.6,0.00687,No_Failure,No_Failure,0
FEM-0008,Sand,Tunnel,0.5,Partially_Saturated,22927.0,0.264,4.2,31.4,16.13,5.29,4.08,3.66,0.0,18.6,0.00302,No_Failure,No_Failure,0
FEM-0009,Sand,Tunnel,0.5,Partially_Saturated,39887.0,0.284,3.6,33.8,18.11,2.65,2.41,0.84,0.0,30.6,0.00459,No_Failure,No_Failure,0
FEM-0010,Sand,Tunnel,0.5,Partially_Saturated,48651.0,0.302,0.4,41.4,17.68,2.36,1.35,1.85,0.0,31.1,0.00169,No_Failure,No_Failure,0
FEM-0011,Sand,Tunnel,0.5,Fully_Saturated,40185.0,0.348,4.9,29.8,19.07,4.47,4.31,3.04,0.0,52.3,0.00453,No_Failure,No_Failure,0
FEM-0012,Sand,Tunnel,0.5,Fully_Saturated,41828.0,0.331,1.2,36.0,16.5,3.55,1.81,2.01,0.0,55.5,0.00392,No_Failure,No_Failure,0
