material,temperature_C,stress_MPa,creep_strain_rate_per_s,norton_A,norton_n,norton_Q_J_mol
YSZ,650,5,2.6953984658609736e-30,1e-14,2.0,300000.0
YSZ,650,10,1.0551451117850859e-29,1e-14,2.0,300000.0
YSZ,650,20,4.461733961142018e-29,1e-14,2.0,300000.0
YSZ,750,5,1.1693587760549037e-28,1e-14,2.0,300000.0
YSZ,750,10,5.064301882871247e-28,1e-14,2.0,300000.0
YSZ,750,20,1.9825081620724633e-27,1e-14,2.0,300000.0
YSZ,850,5,2.7860818429162127e-27,1e-14,2.0,300000.0
YSZ,850,10,1.0975441204295513e-26,1e-14,2.0,300000.0
YSZ,850,20,5.001610996159747e-26,1e-14,2.0,300000.0
Ni-YSZ,650,5,2.3700904795237603e-28,5e-14,2.2,280000.0
Ni-YSZ,650,10,1.152302233573404e-27,5e-14,2.2,280000.0
Ni-YSZ,650,20,5.0211866694434415e-27,5e-14,2.2,280000.0
Ni-YSZ,750,5,9.518149338072876e-27,5e-14,2.2,280000.0
Ni-YSZ,750,10,4.192962918347474e-26,5e-14,2.2,280000.0
Ni-YSZ,750,20,1.782209564347388e-25,5e-14,2.2,280000.0
Ni-YSZ,850,5,1.6795339175049816e-25,5e-14,2.2,280000.0
Ni-YSZ,850,10,7.621214892244336e-25,5e-14,2.2,280000.0
Ni-YSZ,850,20,3.367940025191569e-24,5e-14,2.2,280000.0
GDC,650,5,2.3732835065172008e-29,2e-14,2.1,290000.0
GDC,650,10,9.993695194149757e-29,2e-14,2.1,290000.0
GDC,650,20,4.247911067303856e-28,2e-14,2.1,290000.0
GDC,750,5,9.164699063848768e-28,2e-14,2.1,290000.0
GDC,750,10,4.0221032632900394e-27,2e-14,2.1,290000.0
GDC,750,20,1.707293403006575e-26,2e-14,2.1,290000.0
GDC,850,5,1.916694819075769e-26,2e-14,2.1,290000.0
GDC,850,10,7.930256297706954e-26,2e-14,2.1,290000.0
GDC,850,20,3.8098037747161464e-25,2e-14,2.1,290000.0
LSCF-GDC,650,5,5.958912163725569e-27,8e-14,2.3,260000.0
LSCF-GDC,650,10,3.163402832120336e-26,8e-14,2.3,260000.0
LSCF-GDC,650,20,1.5008080666651112e-25,8e-14,2.3,260000.0
LSCF-GDC,750,5,1.875606199944537e-25,8e-14,2.3,260000.0
LSCF-GDC,750,10,8.106156215358622e-25,8e-14,2.3,260000.0
LSCF-GDC,750,20,4.027104164041508e-24,8e-14,2.3,260000.0
LSCF-GDC,850,5,2.4934868703341324e-24,8e-14,2.3,260000.0
LSCF-GDC,850,10,1.3113870492399804e-23,8e-14,2.3,260000.0
LSCF-GDC,850,20,5.918938927388115e-23,8e-14,2.3,260000.0
Crofer22APU,650,5,4.1449639977330396e-32,3e-15,1.8,320000.0
Crofer22APU,650,10,1.3196016787881166e-31,3e-15,1.8,320000.0
Crofer22APU,650,20,5.211176048246064e-31,3e-15,1.8,320000.0
Crofer22APU,750,5,2.43663881678553e-30,3e-15,1.8,320000.0
Crofer22APU,750,10,8.055033202710247e-30,3e-15,1.8,320000.0
Crofer22APU,750,20,3.1948867922750673e-29,3e-15,1.8,320000.0
Crofer22APU,850,5,6.653297693678661e-29,3e-15,1.8,320000.0
Crofer22APU,850,10,2.5776678351285725e-28,3e-15,1.8,320000.0
Crofer22APU,850,20,8.329430638229316e-28,3e-15,1.8,320000.0
glass-ceramic,650,5,1.5865675527017107e-25,1e-13,2.5,240000.0
glass-ceramic,650,10,8.620985341366772e-25,1e-13,2.5,240000.0
glass-ceramic,650,20,4.463677495813156e-24,1e-13,2.5,240000.0
glass-ceramic,750,5,2.978055833890158e-24,1e-13,2.5,240000.0
glass-ceramic,750,10,1.8190588183566044e-23,1e-13,2.5,240000.0
glass-ceramic,750,20,9.856730155149697e-23,1e-13,2.5,240000.0
glass-ceramic,850,5,3.8157882103381903e-23,1e-13,2.5,240000.0
glass-ceramic,850,10,2.315449632455458e-22,1e-13,2.5,240000.0
glass-ceramic,850,20,1.1853795739298173e-21,1e-13,2.5,240000.0
