specimen,redox_cycle,irreversible_strain
1,1,3.2e-05
1,2,0.000187
1,3,0.000305
1,4,0.000725
1,5,0.000938
1,6,0.001537
1,7,0.00227
1,8,0.002347
1,9,0.002449
1,10,0.002905
1,11,0.003694
1,12,0.005218
1,13,0.005336
1,14,0.006236
1,15,0.006308
1,16,0.006563
1,17,0.00737
1,18,0.0075
1,19,0.007585
1,20,0.007603
2,1,0.000459
2,2,0.000873
2,3,0.002711
2,4,0.003039
2,5,0.003138
2,6,0.003366
2,7,0.003397
2,8,0.003935
2,9,0.004573
2,10,0.004696
2,11,0.004844
2,12,0.004883
2,13,0.004923
2,14,0.005198
2,15,0.00557
2,16,0.005577
2,17,0.006116
2,18,0.006285
2,19,0.006695
2,20,0.007079
3,1,0.00077
3,2,0.00175
3,3,0.0027
3,4,0.0029
3,5,0.003375
3,6,0.003456
3,7,0.003761
3,8,0.003939
3,9,0.004136
3,10,0.004872
3,11,0.006028
3,12,0.006231
3,13,0.007053
3,14,0.007336
3,15,0.00749
3,16,0.007732
3,17,0.007908
3,18,0.007985
3,19,0.008008
3,20,0.008021
4,1,0.000625
4,2,0.001032
4,3,0.001242
4,4,0.001552
4,5,0.003686
4,6,0.003958
4,7,0.004076
4,8,0.004672
4,9,0.004734
4,10,0.00517
4,11,0.005439
4,12,0.005829
4,13,0.00599
4,14,0.006234
4,15,0.006925
4,16,0.006969
4,17,0.00775
4,18,0.008638
4,19,0.008873
4,20,0.009489
5,1,0.000484
5,2,0.000843
5,3,0.001531
5,4,0.001742
5,5,0.002652
5,6,0.003865
5,7,0.00434
5,8,0.004445
5,9,0.004468
5,10,0.004716
5,11,0.00475
5,12,0.004979
5,13,0.006201
5,14,0.006907
5,15,0.006946
5,16,0.007058
5,17,0.007609
5,18,0.009132
5,19,0.009784
5,20,0.00986
6,1,0.000248
6,2,0.001029
6,3,0.001445
6,4,0.001672
6,5,0.004665
6,6,0.005289
6,7,0.005611
6,8,0.006176
6,9,0.006307
6,10,0.007222
6,11,0.007587
6,12,0.008172
6,13,0.010784
6,14,0.01113
6,15,0.011451
6,16,0.011833
6,17,0.012045
6,18,0.012472
6,19,0.012508
6,20,0.013478
7,1,0.002235
7,2,0.002575
7,3,0.00258
7,4,0.002751
7,5,0.002757
7,6,0.00284
7,7,0.004021
7,8,0.004273
7,9,0.004608
7,10,0.005014
7,11,0.005132
7,12,0.006085
7,13,0.00658
7,14,0.0071
7,15,0.007473
7,16,0.008085
7,17,0.008354
7,18,0.009103
7,19,0.009517
7,20,0.009541
8,1,4.7e-05
8,2,0.000284
8,3,0.0003
8,4,0.000341
8,5,0.000572
8,6,0.000745
8,7,0.001258
8,8,0.001405
8,9,0.00156
8,10,0.001789
8,11,0.001808
8,12,0.002318
8,13,0.002978
8,14,0.004742
8,15,0.005496
8,16,0.005683
8,17,0.006422
8,18,0.00894
8,19,0.009061
8,20,0.010643
9,1,0.000217
9,2,0.000246
9,3,0.000281
9,4,0.000385
9,5,0.000939
9,6,0.001562
9,7,0.002146
9,8,0.002396
9,9,0.002805
9,10,0.003415
9,11,0.003796
9,12,0.004096
9,13,0.004233
9,14,0.004474
9,15,0.005203
9,16,0.005596
9,17,0.005706
9,18,0.005838
9,19,0.00662
9,20,0.007801
10,1,0.000179
10,2,0.00043
10,3,0.000432
10,4,0.000489
10,5,0.00109
10,6,0.003094
10,7,0.003556
10,8,0.003957
10,9,0.004707
10,10,0.004877
10,11,0.005273
10,12,0.005519
10,13,0.005759
10,14,0.005862
10,15,0.006155
10,16,0.006515
10,17,0.007475
10,18,0.008997
10,19,0.009044
10,20,0.009104
