case_id,max_temperature_C,max_stress_MPa,max_strain,ASR_Ohm_cm2,efficiency,degradation_index
1,945.6,101.94,0.007422,0.1473,0.4532,0.000698
2,857.5,63.68,0.005468,0.164,0.5795,0.0
3,766.9,96.12,0.003819,0.4662,0.4159,0.00026
4,795.5,72.96,0.004275,0.2642,0.5371,0.000116
5,677.6,63.79,0.001872,0.5491,0.5969,5e-05
6,750.8,78.79,0.003409,0.4523,0.507,0.000364
7,771.8,69.73,0.003784,0.3238,0.5589,2.5e-05
8,692.8,66.06,0.002187,0.5722,0.5985,2.3e-05
9,653.8,68.84,0.001419,0.8827,0.5933,0.0
10,873.3,87.21,0.005901,0.2302,0.4344,0.000437
11,722.2,78.02,0.002835,0.685,0.5051,0.00031
12,746.2,84.68,0.003347,0.5333,0.4286,0.000487
13,896.1,94.05,0.006392,0.1539,0.4756,0.000302
14,823.8,76.67,0.004859,0.2861,0.5384,0.000236
15,669.2,68.35,0.001725,0.6287,0.5924,0.0
16,705.9,82.82,0.002532,0.5514,0.538,9e-05
17,694.0,73.42,0.002247,0.6347,0.5629,0.000105
18,849.7,64.03,0.005314,0.1774,0.5753,0.0
19,840.4,83.94,0.005227,0.1996,0.5289,0.000232
20,785.0,77.93,0.004089,0.3179,0.5544,2.2e-05
21,707.4,95.79,0.002627,0.7951,0.4699,0.000648
22,782.2,63.32,0.00396,0.2226,0.636,1.3e-05
23,814.1,59.13,0.004578,0.1837,0.6244,2.6e-05
24,799.5,81.46,0.004397,0.3311,0.4974,0.000331
25,664.0,69.32,0.001627,0.6537,0.5735,0.0
26,816.7,76.23,0.004715,0.241,0.5062,0.000159
27,770.4,87.29,0.003844,0.5034,0.4648,0.000278
28,839.0,73.05,0.005144,0.164,0.5462,5.2e-05
29,831.1,66.53,0.004955,0.1897,0.5916,7.5e-05
30,781.1,91.55,0.00408,0.4241,0.449,0.000404
31,676.4,91.76,0.001986,0.9929,0.4704,0.000347
32,876.6,74.07,0.005902,0.1559,0.5529,7.1e-05
33,896.1,73.43,0.006289,0.1542,0.5287,9.7e-05
34,751.2,66.46,0.003357,0.3601,0.5636,4.8e-05
35,689.4,97.65,0.002277,1.0843,0.4614,0.000567
36,814.1,73.59,0.004651,0.229,0.611,9.6e-05
37,734.0,90.67,0.003133,0.5574,0.4509,0.000464
38,806.5,68.76,0.004474,0.2184,0.6252,0.000144
39,614.2,67.29,0.000619,1.0214,0.5563,1e-06
40,789.9,67.96,0.004138,0.2785,0.5513,0.0
41,877.5,84.68,0.005974,0.158,0.4936,0.000209
42,822.3,93.83,0.004915,0.3365,0.4594,0.00041
43,838.1,70.13,0.005112,0.1563,0.5264,2.5e-05
44,807.9,63.0,0.004472,0.2294,0.5981,0.0
45,794.7,80.66,0.004298,0.2896,0.5005,0.000207
46,836.8,72.87,0.005101,0.1846,0.5927,0.0
47,878.8,65.32,0.005903,0.163,0.5824,0.0
48,867.7,77.16,0.005741,0.1807,0.5335,0.000138
49,888.3,72.55,0.006128,0.1636,0.5346,0.000266
50,690.6,82.32,0.002224,0.935,0.4739,0.000225
51,692.0,63.83,0.002159,0.6515,0.5796,0.0
52,710.5,72.73,0.002574,0.5746,0.5577,7.6e-05
53,872.0,68.45,0.005782,0.1528,0.5099,0.000123
54,858.0,87.25,0.005597,0.1653,0.5683,5.2e-05
55,856.1,85.38,0.005549,0.1962,0.4903,0.000113
56,799.5,59.1,0.004286,0.2008,0.5897,1.7e-05
57,725.1,72.98,0.002868,0.3905,0.5915,2.6e-05
58,656.2,68.21,0.001464,0.8549,0.5998,0.0
59,830.1,80.89,0.005006,0.254,0.499,6.5e-05
60,759.3,66.36,0.003517,0.3348,0.6058,0.0
61,721.2,62.52,0.002738,0.4263,0.5896,0.0
62,752.1,73.86,0.003412,0.4649,0.4779,0.000306
63,743.1,89.88,0.003311,0.7352,0.44,0.000396
64,709.1,63.29,0.002499,0.4249,0.599,1.2e-05
65,842.4,77.69,0.005235,0.1622,0.5459,2.4e-05
66,707.1,81.32,0.002549,0.6753,0.507,0.000175
67,835.3,84.09,0.005127,0.2882,0.4313,0.000273
68,794.8,88.77,0.004341,0.2748,0.5411,8.9e-05
69,727.3,69.36,0.002894,0.4465,0.5464,4.4e-05
70,757.0,89.06,0.003585,0.5714,0.4788,0.000407
71,696.4,81.54,0.002336,0.745,0.4751,0.000497
72,767.2,84.32,0.003765,0.4155,0.4761,0.00031
73,762.7,72.76,0.003618,0.3474,0.561,0.000121
74,677.6,85.3,0.001979,1.0024,0.5092,0.000375
75,843.5,69.57,0.005218,0.1621,0.5419,0.0
76,639.1,73.4,0.00115,1.0972,0.5334,7.5e-05
77,680.3,94.59,0.002079,0.9729,0.4832,0.000391
78,831.6,96.28,0.005113,0.2528,0.4906,0.000186
79,865.2,80.51,0.005706,0.204,0.5568,0.000174
80,775.4,78.7,0.0039,0.3813,0.4898,0.000187
81,705.2,59.27,0.002401,0.5082,0.6073,0.000107
82,846.1,82.08,0.005333,0.2323,0.4946,0.000592
83,897.9,81.66,0.006366,0.1771,0.466,0.000266
84,740.1,75.86,0.003182,0.5171,0.5046,0.000301
85,766.8,61.65,0.003643,0.2796,0.54,0.0
86,862.5,75.05,0.005625,0.1691,0.5517,4.8e-05
87,781.0,71.01,0.003975,0.2552,0.581,7.6e-05
88,696.9,81.01,0.002344,0.8936,0.475,0.000448
89,687.3,80.37,0.002149,0.7373,0.5797,0.0
90,832.8,69.48,0.005003,0.1985,0.6011,0.0
91,762.3,81.33,0.003654,0.3663,0.5244,0.000183
92,711.6,69.28,0.002579,0.6225,0.5525,0.0001
93,660.4,82.98,0.001623,0.8895,0.5234,9.1e-05
94,682.7,94.9,0.002128,0.9037,0.4943,0.000408
95,764.0,64.93,0.003604,0.3399,0.5859,2.2e-05
96,874.1,86.72,0.005916,0.2238,0.4873,0.000539
97,763.5,81.94,0.003679,0.4161,0.4945,0.000439
98,757.0,91.58,0.003597,0.4311,0.4507,0.000258
99,659.2,83.06,0.001599,1.0937,0.5325,1.4e-05
