x_norm,y_norm,sigma_MPa
0.909194,0.677856,4.414378
0.555020,0.266855,-2.758668
0.150210,0.198227,-4.750306
0.732161,0.728660,-3.706139
0.272860,0.801167,1.917745
0.069043,0.288168,-3.906090
0.561738,0.314733,3.381653
0.799840,0.793328,-10.165445
0.714349,0.803471,-3.316206
0.803036,0.171787,-0.846518
0.710459,0.261696,-9.037618
0.385273,0.758671,-3.044716
0.217562,0.706692,-7.406165
0.338965,0.381112,-0.381140
0.832343,0.799911,-1.223614
0.023156,0.690764,3.623052
0.077236,0.436189,-4.174299
0.918776,0.496600,-8.053760
0.010328,0.209400,-2.710667
0.555116,0.405999,0.610640
0.895712,0.113058,0.435520
0.521185,0.516001,0.801354
0.744009,0.073007,5.982773
0.030097,0.009263,-1.777316
0.738306,0.962755,-1.068369
0.617517,0.136751,-4.186497
0.633164,0.319592,-2.942470
0.275485,0.883103,5.120236
0.609655,0.082984,1.759181
0.762818,0.576160,-12.900386
0.844344,0.499558,5.923837
0.077101,0.586737,-9.824859
0.885897,0.654682,-2.040787
0.712264,0.496741,4.771185
0.545320,0.901833,0.628035
0.736235,0.641839,2.736062
0.747446,0.156087,4.265839
0.551039,0.578929,1.458184
0.859643,0.052104,-6.203155
0.873855,0.262002,1.806961
0.808368,0.903063,-3.445443
0.221548,0.056235,-11.918120
0.386752,0.342885,-1.447713
0.920679,0.068347,2.694441
0.566307,0.893595,0.582802
0.169903,0.056493,0.034713
0.806386,0.563647,8.557191
0.175578,0.461926,1.338983
0.963607,0.881859,4.499359
0.660058,0.047829,1.614259
0.948009,0.015449,8.104408
0.312906,0.824851,-1.815294
0.882581,0.183432,5.814238
0.306291,0.438255,8.974829
0.076303,0.910522,-1.832912
0.754275,0.318001,5.166942
0.931960,0.212690,-6.666359
0.923656,0.826136,1.571820
0.133744,0.802356,3.641863
0.555800,0.993907,-4.076872
0.667380,0.792857,-8.818738
0.314084,0.599785,0.264394
0.730632,0.207940,-1.591968
0.376883,0.752821,0.942464
0.865831,0.554375,1.474513
0.562226,0.421908,4.138408
0.429354,0.585511,7.739132
0.501085,0.154488,2.168769
0.414262,0.933510,-7.498070
0.484815,0.372602,3.361165
0.698718,0.930062,1.967227
0.328978,0.779713,0.769678
0.023605,0.648469,7.859940
0.680311,0.282215,1.360148
0.449930,0.699932,-1.700950
0.863654,0.367027,2.353015
0.022492,0.918205,-7.813886
0.766325,0.360929,4.784917
0.301185,0.858867,0.373214
0.815121,0.047133,8.400837
0.322760,0.807392,3.454874
0.122626,0.500843,1.931690
0.646687,0.600445,1.008635
0.211757,0.620642,-5.733774
0.798203,0.982274,-0.302163
0.553599,0.620377,1.565000
0.851398,0.947468,4.950161
0.674310,0.707196,2.229010
0.452777,0.449577,3.528007
0.602343,0.920464,3.490562
0.055599,0.756326,-2.486140
0.100394,0.698841,1.611542
0.250426,0.918227,-0.946119
0.514238,0.190065,-6.047291
0.897018,0.180667,-7.317281
0.008793,0.603802,4.198363
0.262177,0.349559,7.191018
0.090457,0.155970,7.131710
0.819882,0.270802,-4.050039
0.884724,0.040274,7.522246
0.553306,0.832642,7.812810
0.219302,0.122003,-3.603965
0.826114,0.027489,2.538151
0.331454,0.554272,8.553616
0.617951,0.263969,0.599087
0.794629,0.150907,5.977841
0.338672,0.519302,-2.903728
0.214091,0.416094,-1.516564
0.069505,0.386686,4.476363
0.918611,0.660415,-0.658099
0.036215,0.165533,0.782481
0.819858,0.489480,0.615474
0.936320,0.919562,-4.880791
0.417166,0.361006,7.503779
0.134948,0.734854,-0.513226
0.687798,0.375252,-1.458392
0.196622,0.241062,-2.040490
0.437603,0.391092,0.473400
0.330824,0.071486,-4.429601
0.727724,0.286504,4.420308
0.747981,0.309368,-1.521605
0.618500,0.829077,4.051553
0.508458,0.851702,-4.162025
0.740203,0.765128,-4.862042
0.180718,0.496345,-4.383029
0.202760,0.071770,1.278822
0.172702,0.688832,-6.357685
0.191557,0.502858,4.288280
0.453388,0.807801,-1.481373
0.143109,0.481519,4.558681
0.926708,0.045668,-1.739885
0.070605,0.519623,4.135406
0.932570,0.124204,-4.918657
0.793516,0.890918,-5.276735
0.553464,0.050184,3.052893
0.526303,0.435009,-2.581929
0.797211,0.137145,5.345243
0.327814,0.560519,-3.289187
0.813712,0.050543,2.640779
0.432173,0.978784,-3.910007
0.803205,0.651791,-8.453177
0.516632,0.836167,7.175192
0.976367,0.379885,-0.908008
0.615257,0.344000,4.899054
0.643333,0.409682,0.989512
0.233679,0.024478,-8.334364
0.998305,0.694549,2.058282
0.063948,0.539589,5.437823
0.026125,0.616449,6.474321
0.355533,0.308476,8.182145
0.981378,0.054771,2.035723
0.261107,0.665320,-0.403872
0.068894,0.834424,0.447042
0.320773,0.401409,-5.636473
0.764614,0.406904,3.724582
0.790488,0.259810,3.667032
0.077837,0.226779,1.815795
0.416158,0.744605,-3.717159
0.428773,0.539163,3.268260
