x_mm,y_mm,z_m
-27.281059,-28.414188,2.257410159e-08
-26.414994,-28.414188,1.089434719e-07
-25.548928,-28.414188,-1.114834159e-07
-24.682863,-28.414188,-1.427910854e-08
-23.816798,-28.414188,-1.590672319e-08
-22.950732,-28.414188,-1.158315340e-07
-22.084667,-28.414188,1.348530946e-07
-21.218601,-28.414188,-2.730574157e-08
-20.352536,-28.414188,1.366090797e-07
-19.486471,-28.414188,-1.527216938e-07
-18.620405,-28.414188,9.504032440e-08
-17.754340,-28.414188,7.665475884e-08
-16.888275,-28.414188,-1.165938799e-07
-16.022209,-28.414188,5.600562926e-09
-15.156144,-28.414188,-1.546980964e-08
-14.290079,-28.414188,6.118587004e-09
-13.424013,-28.414188,-1.222492270e-07
-12.557948,-28.414188,-1.902096073e-07
-11.691882,-28.414188,-2.212051052e-07
-10.825817,-28.414188,-1.187174130e-07
-9.959752,-28.414188,-2.082525635e-07
-9.093686,-28.414188,-1.571715882e-07
-8.227621,-28.414188,-3.967272435e-07
-7.361556,-28.414188,-1.825617429e-07
-6.495490,-28.414188,-3.233820777e-07
-5.629425,-28.414188,-1.199293668e-07
-4.763360,-28.414188,1.353198001e-08
-3.897294,-28.414188,-6.694532046e-08
-3.031229,-28.414188,-1.076609696e-07
-2.165163,-28.414188,3.011799708e-08
-1.299098,-28.414188,-2.440341232e-07
-0.433033,-28.414188,-7.687165257e-08
0.433033,-28.414188,9.355278644e-08
1.299098,-28.414188,-5.081957167e-08
2.165163,-28.414188,-1.797496327e-07
3.031229,-28.414188,-9.090022168e-08
3.897294,-28.414188,6.078694482e-08
4.763360,-28.414188,6.282013019e-08
5.629425,-28.414188,2.219982802e-08
6.495490,-28.414188,9.298400539e-08
7.361556,-28.414188,3.454584406e-09
8.227621,-28.414188,5.740170023e-09
9.093686,-28.414188,7.165750270e-08
9.959752,-28.414188,-2.208988784e-07
10.825817,-28.414188,2.219499416e-07
11.691882,-28.414188,-2.332143374e-08
12.557948,-28.414188,1.522766804e-07
13.424013,-28.414188,-6.244399105e-08
14.290079,-28.414188,4.124059817e-08
15.156144,-28.414188,-3.960731975e-08
16.022209,-28.414188,-5.392906803e-08
16.888275,-28.414188,-8.711350779e-08
17.754340,-28.414188,-1.155627452e-07
18.620405,-28.414188,5.470789162e-08
19.486471,-28.414188,-4.438938008e-10
20.352536,-28.414188,8.973995860e-08
21.218601,-28.414188,-2.120053072e-07
22.084667,-28.414188,-2.423982352e-07
22.950732,-28.414188,2.448379071e-09
23.816798,-28.414188,1.235380772e-07
24.682863,-28.414188,-1.489225968e-07
25.548928,-28.414188,-1.377732219e-07
26.414994,-28.414188,-1.203769680e-07
27.281059,-28.414188,-4.430755691e-08
-27.281059,-27.512150,1.494265582e-07
-26.414994,-27.512150,3.319364649e-08
-25.548928,-27.512150,6.757944855e-08
-24.682863,-27.512150,-1.273512655e-07
-23.816798,-27.512150,-1.626547776e-07
-22.950732,-27.512150,4.857246408e-08
-22.084667,-27.512150,4.732044681e-08
-21.218601,-27.512150,-5.683712531e-08
-20.352536,-27.512150,3.375023188e-08
-19.486471,-27.512150,2.259790352e-08
-18.620405,-27.512150,6.926771100e-08
-17.754340,-27.512150,-5.736837773e-08
-16.888275,-27.512150,-8.017986401e-09
-16.022209,-27.512150,1.540512285e-07
-15.156144,-27.512150,-1.200172440e-07
-14.290079,-27.512150,-9.629062563e-08
-13.424013,-27.512150,-1.312490711e-07
-12.557948,-27.512150,-1.978714936e-08
-11.691882,-27.512150,-2.052389363e-07
-10.825817,-27.512150,-2.641156830e-07
-9.959752,-27.512150,-2.187064843e-07
-9.093686,-27.512150,-2.946670895e-07
-8.227621,-27.512150,-1.271661294e-07
-7.361556,-27.512150,3.422877997e-08
-6.495490,-27.512150,-7.889299310e-08
-5.629425,-27.512150,-7.664648084e-08
-4.763360,-27.512150,-7.022520964e-08
-3.897294,-27.512150,-1.309456834e-07
-3.031229,-27.512150,-2.335870456e-07
-2.165163,-27.512150,-1.616388246e-07
-1.299098,-27.512150,4.965640588e-08
-0.433033,-27.512150,-1.666419314e-07
0.433033,-27.512150,1.603699163e-07
1.299098,-27.512150,-1.130122549e-07
2.165163,-27.512150,-3.495046654e-08
3.031229,-27.512150,-7.657995211e-08
3.897294,-27.512150,-1.088044161e-07
4.763360,-27.512150,-3.654904722e-08
5.629425,-27.512150,-1.529723278e-08
6.495490,-27.512150,-2.735924546e-08
7.361556,-27.512150,3.270700755e-08
8.227621,-27.512150,-4.322946532e-09
9.093686,-27.512150,1.018531274e-07
9.959752,-27.512150,-8.107470564e-08
10.825817,-27.512150,-1.421849747e-07
11.691882,-27.512150,-1.308216157e-07
12.557948,-27.512150,-8.462821271e-08
13.424013,-27.512150,3.295650547e-08
14.290079,-27.512150,-7.318308428e-08
15.156144,-27.512150,-1.341343798e-07
16.022209,-27.512150,-8.074891878e-08
16.888275,-27.512150,-2.196915300e-07
17.754340,-27.512150,-1.402559483e-07
18.620405,-27.512150,-1.621384411e-07
19.486471,-27.512150,-1.911623354e-07
20.352536,-27.512150,-1.999524245e-08
21.218601,-27.512150,-1.535141451e-07
22.084667,-27.512150,-1.235653123e-07
22.950732,-27.512150,-1.630767742e-07
23.816798,-27.512150,-1.322683778e-08
24.682863,-27.512150,-1.459178950e-07
25.548928,-27.512150,1.721880794e-07
26.414994,-27.512150,-1.341575021e-07
27.281059,-27.512150,5.394605080e-08
-27.281059,-26.610113,8.758702084e-08
-26.414994,-26.610113,1.203552428e-07
-25.548928,-26.610113,4.586651468e-08
-24.682863,-26.610113,-7.614293163e-08
-23.816798,-26.610113,2.355515651e-07
-22.950732,-26.610113,3.541040852e-08
-22.084667,-26.610113,-9.767026359e-08
-21.218601,-26.610113,1.374940216e-07
-20.352536,-26.610113,3.184514081e-09
-19.486471,-26.610113,-6.166393125e-08
-18.620405,-26.610113,7.049772831e-08
-17.754340,-26.610113,9.368372933e-09
-16.888275,-26.610113,5.520503150e-08
-16.022209,-26.610113,-2.048898805e-08
-15.156144,-26.610113,7.032124567e-08
-14.290079,-26.610113,-6.719394421e-09
-13.424013,-26.610113,-1.051273041e-07
-12.557948,-26.610113,-8.609107715e-08
-11.691882,-26.610113,1.392580075e-10
-10.825817,-26.610113,-1.229244934e-07
-9.959752,-26.610113,-2.031997294e-07
-9.093686,-26.610113,-1.274635677e-07
-8.227621,-26.610113,-8.967957654e-08
-7.361556,-26.610113,-9.692753042e-08
-6.495490,-26.610113,-2.701692477e-07
-5.629425,-26.610113,-2.386714961e-07
-4.763360,-26.610113,-1.415259999e-07
-3.897294,-26.610113,-1.522327240e-08
-3.031229,-26.610113,-5.790175103e-08
-2.165163,-26.610113,9.251974231e-08
-1.299098,-26.610113,1.131147166e-07
-0.433033,-26.610113,5.212534736e-08
0.433033,-26.610113,4.337904952e-09
1.299098,-26.610113,-1.834963879e-08
2.165163,-26.610113,-8.090833467e-08
3.031229,-26.610113,2.875561836e-08
3.897294,-26.610113,-9.978699558e-08
4.763360,-26.610113,9.676909364e-08
5.629425,-26.610113,-1.593273205e-07
6.495490,-26.610113,1.185061287e-07
7.361556,-26.610113,-2.594974893e-08
8.227621,-26.610113,-8.823653378e-08
9.093686,-26.610113,-1.341802690e-08
9.959752,-26.610113,-2.490219879e-08
10.825817,-26.610113,-4.407007748e-08
11.691882,-26.610113,-1.876690410e-07
12.557948,-26.610113,-3.486981875e-07
13.424013,-26.610113,1.508929354e-08
14.290079,-26.610113,-8.417708649e-08
15.156144,-26.610113,-2.042608922e-08
16.022209,-26.610113,-3.325849862e-07
16.888275,-26.610113,-1.326938569e-07
17.754340,-26.610113,-1.900834545e-07
18.620405,-26.610113,-7.698867240e-08
19.486471,-26.610113,1.558131172e-08
20.352536,-26.610113,-1.886835319e-07
21.218601,-26.610113,-1.545306081e-08
22.084667,-26.610113,-2.518931496e-09
22.950732,-26.610113,-2.504181634e-07
23.816798,-26.610113,-4.688399935e-08
24.682863,-26.610113,-3.213916788e-08
25.548928,-26.610113,-5.758917905e-08
26.414994,-26.610113,2.243756837e-08
27.281059,-26.610113,9.657188931e-08
-27.281059,-25.708075,9.749849466e-08
-26.414994,-25.708075,1.405389044e-07
-25.548928,-25.708075,1.097662117e-07
-24.682863,-25.708075,5.753509159e-09
-23.816798,-25.708075,-4.910911255e-08
-22.950732,-25.708075,-1.107388144e-07
-22.084667,-25.708075,-1.828949942e-07
-21.218601,-25.708075,-5.368722666e-08
-20.352536,-25.708075,3.717384762e-08
-19.486471,-25.708075,-6.970280814e-09
-18.620405,-25.708075,-2.234412438e-11
-17.754340,-25.708075,8.652451356e-08
-16.888275,-25.708075,8.892782975e-08
-16.022209,-25.708075,-3.569229005e-08
-15.156144,-25.708075,-3.716892251e-08
-14.290079,-25.708075,-1.894398394e-07
-13.424013,-25.708075,4.932117718e-08
-12.557948,-25.708075,-9.502634484e-08
-11.691882,-25.708075,-3.554999440e-07
-10.825817,-25.708075,-1.093570874e-07
-9.959752,-25.708075,-1.417421327e-07
-9.093686,-25.708075,-5.869416141e-08
-8.227621,-25.708075,-1.355433901e-07
-7.361556,-25.708075,-8.918155741e-08
-6.495490,-25.708075,-1.879547224e-07
-5.629425,-25.708075,-4.070077126e-08
-4.763360,-25.708075,-2.240830991e-07
-3.897294,-25.708075,-1.132161962e-07
-3.031229,-25.708075,-6.245180761e-08
-2.165163,-25.708075,-9.781325578e-08
-1.299098,-25.708075,3.730789888e-08
-0.433033,-25.708075,3.651698589e-09
0.433033,-25.708075,2.590350137e-09
