x_norm,y_norm,sigma_MPa
0.088053,0.471553,5.911405
0.087020,0.208141,-5.299889
0.505815,0.913623,6.108189
0.282669,0.905215,-10.640721
0.060149,0.306110,20.836931
0.530314,0.728265,10.268004
0.784376,0.594418,-4.983099
0.502394,0.686279,5.786103
0.288188,0.669519,-2.109237
0.463689,0.341134,10.711481
0.772206,0.582496,-7.519199
0.136483,0.467205,-5.077957
0.039875,0.667147,-0.113202
0.253808,0.583261,7.118385
0.181528,0.615102,1.144607
0.287503,0.561183,6.081754
0.817757,0.227671,-5.951888
0.305940,0.812639,-4.299486
0.036405,0.855835,3.873499
0.985317,0.568480,2.744514
0.197832,0.832888,4.568893
0.592829,0.246441,2.722042
0.805770,0.681926,-0.897011
0.508589,0.839280,6.873772
0.478599,0.178518,16.842157
0.745651,0.027416,-4.541309
0.003475,0.967790,5.833880
0.991906,0.077813,-22.947623
0.370336,0.618880,-1.403963
0.409530,0.985867,5.459985
0.380608,0.658655,2.561457
0.971736,0.267174,-10.973222
0.237443,0.115116,0.842087
0.445479,0.743887,1.350139
0.820499,0.419884,-0.527564
0.374058,0.770495,-16.807311
0.912148,0.408712,10.895508
0.026858,0.308682,-12.387815
0.716706,0.795983,-1.323423
0.125496,0.617391,12.169931
0.754020,0.919393,-4.134801
0.986163,0.444442,6.753036
0.799287,0.418530,4.606914
0.608692,0.009566,-3.994011
0.430235,0.105343,-4.966293
0.037732,0.021282,12.203559
0.083360,0.393332,1.376616
0.218704,0.605705,6.136587
0.862493,0.776032,13.063422
0.258702,0.077642,-7.184001
0.587971,0.796752,8.078184
0.166718,0.308781,-3.145737
0.718128,0.305171,-8.011930
0.847933,0.751804,7.555889
0.044825,0.471178,-1.177588
0.271444,0.749959,4.211998
0.208386,0.684724,-1.235774
0.171153,0.384741,0.885324
0.313148,0.877730,-6.948471
0.489450,0.023395,-16.371014
0.143283,0.903186,-10.314150
0.045225,0.848534,6.444104
0.978110,0.783711,-16.281705
0.122237,0.825534,12.472351
0.257903,0.341587,-4.225762
0.488433,0.817109,12.735901
0.399756,0.201882,9.089098
0.337914,0.986704,0.568226
0.073418,0.105057,6.170523
0.846649,0.350463,19.638968
0.282882,0.921191,-2.702528
0.520325,0.464427,1.962366
0.482257,0.193807,9.080083
0.416094,0.743476,0.468515
0.226500,0.370941,-1.191912
0.209166,0.734460,5.056932
0.792738,0.343461,3.475841
0.118706,0.341406,-3.966762
0.096446,0.828059,0.265057
0.256651,0.978876,-4.706927
0.584907,0.293955,-5.743431
0.674828,0.948028,-2.620644
0.355973,0.138331,6.042184
0.117241,0.594409,1.682999
0.021994,0.976785,24.673430
0.043556,0.434553,-5.571326
0.667233,0.203499,8.066202
0.894661,0.571034,-4.461041
0.787486,0.502820,-10.122410
0.712667,0.104056,-7.122227
0.780075,0.216669,4.440703
0.655263,0.441816,5.414656
0.833382,0.588586,3.411535
0.016435,0.517786,-14.439266
0.691789,0.131954,6.084050
0.851251,0.479655,1.992019
0.354627,0.602287,11.381896
0.838434,0.461359,11.107298
0.728589,0.236735,-4.629110
0.206956,0.453235,5.410454
