Specimen_ID,Mix_ID,Test_Temperature_C,Test_Type,InSitu_Compressive_Strength_MPa,InSitu_Modulus_of_Elasticity_MPa,Peak_Strain,Poissons_Ratio
C-28-IS-23-1,C,23,In-Situ,71.7484284636955,32929.414828072484,0.00223,0.19540000000000002
C-28-IS-23-2,C,23,In-Situ,67.45707552885307,29228.30439658104,0.00223,0.19540000000000002
C-28-IS-200-1,C,200,In-Situ,74.76639991648497,33880.0460553492,0.004,0.16
C-28-IS-200-2,C,200,In-Situ,71.73049835384441,34722.46561981049,0.004,0.16
C-28-IS-400-1,C,400,In-Situ,40.67892913270335,23551.595937167356,0.006,0.12000000000000001
C-28-IS-400-2,C,400,In-Situ,35.75513638294086,21106.322009467585,0.006,0.12000000000000001
C-28-IS-600-1,C,600,In-Situ,28.203556449065626,7192.507619432466,0.008,0.1
C-28-IS-600-2,C,600,In-Situ,26.39065209945793,7189.553620710001,0.008,0.1
R10S-28-IS-23-1,R10S,23,In-Situ,48.86197145442228,26498.301096359075,0.0026759999999999996,0.19540000000000002
R10S-28-IS-23-2,R10S,23,In-Situ,45.85344887510485,26442.98179315699,0.0026759999999999996,0.19540000000000002
R10S-28-IS-200-1,R10S,200,In-Situ,45.67455647684777,25142.05761928435,0.0048,0.16
R10S-28-IS-200-2,R10S,200,In-Situ,50.100260573088946,24013.80691384941,0.0048,0.16
R10S-28-IS-400-1,R10S,400,In-Situ,28.35548283731725,18719.392150478096,0.0072,0.12000000000000001
R10S-28-IS-400-2,R10S,400,In-Situ,29.66429914451116,17203.08352520792,0.0072,0.12000000000000001
R10S-28-IS-600-1,R10S,600,In-Situ,18.94947006950654,6044.521303288372,0.0096,0.1
R10S-28-IS-600-2,R10S,600,In-Situ,20.61778663282459,5384.780373809257,0.0096,0.1
R20S-28-IS-23-1,R20S,23,In-Situ,34.466824435974615,19447.040085633307,0.0031219999999999998,0.19540000000000002
R20S-28-IS-23-2,R20S,23,In-Situ,36.7460327426064,22886.866864369433,0.0031219999999999998,0.19540000000000002
R20S-28-IS-200-1,R20S,200,In-Situ,31.557329350955943,21487.435756159717,0.0056,0.16
R20S-28-IS-200-2,R20S,200,In-Situ,29.782050690967694,19502.325266630563,0.0056,0.16
R20S-28-IS-400-1,R20S,400,In-Situ,18.335043054636593,14194.708440734476,0.0084,0.12000000000000001
R20S-28-IS-400-2,R20S,400,In-Situ,19.45738135176521,14116.57778190288,0.0084,0.12000000000000001
R20S-28-IS-600-1,R20S,600,In-Situ,13.583775134646732,4321.230590042848,0.0112,0.1
R20S-28-IS-600-2,R20S,600,In-Situ,13.733255235315257,4957.3944329018495,0.0112,0.1
