specimen_id,mixture,rubber_pct,temperature_C,replicate,ct_porosity,ct_crack_fraction,ct_void_plus_crack,ct_connected_porosity_frac,ct_itz_width_vox
HPRC-0_T20_R1,HPRC-0,0,20,1,0.007066514756944444,0.04038831922743055,0.047454833984375,0.2128463476070529,2
HPRC-0_T200_R1,HPRC-0,0,200,1,0.012482819733796295,0.029239230685763888,0.04172205041956018,0.2621288921071687,3
HPRC-0_T400_R1,HPRC-0,0,400,1,0.01589061595775463,0.05743747287326389,0.07332808883101852,0.335676625659051,4
HPRC-0_T600_R1,HPRC-0,0,600,1,0.028926142939814815,0.09458075629340278,0.12350689923321759,0.06710567576042646,4
HPRC-0_T800_R1,HPRC-0,0,800,1,0.044829191984953706,0.12199684425636574,0.16682603624131945,0.23273092369477913,5
HPRC-20_T20_R1,HPRC-20,20,20,1,0.008650037977430556,0.038973207826967594,0.047623245804398154,0.24578059071729957,2
HPRC-20_T200_R1,HPRC-20,20,200,1,0.012160689742476851,0.04343894675925926,0.05559963650173611,0.20694645441389292,3
HPRC-20_T400_R1,HPRC-20,20,400,1,0.033270941840277776,0.051424379701967594,0.08469532154224538,0.11269117252481889,4
HPRC-20_T600_R1,HPRC-20,20,600,1,0.04062228732638889,0.0873119212962963,0.12793420862268517,0.06414584740040513,4
HPRC-20_T800_R1,HPRC-20,20,800,1,0.07493873878761574,0.12687626591435186,0.20181500470196762,0.12932604735883424,5
