temperature_C,mass,dtg
25.00,0.999978,inf
26.00,0.999976,inf
27.00,0.999974,inf
28.00,0.999972,inf
29.00,0.999969,inf
30.00,0.999966,inf
31.00,0.999963,inf
32.00,0.999960,inf
33.00,0.999956,inf
34.00,0.999951,inf
35.00,0.999947,inf
36.00,0.999941,inf
37.00,0.999935,inf
38.00,0.999928,inf
39.00,0.999921,inf
40.00,0.999912,inf
41.00,0.999903,inf
42.00,0.999892,inf
43.00,0.999880,inf
44.00,0.999867,inf
45.00,0.999852,inf
46.00,0.999835,inf
47.00,0.999817,inf
48.00,0.999795,inf
49.00,0.999772,inf
50.00,0.999745,inf
51.00,0.999715,inf
52.00,0.999682,inf
53.00,0.999644,inf
54.00,0.999601,inf
55.00,0.999554,inf
56.00,0.999500,inf
57.00,0.999440,inf
58.00,0.999372,inf
59.00,0.999296,inf
60.00,0.999211,inf
61.00,0.999115,inf
62.00,0.999008,inf
63.00,0.998887,inf
64.00,0.998752,inf
65.00,0.998601,inf
66.00,0.998432,inf
67.00,0.998243,inf
68.00,0.998032,inf
69.00,0.997798,inf
70.00,0.997537,inf
71.00,0.997248,inf
72.00,0.996927,inf
73.00,0.996573,inf
74.00,0.996182,inf
75.00,0.995754,inf
76.00,0.995284,inf
77.00,0.994772,inf
78.00,0.994215,inf
79.00,0.993613,inf
80.00,0.992964,inf
81.00,0.992269,inf
82.00,0.991528,inf
83.00,0.990743,inf
84.00,0.989916,inf
85.00,0.989051,inf
86.00,0.988152,inf
87.00,0.987223,inf
88.00,0.986271,inf
89.00,0.985302,inf
90.00,0.984324,inf
91.00,0.983342,inf
92.00,0.982365,inf
93.00,0.981399,inf
94.00,0.980450,inf
95.00,0.979525,inf
96.00,0.978628,inf
97.00,0.977763,inf
98.00,0.976934,inf
99.00,0.976143,inf
100.00,0.975390,inf
101.00,0.974678,inf
102.00,0.974005,inf
103.00,0.973370,inf
104.00,0.972772,inf
105.00,0.972208,inf
106.00,0.971677,inf
107.00,0.971176,inf
108.00,0.970702,inf
109.00,0.970252,inf
110.00,0.969823,inf
111.00,0.969413,inf
112.00,0.969017,inf
113.00,0.968634,inf
114.00,0.968261,inf
115.00,0.967895,inf
116.00,0.967534,inf
117.00,0.967175,inf
118.00,0.966815,inf
119.00,0.966453,inf
120.00,0.966087,inf
121.00,0.965714,inf
122.00,0.965333,inf
123.00,0.964942,inf
124.00,0.964539,inf
125.00,0.964122,inf
126.00,0.963691,inf
127.00,0.963243,inf
128.00,0.962776,inf
129.00,0.962291,inf
130.00,0.961785,inf
131.00,0.961257,inf
132.00,0.960705,inf
133.00,0.960130,inf
134.00,0.959530,inf
135.00,0.958904,inf
136.00,0.958251,inf
137.00,0.957571,inf
138.00,0.956862,inf
139.00,0.956125,inf
140.00,0.955360,inf
141.00,0.954565,inf
142.00,0.953741,inf
143.00,0.952887,inf
144.00,0.952005,inf
145.00,0.951095,inf
146.00,0.950156,inf
147.00,0.949191,inf
148.00,0.948199,inf
149.00,0.947183,inf
150.00,0.946142,inf
151.00,0.945079,inf
152.00,0.943996,inf
153.00,0.942894,inf
154.00,0.941775,inf
155.00,0.940642,inf
156.00,0.939495,inf
157.00,0.938339,inf
158.00,0.937175,inf
159.00,0.936006,inf
160.00,0.934834,inf
161.00,0.933662,inf
162.00,0.932493,inf
163.00,0.931329,inf
164.00,0.930172,inf
165.00,0.929025,inf
166.00,0.927891,inf
167.00,0.926771,inf
168.00,0.925668,inf
169.00,0.924583,inf
170.00,0.923519,inf
171.00,0.922478,inf
172.00,0.921460,inf
173.00,0.920467,inf
174.00,0.919500,inf
175.00,0.918561,inf
176.00,0.917649,inf
177.00,0.916766,inf
178.00,0.915913,inf
179.00,0.915088,inf
180.00,0.914294,inf
181.00,0.913529,inf
182.00,0.912793,inf
183.00,0.912087,inf
184.00,0.911410,inf
185.00,0.910761,inf
186.00,0.910140,inf
187.00,0.909547,inf
188.00,0.908980,inf
189.00,0.908440,inf
190.00,0.907925,inf
191.00,0.907434,inf
192.00,0.906967,inf
193.00,0.906522,inf
194.00,0.906100,inf
195.00,0.905698,inf
196.00,0.905317,inf
197.00,0.904955,inf
198.00,0.904611,inf
199.00,0.904285,inf
200.00,0.903976,inf
201.00,0.903682,inf
202.00,0.903404,inf
203.00,0.903139,inf
204.00,0.902889,inf
205.00,0.902650,inf
206.00,0.902424,inf
207.00,0.902210,inf
208.00,0.902006,inf
209.00,0.901812,inf
210.00,0.901627,inf
211.00,0.901452,inf
212.00,0.901284,inf
213.00,0.901124,inf
214.00,0.900972,inf
215.00,0.900826,inf
216.00,0.900686,inf
217.00,0.900552,inf
218.00,0.900424,inf
219.00,0.900300,inf
220.00,0.900181,inf
221.00,0.900066,inf
222.00,0.899954,inf
223.00,0.899847,inf
224.00,0.899742,inf
225.00,0.899640,inf
226.00,0.899541,inf
227.00,0.899444,inf
228.00,0.899349,inf
229.00,0.899255,inf
230.00,0.899163,inf
231.00,0.899072,inf
232.00,0.898983,inf
233.00,0.898894,inf
234.00,0.898805,inf
235.00,0.898717,inf
236.00,0.898629,inf
237.00,0.898541,inf
238.00,0.898453,inf
239.00,0.898365,inf
240.00,0.898276,inf
241.00,0.898186,inf
242.00,0.898095,inf
243.00,0.898003,inf
244.00,0.897910,inf
245.00,0.897816,inf
246.00,0.897720,inf
247.00,0.897622,inf
248.00,0.897523,inf
249.00,0.897422,inf
250.00,0.897318,inf
251.00,0.897213,inf
252.00,0.897105,inf
253.00,0.896994,inf
254.00,0.896881,inf
255.00,0.896766,inf
256.00,0.896647,inf
257.00,0.896525,inf
258.00,0.896400,inf
259.00,0.896272,inf
260.00,0.896141,inf
261.00,0.896006,inf
262.00,0.895867,inf
263.00,0.895724,inf
264.00,0.895578,inf
265.00,0.895427,inf
266.00,0.895273,inf
267.00,0.895114,inf
268.00,0.894951,inf
269.00,0.894783,inf
270.00,0.894611,inf
271.00,0.894433,inf
272.00,0.894252,inf
273.00,0.894065,inf
274.00,0.893873,inf
275.00,0.893675,inf
276.00,0.893473,inf
277.00,0.893265,inf
278.00,0.893052,inf
279.00,0.892833,inf
280.00,0.892609,inf
281.00,0.892378,inf
282.00,0.892142,inf
283.00,0.891900,inf
284.00,0.891652,inf
285.00,0.891399,inf
286.00,0.891139,inf
287.00,0.890872,inf
288.00,0.890600,inf
289.00,0.890322,inf
290.00,0.890037,inf
291.00,0.889746,inf
292.00,0.889449,inf
293.00,0.889145,inf
294.00,0.888835,inf
295.00,0.888519,inf
296.00,0.888197,inf
297.00,0.887868,inf
298.00,0.887533,inf
299.00,0.887192,inf
300.00,0.886845,inf
301.00,0.886492,inf
302.00,0.886133,inf
303.00,0.885768,inf
304.00,0.885398,inf
305.00,0.885022,inf
306.00,0.884640,inf
307.00,0.884253,inf
308.00,0.883860,inf
309.00,0.883462,inf
310.00,0.883059,inf
311.00,0.882652,inf
312.00,0.882239,inf
313.00,0.881822,inf
314.00,0.881401,inf
315.00,0.880975,inf
316.00,0.880545,inf
317.00,0.880112,inf
318.00,0.879674,inf
319.00,0.879233,inf
320.00,0.878789,inf
321.00,0.878341,inf
322.00,0.877891,inf
323.00,0.877437,inf
324.00,0.876981,inf
325.00,0.876523,inf
326.00,0.876062,inf
327.00,0.875599,inf
328.00,0.875134,inf
329.00,0.874667,inf
330.00,0.874199,inf
331.00,0.873729,inf
332.00,0.873257,inf
333.00,0.872785,inf
334.00,0.872311,inf
335.00,0.871836,inf
336.00,0.871360,inf
337.00,0.870883,inf
338.00,0.870406,inf
339.00,0.869928,inf
340.00,0.869449,inf
341.00,0.868970,inf
342.00,0.868490,inf
343.00,0.868009,inf
344.00,0.867528,inf
345.00,0.867047,inf
346.00,0.866565,inf
347.00,0.866083,inf
348.00,0.865600,inf
349.00,0.865117,inf
350.00,0.864633,inf
351.00,0.864149,inf
352.00,0.863664,inf
353.00,0.863178,inf
354.00,0.862692,inf
355.00,0.862204,inf
356.00,0.861716,inf
357.00,0.861227,inf
358.00,0.860737,inf
359.00,0.860246,inf
360.00,0.859754,inf
361.00,0.859260,inf
362.00,0.858765,inf
363.00,0.858268,inf
364.00,0.857770,inf
365.00,0.857270,inf
366.00,0.856768,inf
367.00,0.856264,inf
368.00,0.855758,inf
369.00,0.855250,inf
370.00,0.854740,inf
371.00,0.854227,inf
372.00,0.853711,inf
373.00,0.853193,inf
374.00,0.852672,inf
375.00,0.852148,inf
376.00,0.851621,inf
377.00,0.851091,inf
378.00,0.850557,inf
379.00,0.850021,inf
380.00,0.849480,inf
381.00,0.848936,inf
382.00,0.848389,inf
383.00,0.847837,inf
384.00,0.847282,inf
385.00,0.846722,inf
386.00,0.846159,inf
387.00,0.845591,inf
388.00,0.845019,inf
389.00,0.844443,inf
390.00,0.843862,inf
391.00,0.843277,inf
392.00,0.842687,inf
393.00,0.842093,inf
394.00,0.841493,inf
395.00,0.840889,inf
396.00,0.840280,inf
397.00,0.839667,inf
398.00,0.839048,inf
399.00,0.838424,inf
400.00,0.837795,inf
401.00,0.837161,inf
402.00,0.836522,inf
403.00,0.835878,inf
404.00,0.835229,inf
405.00,0.834574,inf
406.00,0.833915,inf
407.00,0.833250,inf
408.00,0.832580,inf
409.00,0.831904,inf
410.00,0.831224,inf
411.00,0.830538,inf
412.00,0.829847,inf
413.00,0.829150,inf
414.00,0.828449,inf
415.00,0.827742,inf
416.00,0.827031,inf
417.00,0.826314,inf
418.00,0.825592,inf
419.00,0.824866,inf
420.00,0.824134,inf
421.00,0.823398,inf
422.00,0.822657,inf
423.00,0.821911,inf
424.00,0.821160,inf
425.00,0.820405,inf
426.00,0.819646,inf
427.00,0.818883,inf
428.00,0.818115,inf
429.00,0.817343,inf
430.00,0.816568,inf
431.00,0.815788,inf
432.00,0.815005,inf
433.00,0.814219,inf
434.00,0.813430,inf
435.00,0.812637,inf
436.00,0.811842,inf
437.00,0.811044,inf
438.00,0.810243,inf
439.00,0.809441,inf
440.00,0.808636,inf
441.00,0.807830,inf
442.00,0.807022,inf
443.00,0.806214,inf
444.00,0.805404,inf
445.00,0.804594,inf
446.00,0.803783,inf
447.00,0.802973,inf
448.00,0.802162,inf
449.00,0.801353,inf
450.00,0.800544,inf
451.00,0.799736,inf
452.00,0.798931,inf
453.00,0.798127,inf
454.00,0.797325,inf
455.00,0.796526,inf
456.00,0.795730,inf
457.00,0.794937,inf
458.00,0.794148,inf
459.00,0.793363,inf
460.00,0.792583,inf
461.00,0.791807,inf
462.00,0.791036,inf
463.00,0.790270,inf
464.00,0.789511,inf
465.00,0.788757,inf
466.00,0.788009,inf
467.00,0.787269,inf
468.00,0.786535,inf
469.00,0.785808,inf
470.00,0.785089,inf
471.00,0.784378,inf
472.00,0.783675,inf
473.00,0.782980,inf
474.00,0.782293,inf
475.00,0.781616,inf
476.00,0.780947,inf
477.00,0.780287,inf
478.00,0.779637,inf
479.00,0.778996,inf
480.00,0.778365,inf
481.00,0.777743,inf
482.00,0.777132,inf
483.00,0.776530,inf
484.00,0.775938,inf
485.00,0.775357,inf
486.00,0.774785,inf
487.00,0.774224,inf
488.00,0.773673,inf
489.00,0.773133,inf
490.00,0.772602,inf
491.00,0.772082,inf
492.00,0.771573,inf
493.00,0.771073,inf
494.00,0.770584,inf
495.00,0.770104,inf
496.00,0.769635,inf
497.00,0.769176,inf
498.00,0.768727,inf
499.00,0.768288,inf
500.00,0.767858,inf
501.00,0.767438,inf
502.00,0.767028,inf
503.00,0.766627,inf
504.00,0.766235,inf
505.00,0.765853,inf
506.00,0.765480,inf
507.00,0.765115,inf
508.00,0.764760,inf
509.00,0.764412,inf
510.00,0.764074,inf
511.00,0.763744,inf
512.00,0.763422,inf
513.00,0.763108,inf
514.00,0.762802,inf
515.00,0.762504,inf
516.00,0.762213,inf
517.00,0.761930,inf
518.00,0.761654,inf
519.00,0.761385,inf
520.00,0.761123,inf
521.00,0.760868,inf
522.00,0.760619,inf
523.00,0.760378,inf
524.00,0.760142,inf
525.00,0.759913,inf
526.00,0.759690,inf
527.00,0.759472,inf
528.00,0.759261,inf
529.00,0.759055,inf
530.00,0.758855,inf
531.00,0.758660,inf
