two_theta_deg,intensity
5.0000,56.86
5.0200,53.02
5.0400,55.79
5.0600,44.67
5.0800,59.25
5.1000,49.57
5.1200,63.33
5.1400,39.41
5.1600,53.66
5.1800,51.33
5.2000,49.66
5.2200,50.68
5.2400,44.17
5.2600,46.58
5.2800,47.56
5.3000,49.72
5.3200,60.72
5.3400,58.83
5.3600,44.61
5.3800,47.91
5.4000,54.42
5.4200,45.16
5.4400,51.48
5.4600,48.88
5.4800,57.47
5.5000,52.40
5.5200,61.34
5.5400,45.40
5.5600,48.31
5.5800,45.80
5.6000,46.20
5.6200,55.60
5.6400,51.61
5.6600,46.21
5.6800,49.96
5.7000,50.96
5.7200,51.76
5.7400,50.34
5.7600,58.90
5.7800,47.94
5.8000,49.11
5.8200,55.30
5.8400,42.92
5.8600,46.27
5.8800,45.26
5.9000,46.02
5.9200,51.96
5.9400,42.18
5.9600,48.70
5.9800,47.57
6.0000,42.16
6.0200,50.64
6.0400,50.01
6.0600,46.14
6.0800,48.07
6.1000,45.18
6.1200,44.76
6.1400,57.00
6.1600,52.18
6.1800,45.92
6.2000,53.53
6.2200,43.35
6.2400,42.49
6.2600,47.45
6.2800,49.18
6.3000,55.96
6.3200,54.74
6.3400,49.00
6.3600,49.63
6.3800,56.14
6.4000,51.35
6.4200,45.66
6.4400,51.01
6.4600,49.30
6.4800,51.23
6.5000,55.76
6.5200,54.17
6.5400,60.95
6.5600,54.82
6.5800,52.22
6.6000,50.93
6.6200,49.23
6.6400,49.24
6.6600,42.86
6.6800,52.89
6.7000,53.40
6.7200,41.66
6.7400,48.47
6.7600,63.57
6.7800,47.74
6.8000,46.09
6.8200,52.35
6.8400,51.28
6.8600,54.36
6.8800,54.75
6.9000,47.19
6.9200,45.69
6.9400,49.65
6.9600,53.74
6.9800,46.55
7.0000,41.99
7.0200,42.37
7.0400,49.65
7.0600,48.60
7.0800,48.28
7.1000,59.81
7.1200,42.50
7.1400,55.37
7.1600,44.09
7.1800,46.37
7.2000,58.45
7.2200,51.56
7.2400,55.48
7.2600,49.63
7.2800,51.56
7.3000,52.76
7.3200,46.62
7.3400,56.41
7.3600,52.10
7.3800,51.27
7.4000,47.57
7.4200,55.14
7.4400,48.82
7.4600,50.84
7.4800,50.19
7.5000,53.85
7.5200,45.44
7.5400,55.00
7.5600,52.05
7.5800,54.57
7.6000,45.95
7.6200,53.89
7.6400,43.21
7.6600,54.69
7.6800,46.40
7.7000,46.57
7.7200,52.46
7.7400,47.10
7.7600,56.03
7.7800,46.46
7.8000,48.90
7.8200,54.78
7.8400,53.61
7.8600,47.06
7.8800,51.56
7.9000,53.75
7.9200,46.66
7.9400,52.12
7.9600,50.47
7.9800,51.02
8.0000,54.29
8.0200,49.65
8.0400,54.98
8.0600,43.09
8.0800,54.75
8.1000,51.69
8.1200,46.43
8.1400,51.77
8.1600,61.28
8.1800,50.98
8.2000,49.84
8.2200,50.95
8.2400,51.90
8.2600,46.43
8.2800,51.80
8.3000,42.18
8.3200,50.24
8.3400,52.59
8.3600,45.61
8.3800,58.65
8.4000,46.97
8.4200,49.19
8.4400,46.00
8.4600,49.86
8.4800,57.69
8.5000,57.49
8.5200,56.20
8.5400,49.81
8.5600,54.40
8.5800,52.71
8.6000,51.13
8.6200,53.65
8.6400,45.06
8.6600,49.98
8.6800,56.00
8.7000,55.44
8.7200,58.92
8.7400,45.08
8.7600,51.45
8.7800,53.91
8.8000,52.40
8.8200,50.71
8.8400,46.57
8.8600,46.72
8.8800,48.17
8.9000,53.09
8.9200,52.22
8.9400,52.10
8.9600,59.19
8.9800,50.20
9.0000,50.09
9.0200,53.90
9.0400,47.85
9.0600,50.30
9.0800,54.97
9.1000,48.78
9.1200,52.61
9.1400,54.60
9.1600,52.22
9.1800,44.09
9.2000,54.64
9.2200,50.61
9.2400,44.05
9.2600,49.78
9.2800,51.44
9.3000,47.32
9.3200,57.53
9.3400,53.73
9.3600,47.77
9.3800,43.50
9.4000,57.44
9.4200,52.86
9.4400,50.51
9.4600,53.52
9.4800,45.93
9.5000,50.55
9.5200,43.90
9.5400,44.86
9.5600,56.06
9.5800,47.90
9.6000,55.20
9.6200,55.35
9.6400,53.89
9.6600,50.69
9.6800,59.83
9.7000,57.86
9.7200,52.02
9.7400,51.63
9.7600,44.98
9.7800,57.58
9.8000,54.31
9.8200,47.14
9.8400,53.08
9.8600,58.53
9.8800,52.85
9.9000,47.39
9.9200,54.98
9.9400,52.51
9.9600,52.25
9.9800,42.60
10.0000,44.54
10.0200,55.86
10.0400,49.93
10.0600,49.33
10.0800,53.79
10.1000,48.44
10.1200,47.67
10.1400,48.72
10.1600,56.06
10.1800,46.60
10.2000,50.79
10.2200,39.99
10.2400,47.14
10.2600,56.62
10.2800,59.95
10.3000,46.28
10.3200,57.14
10.3400,49.97
10.3600,52.73
10.3800,41.85
10.4000,44.97
10.4200,46.90
10.4400,50.56
10.4600,58.24
10.4800,44.35
10.5000,48.60
10.5200,54.73
10.5400,44.49
10.5600,49.92
10.5800,49.02
10.6000,53.34
10.6200,56.79
10.6400,58.52
10.6600,51.07
10.6800,48.88
10.7000,50.39
10.7200,47.29
10.7400,42.08
10.7600,41.83
10.7800,43.51
10.8000,44.22
10.8200,56.43
10.8400,65.61
10.8600,55.85
10.8800,54.84
10.9000,61.90
10.9200,50.06
10.9400,44.70
10.9600,57.31
10.9800,53.60
11.0000,56.54
11.0200,47.52
11.0400,49.26
11.0600,56.29
11.0800,54.75
11.1000,58.17
11.1200,42.87
11.1400,47.29
11.1600,48.37
11.1800,53.60
11.2000,54.54
11.2200,45.51
11.2400,49.92
11.2600,46.80
11.2800,57.12
11.3000,59.69
11.3200,51.57
11.3400,58.09
11.3600,50.83
11.3800,56.93
11.4000,43.31
11.4200,54.49
11.4400,44.14
11.4600,57.55
11.4800,55.24
11.5000,63.94
11.5200,54.24
11.5400,55.71
11.5600,45.50
11.5800,54.43
11.6000,57.31
11.6200,47.20
11.6400,51.06
11.6600,52.33
11.6800,58.88
11.7000,46.46
11.7200,54.89
11.7400,52.11
11.7600,45.45
11.7800,53.79
11.8000,47.88
11.8200,54.97
11.8400,51.29
11.8600,53.62
11.8800,54.10
11.9000,59.12
11.9200,59.59
11.9400,41.65
11.9600,62.10
11.9800,50.26
12.0000,50.61
12.0200,51.14
12.0400,45.56
12.0600,44.35
12.0800,55.60
12.1000,54.50
12.1200,59.39
12.1400,50.58
12.1600,48.04
12.1800,53.44
12.2000,51.37
12.2200,56.75
12.2400,44.32
12.2600,52.62
12.2800,65.74
12.3000,52.50
12.3200,53.67
12.3400,46.76
12.3600,53.89
12.3800,53.45
12.4000,56.29
12.4200,59.73
12.4400,55.28
12.4600,41.41
12.4800,50.09
12.5000,55.11
12.5200,49.93
12.5400,46.82
12.5600,59.71
12.5800,58.53
12.6000,49.99
12.6200,51.17
12.6400,56.48
12.6600,55.26
12.6800,50.10
12.7000,58.89
12.7200,56.11
12.7400,56.42
12.7600,54.72
12.7800,59.96
12.8000,56.85
12.8200,52.05
12.8400,50.25
12.8600,63.54
12.8800,61.76
12.9000,58.81
12.9200,63.21
12.9400,57.66
12.9600,53.55
12.9800,54.79
13.0000,54.28
13.0200,60.28
13.0400,53.01
13.0600,58.97
13.0800,59.22
13.1000,59.80
13.1200,62.96
13.1400,61.20
13.1600,56.95
13.1800,58.52
13.2000,52.66
13.2200,54.10
13.2400,51.22
13.2600,50.25
13.2800,54.57
13.3000,53.00
13.3200,56.63
13.3400,55.92
13.3600,65.16
13.3800,63.97
13.4000,60.66
13.4200,55.00
13.4400,59.68
13.4600,48.08
13.4800,55.54
13.5000,56.36
13.5200,60.41
13.5400,53.34
13.5600,59.39
13.5800,57.91
13.6000,64.55
13.6200,55.36
13.6400,59.87
13.6600,60.56
13.6800,57.30
13.7000,61.65
13.7200,51.85
13.7400,58.98
13.7600,62.30
13.7800,69.31
13.8000,58.17
13.8200,53.15
13.8400,56.12
13.8600,57.53
13.8800,64.26
13.9000,67.49
13.9200,68.31
13.9400,67.11
13.9600,63.87
13.9800,52.59
14.0000,61.70
14.0200,66.66
14.0400,58.71
14.0600,63.06
14.0800,68.32
14.1000,62.25
14.1200,58.39
14.1400,54.53
14.1600,60.26
14.1800,67.01
14.2000,58.42
14.2200,61.20
14.2400,52.91
14.2600,63.28
14.2800,71.91
14.3000,58.66
14.3200,49.68
14.3400,63.99
14.3600,59.70
14.3800,64.99
14.4000,69.08
14.4200,72.74
14.4400,57.39
14.4600,66.41
14.4800,60.00
14.5000,59.09
14.5200,62.27
14.5400,56.33
14.5600,62.51
14.5800,62.32
14.6000,67.97
14.6200,64.19
14.6400,62.95
14.6600,62.62
14.6800,68.73
14.7000,58.42
14.7200,61.90
14.7400,58.30
14.7600,63.76
14.7800,65.67
14.8000,61.75
14.8200,73.90
14.8400,64.45
14.8600,65.64
14.8800,79.82
14.9000,62.62
14.9200,68.33
14.9400,64.94
14.9600,70.22
14.9800,66.07
15.0000,69.18
15.0200,61.79
15.0400,75.87
15.0600,76.58
15.0800,60.20
15.1000,78.04
15.1200,62.13
15.1400,69.76
15.1600,71.23
15.1800,57.92
15.2000,73.79
15.2200,69.95
15.2400,72.29
15.2600,72.46
15.2800,70.35
