Specimen_ID,Interface,Gc_Jm2,Beam_Width_um,Beam_Length_um,Notch_Depth_um,Peak_Load_mN,Test_Temperature_C,Test_Method,Valid_Test
MC-001,YSZ_GDC,3.5259,3.11,15.18,1.54,0.0325,25,FIB-notched cantilever,False
MC-002,GDC_LSCF,3.7608,2.92,14.74,1.42,0.0418,25,FIB-notched cantilever,True
MC-003,GDC_LSCF,3.0713,2.98,14.58,1.42,0.0417,25,FIB-notched cantilever,True
MC-004,YSZ_GDC,4.2525,3.11,14.67,1.52,0.0191,25,FIB-notched cantilever,True
MC-005,YSZ_GDC,3.8875,3.17,15.11,1.57,0.0157,25,FIB-notched cantilever,True
MC-006,GDC_LSCF,2.5964,3.13,14.27,1.47,0.01,25,FIB-notched cantilever,True
MC-007,YSZ_GDC,3.3571,2.94,15.75,1.41,0.0583,25,FIB-notched cantilever,False
MC-008,GDC_LSCF,1.7502,2.93,15.08,1.56,0.0407,25,FIB-notched cantilever,True
MC-009,YSZ_GDC,4.2891,2.93,14.77,1.59,0.01,25,FIB-notched cantilever,False
MC-010,YSZ_GDC,3.0107,2.77,14.54,1.55,0.0155,25,FIB-notched cantilever,True
MC-011,GDC_LSCF,2.8134,2.91,15.08,1.56,0.01,25,FIB-notched cantilever,True
MC-012,GDC_LSCF,2.6849,2.87,14.82,1.46,0.01,25,FIB-notched cantilever,False
MC-013,GDC_LSCF,2.7012,2.91,15.01,1.55,0.0302,25,FIB-notched cantilever,True
MC-014,GDC_LSCF,2.7993,2.98,14.79,1.49,0.01,25,FIB-notched cantilever,True
MC-015,GDC_LSCF,1.8347,2.74,14.5,1.54,0.01,25,FIB-notched cantilever,True
MC-016,GDC_LSCF,2.272,3.26,14.82,1.57,0.01,25,FIB-notched cantilever,False
MC-017,GDC_LSCF,2.3519,2.81,14.83,1.58,0.01,25,FIB-notched cantilever,True
MC-018,YSZ_GDC,4.0337,3.05,14.7,1.36,0.0159,25,FIB-notched cantilever,True
MC-019,GDC_LSCF,2.2043,3.05,15.01,1.66,0.01,25,FIB-notched cantilever,False
MC-020,YSZ_GDC,3.1434,3.04,15.11,1.64,0.0513,25,FIB-notched cantilever,False
MC-021,GDC_LSCF,2.6318,3.29,14.41,1.44,0.01,25,FIB-notched cantilever,False
MC-022,YSZ_GDC,3.5033,2.72,15.32,1.48,0.01,25,FIB-notched cantilever,False
MC-023,YSZ_GDC,3.1476,3.06,15.42,1.7,0.1553,25,FIB-notched cantilever,True
MC-024,GDC_LSCF,2.6623,2.8,13.93,1.53,0.01,25,FIB-notched cantilever,False
MC-025,GDC_LSCF,2.2552,2.88,14.93,1.61,0.0143,25,FIB-notched cantilever,True
MC-026,GDC_LSCF,2.374,2.79,14.16,1.45,0.01,25,FIB-notched cantilever,False
MC-027,YSZ_GDC,5.0672,3.03,15.49,1.45,0.01,25,FIB-notched cantilever,True
MC-028,GDC_LSCF,2.0203,2.85,16.06,1.42,0.0477,25,FIB-notched cantilever,True
MC-029,GDC_LSCF,2.0456,3.19,15.19,1.48,0.01,25,FIB-notched cantilever,True
MC-030,YSZ_GDC,3.348,3.09,14.77,1.38,0.01,25,FIB-notched cantilever,True
MC-031,YSZ_GDC,3.857,3.32,15.08,1.49,0.0271,25,FIB-notched cantilever,True
MC-032,YSZ_GDC,4.6822,3.04,14.79,1.61,0.0357,25,FIB-notched cantilever,True
MC-033,YSZ_GDC,4.8699,3.04,14.39,1.36,0.0973,25,FIB-notched cantilever,True
MC-034,GDC_LSCF,3.4592,2.96,14.81,1.65,0.01,25,FIB-notched cantilever,True
MC-035,GDC_LSCF,2.049,3.13,14.8,1.5,0.01,25,FIB-notched cantilever,False
MC-036,YSZ_GDC,3.9674,3.28,15.05,1.56,0.01,25,FIB-notched cantilever,True
MC-037,GDC_LSCF,2.4267,2.83,14.39,1.41,0.01,25,FIB-notched cantilever,True
MC-038,GDC_LSCF,2.9431,2.73,15.02,1.45,0.01,25,FIB-notched cantilever,True
MC-039,YSZ_GDC,4.4455,3.11,15.67,1.48,0.01,25,FIB-notched cantilever,False
MC-040,GDC_LSCF,2.3432,3.05,15.09,1.39,0.0117,25,FIB-notched cantilever,False
MC-041,YSZ_GDC,3.8939,3.5,15.94,1.41,0.01,25,FIB-notched cantilever,False
MC-042,GDC_LSCF,1.8287,2.88,15.16,1.62,0.01,25,FIB-notched cantilever,True
MC-043,GDC_LSCF,2.15,2.57,14.92,1.39,0.01,25,FIB-notched cantilever,True
MC-044,YSZ_GDC,3.2232,2.98,14.12,1.35,0.1161,25,FIB-notched cantilever,True
MC-045,YSZ_GDC,3.0046,2.78,15.92,1.79,0.01,25,FIB-notched cantilever,True
MC-046,GDC_LSCF,2.2765,3.07,15.86,1.4,0.01,25,FIB-notched cantilever,True
MC-047,YSZ_GDC,4.2774,3.09,14.81,1.49,0.01,25,FIB-notched cantilever,True
MC-048,GDC_LSCF,2.3365,2.95,15.12,1.44,0.0305,25,FIB-notched cantilever,True
MC-049,GDC_LSCF,3.0007,3.03,15.18,1.51,0.01,25,FIB-notched cantilever,True
MC-050,GDC_LSCF,2.1212,3.06,14.95,1.71,0.0852,25,FIB-notched cantilever,True
