Material,Temperature_C,Applied_Stress_MPa,Time_hours,Creep_Strain,Creep_Rate_per_hour,Compliance_1_per_GPa
YSZ_electrolyte,600,50,0.1,4.1823800566310456e-29,0.0,8.36476011326209e-28
YSZ_electrolyte,600,50,0.12067926406393285,4.050308570291829e-29,5.1592671156452334e-30,8.100617140583656e-28
YSZ_electrolyte,600,50,0.14563484775012436,5.214233479760092e-29,5.593579259440101e-30,1.0428466959520184e-27
YSZ_electrolyte,600,50,0.1757510624854792,5.169024422179849e-29,6.376104663171565e-30,1.0338048844359698e-27
YSZ_electrolyte,600,50,0.21209508879201905,6.489454412394405e-29,6.447933387612096e-30,1.297890882478881e-27
YSZ_electrolyte,600,50,0.2559547922699536,6.458611099702268e-29,3.2323808225105e-30,1.2917222199404538e-27
YSZ_electrolyte,600,50,0.3088843596477481,7.135930576896505e-29,1.3982437398197694e-29,1.427186115379301e-27
YSZ_electrolyte,600,50,0.372759372031494,9.255098579341807e-29,1.1015667196910702e-29,1.8510197158683615e-27
YSZ_electrolyte,600,50,0.44984326689694454,9.339064016278646e-29,-6.142833848578752e-30,1.867812803255729e-27
YSZ_electrolyte,600,50,0.5428675439323859,8.026531809626057e-29,6.383462707707783e-30,1.6053063619252114e-27
YSZ_electrolyte,600,50,0.6551285568595507,1.0615756557820202e-28,1.7889785165352797e-29,2.1231513115640407e-27
YSZ_electrolyte,600,50,0.7906043210907697,1.1604488842696616e-28,1.1009264371565373e-29,2.3208977685393233e-27
YSZ_electrolyte,600,50,0.9540954763499939,1.2817609432133277e-28,8.78832769375732e-30,2.5635218864266554e-27
YSZ_electrolyte,600,50,1.151395399326447,1.336215438144808e-28,2.1974354063618964e-29,2.672430876289616e-27
YSZ_electrolyte,600,50,1.3894954943731375,1.721248024485707e-28,3.010570913653727e-29,3.442496048971414e-27
YSZ_electrolyte,600,50,1.6768329368110073,1.9383296208755534e-28,1.4203133598339844e-29,3.8766592417511064e-27
YSZ_electrolyte,600,50,2.0235896477251565,2.0053106964525038e-28,-6.718620526073258e-31,4.0106213929050074e-27
YSZ_electrolyte,600,50,2.442053094548651,1.9248923798234069e-28,1.9660113889983209e-29,3.8497847596468136e-27
YSZ_electrolyte,600,50,2.9470517025518097,2.398512974252168e-28,7.337127138005404e-30,4.797025948504336e-27
YSZ_electrolyte,600,50,3.5564803062231283,2.071634922583515e-28,8.581084572901059e-30,4.14326984516703e-27
YSZ_electrolyte,600,50,4.291934260128776,2.570134665710189e-28,4.464965176981398e-29,5.140269331420378e-27
YSZ_electrolyte,600,50,5.17947467923121,2.9646279579797946e-28,5.820611500634473e-29,5.9292559159595886e-27
YSZ_electrolyte,600,50,6.250551925273969,3.734256965837084e-28,5.213096213380531e-29,7.468513931674168e-27
YSZ_electrolyte,600,50,7.543120063354615,4.007247200655901e-28,1.0633546299139577e-30,8.014494401311801e-27
YSZ_electrolyte,600,50,9.102981779915218,3.755524058435363e-28,2.688624128838847e-29,7.511048116870726e-27
YSZ_electrolyte,600,50,10.985411419875584,4.54497202642367e-28,9.11741207535764e-30,9.089944052847341e-27
YSZ_electrolyte,600,50,13.257113655901081,3.9378722999425158e-28,2.040884683063144e-29,7.875744599885031e-27
YSZ_electrolyte,600,50,15.998587196060573,4.953148963036299e-28,5.536350270188661e-29,9.906297926072599e-27
YSZ_electrolyte,600,50,19.306977288832496,5.045142353980248e-28,4.648565618002469e-29,1.0090284707960496e-26
YSZ_electrolyte,600,50,23.29951810515372,5.882862086636793e-28,1.028756062437844e-28,1.1765724173273585e-26
YSZ_electrolyte,600,50,28.11768697974228,7.102654478855936e-28,7.730021680842482e-29,1.4205308957711872e-26
YSZ_electrolyte,600,50,33.93221771895326,7.428866422805289e-28,3.9754506323412473e-29,1.4857732845610578e-26
YSZ_electrolyte,600,50,40.94915062380423,7.8977446053241855e-28,1.0668981249677498e-28,1.5795489210648373e-26
YSZ_electrolyte,600,50,49.41713361323833,9.562662672740789e-28,7.931931909060613e-29,1.9125325345481577e-26
YSZ_electrolyte,600,50,59.63623316594643,9.484130987136308e-28,1.133611499223262e-28,1.8968261974272616e-26
YSZ_electrolyte,600,50,71.96856730011514,1.1829885671187313e-27,4.356592000477898e-29,2.3659771342374625e-26
YSZ_electrolyte,600,50,86.85113737513521,1.0355449387231888e-27,1.528479422614991e-28,2.0710898774463775e-26
YSZ_electrolyte,600,50,104.81131341546852,1.4886844516417295e-27,1.0960159944426297e-28,2.977368903283459e-26
YSZ_electrolyte,600,50,126.48552168552958,1.2547481376117147e-27,2.699584724110363e-29,2.5094962752234292e-26
YSZ_electrolyte,600,50,152.6417967175232,1.5426761461239367e-27,2.823577397768504e-28,3.0853522922478734e-26
YSZ_electrolyte,600,50,184.20699693267144,1.8194636171654155e-27,2.0222112396202693e-28,3.6389272343308313e-26
YSZ_electrolyte,600,50,222.29964825261933,1.9471183940479906e-27,1.7133797043583387e-28,3.894236788095981e-26
YSZ_electrolyte,600,50,268.26957952797244,2.1621395580370833e-27,2.476642677914071e-28,4.3242791160741665e-26
YSZ_electrolyte,600,50,323.74575428176433,2.4424469296308048e-27,2.125026050151527e-28,4.884893859261609e-26
YSZ_electrolyte,600,50,390.6939937054613,2.5871447680673886e-27,3.1995271354943095e-28,5.174289536134777e-26
YSZ_electrolyte,600,50,471.486636345739,3.0823523567296666e-27,3.5366252343665697e-28,6.164704713459334e-26
YSZ_electrolyte,600,50,568.9866029018293,3.2944698149407026e-27,1.8770474945999047e-28,6.588939629881405e-26
YSZ_electrolyte,600,50,686.6488450042998,3.4577618556496476e-27,-7.796249372975914e-29,6.915523711299295e-26
YSZ_electrolyte,600,50,828.6427728546843,3.1385448274811843e-27,1.8747715385204233e-28,6.27708965496237e-26
YSZ_electrolyte,600,50,1000.0,3.832716163353732e-27,6.941713358725479e-28,7.665432326707464e-26
YSZ_electrolyte,700,50,0.1,1.3597341693944887e-26,0.0,2.7194683387889774e-25
YSZ_electrolyte,700,50,0.12067926406393285,1.317412886890784e-26,1.87455754620195e-27,2.634825773781568e-25
YSZ_electrolyte,700,50,0.14563484775012436,1.7346456786348787e-26,6.805294016144466e-28,3.469291357269757e-25
YSZ_electrolyte,700,50,0.1757510624854792,1.4535187672136734e-26,6.051086930524742e-28,2.9070375344273464e-25
YSZ_electrolyte,700,50,0.21209508879201905,1.8556674172453735e-26,2.377948824343621e-27,3.711334834490747e-25
YSZ_electrolyte,700,50,0.2559547922699536,1.9291085320823975e-26,-5.128184021961994e-28,3.858217064164795e-25
YSZ_electrolyte,700,50,0.3088843596477481,1.7531037368061337e-26,2.395787947206732e-27,3.5062074736122674e-25
YSZ_electrolyte,700,50,0.372759372031494,2.408266121523744e-26,3.438698987189799e-27,4.816532243047488e-25
YSZ_electrolyte,700,50,0.44984326689694454,2.4408435342440934e-26,2.6089971050517325e-27,4.881687068488186e-25
YSZ_electrolyte,700,50,0.5428675439323859,2.9300655425340904e-26,4.808897935412595e-27,5.86013108506818e-25
YSZ_electrolyte,700,50,0.6551285568595507,3.4026231213266124e-26,3.939222248293186e-27,6.805246242653225e-25
YSZ_electrolyte,700,50,0.7906043210907697,3.7179099921927277e-26,2.1207858815393406e-27,7.435819984385455e-25
YSZ_electrolyte,700,50,0.9540954763499939,3.8267802976344806e-26,-7.467634766205246e-29,7.653560595268961e-25
YSZ_electrolyte,700,50,1.151395399326447,3.702974722660317e-26,2.4938426759209655e-27,7.405949445320634e-25
YSZ_electrolyte,700,50,1.3894954943731375,4.3255488328186737e-26,7.570115197203022e-27,8.651097665637347e-25
YSZ_electrolyte,700,50,1.6768329368110073,5.216997762100922e-26,2.6725735394554593e-27,1.0433995524201843e-24
YSZ_electrolyte,700,50,2.0235896477251565,4.8600635407097655e-26,8.031448402215321e-28,9.72012708141953e-25
YSZ_electrolyte,700,50,2.442053094548651,5.377626730145228e-26,1.2677986892460975e-26,1.0755253460290456e-24
YSZ_electrolyte,700,50,2.9470517025518097,7.39566091920196e-26,5.8519971003154175e-27,1.4791321838403921e-24
YSZ_electrolyte,700,50,3.5564803062231283,6.548026150208311e-26,6.319498214766583e-28,1.3096052300416623e-24
YSZ_electrolyte,700,50,4.291934260128776,7.522050883497292e-26,1.3256256814230712e-26,1.5044101766994585e-24
YSZ_electrolyte,700,50,5.17947467923121,9.199277513054454e-26,1.0090129558885608e-26,1.8398555026108907e-24
YSZ_electrolyte,700,50,6.250551925273969,9.540076795274414e-26,6.377337380928316e-27,1.9080153590548827e-24
YSZ_electrolyte,700,50,7.543120063354615,1.0474744989240117e-25,7.538389098953566e-27,2.0949489978480233e-24
YSZ_electrolyte,700,50,9.102981779915218,1.1047754615065127e-25,1.451641882175265e-26,2.2095509230130252e-24
YSZ_electrolyte,700,50,10.985411419875584,1.3378028753590647e-25,4.991604161865467e-27,2.6756057507181293e-24
YSZ_electrolyte,700,50,13.257113655901081,1.204607544743822e-25,1.3339560658006694e-26,2.409215089487644e-24
YSZ_electrolyte,700,50,15.998587196060573,1.6045940885191986e-25,1.8131893189078242e-26,3.2091881770383972e-24
YSZ_electrolyte,700,50,19.306977288832496,1.5672454085253869e-25,4.2424769222692604e-27,3.134490817050774e-24
YSZ_electrolyte,700,50,23.29951810515372,1.6894436269645838e-25,2.423401706338794e-26,3.378887253929167e-24
YSZ_electrolyte,700,50,28.11768697974228,2.0519257497931457e-25,4.040870481461508e-26,4.103851499586291e-24
YSZ_electrolyte,700,50,33.93221771895326,2.4976177232568855e-25,3.4827568206541597e-26,4.995235446513771e-24
YSZ_electrolyte,700,50,40.94915062380423,2.7484771139239776e-25,1.9009652222965656e-26,5.496954227847955e-24
YSZ_electrolyte,700,50,49.41713361323833,2.8778107677161986e-25,-6.2002530136557516e-27,5.755621535432397e-24
YSZ_electrolyte,700,50,59.63623316594643,2.6244720536508626e-25,3.083261563436021e-26,5.248944107301725e-24
YSZ_electrolyte,700,50,71.96856730011514,3.494463080403403e-25,6.607588897596434e-26,6.988926160806806e-24
YSZ_electrolyte,700,50,86.85113737513521,3.9459898331701493e-25,1.837477032506101e-26,7.891979666340299e-24
YSZ_electrolyte,700,50,104.81131341546852,3.861958486904623e-25,7.515214998393251e-27,7.723916973809246e-24
YSZ_electrolyte,700,50,126.48552168552958,4.0962941331380143e-25,2.482882237012516e-26,8.192588266276028e-24
YSZ_electrolyte,700,50,152.6417967175232,4.358534934307126e-25,2.201571767910034e-26,8.717069868614253e-24
YSZ_electrolyte,700,50,184.20699693267144,4.536608486720021e-25,3.1265370325704335e-26,9.073216973440042e-24
YSZ_electrolyte,700,50,222.29964825261933,4.983842340821213e-25,8.617675237556117e-26,9.967684681642425e-24
YSZ_electrolyte,700,50,268.26957952797244,6.260143534231245e-25,1.1899198011348952e-25,1.2520287068462488e-23
YSZ_electrolyte,700,50,323.74575428176433,7.363681943091003e-25,7.453104506003128e-26,1.4727363886182007e-23
YSZ_electrolyte,700,50,390.6939937054613,7.75076443543187e-25,-1.1112952442470183e-26,1.550152887086374e-23
YSZ_electrolyte,700,50,471.486636345739,7.1414228942416e-25,1.6139597667117924e-25,1.4282845788483197e-23
YSZ_electrolyte,700,50,568.9866029018293,1.0978683968855455e-24,2.305525431154144e-25,2.1957367937710908e-23
YSZ_electrolyte,700,50,686.6488450042998,1.1752473756549887e-24,5.565607366870043e-26,2.3504947513099776e-23
YSZ_electrolyte,700,50,828.6427728546843,1.2091805442229463e-24,-3.3385463771237134e-26,2.4183610884458925e-23
YSZ_electrolyte,700,50,1000.0,1.1084764481125145e-24,-1.0070409611043189e-25,2.216952896225029e-23
YSZ_electrolyte,800,50,0.1,9.42003314293532e-25,0.0,1.884006628587064e-23
YSZ_electrolyte,800,50,0.12067926406393285,1.3146841965469862e-24,2.0230129644460317e-25,2.6293683930939725e-23
YSZ_electrolyte,800,50,0.14563484775012436,1.3466059071827383e-24,1.726973589977222e-25,2.693211814365477e-23
YSZ_electrolyte,800,50,0.1757510624854792,1.6600789145424306e-24,2.9613267200171095e-25,3.320157829084861e-23
YSZ_electrolyte,800,50,0.21209508879201905,1.93887125118616e-24,2.817983813469353e-26,3.8777425023723203e-23
YSZ_electrolyte,800,50,0.2559547922699536,1.7164385908118177e-24,5.547956988476845e-26,3.4328771816236354e-23
YSZ_electrolyte,800,50,0.3088843596477481,2.049830390955697e-24,2.843548635688713e-25,4.099660781911394e-23
