Region,Image_ID,Area_mm2,Crack_Count,Crack_Density_per_mm2,Mean_Crack_Length_um,Max_Crack_Length_um,Mean_Crack_Width_um,Magnification,Accelerating_Voltage_kV,Working_Distance_mm
anode_bulk,anode_bulk_01,2.5,1,0.4,1.737779801764788,1.737779801764788,2.591053339706222,1000,15,11.020436538628008
anode_bulk,anode_bulk_02,2.5,1,0.4,6.856370286016198,6.856370286016198,1.91104560599951,2000,15,10.719470470653457
anode_bulk,anode_bulk_03,2.5,1,0.4,0.9773549593404203,0.9773549593404203,1.556712326145791,5000,15,10.188938654980495
electrolyte,electrolyte_01,1.0,3,3.0,23.14699527083285,29.610488767127194,2.042059088766998,5000,15,8.514442466820682
electrolyte,electrolyte_02,1.0,5,5.0,6.712316210021103,14.65310106800069,1.8672198574022114,5000,15,9.20496491217942
electrolyte,electrolyte_03,1.0,2,2.0,40.65532612214376,46.04178749519665,1.9285318191727505,2000,15,8.420582214877069
cathode_bulk,cathode_bulk_01,1.8,3,1.6666666666666665,5.9071784435137715,8.33824355620818,1.3259233698239947,2000,15,8.774206464677135
cathode_bulk,cathode_bulk_02,1.8,2,1.1111111111111112,7.5725583995534524,11.469064813505378,1.507220224814367,2000,15,11.358767309305618
cathode_bulk,cathode_bulk_03,1.8,1,0.5555555555555556,23.583619096653194,23.583619096653194,1.9540996411859994,5000,15,9.522650643701917
anode_electrolyte_interface,anode_electrolyte_interface_01,0.5,4,8.0,8.25030175126393,15.754687592866624,1.3799122242573143,5000,15,10.693670904823737
anode_electrolyte_interface,anode_electrolyte_interface_02,0.5,1,2.0,8.87250190079661,8.87250190079661,2.156867644047403,2000,15,8.043857989831675
anode_electrolyte_interface,anode_electrolyte_interface_03,0.5,1,2.0,7.837738320224642,7.837738320224642,1.4437665123142096,1000,15,9.12485352394957
electrolyte_cathode_interface,electrolyte_cathode_interface_01,0.4,1,2.5,3.108510000030593,3.108510000030593,1.1898508873942453,1000,15,9.032918053834862
electrolyte_cathode_interface,electrolyte_cathode_interface_02,0.4,1,2.5,17.02871040291328,17.02871040291328,3.1371688198091956,1000,15,11.30263918194624
electrolyte_cathode_interface,electrolyte_cathode_interface_03,0.4,0,0.0,0.0,0.0,0.0,5000,15,11.53589456496149
