mix_type,temperature,replicate,pressure_difference,permeability,flow_rate,viscosity
rubber_20,25,1,0.1,3.862869299490184e-16,4.292076999433538e-08,1.8e-05
rubber_20,25,1,0.2,3.8451268532537753e-16,8.544726340563944e-08,1.8e-05
rubber_20,25,1,0.5,4.296999985298305e-16,2.387222214054614e-07,1.8e-05
rubber_20,25,1,1.0,4.1712002167993107e-16,4.634666907554789e-07,1.8e-05
rubber_20,25,2,0.1,4.070723596707179e-16,4.523026218563532e-08,1.8e-05
rubber_20,25,2,0.2,4.535132781563015e-16,1.0078072847917809e-07,1.8e-05
rubber_20,25,2,0.5,4.694965759450332e-16,2.60831431080574e-07,1.8e-05
rubber_20,25,2,1.0,4.832873927939878e-16,5.369859919933199e-07,1.8e-05
rubber_20,25,3,0.1,4.4387843036006354e-16,4.931982559556262e-08,1.8e-05
rubber_20,25,3,0.2,3.3179363905113804e-16,7.373191978914179e-08,1.8e-05
rubber_20,25,3,0.5,3.512818471275871e-16,1.951565817375484e-07,1.8e-05
rubber_20,25,3,1.0,4.847854475723195e-16,5.386504973025772e-07,1.8e-05
rubber_20,25,4,0.1,4.950976384074136e-16,5.501084871193484e-08,1.8e-05
rubber_20,25,4,0.2,4.245665952684443e-16,9.43481322818765e-08,1.8e-05
rubber_20,25,4,0.5,4.232271569525031e-16,2.3512619830694615e-07,1.8e-05
rubber_20,25,4,1.0,4.303687036308135e-16,4.781874484786816e-07,1.8e-05
rubber_20,25,5,0.1,3.793609788703363e-16,4.215121987448181e-08,1.8e-05
rubber_20,25,5,0.2,4.2543402703406296e-16,9.454089489645842e-08,1.8e-05
rubber_20,25,5,0.5,4.889698705295404e-16,2.7164992807196686e-07,1.8e-05
rubber_20,25,5,1.0,4.3612897953017267e-16,4.845877550335252e-07,1.8e-05
rubber_20,100,1,0.1,3.348333109826303e-16,3.585898912799253e-08,1.8675000000000003e-05
rubber_20,100,1,0.2,4.0822451811631314e-16,8.743764778930402e-08,1.8675000000000003e-05
rubber_20,100,1,0.5,4.2787293745549415e-16,2.2911536142195133e-07,1.8675000000000003e-05
rubber_20,100,1,1.0,5.078465110219478e-16,5.438784589257806e-07,1.8675000000000003e-05
rubber_20,100,2,0.1,4.954750221035599e-16,5.3062920707208544e-08,1.8675000000000003e-05
rubber_20,100,2,0.2,4.09103112945383e-16,8.762583409807397e-08,1.8675000000000003e-05
rubber_20,100,2,0.5,5.537367504384047e-16,2.965123161651431e-07,1.8675000000000003e-05
rubber_20,100,2,1.0,4.0960726220868517e-16,4.386690893801179e-07,1.8675000000000003e-05
