mix_type,temperature,replicate,phase,abundance,peak_2theta,intensity,fwhm
control,25,1,portlandite,95.53892509745951,18.0,95.77723477830358,0.10213698534958118
control,25,1,portlandite,95.53892509745951,34.1,96.13012663771183,0.12985052941905018
control,25,1,portlandite,95.53892509745951,47.1,94.96698930713879,0.11488660496237359
control,25,1,portlandite,95.53892509745951,50.8,104.34023229080113,0.09917271845801512
control,25,1,calcite,84.01501574393282,29.4,87.01319678694269,0.08608258531315482
control,25,1,calcite,84.01501574393282,39.4,89.64328531665272,0.11226413057157142
control,25,1,calcite,84.01501574393282,43.2,95.98558800754456,0.11121782349377193
control,25,1,calcite,84.01501574393282,47.5,77.33334415688556,0.07758631761141903
control,25,1,quartz,70.94007072226955,20.8,84.91941675041079,0.09245578385924956
control,25,1,quartz,70.94007072226955,26.6,71.69157815567283,0.12831983936273567
control,25,1,quartz,70.94007072226955,36.5,74.00879107455614,0.13050100642239817
control,25,1,quartz,70.94007072226955,39.4,71.66638309862479,0.11279310857793821
control,25,1,ettringite,43.932939984515485,9.1,45.59425322210133,0.14150446295955557
control,25,1,ettringite,43.932939984515485,15.8,42.23945631602327,0.1085228578856858
control,25,1,ettringite,43.932939984515485,22.9,41.19129913816241,0.08559111746616106
control,25,1,ettringite,43.932939984515485,29.1,45.11363431597518,0.10153784703734856
control,25,1,gypsum,18.194046802196535,11.6,20.447600008286614,0.14459016255464885
control,25,1,gypsum,18.194046802196535,20.7,17.440870533154875,0.07750985710364852
control,25,1,gypsum,18.194046802196535,23.4,19.398839726199853,0.09393007745246837
control,25,1,gypsum,18.194046802196535,29.1,18.693047547495144,0.10022425896073234
control,25,2,portlandite,103.79171796113123,18.0,106.21125366788132,0.122246578366969
control,25,2,portlandite,103.79171796113123,34.1,105.52631236776169,0.12666241216526558
control,25,2,portlandite,103.79171796113123,47.1,97.27042680341138,0.07619598035809932
control,25,2,portlandite,103.79171796113123,50.8,113.3151769322457,0.1380720845503561
control,25,2,calcite,80.52980178906117,29.4,74.66415850719034,0.09740395997715398
control,25,2,calcite,80.52980178906117,39.4,75.06539382300781,0.14180565659277033
control,25,2,calcite,80.52980178906117,43.2,93.78220688375801,0.09985176657108048
control,25,2,calcite,80.52980178906117,47.5,81.1947370956823,0.08182750575764103
control,25,2,quartz,53.252043593926686,20.8,56.291710479693315,0.09337578593426409
control,25,2,quartz,53.252043593926686,26.6,50.27645045245743,0.08347941218056995
control,25,2,quartz,53.252043593926686,36.5,46.91079667132372,0.061926293212003214
control,25,2,quartz,53.252043593926686,39.4,48.13995669194573,0.10661552169212933
control,25,2,ettringite,38.57800480674725,9.1,33.316291282980806,0.11521000911021737
control,25,2,ettringite,38.57800480674725,15.8,35.15536318730805,0.11549523019602957
control,25,2,ettringite,38.57800480674725,22.9,42.41745802135176,0.08983499433825787
control,25,2,ettringite,38.57800480674725,29.1,39.250530949250205,0.11329403212065607
control,25,2,gypsum,21.075501409150334,11.6,22.856761203187766,0.09644977432515504
control,25,2,gypsum,21.075501409150334,20.7,22.32683281414176,0.10334047398597533
control,25,2,gypsum,21.075501409150334,23.4,22.18491375364514,0.07137896103107345
control,25,2,gypsum,21.075501409150334,29.1,25.989370806415383,0.07657119382654289
control,25,3,portlandite,103.05483999499856,18.0,98.45522096726845,0.10665078892344008
control,25,3,portlandite,103.05483999499856,34.1,97.77088620327403,0.11552263130053914
control,25,3,portlandite,103.05483999499856,47.1,101.58089374685322,0.07712361431564427
control,25,3,portlandite,103.05483999499856,50.8,108.31663659209966,0.07139862080835495
control,25,3,calcite,83.76128200556997,29.4,74.90500452393869,0.10005182004182725
control,25,3,calcite,83.76128200556997,39.4,87.81564586385264,0.11999985749633998
control,25,3,calcite,83.76128200556997,43.2,73.27866373190032,0.08077429976085844
control,25,3,calcite,83.76128200556997,47.5,80.04025159518756,0.10360910959407015
control,25,3,quartz,53.09844347803258,20.8,60.123230157495435,0.09584416878250708
control,25,3,quartz,53.09844347803258,26.6,50.153600041370105,0.1086589366798504
control,25,3,quartz,53.09844347803258,36.5,57.90100396474554,0.08822337545201447
control,25,3,quartz,53.09844347803258,39.4,47.566239957424145,0.09332839621742536
control,25,3,ettringite,44.600115512326006,9.1,41.122748888175174,0.08176584891189811
control,25,3,ettringite,44.600115512326006,15.8,49.37830419744205,0.0883030552226615
control,25,3,ettringite,44.600115512326006,22.9,46.122432556364906,0.10479616524961612
control,25,3,ettringite,44.600115512326006,29.1,42.426762461468776,0.11567351364500884
control,25,3,gypsum,21.24740149574957,11.6,15.434645507065198,0.12797755271161013
control,25,3,gypsum,21.24740149574957,20.7,22.64896317858226,0.12026619842579116
control,25,3,gypsum,21.24740149574957,23.4,21.034249401754032,0.10343911094830431
control,25,3,gypsum,21.24740149574957,29.1,21.445870517234894,0.09525844055400026
control,200,1,portlandite,83.84163924884243,18.0,74.90637634813125,0.09740230523922508
control,200,1,portlandite,83.84163924884243,34.1,86.9595909012206,0.11462857128612247
control,200,1,portlandite,83.84163924884243,47.1,82.14592061253698,0.0861352466715216
control,200,1,portlandite,83.84163924884243,50.8,93.98721960328372,0.07115857456538358
control,200,1,calcite,93.82271053293682,29.4,84.44912546462946,0.12421954700914428
control,200,1,calcite,93.82271053293682,39.4,85.06442317263568,0.10204535428443491
control,200,1,calcite,93.82271053293682,43.2,85.54486580573386,0.12083027374723136
control,200,1,calcite,93.82271053293682,47.5,96.17704329920504,0.08764468886527152
control,200,1,quartz,60.724320160166236,20.8,65.58377474073463,0.09518446730798708
control,200,1,quartz,60.724320160166236,26.6,60.03162136361897,0.09299131265676469
control,200,1,quartz,60.724320160166236,36.5,53.14287438353077,0.11880091085783852
control,200,1,quartz,60.724320160166236,39.4,56.67450302397738,0.10150609367933407
control,200,1,gypsum,19.42213109850876,11.6,17.377892601382815,0.13209883071668527
control,200,1,gypsum,19.42213109850876,20.7,17.334724890077286,0.08289329988897443
control,200,1,gypsum,19.42213109850876,23.4,21.718478519984124,0.14023513821684513
control,200,1,gypsum,19.42213109850876,29.1,18.251927051536804,0.08588708631514108
control,200,2,portlandite,84.18157234775595,18.0,87.75364982997688,0.08410769920930192
control,200,2,portlandite,84.18157234775595,34.1,69.65787826306813,0.11735071538505915
control,200,2,portlandite,84.18157234775595,47.1,81.19195035166157,0.1066780814263461
control,200,2,portlandite,84.18157234775595,50.8,89.77022054483282,0.09976858247846039
control,200,2,calcite,81.0005839481744,29.4,71.33690156287552,0.07547323413466224
control,200,2,calcite,81.0005839481744,39.4,68.4927940290157,0.11755295270292968
control,200,2,calcite,81.0005839481744,43.2,78.01937144572543,0.11308998103967698
control,200,2,calcite,81.0005839481744,47.5,74.73353101805432,0.12333925593877464
control,200,2,quartz,63.05945910570296,20.8,67.62174991537584,0.1076368700609489
control,200,2,quartz,63.05945910570296,26.6,64.47668378664773,0.11828850409078888
control,200,2,quartz,63.05945910570296,36.5,73.78782369102376,0.10474427196673987
control,200,2,quartz,63.05945910570296,39.4,65.50534002582278,0.11824438834994933
control,200,2,gypsum,22.36553897267132,11.6,24.797860784223552,0.08430734161740568
control,200,2,gypsum,22.36553897267132,20.7,21.97600012145787,0.10155041628680803
control,200,2,gypsum,22.36553897267132,23.4,22.187500498239707,0.08275531418099169
control,200,2,gypsum,22.36553897267132,29.1,20.75690273035479,0.10944970728703436
control,200,3,portlandite,82.31987991274916,18.0,83.27735361552813,0.07857206974869324
control,200,3,portlandite,82.31987991274916,34.1,69.72672523360659,0.07670040513992998
control,200,3,portlandite,82.31987991274916,47.1,84.77445689056405,0.03634349096104003
control,200,3,portlandite,82.31987991274916,50.8,82.89310074933292,0.09607404061378763
control,200,3,calcite,90.54103162957888,29.4,83.20309929893554,0.12652879188110006
control,200,3,calcite,90.54103162957888,39.4,72.69294008196559,0.11076264464915922
control,200,3,calcite,90.54103162957888,43.2,94.34581451551601,0.0749346803426324
control,200,3,calcite,90.54103162957888,47.5,89.39390852147136,0.10057837344893612
control,200,3,quartz,53.59972935404685,20.8,52.01970783098857,0.0970681493290711
control,200,3,quartz,53.59972935404685,26.6,54.75126358854349,0.07627881861791026
control,200,3,quartz,53.59972935404685,36.5,48.94522629294718,0.11944931212266574
control,200,3,quartz,53.59972935404685,39.4,56.79525867847467,0.12964374006805596
control,200,3,gypsum,20.223313751459816,11.6,20.78111752581281,0.07132534280705162
control,200,3,gypsum,20.223313751459816,20.7,22.71986088558411,0.09610548651197957
control,200,3,gypsum,20.223313751459816,23.4,19.717015071365772,0.08376802582353265
control,200,3,gypsum,20.223313751459816,29.1,21.018969840760725,0.13395579962162021
control,400,1,portlandite,61.66975035596281,18.0,54.00246826366458,0.08444670533161389
control,400,1,portlandite,61.66975035596281,34.1,53.97674280865006,0.09972146828761848
control,400,1,portlandite,61.66975035596281,47.1,43.424968691931454,0.07835176762019663
control,400,1,portlandite,61.66975035596281,50.8,63.32980446012239,0.12738263939862204
control,400,1,calcite,101.28178726478998,29.4,115.5758958053845,0.12394436273010345
control,400,1,calcite,101.28178726478998,39.4,93.93384010866552,0.10070798026356556
control,400,1,calcite,101.28178726478998,43.2,94.2911603672966,0.16238971404079125
control,400,1,calcite,101.28178726478998,47.5,100.26782515126202,0.12107019495572424
control,400,1,quartz,52.903074329688465,20.8,45.84879079139102,0.11340773264578935
control,400,1,quartz,52.903074329688465,26.6,48.61918745598184,0.13202517061924213
control,400,1,quartz,52.903074329688465,36.5,52.16040765028529,0.08431685240330189
control,400,1,quartz,52.903074329688465,39.4,50.300568584848286,0.08120703085280492
control,400,2,portlandite,55.68683502109202,18.0,51.55196885772295,0.09529637745018366
control,400,2,portlandite,55.68683502109202,34.1,48.76225487263352,0.1057517451274188
control,400,2,portlandite,55.68683502109202,47.1,44.92911674904919,0.11505079750781316
control,400,2,portlandite,55.68683502109202,50.8,54.49674377950835,0.1071085949629571
control,400,2,calcite,94.00869357513506,29.4,94.66760121774712,0.07206105344605279
control,400,2,calcite,94.00869357513506,39.4,108.88265829832115,0.12963476811248495
control,400,2,calcite,94.00869357513506,43.2,77.5071967833419,0.10252160133538904
control,400,2,calcite,94.00869357513506,47.5,95.40521897950474,0.08862316326397608
control,400,2,quartz,61.66652551798583,20.8,48.47061898391517,0.09549600955998311
control,400,2,quartz,61.66652551798583,26.6,62.337861043811756,0.12865023922600607
control,400,2,quartz,61.66652551798583,36.5,58.11830819477425,0.125817240668514
control,400,2,quartz,61.66652551798583,39.4,41.87877140630871,0.0886784207338559
control,400,3,portlandite,59.217552934998785,18.0,60.89527199347809,0.08620926384409108
control,400,3,portlandite,59.217552934998785,34.1,55.58389011128929,0.09692746158607535
control,400,3,portlandite,59.217552934998785,47.1,48.36774979896818,0.09120863752282755
control,400,3,portlandite,59.217552934998785,50.8,62.06360790501553,0.10358556385583216
control,400,3,calcite,92.79027003665333,29.4,92.26727155761009,0.0930590824077452
control,400,3,calcite,92.79027003665333,39.4,91.36729748090616,0.12891246618800373
control,400,3,calcite,92.79027003665333,43.2,85.52374385943928,0.08643568432109545
control,400,3,calcite,92.79027003665333,47.5,93.73795475349105,0.0499128277964196
control,400,3,quartz,56.10233519338417,20.8,51.99734863087121,0.11300998125468226
control,400,3,quartz,56.10233519338417,26.6,57.0245954821957,0.11656179473820001
control,400,3,quartz,56.10233519338417,36.5,53.493661416053726,0.08284573227457132
control,400,3,quartz,56.10233519338417,39.4,48.00161969571693,0.09029974701787012
control,600,1,portlandite,29.26306969171043,18.0,28.531495212049744,0.08873197017731915
control,600,1,portlandite,29.26306969171043,34.1,25.810534547584055,0.09956084226817906
control,600,1,portlandite,29.26306969171043,47.1,28.452362133172947,0.0963734542886322
control,600,1,portlandite,29.26306969171043,50.8,26.46579180389588,0.10002315282073454
control,600,1,calcite,83.57399459272246,29.4,83.1797377487769,0.08712543743452429
control,600,1,calcite,83.57399459272246,39.4,85.7200752556353,0.10484408465378414
control,600,1,calcite,83.57399459272246,43.2,95.60073176036146,0.09290681187603166
control,600,1,calcite,83.57399459272246,47.5,74.36567734041238,0.11197219638435471
control,600,1,quartz,61.66447529697965,20.8,56.18690226210973,0.11655648974597282
control,600,1,quartz,61.66447529697965,26.6,64.28702185256873,0.06639482106732389
control,600,1,quartz,61.66447529697965,36.5,57.964717866109346,0.10279917670445803
control,600,1,quartz,61.66447529697965,39.4,62.525158785245885,0.06752933153441962
control,600,1,lime,38.16187462502161,32.2,42.10756019408828,0.05871061557111772
control,600,1,lime,38.16187462502161,37.4,36.1918464347001,0.06630536405663179
control,600,1,lime,38.16187462502161,54.3,35.22992838007867,0.0975550513751878
control,600,1,lime,38.16187462502161,64.2,39.58292799707114,0.09843616412104443
control,600,2,portlandite,29.430442147898628,18.0,31.59477315174782,0.0862304682500738
control,600,2,portlandite,29.430442147898628,34.1,30.383538312942548,0.0798840053208222
