mix_type,temperature,replicate,microcrack_density,itz_degradation,void_density,void_size_avg,pore_density
rubber_30,25,1,0.3648072162555662,0.0,3.0,0.5,1000.0
rubber_30,25,2,0.28716816688239877,0.0,3.0,0.5,1000.0
rubber_30,25,3,0.31927958332216116,0.0,3.0,0.5,1000.0
rubber_30,200,1,0.49557968223485566,0.4375,3.0,0.675,1087.5
rubber_30,200,2,0.3538127182852319,0.4375,3.0,0.675,1087.5
rubber_30,200,3,0.3337026552688018,0.4375,3.0,0.675,1087.5
rubber_30,400,1,0.5555949143341804,0.9375,3.0,0.875,1187.5
rubber_30,400,2,0.3945581397718965,0.9375,3.0,0.875,1187.5
rubber_30,400,3,0.46511967658362435,0.9375,3.0,0.875,1187.5
rubber_30,600,1,0.5049140348845487,1.0,3.0,1.0750000000000002,1287.5
rubber_30,600,2,0.5297163223843435,1.0,3.0,1.0750000000000002,1287.5
rubber_30,600,3,0.5156130928954029,1.0,3.0,1.0750000000000002,1287.5
rubber_30,800,1,0.49112894226317655,1.0,3.0,1.275,1387.5
rubber_30,800,2,0.5272538001058859,1.0,3.0,1.275,1387.5
rubber_30,800,3,0.6107565190956574,1.0,3.0,1.275,1387.5
