temperature,time,mix_type,replicate,vapor_pressure_10mm,saturation_pressure_10mm,vapor_pressure_20mm,saturation_pressure_20mm,vapor_pressure_30mm,saturation_pressure_30mm,vapor_pressure_40mm,saturation_pressure_40mm,vapor_pressure_50mm,saturation_pressure_50mm
25,0.0,control,2,159.41109227553014,2368641.355309522,0.0,2368641.355309522,0.0,2368641.355309522,0.0,2368641.355309522,879.9332748452179,2368641.355309522
26,0.2,control,2,4957.469660392159,2513698.9344580737,4907.33080252505,2513698.9344580737,7696.8368615149775,2513698.9344580737,5088.395675468634,2513698.9344580737,4381.461656812348,2513698.9344580737
27,0.4,control,2,13481.328350994654,2666422.5312688407,12672.458128908718,2666422.5312688407,12012.899165980321,2666422.5312688407,13596.359590305521,2666422.5312688407,13041.183099797963,2666422.5312688407
28,0.6,control,2,22540.1407559833,2827149.0841762293,23564.39732322091,2827149.0841762293,21365.199707159827,2827149.0841762293,22895.852261357264,2827149.0841762293,23583.305478676273,2827149.0841762293
29,0.8,control,2,34180.66636695852,2996227.0619178903,35583.47768148643,2996227.0619178903,34176.55404690569,2996227.0619178903,34569.8031465277,2996227.0619178903,34237.87426289604,2996227.0619178903
30,1.0,control,2,49489.39423167476,3174016.727118481,47727.51037518864,3174016.727118481,48547.21667530651,3174016.727118481,48898.25607184487,3174016.727118481,48338.64344600026,3174016.727118481
31,1.2,control,2,66964.84829528006,3360890.401727248,65737.18368432803,3360890.401727248,65194.54948960444,3360890.401727248,64772.09057184822,3360890.401727248,66533.50995944624,3360890.401727248
32,1.4,control,2,86758.2694826224,3557232.734215598,84652.55695974453,3557232.734215598,85189.62004604962,3557232.734215598,85271.05028494746,3557232.734215598,86452.62501243579,3557232.734215598
33,1.6,control,2,108126.2605430748,3763440.968439287,110287.92986387918,3763440.968439287,109098.55040154909,3763440.968439287,108026.59514959903,3763440.968439287,110166.88186775791,3763440.968439287
34,1.8,control,2,136378.3861048676,3979925.2140683583,135824.9086270785,3979925.2140683583,135978.1275662467,3979925.2140683583,135684.6873202788,3979925.2140683583,134673.3077764693,3979925.2140683583
35,2.0,control,2,168583.30699416096,4207108.718486802,167699.49414927192,4207108.718486802,167116.97192503107,4207108.718486802,170665.139318258,4207108.718486802,170952.1189506151,4207108.718486802
36,2.2,control,2,202890.58077459253,4445428.140062439,204144.58709878434,4445428.140062439,205040.82020815057,4445428.140062439,203070.77099859962,4445428.140062439,204779.79189075966,4445428.140062439
37,2.4,control,2,242046.72573208765,4695333.822686567,243308.14812477093,4695333.822686567,245893.27170007722,4695333.822686567,244355.0272108027,4695333.822686567,244485.31429462717,4695333.822686567
38,2.6,control,2,290665.11237146665,4957290.071481643,291372.4079582365,4957290.071481643,291870.4316360618,4957290.071481643,292104.5058135262,4957290.071481643,292510.2521014632,4957290.071481643
39,2.8,control,2,341405.05800842185,5231775.429574466,341675.45528168976,5231775.429574466,343881.35059223184,5231775.429574466,342349.03787606646,5231775.429574466,343641.3332549186,5231775.429574466
40,3.0,control,2,400573.8860547962,5519282.955831094,401469.4195538395,5519282.955831094,402706.7507517635,5519282.955831094,402380.1152531502,5519282.955831094,403176.56315717986,5519282.955831094
