temperature,time,mix_type,replicate,vapor_pressure_10mm,saturation_pressure_10mm,vapor_pressure_20mm,saturation_pressure_20mm,vapor_pressure_30mm,saturation_pressure_30mm,vapor_pressure_40mm,saturation_pressure_40mm,vapor_pressure_50mm,saturation_pressure_50mm
25,0.0,rubber_10,1,0.0,2368641.355309522,759.6937150092392,2368641.355309522,790.2469261866927,2368641.355309522,360.7433950924149,2368641.355309522,222.30144493405615,2368641.355309522
26,0.2,rubber_10,1,3853.9096431047437,2513698.9344580737,5309.656958251762,2513698.9344580737,3701.8634025736806,2513698.9344580737,3976.533006119275,2513698.9344580737,3526.8849651223404,2513698.9344580737
27,0.4,rubber_10,1,10293.869586428806,2666422.5312688407,11703.926962069881,2666422.5312688407,13412.688412267262,2666422.5312688407,10236.142369599525,2666422.5312688407,11422.98671656855,2666422.5312688407
28,0.6,rubber_10,1,19292.833037090553,2827149.0841762293,20484.95578339502,2827149.0841762293,20045.920465196647,2827149.0841762293,19159.58275261195,2827149.0841762293,19614.460411193995,2827149.0841762293
29,0.8,rubber_10,1,30122.746602728934,2996227.0619178903,29714.95799903307,2996227.0619178903,33084.2381302223,2996227.0619178903,31113.844664851596,2996227.0619178903,28842.01772453998,2996227.0619178903
30,1.0,rubber_10,1,42836.6565384871,3174016.727118481,42970.619521294146,3174016.727118481,42294.266482825995,3174016.727118481,43488.96141890967,3174016.727118481,44425.96211396174,3174016.727118481
31,1.2,rubber_10,1,57887.800795317955,3360890.401727248,57761.897434047794,3360890.401727248,57417.34693977183,3360890.401727248,57313.31169631139,3360890.401727248,57666.24280939091,3360890.401727248
32,1.4,rubber_10,1,75287.35821431356,3557232.734215598,77088.7614224611,3557232.734215598,78808.3573822386,3557232.734215598,78152.70982885077,3557232.734215598,77725.22053452283,3557232.734215598
33,1.6,rubber_10,1,97552.812407427,3763440.968439287,100084.14207707957,3763440.968439287,97509.72215941771,3763440.968439287,99047.04198427162,3763440.968439287,97825.70516484042,3763440.968439287
34,1.8,rubber_10,1,120967.99333165975,3979925.2140683583,121938.14275622235,3979925.2140683583,122113.59988372143,3979925.2140683583,123597.24707517786,3979925.2140683583,124209.95395754627,3979925.2140683583
35,2.0,rubber_10,1,152338.71177644114,4207108.718486802,151614.63852739678,4207108.718486802,151483.75887920373,4207108.718486802,151839.42727095392,4207108.718486802,151843.25803329653,4207108.718486802
36,2.2,rubber_10,1,184899.75392193563,4445428.140062439,182780.9964956632,4445428.140062439,181569.2907232883,4445428.140062439,182618.0270602824,4445428.140062439,184398.20869507507,4445428.140062439
37,2.4,rubber_10,1,220103.20285271158,4695333.822686567,219921.2701935368,4695333.822686567,221918.50482441115,4695333.822686567,222705.85298801007,4695333.822686567,221213.11837292617,4695333.822686567
38,2.6,rubber_10,1,263134.1333167992,4957290.071481643,261769.4948708272,4957290.071481643,261081.18716073481,4957290.071481643,262646.79082163825,4957290.071481643,262538.0115372559,4957290.071481643
39,2.8,rubber_10,1,308067.27876386803,5231775.429574466,310108.0401290564,5231775.429574466,308887.7917174178,5231775.429574466,309298.44347737153,5231775.429574466,310076.4878018609,5231775.429574466
40,3.0,rubber_10,1,360363.8574533222,5519282.955831094,360356.34393037343,5519282.955831094,361632.77245244774,5519282.955831094,362793.638292545,5519282.955831094,361000.2020659287,5519282.955831094
41,3.2,rubber_10,1,419554.2128934257,5820320.503449371,418526.42482263467,5820320.503449371,421204.67621770676,5820320.503449371,420288.9735325372,5820320.503449371,421708.23594143445,5820320.503449371
42,3.4,rubber_10,1,485308.4668141758,6135410.999303639,485173.53051226377,6135410.999303639,485549.1134621938,6135410.999303639,484614.6671562867,6135410.999303639,486033.5783778628,6135410.999303639
43,3.6,rubber_10,1,556438.020744356,6465092.723936029,557630.7913315928,6465092.723936029,557187.9053280783,6465092.723936029,557686.163749597,6465092.723936029,559893.9867284647,6465092.723936029
44,3.8,rubber_10,1,636010.3258697672,6809919.59208775,637022.3190192283,6809919.59208775,637261.5787884886,6809919.59208775,634906.1992674691,6809919.59208775,640119.2343385904,6809919.59208775
45,4.0,rubber_10,1,725405.3908550283,7170461.433663558,726976.3990927836,7170461.433663558,725545.998295664,7170461.433663558,725973.297162781,7170461.433663558,726594.7757322364,7170461.433663558
46,4.2,rubber_10,1,822739.1838212139,7547304.275022141,821639.5160182901,7547304.275022141,820406.1269540227,7547304.275022141,823566.8710546098,7547304.275022141,825126.7106901952,7547304.275022141
47,4.4,rubber_10,1,926617.985045452,7941050.620484467,927719.5051224681,7941050.620484467,928469.5053939607,7941050.620484467,931727.0561133001,7941050.620484467,930232.6176969009,7941050.620484467
48,4.6,rubber_10,1,1043845.2762624833,8352319.733952575,1042939.8338359485,8352319.733952575,1044671.3082036369,8352319.733952575,1044822.925466678,8352319.733952575,1048097.7900747334,8352319.733952575
49,4.8,rubber_10,1,1170488.6511424528,8781747.920530224,1171398.112458519,8781747.920530224,1175008.2405312166,8781747.920530224,1174314.1950607554,8781747.920530224,1175110.7699208818,8781747.920530224
