temperature,cte,units
20.0,1.2156133373394585e-05,/°C
21.0,1.2826231509288318e-05,/°C
22.0,1.2890789627959031e-05,/°C
23.0,1.315042921440439e-05,/°C
24.0,1.2264267210507723e-05,/°C
25.0,1.2121719190488177e-05,/°C
26.0,1.267060545615882e-05,/°C
27.0,1.2766369117690221e-05,/°C
28.0,1.2443698045889174e-05,/°C
29.0,1.1614309665019724e-05,/°C
30.0,1.3250198772172711e-05,/°C
31.0,1.2520718026618986e-05,/°C
32.0,1.2660390321152373e-05,/°C
33.0,1.2641472413556594e-05,/°C
34.0,1.2566298644955758e-05,/°C
35.0,1.2413002667240489e-05,/°C
36.0,1.2402359077815927e-05,/°C
37.0,1.1799549250195874e-05,/°C
38.0,1.186219310074569e-05,/°C
39.0,1.2377371354450088e-05,/°C
40.0,1.3427765900515947e-05,/°C
41.0,1.2274760779918856e-05,/°C
42.0,1.249025732573882e-05,/°C
43.0,1.2955794832488174e-05,/°C
44.0,1.2780029368235389e-05,/°C
45.0,1.3011548590513856e-05,/°C
46.0,1.1663593552190713e-05,/°C
47.0,1.2776597974907493e-05,/°C
48.0,1.276005567032051e-05,/°C
49.0,1.2364523012956527e-05,/°C
50.0,1.18708425083947e-05,/°C
51.0,1.2203132828223445e-05,/°C
52.0,1.3822768003523786e-05,/°C
53.0,1.2440616155639398e-05,/°C
54.0,1.3186684114899682e-05,/°C
55.0,1.2910599689613387e-05,/°C
56.0,1.2730149875484434e-05,/°C
57.0,1.3235812521443344e-05,/°C
58.0,1.328131401467895e-05,/°C
59.0,1.2522540280563672e-05,/°C
60.0,1.3462062887540753e-05,/°C
61.0,1.2357380659138027e-05,/°C
62.0,1.313467367517221e-05,/°C
63.0,1.2709727985378727e-05,/°C
64.0,1.304630445461614e-05,/°C
65.0,1.2419380748282924e-05,/°C
66.0,1.3211575823647784e-05,/°C
67.0,1.3480200179991266e-05,/°C
68.0,1.3612109376385933e-05,/°C
69.0,1.322320063894354e-05,/°C
70.0,1.280477934716548e-05,/°C
71.0,1.2845232016027249e-05,/°C
72.0,1.3114113092085488e-05,/°C
73.0,1.3232271531243638e-05,/°C
74.0,1.3116123178047687e-05,/°C
75.0,1.3628332971629438e-05,/°C
76.0,1.3059017340864997e-05,/°C
77.0,1.324282942598239e-05,/°C
78.0,1.2939350684031938e-05,/°C
79.0,1.2974305944202648e-05,/°C
80.0,1.368499381948962e-05,/°C
81.0,1.3528613736264094e-05,/°C
82.0,1.3574670531576512e-05,/°C
83.0,1.3181046895355935e-05,/°C
84.0,1.3131523798816788e-05,/°C
85.0,1.289154740505254e-05,/°C
86.0,1.2678035604355498e-05,/°C
87.0,1.317222296322458e-05,/°C
88.0,1.3586508258533828e-05,/°C
89.0,1.3404006482491355e-05,/°C
90.0,1.25474722435636e-05,/°C
91.0,1.3481476500888374e-05,/°C
92.0,1.366745067109181e-05,/°C
93.0,1.445465206771821e-05,/°C
94.0,1.3354736178621948e-05,/°C
95.0,1.2389240769343923e-05,/°C
96.0,1.3509746825535803e-05,/°C
97.0,1.4434067995079581e-05,/°C
98.0,1.3511948293804809e-05,/°C
99.0,1.3472931644908378e-05,/°C
100.0,1.335177480944742e-05,/°C
101.0,1.4099334727620575e-05,/°C
102.0,1.4459129301111205e-05,/°C
103.0,1.3587529786797366e-05,/°C
104.0,1.3918513902649108e-05,/°C
105.0,1.3237388992838509e-05,/°C
106.0,1.1858854711538118e-05,/°C
107.0,1.2718718947623934e-05,/°C
108.0,1.3194878737906887e-05,/°C
109.0,1.3273230807581345e-05,/°C
110.0,1.2582540307557827e-05,/°C
111.0,1.324926622827152e-05,/°C
112.0,1.2248420272716822e-05,/°C
113.0,1.3160160636802176e-05,/°C
114.0,1.2963709839101164e-05,/°C
115.0,1.338819287200927e-05,/°C
116.0,1.356570687281788e-05,/°C
117.0,1.3623631559696221e-05,/°C
118.0,1.3284812614235428e-05,/°C
119.0,1.343999080809261e-05,/°C
120.0,1.415950781891976e-05,/°C
121.0,1.328895003411829e-05,/°C
122.0,1.3239381230883689e-05,/°C
123.0,1.382249798850075e-05,/°C
124.0,1.4741089807177579e-05,/°C
