temperature,time,initial_mass,remaining_mass,mass_loss_percent,mass_loss_rate
25,0.0,2.4,2.3689884208150227,1.2921491327073733,0.12117316706164338
26,0.2,2.4,2.3932230542273514,0.2823727405270175,0.0775289479624437
27,0.4,2.4,2.4,0.0,0.016942364431621115
28,0.6,2.4,2.4,0.0,0.0
29,0.8,2.4,2.4,0.0,0.0
30,1.0,2.4,2.4,0.0,-0.01667534326564102
31,1.2,2.4,2.3933298626937436,0.2779223877606865,0.0
32,1.4,2.4,2.4,0.0,0.01667534326564102
33,1.6,2.4,2.4,0.0,-0.024034601539313805
34,1.8,2.4,2.3903861593842746,0.4005766923218802,-0.04945218276892671
35,2.0,2.4,2.3802191268924293,0.8242030461487746,0.024034601539313805
36,2.2,2.4,2.4,0.0,-0.0239480983280842
37,2.4,2.4,2.3706398875611954,1.223338018283513,-1.7763568394002505e-15
38,2.6,2.4,2.4,0.0,0.06883664274956924
39,2.8,2.4,2.3981745446610225,0.0760606391240513,-0.007200309548063721
40,3.0,2.4,2.397119876180775,0.12000515913435734,-0.018020611622374005
41,3.2,2.4,2.390966300012073,0.37640416616361033,0.007200309548063721
42,3.4,2.4,2.4,0.0,0.00950048887956445
43,3.6,2.4,2.3947664955638994,0.21806268483751243,-0.022465326106697603
44,3.8,2.4,2.3910138695573204,0.37442210177831126,0.01261337249871275
45,4.0,2.4,2.399811844563385,0.007839809858951946,0.02246532610669849
46,4.2,2.4,2.4,0.0,-0.021794893788444014
47,4.4,2.4,2.3910938870480076,0.37108803966634957,-8.881784197001252e-16
48,4.6,2.4,2.4,0.0,0.0222652823799816
49,4.8,2.4,2.4,0.0,-0.010949465806300296
50,5.0,2.4,2.39562021367748,0.18249109677165956,0.0
51,5.2,2.4,2.4,0.0,0.010949465806300296
52,5.4,2.4,2.4,0.0,-8.881784197001252e-16
53,5.6,2.4,2.4,0.0,8.881784197001252e-16
54,5.8,2.4,2.4,0.0,-0.07762281961877449
55,6.0,2.4,2.36895087215249,1.293713660312896,0.0
56,6.2,2.4,2.4,0.0,0.07762281961877449
57,6.4,2.4,2.4,0.0,-8.881784197001252e-16
58,6.6,2.4,2.4,0.0,-0.019489061826125642
59,6.8,2.4,2.392204375269549,0.32481769710210934,0.0
60,7.0,2.4,2.4,0.0,0.009734879721557732
61,7.2,2.4,2.3960983271581724,0.16256970174280533,0.0
62,7.4,2.4,2.4,0.0,-0.02669673261362604
63,7.6,2.4,2.3854196341127225,0.6075152453032295,8.881784197001252e-16
64,7.8,2.4,2.4,0.0,0.03645091471819395
65,8.0,2.4,2.4,0.0,-0.06933969845392429
66,8.2,2.4,2.3722641206184307,1.1556616408987226,-8.881784197001252e-16
67,8.4,2.4,2.4,0.0,0.06933969845392252
68,8.6,2.4,2.4,0.0,0.0
69,8.8,2.4,2.4,0.0,0.0
70,9.0,2.4,2.4,0.0,0.0
71,9.2,2.4,2.4,0.0,-0.012044217555211567
72,9.4,2.4,2.3951823129779153,0.20073695925352944,0.0
73,9.6,2.4,2.4,0.0,0.012044217555211567
74,9.8,2.4,2.4,0.0,-0.005397266196463413
75,10.0,2.4,2.3978410935214147,0.08995443660770691,-0.045071408026786663
76,10.2,2.4,2.3819714367892852,0.7511901337797827,0.005397266196462525
77,10.4,2.4,2.4,0.0,0.021943906850833805
78,10.6,2.4,2.390748999529619,0.38545835293253045,0.0
79,10.8,2.4,2.4,0.0,0.008327672883730486
80,11.0,2.4,2.3940800686831114,0.24666380487036602,-0.0034490820022332613
81,11.2,2.4,2.398620367199107,0.05748470003721339,0.014799828292221484
82,11.4,2.4,2.4,0.0,-0.011385248266454262
83,11.6,2.4,2.3940662678925255,0.24723883781143777,0.0
84,11.8,2.4,2.4,0.0,-0.05280130943929073
85,12.0,2.4,2.3729457441168096,1.1272606617995913,0.0
86,12.2,2.4,2.4,0.0,0.06763563970797648
87,12.4,2.4,2.4,0.0,-0.046833394646080606
88,12.6,2.4,2.381266642141568,0.7805565774346658,-8.881784197001252e-16
89,12.8,2.4,2.4,0.0,0.04683339464607972
90,13.0,2.4,2.4,0.0,-0.024509809085250467
91,13.2,2.4,2.3901960763659,0.4084968180875147,-0.02306685414527898
92,13.4,2.4,2.390773258341888,0.3844475690879828,0.015787072960021575
93,13.6,2.4,2.3965109055499085,0.14537893542048244,0.02306685414527987
94,13.8,2.4,2.4,0.0,0.008722736125228892
95,14.0,2.4,2.4,0.0,0.0
96,14.2,2.4,2.4,0.0,0.0
97,14.4,2.4,2.4,0.0,0.0
98,14.6,2.4,2.4,0.0,-0.026588401021405694
99,14.8,2.4,2.3893646395914376,0.443140017023428,8.881784197001252e-16
100,15.0,2.4,2.4,0.0,-0.029695044871827392
101,15.2,2.4,2.377486621642707,0.9380574315538825,-0.0038440861619344346
102,15.4,2.4,2.3984623655352264,0.06406810269890313,0.0562834458932322
103,15.6,2.4,2.4,0.0,0.0038440861619344346
104,15.8,2.4,2.4,0.0,0.0
105,16.0,2.4,2.4,0.0,0.0
106,16.2,2.4,2.4,0.0,0.0
107,16.4,2.4,2.4,0.0,0.0
108,16.6,2.4,2.4,0.0,0.0
109,16.8,2.4,2.4,0.0,0.0
110,17.0,2.4,2.4,0.0,0.0
111,17.2,2.4,2.4,0.0,-0.028860240399124493
112,17.4,2.4,2.38845590384035,0.48100400665207593,-8.881784197001252e-16
113,17.6,2.4,2.4,0.0,-0.007720582230386519
114,17.8,2.4,2.385367670948196,0.6096803771584807,0.0
115,18.0,2.4,2.4,0.0,0.013219238870083139
116,18.2,2.4,2.390655366496229,0.38935972932377394,0.0
117,18.4,2.4,2.4,0.0,0.023361583759427873
118,18.6,2.4,2.4,0.0,-0.0063778535454677154
119,18.8,2.4,2.397448858581813,0.10629755909113398,-0.05051206215341786
120,19.0,2.4,2.379795175138633,0.841867702556948,-0.04085750154117296
121,19.2,2.4,2.381105857965344,0.7872559181106779,0.05051206215341786
122,19.4,2.4,2.4,0.0,0.047235355086640674
123,19.6,2.4,2.4,0.0,-0.016521914785936787
124,19.8,2.4,2.3933912340856254,0.2753652464322797,0.0
125,20.0,2.4,2.4,0.0,0.01275776921877636
126,20.2,2.4,2.398494341773136,0.06273575945265968,-0.005462484052628724
127,20.4,2.4,2.3978150063789485,0.09104140087713572,0.0037641455671604263
128,20.6,2.4,2.4,0.0,-0.01890461849092162
129,20.8,2.4,2.39025315898258,0.40611837572584175,0.0
130,21.0,2.4,2.4,0.0,0.024367102543550345
131,21.2,2.4,2.4,0.0,0.0
132,21.4,2.4,2.4,0.0,0.0
133,21.6,2.4,2.4,0.0,-0.02541172403390224
134,21.8,2.4,2.3898353103864394,0.42352873389835033,0.0
135,22.0,2.4,2.4,0.0,0.02541172403390135
136,22.2,2.4,2.4,0.0,0.0
137,22.4,2.4,2.4,0.0,-0.05790638443908147
138,22.6,2.4,2.376837446224367,0.9651064073180403,-0.013999704392563928
139,22.8,2.4,2.3944001182429737,0.23332840654275588,0.04346793948448102
140,23.0,2.4,2.394224622018159,0.24064074924336787,0.013999704392565704
141,23.2,2.4,2.4,0.0,-0.022064058036204592
142,23.4,2.4,2.3853989988036775,0.608375049846763,-8.881784197001252e-16
143,23.6,2.4,2.4,0.0,0.03650250299080593
144,23.8,2.4,2.4,0.0,-0.02762167461079823
145,24.0,2.4,2.3889513301556806,0.4603612435133091,-0.04563794334246918
146,24.2,2.4,2.3817448226630122,0.7606323890411543,0.02762167461079823
147,24.4,2.4,2.4,0.0,0.045637943342470066
148,24.6,2.4,2.4,0.0,0.0
149,24.8,2.4,2.4,0.0,0.0
150,25.0,2.4,2.4,0.0,0.0
151,25.2,2.4,2.4,0.0,0.0
152,25.4,2.4,2.4,0.0,0.0
153,25.6,2.4,2.4,0.0,0.0
154,25.8,2.4,2.4,0.0,-0.015031059052547313
155,26.0,2.4,2.393987576378981,0.25051765087578065,0.0
156,26.2,2.4,2.4,0.0,0.009408237521539853
157,26.4,2.4,2.397750871387597,0.09371369218345704,-0.08376280282172921
158,26.6,2.4,2.3664948788713076,1.3960467136955184,0.005622821531010125
159,26.8,2.4,2.4,0.0,0.08376280282173099
160,27.0,2.4,2.4,0.0,0.0
161,27.2,2.4,2.4,0.0,-0.013485846137529123
162,27.4,2.4,2.3946056615449884,0.22476410229213895,-0.05263334501632855
163,27.6,2.4,2.3789466619934685,0.8772224169388039,-0.02046717436827894
164,27.8,2.4,2.3864187917976767,0.5658836750968023,0.05263334501632855
