temperature,heat_flow_mW_mg,cumulative_heat
25,0.10160871534970184,0.10160871534970184
26,-2.385603887251342,-2.28399517190164
27,-1.0907766115775501,-3.37477178347919
28,0.8885686265185068,-2.4862031569606833
29,-1.502387820383753,-3.9885909773444364
30,0.7008613222550845,-3.2877296550893518
31,0.6955890657376249,-2.592140589351727
32,-2.006425452014146,-4.598566041365872
33,-0.38252152755359126,-4.981087568919464
34,-0.49440251466411655,-5.475490083583581
35,0.77580398256119,-4.69968610102239
36,-0.41528288666749913,-5.114968987689889
37,0.13754335615031638,-4.977425631539573
38,-0.6820223974586155,-5.659448028998188
39,-0.762555291122187,-6.422003320120375
40,0.037154673097627544,-6.384848647022747
41,-2.6373087143015694,-9.022157361324316
42,-0.08874690546302683,-9.110904266787344
43,0.541375317593279,-8.569528949194066
44,-2.6641133463957036,-11.23364229558977
45,0.28485214463221253,-10.948790150957556
46,-3.124462661597419,-14.073252812554976
47,-0.03997881209397214,-14.113231624648948
48,-0.6409865682448844,-14.754218192893832
49,-1.280491783546366,-16.034709976440197
50,-2.5316603680874086,-18.566370344527606
51,-1.015336510137551,-19.581706854665157
52,-0.055768144982421,-19.637474999647576
53,-1.350257244019499,-20.987732243667075
54,-3.146942273083173,-24.13467451675025
55,-2.4500040387516884,-26.584678555501938
56,-3.4080019419881307,-29.99268049749007
57,-2.2668654399849473,-32.25954593747502
58,-2.1352000988185953,-34.39474603629361
59,-3.1573803997127303,-37.55212643600634
60,-4.543468386772633,-42.09559482277897
61,-2.792173955228295,-44.88776877800726
62,-4.246584546149764,-49.134353324157026
63,-3.6932421774668036,-52.82759550162383
64,-4.897246921770094,-57.72484242339392
65,-5.612880438162944,-63.33772286155687
66,-3.455649276761842,-66.79337213831872
67,-7.178909101774712,-73.97228124009342
68,-5.723005838549066,-79.6952870786425
69,-5.411373995575452,-85.10666107421794
70,-7.717443018407083,-92.82410409262502
71,-7.160868269051059,-99.98497236167609
72,-8.705863850661306,-108.69083621233739
73,-7.292321672968416,-115.9831578853058
74,-7.689889758477877,-123.67304764378368
75,-10.556992447554952,-134.23004009133862
76,-10.717230933463075,-144.9472710248017
77,-11.927051320726418,-156.8743223455281
78,-12.604886540461612,-169.47920888598972
79,-11.930138943042047,-181.40934782903176
80,-13.463687666263867,-194.87303549529562
81,-12.29105437532975,-207.1640898706254
82,-13.369003168740182,-220.53309303936558
83,-15.272812767408693,-235.80590580677426
84,-14.432196201596685,-250.23810200837096
85,-15.834732061898043,-266.072834070269
86,-16.188251882706194,-282.2610859529752
87,-16.46006846758006,-298.72115442055525
88,-17.7981185514471,-316.51927297200234
89,-20.391692293098426,-336.91096526510074
90,-16.65267498135653,-353.5636402464573
91,-17.85607194699852,-371.4197121934558
92,-17.799311931865073,-389.21902412532086
93,-19.017118136929977,-408.23614226225084
94,-18.735882917921373,-426.9720251801722
95,-20.858934967975383,-447.83096014814754
96,-19.154180595258406,-466.98514074340596
97,-18.786755174727176,-485.77189591813317
98,-19.434656854372555,-505.20655277250574
99,-20.49781364055567,-525.7043664130614
100,-20.385479266840797,-546.0898456799022
101,-19.477192574915982,-565.5670382548182
102,-18.615475793613403,-584.1825140484316
103,-20.436070003402282,-604.6185840518339
104,-18.29235200841758,-622.9109360602514
105,-20.15177267941201,-643.0627087396634
106,-18.8256936698564,-661.8884024095198
107,-20.54984153884033,-682.4382439483602
108,-18.98451192154507,-701.4227558699052
109,-18.689162901267274,-720.1119187711726
110,-14.890439529719218,-735.0023583008917
111,-16.218644701175414,-751.2210030020672
112,-16.32212252934274,-767.5431255314099
113,-16.701722205731162,-784.2448477371411
114,-15.757050043523089,-800.0018977806642
115,-15.473762578063326,-815.4756603587275
116,-14.616640891773324,-830.0923012505008
117,-14.330440668706194,-844.4227419192069
118,-14.8331307843576,-859.2558727035646
119,-13.856067629308566,-873.1119403328731
120,-11.315764959237645,-884.4277052921108
121,-11.434208650994766,-895.8619139431055
122,-13.606497228058513,-909.468411171164
123,-11.905271430092647,-921.3736826012566
124,-10.80000757121787,-932.1736901724745
125,-10.509440116637439,-942.6831302891119
126,-7.995961657328195,-950.67909194644
127,-11.043756203539479,-961.7228481499795
128,-9.935693724317083,-971.6585418742966
129,-8.745377436079718,-980.4039193103763
130,-8.769235612793969,-989.1731549231703
131,-6.3349294719837665,-995.508084395154
132,-7.98575328600517,-1003.4938376811592
133,-7.91271951953256,-1011.4065572006917
134,-3.050033597064864,-1014.4565907977566
135,-6.189423426431762,-1020.6460142241883
136,-4.9359735847589565,-1025.5819878089474
137,-3.040516447875235,-1028.6225042568226
138,-4.0023402755708615,-1032.6248445323934
139,-2.1761997783426277,-1034.801044310736
140,-3.233062803944058,-1038.03410711468
141,-3.710334188098643,-1041.7444413027786
142,-2.032607642313562,-1043.777048945092
143,-2.660916113591678,-1046.4379650586836
144,-3.301375135805131,-1049.7393401944887
145,-1.4613909860218608,-1051.2007311805105
146,-1.425691755938712,-1052.6264229364492
147,0.5860546015769963,-1052.0403683348723
148,-2.8799591346707962,-1054.920327469543
149,-2.5039564415634894,-1057.4242839111066
150,-2.3928915966320448,-1059.8171755077387
151,-1.4358257898224407,-1061.2530012975612
152,0.06313669278169576,-1061.1898646047796
153,-1.3657694625112398,-1062.5556340672908
154,-0.6571511304430526,-1063.2127851977339
155,1.0966140835323976,-1062.1161711142015
156,-1.1589755497048846,-1063.2751466639063
157,-3.2507225398452926,-1066.5258692037517
158,0.11001550967954504,-1066.4158536940722
159,-0.8918067876759657,-1067.3076604817481
160,-0.24765159906836556,-1067.5553120808165
161,1.0909224188673095,-1066.464389661949
162,-1.6128197626688556,-1068.0772094246179
163,-1.4810416250440968,-1069.558251049662
164,-0.4712932120747296,-1070.0295442617366
165,-0.26416792839304903,-1070.2937121901298
166,0.44400066542488653,-1069.8497115247048
167,-1.5965835595536058,-1071.4462950842585
168,-1.579575659201285,-1073.0258707434598
169,0.07870586589948436,-1072.9471648775602
170,-0.5085593845533527,-1073.4557242621136
171,-1.4450493410872893,-1074.9007736032008
172,-1.2532689502182952,-1076.1540425534192
173,0.4675612911823979,-1075.6864812622368
174,0.40124070975110887,-1075.2852405524857
175,0.1083931010490626,-1075.1768474514365
176,-0.7849969311241862,-1075.9618443825607
177,-0.06238810805357664,-1076.0242324906142
178,-0.2818420566173074,-1076.3060745472314
179,0.267725808490522,-1076.038348738741
180,1.1025724758516966,-1074.9357762628892
181,0.5036954767618738,-1074.4320807861275
182,1.039968718628444,-1073.392112067499
183,0.15055432043342631,-1073.2415577470656
184,-1.277789990430334,-1074.519347737496
185,1.002747175309282,-1073.5166005621868
186,-0.603341848056199,-1074.119942410243
187,-1.5242622807718957,-1075.644204691015
188,-1.6975280724632984,-1077.3417327634781
189,0.6528310996575146,-1076.6889016638206
190,0.5006894474720309,-1076.1882122163486
191,-0.43526069698605485,-1076.6234729133346
192,-0.7690485588190634,-1077.3925214721537
193,-0.7867371723617838,-1078.1792586445156
194,-3.34610364213303,-1081.5253622866487
195,1.662502343846972,-1079.8628599428018
196,0.009225033240747466,-1079.8536349095612
197,-0.5513597493060503,-1080.4049946588673
198,0.5349727221612681,-1079.870021936706
199,0.23331238889162748,-1079.6367095478145
200,0.5906580582468035,-1079.0460514895676
201,0.7015521945091294,-1078.3444992950585
202,-0.8015875586222481,-1079.1460868536808
203,-0.09624672340892872,-1079.2423335770898
204,-1.2389691919838393,-1080.4813027690736
205,-0.6989667285122606,-1081.1802694975859
206,0.1916234513874078,-1080.9886460461985
207,-1.1955456230524315,-1082.1841916692508
208,1.8551669447844443,-1080.3290247244663
209,0.730248029104079,-1079.5987766953622
210,0.5102736313098303,-1079.0885030640522
211,1.449572573011662,-1077.6389304910406
212,-1.6321280472943944,-1079.271058538335
213,-0.046991565990497905,-1079.3180501043255
214,-1.241064760419367,-1080.559114864745
215,0.5601066874175396,-1079.9990081773274
216,0.3214917944607737,-1079.6775163828665
217,0.7163510108977649,-1078.9611653719687
218,-0.2751927128158645,-1079.2363580847846
219,0.4672865104150436,-1078.7690715743695
220,-0.399750870394104,-1079.1688224447637
221,-0.8520242553669176,-1080.0208467001305
222,0.14632790100536208,-1079.874518799125
223,1.1708022371087008,-1078.7037165620163
224,-1.181384131096632,-1079.885100693113
225,2.6061648050071033,-1077.2789358881057
226,-0.7024320153195556,-1077.9813679034253
227,0.7662629430658462,-1077.2151049603594
228,-0.07325221842958766,-1077.288357178789
229,1.5223951816775658,-1075.7659619971114
230,-2.174466253947394,-1077.9404282510588
231,-0.3389730232211253,-1078.27940127428
232,-0.05145943918175768,-1078.3308607134618
233,-0.6191650584602575,-1078.9500257719221
234,0.8930520262321475,-1078.05697374569
235,1.6166843444126016,-1076.4402894012774
236,1.6747805971185625,-1074.7655088041588
237,-1.6716130470216153,-1076.4371218511803
238,0.2824077453822027,-1076.1547141057981
239,0.06310373806669055,-1076.0916103677314
240,-1.7905828096171323,-1077.8821931773484
241,2.4451369890522203,-1075.4370561882963
242,0.2620055792138947,-1075.1750506090825
243,1.8398256610547787,-1073.3352249480276
244,-1.2646494184155281,-1074.5998743664431
245,-0.5842141637179001,-1075.184088530161
246,0.8022110362703175,-1074.3818774938907
247,1.4544409595794041,-1072.9274365343113
248,1.484380348751719,-1071.4430561855595
249,0.29461571166572825,-1071.1484404738937
250,-1.3130671703194425,-1072.4615076442133
251,0.9818911055982401,-1071.4796165386151
252,-0.16132446434364375,-1071.6409410029587
253,-0.3641022826484533,-1072.0050432856071
254,-0.38349653749292567,-1072.3885398231
255,0.854240096309133,-1071.5342997267908
256,-0.5389838757943035,-1072.073283602585
257,-0.4184523698038231,-1072.4917359723888
258,1.1549307255164438,-1071.3368052468725
259,-0.25688261900847326,-1071.5936878658808
260,-0.9096462078013181,-1072.5033340736823
261,-1.0061145547924748,-1073.5094486284747
262,-0.29776948033093265,-1073.8072181088057
263,1.543981068208839,-1072.2632370405968
264,2.138552937600893,-1070.1246841029958
265,0.7343699323671935,-1069.3903141706287
266,1.494743749343261,-1067.8955704212854
267,0.5400017951914377,-1067.3555686260938
268,-0.6599750821683911,-1068.0155437082622
269,1.473737332377971,-1066.541806375884
270,0.7993481029233706,-1065.7424582729607
271,-1.3197888344640214,-1067.0622471074248
272,-1.0426962636588284,-1068.1049433710837
273,1.3934869133089078,-1066.7114564577748
274,0.5597920431829759,-1066.1516644145918
275,-0.4550202204261065,-1066.606684635018
276,-1.6781957294370768,-1068.284880364455
277,-0.3785924417298566,-1068.6634728061847
278,-1.1570868203429114,-1069.8205596265277
279,2.4078026411875464,-1067.4127569853401
280,-0.5504019930783678,-1067.9631589784185
281,1.5862965800087314,-1066.3768623984097
282,-0.16987914165089313,-1066.5467415400606
283,0.4725129239349254,-1066.0742286161255
284,-0.8087377370173352,-1066.8829663531428
285,0.7990807777857403,-1066.083885575357
286,-0.9021557376809046,-1066.986041313038
287,0.9222171387762828,-1066.0638241742618
288,1.9040484290734057,-1064.1597757451884
289,-0.4272084144496117,-1064.586984159638
290,-0.1446992040794481,-1064.7316833637174
291,0.8665998324592532,-1063.865083531258
292,-0.49100565118969147,-1064.3560891824477
293,-0.9856675140185032,-1065.3417566964663
294,1.4327623975726251,-1063.9089942988937
295,-1.3723727967200028,-1065.2813670956136
296,0.015432355355665965,-1065.265934740258
297,-1.077555517693336,-1066.3434902579513
298,-1.317299600288078,-1067.6607898582395
299,0.6142049587223023,-1067.0465848995173
300,-0.39458158122164705,-1067.441166480739
301,-0.19893638712355638,-1067.6401028678624
302,-0.08567056413880639,-1067.7257734320012
303,1.1379363653490202,-1066.5878370666521
304,0.4323882501843288,-1066.1554488164677
305,1.130308196926118,-1065.0251406195416
306,1.9228414920915586,-1063.1022991274501
307,-1.0251839765619581,-1064.127483104012
308,-1.146579760336018,-1065.274062864348
309,1.2577258928995085,-1064.0163369714485
310,-0.646377886177962,-1064.6627148576265
311,-0.1902248041273639,-1064.852939661754
312,0.17707099751987782,-1064.675868664234
313,0.6146942564892265,-1064.0611744077448
314,-1.0348351615526639,-1065.0960095692974
315,-0.15416473486846233,-1065.250174304166
316,0.827867951434293,-1064.4223063527318
317,-0.30296921817423417,-1064.725275570906
318,0.2536266716260834,-1064.47164889928
319,-0.995352086548116,-1065.467000985828
320,0.058174581150569275,-1065.4088264046775
321,0.38759063677325045,-1065.0212357679043
322,-0.8758794767608927,-1065.8971152446652
323,1.2876207956993782,-1064.6094944489657
324,0.9738753319176746,-1063.635619117048
