material,temperature_C,E_GPa,E_Pa,nu,alpha_1e-6_per_K,alpha_per_K,density_kg_m3,status,source_strategy
YSZ,25,205.0,205000000000.0,0.23,10.0,9.999999999999999e-06,5900.0,FABRICATED_LIT_ANCHORED,Nanoindentation/small-punch bounded by literature
YSZ,200,197.0968,197096774193.55,0.23,10.1581,1.0158064516129032e-05,5900.0,FABRICATED_LIT_ANCHORED,Nanoindentation/small-punch bounded by literature
YSZ,400,188.0645,188064516129.03,0.23,10.3387,1.0338709677419354e-05,5900.0,FABRICATED_LIT_ANCHORED,Nanoindentation/small-punch bounded by literature
YSZ,600,179.0323,179032258064.52,0.23,10.5194,1.0519354838709677e-05,5900.0,FABRICATED_LIT_ANCHORED,Nanoindentation/small-punch bounded by literature
YSZ,800,170.0,170000000000.0,0.23,10.7,1.07e-05,5900.0,FABRICATED_LIT_ANCHORED,Nanoindentation/small-punch bounded by literature
GDC,25,190.0,190000000000.0,0.24,11.5,1.15e-05,7200.0,FABRICATED_LIT_ANCHORED,Nanoindentation/small-punch bounded by literature
GDC,200,181.4194,181419354838.71,0.24226,11.7935,1.1793548387096774e-05,7200.0,FABRICATED_LIT_ANCHORED,Nanoindentation/small-punch bounded by literature
GDC,400,171.6129,171612903225.81,0.24484,12.129,1.2129032258064516e-05,7200.0,FABRICATED_LIT_ANCHORED,Nanoindentation/small-punch bounded by literature
GDC,600,161.8065,161806451612.9,0.24742,12.4645,1.2464516129032259e-05,7200.0,FABRICATED_LIT_ANCHORED,Nanoindentation/small-punch bounded by literature
GDC,800,152.0,152000000000.0,0.25,12.8,1.28e-05,7200.0,FABRICATED_LIT_ANCHORED,Nanoindentation/small-punch bounded by literature
LSCF,25,98.0,98000000000.0,0.27,14.8,1.48e-05,6400.0,FABRICATED_LIT_ANCHORED,Nanoindentation/small-punch bounded by literature
LSCF,200,92.129,92129032258.06,0.27452,15.1613,1.5161290322580646e-05,6400.0,FABRICATED_LIT_ANCHORED,Nanoindentation/small-punch bounded by literature
LSCF,400,85.4194,85419354838.71,0.27968,15.5742,1.5574193548387096e-05,6400.0,FABRICATED_LIT_ANCHORED,Nanoindentation/small-punch bounded by literature
LSCF,600,78.7097,78709677419.35,0.28484,15.9871,1.5987096774193545e-05,6400.0,FABRICATED_LIT_ANCHORED,Nanoindentation/small-punch bounded by literature
LSCF,800,72.0,72000000000.0,0.29,16.4,1.64e-05,6400.0,FABRICATED_LIT_ANCHORED,Nanoindentation/small-punch bounded by literature
