firm_code,survey_date,years_operation,employees_cat,employees_est,annual_revenue_cat,ownership_type,fdi_partnership,FDI,fdi_equity,fdi_joint_venture,fdi_tech_transfer,fdi_mgmt_contract,years_with_fdi,ka1,ka2,ka3,ka4,tp1,tp2,tp3,tp4,r_and_d_pct,new_products_3yr,proc_innov_iot,proc_innov_automation,proc_innov_quality,proc_innov_other,inn1,inn2,inn3,skilled_workforce_pct,training_hours_per_employee,modern_equipment,machinery_age_years,access_credit,reinvestment_rate_pct,gp1_tax_incentives,gp2_regulatory_stability,gp3_infrastructure_support,gp4_ease_of_permits,avg_roi_pct,avg_roa_pct,export_intensity_pct,capacity_utilization_pct,market_share_lagos_pct,KA_score,TP_score,INN_score,FR_score,GP_score,PERFORM_index
FIRM001,28/06/2025,1,51-250,150,>5B,Local,No,0,0,0,0,0,0,5,4,4,2,3,2,3,1,1.97,2,0,1,0,0,1.97,2,1,45.4,37.5,1,10,Difficult,25.9,4,1,3,5,0.42,2.17,14.29,63.64,5.0,3.75,2.25,0.996,0.615,2.667,19.72
FIRM002,21/06/2025,38,500+,700,500M-5B,Local,Yes,1,1,1,1,0,3,3,4,3,4,3,4,3,4,5.19,6,1,0,0,0,5.19,6,1,69.5,38.2,1,9,Moderate,26.5,3,4,6,3,15.65,6.51,19.07,93.57,12.39,3.5,3.5,1.776,0.717,4.333,42.84
FIRM003,12/03/2025,15,1-50,35,<50M,Local,No,0,0,0,0,0,0,2,3,4,3,2,3,4,1,4.18,1,1,0,0,0,4.18,1,1,58.8,33.0,0,9,Difficult,14.5,3,3,4,3,3.27,-3,6.79,69.46,3.88,3.0,2.5,1.219,0.442,3.333,16.56
FIRM004,16/04/2025,7,1-50,35,50M-500M,Local,No,0,0,0,0,0,0,2,3,3,2,2,1,3,2,2.85,2,0,0,0,0,2.85,2,0,59.7,0,0,11,Easy,30.0,5,2,4,5,0.2,-1.01,8.55,58.8,4.03,2.5,2.0,0.562,0.445,3.667,14.51
FIRM005,28/01/2025,10,1-50,35,<50M,Foreign-owned,Yes,1,0,0,1,0,7,4,4,4,5,2,2,4,3,2.77,2,0,0,1,0,2.77,2,1,51.4,0.4,0,10,Difficult,15.6,3,1,4,4,8.74,-0.53,21.81,64.73,6.5,4.25,2.75,1.108,0.312,2.667,25.13
FIRM006,29/05/2025,10,500+,700,500M-5B,Foreign-owned,Yes,1,0,0,0,0,10,4,4,3,5,5,2,5,2,3.18,2,1,1,1,0,3.18,2,3,53.4,15.7,1,12,Moderate,18.3,4,3,7,4,15.46,13.85,18.76,66.79,5.52,4.0,3.5,2.275,0.544,4.667,40.21
FIRM007,01/02/2025,6,1-50,35,50M-500M,Local,No,0,0,0,0,0,0,2,3,3,4,2,3,2,2,2.58,0,0,0,1,0,2.58,0,1,27.8,5.4,0,5,Moderate,7.7,4,2,5,2,1.32,4.51,5.32,58.71,0.91,3.0,2.25,0.914,0.303,3.667,17.63
FIRM008,17/04/2025,16,1-50,35,50M-500M,Local,No,0,0,0,0,0,0,2,3,4,1,2,1,4,1,1.89,2,0,0,0,0,1.89,2,0,54.2,21.2,0,6,Difficult,11.8,3,5,5,1,-5,-1.73,0,53.07,4.33,2.5,2.0,0.429,0.402,4.333,7.96
FIRM009,29/04/2025,15,1-50,35,<50M,Local,No,0,0,0,0,0,0,3,4,4,3,4,4,2,3,3.14,3,0,0,1,0,3.14,3,1,39.1,43.1,1,16,Difficult,13.5,2,4,6,4,5.63,8.25,16.53,69.72,5.21,3.5,3.25,1.241,0.519,4.0,29.6
FIRM010,21/03/2025,17,251-500,350,50M-500M,Local,No,0,0,0,0,0,0,5,5,4,2,5,5,2,2,3.02,3,0,1,0,0,3.02,3,1,73.6,26.9,1,15,Moderate,25.6,6,5,5,2,10.05,4.93,6.93,55.06,8.04,4.0,3.5,1.225,0.641,5.333,26.07
FIRM011,18/05/2025,24,51-250,150,50M-500M,Joint venture,No,0,0,0,0,0,0,2,4,2,3,2,3,2,2,2.16,4,0,0,0,0,2.16,4,0,48.0,30.1,0,11,Difficult,24.6,2,3,2,4,-4.88,0.59,2.67,62.64,2.44,2.75,2.25,0.634,0.433,2.333,11.53
FIRM012,04/03/2025,29,251-500,350,500M-5B,Foreign-owned,Yes,1,1,0,1,0,2,2,4,4,5,4,2,3,5,4.34,4,1,1,1,0,4.34,4,3,71.0,35.7,1,11,Moderate,20.4,3,4,5,3,19.58,4.83,22.01,67.81,8.69,3.75,3.5,2.603,0.671,4.0,37.79
