node_id,x,y,z,time,von_mises_stress,principal_stress_1,principal_stress_2,principal_stress_3,shear_stress,elastic_strain,plastic_strain,creep_strain,thermal_strain,total_strain,damage,temperature,voltage,delamination_risk,crack_risk
0,0.0,0.0,0.0,2070,61718109.97440652,203280598.96224305,132091763.89435184,170556272.03146213,4615876.950493795,0.00041145406649604343,0.0,12955589913.488543,2.6346792200921956e-05,12955589913.488981,0.0003394905980441287,22.79021152696347,-0.04994345830742686,0.15393653274484698,0.0004190543613072915
1,0.0,0.0,0.35714285714285715,2070,156126696.5918388,206663323.34276888,189526514.2683234,42675188.01263945,9842978.120705666,0.0010408446439455921,0.0003369683125511344,1342084797130.7036,2.6346792200921956e-05,1342084797130.705,0.0008887619216880338,26.077647686132618,0.2538682532192236,0.3286179892871955,0.002775189257795345
2,0.0,0.0,0.7142857142857143,2070,161110835.4968762,243134863.0572863,88044119.20824389,76612824.56357658,-13663441.221272457,0.0010740722366458413,0.0006110959523281915,1570427356927.3274,2.6346792200921956e-05,1570427356927.329,0.0009589514669504933,28.5705824789734,0.558350230835231,-0.4578160458013755,0.003089949440826981
3,0.0,0.0,1.0714285714285714,2070,106351344.21430697,231823796.70350504,126749147.36534867,124240155.4815674,-12653064.186473912,0.0007090089614287131,0.0,196838034724.8013,2.6346792200921956e-05,196838034724.80203,0.0007706111188153773,29.81343883606702,0.8645196308085966,-0.4289804703222302,0.0016391105670501278
4,0.0,0.0,1.4285714285714286,2070,135651676.05381814,208252242.96575376,190164800.2145738,64464280.424716905,-10318824.00712718,0.0009043445070254542,0.0,664538157969.1678,2.6346792200921956e-05,664538157969.1687,0.0018534421157978755,32.21187671288204,1.1735787365558568,-0.3633021698905001,0.005028450589534334
5,0.0,0.0,1.7857142857142858,2070,209577296.7942919,370638414.3677309,302022041.0630034,135353890.00994864,121905545.48645654,0.0013971819786286128,0.003276751323686055,5849453254696.723,2.6346792200921956e-05,5849453254696.728,0.005495303783521521,34.356687150450945,1.485441662109685,4.814964088313798,0.023033818240277705
6,0.0,0.0,2.142857142857143,2070,545545511.2023429,620209014.3392435,473708194.0060933,16371158.95339912,227839555.33034298,0.0036369700746822857,0.02175500311612886,699115669838731.6,2.6346792200921956e-05,699115669838731.6,0.01805130139223702,36.292327753471255,1.797210453199281,12.213361103703035,0.19695612891791014
7,0.0,0.0,2.5,2070,333836980.6921319,624229985.8541468,514841580.3203334,249422112.2940103,338619035.9691562,0.002225579871280879,0.010111033938067254,59988267874334.33,2.6346792200921956e-05,59988267874334.34,0.014692593766664751,39.07794588149731,2.104289321881345,33.86190359691562,0.09809862283198796
8,0.0,0.0,2.857142857142857,2070,395055930.1816913,528919285.0758284,553416337.7478802,146681932.3496141,233469301.93980518,0.002633706201211275,0.01347807615999302,139215319916472.66,2.6346792200921956e-05,139215319916472.67,0.01362454598666019,41.83683676953402,2.404353310342138,12.515144207887985,0.1076491537612654
9,0.0,0.0,3.2142857142857144,2070,192129544.059946,291088662.6323326,240346483.8101788,78680985.44504505,70451664.91203791,0.0012808636270663066,0.00231712492329703,3787606590493.401,2.6346792200921956e-05,3787606590493.4043,0.00526649165217938,43.52280712212013,2.6997273763953995,2.7826645224360744,0.02023697279857472
10,0.0,0.0,3.5714285714285716,2070,75412093.27545764,268157422.1421984,236971646.811609,182154525.42308506,-452517.1440533409,0.0005027472885030509,0.0,35285728077.60904,2.6346792200921956e-05,35285728077.609566,0.0015221244105168919,46.324916998384985,2.9950073079844284,-0.015932092671963383,0.0022957317604550163
11,0.0,0.0,3.928571428571429,2070,158555479.41554973,245052208.80272353,146897756.02231103,62131351.25201663,-12774313.261658058,0.001057036529436998,0.0004705513678552349,1449774238894.4895,2.6346792200921956e-05,1449774238894.491,0.0010987685361681734,48.979489961183916,3.2930910593800258,-0.4330912125528934,0.0034843154403773305
12,0.0,0.0,4.285714285714286,2070,131181771.06221472,227683126.4657914,76386352.10490823,145661230.83134124,-39249083.33766957,0.0008745451404147648,0.0,562032658962.9204,2.6346792200921956e-05,562032658962.9213,0.0007401918138632603,50.090902323372816,3.594064516549517,-1.3151050195908935,0.0019419934613667132
13,0.0,0.0,4.642857142857143,2070,125435365.07810247,141042427.55760258,151827641.4277521,21347904.125048403,-8317498.700106238,0.0008362357671873498,0.0,449256214829.4979,2.6346792200921956e-05,449256214829.4988,0.0006910242361403799,52.50262391083302,3.896725396076367,-0.2776882834858744,0.0017335775467617086
14,0.0,0.0,5.0,2070,197112811.3424407,194145251.82096684,166396844.1727685,-15371431.541863047,12245962.767331341,0.0013140854089496046,0.002591204623834238,4304952497600.7593,2.6346792200921956e-05,4304952497600.763,0.0013650792510604406,55.11727640426455,4.2000565416925735,0.40839499595495377,0.005381492177635137
15,0.3448275862068966,0.0,0.0,2070,130705543.22025155,216425349.95527098,209473024.57764527,82382392.4548225,-6911381.970902814,0.0008713702881350103,0.0,551904753788.518,2.6346792200921956e-05,551904753788.5188,0.0007189214808962763,23.32598234285578,-0.049938835309792644,-0.23049015138113918,0.0018793404538651097
16,0.3448275862068966,0.0,0.35714285714285715,2070,98244019.50963202,225826504.83644867,176131166.60924804,112663110.12274894,492806.13573782076,0.0006549601300642135,0.0,132411198422.41302,2.6346792200921956e-05,132411198422.41371,0.0005414718355137923,25.586244897013557,0.25389252238383625,0.01645284175669235,0.0010639273914426655
17,0.3448275862068966,0.0,0.7142857142857143,2070,184172228.57108617,231323041.24111915,137654388.30639175,19143477.860545296,-7338201.769179559,0.0012278148571405745,0.0018794725714097393,3065595284557.4844,2.6346792200921956e-05,3065595284557.4873,0.001222019988770172,27.8181872803613,0.5584489488868041,-0.24587850621613566,0.004501242893804326
18,0.3448275862068966,0.0,1.0714285714285714,2070,126696332.09994829,253629803.887886,189697325.7655014,107705505.66268152,18270358.015718292,0.0008446422139996553,0.0,472296049948.9134,2.6346792200921956e-05,472296049948.91425,0.0008825085521864046,29.89543417944722,0.8648307658413091,0.6194251968560123,0.0022362119321770652
19,0.3448275862068966,0.0,1.4285714285714286,2070,101212443.12935367,243452834.04548252,195690622.40242413,127197289.12722363,50733697.71598272,0.0006747496208623578,0.0,153660996101.19516,2.6346792200921956e-05,153660996101.19586,0.0016640263347133212,32.34025789740393,1.1743385585211081,1.7862173493854085,0.003368403415358377
20,0.3448275862068966,0.0,1.7857142857142858,2070,253208244.413969,427947511.407734,382177531.7958225,154976043.0309683,93255414.27244556,0.0016880549627597934,0.005676453442768296,15058555484808.547,2.6346792200921956e-05,15058555484808.555,0.006148099664760407,35.9791074441233,1.4868794186960859,3.683355576408431,0.031134990451921883
21,0.3448275862068966,0.0,2.142857142857143,2070,392454978.9766147,680829552.6910964,464870198.27201927,227825124.98863062,288083722.14634675,0.002616366526510765,0.01333502384371381,134692470605044.17,2.6346792200921956e-05,134692470605044.19,0.01356008217831767,37.05902254038894,1.799318447725221,15.4427554143124,0.10643443532425659
22,0.3448275862068966,0.0,2.5,2070,359849456.92325526,600196442.0169708,189981086.4435302,337781232.5544003,410353774.68454427,0.0023989963794883683,0.01154172013077904,87296807356497.34,2.6346792200921956e-05,87296807356497.36,0.015263476959639477,39.49171370703686,2.1066840939442795,41.03537746845443,0.1098510778937377
23,0.3448275862068966,0.0,2.857142857142857,2070,367515116.11940384,457268120.0462874,352839512.7097353,48839891.81361421,243031245.90434012,0.002450100774129359,0.011963331386567211,96999642979071.44,2.6346792200921956e-05,96999642979071.45,0.0129627326744125,41.724579355363396,2.406461304868078,13.027713126497902,0.09528000408123
24,0.3448275862068966,0.0,3.2142857142857144,2070,263109397.72396117,372015053.08287925,294763916.7566388,78927795.02736275,84563081.87214896,0.0017540626514930746,0.006221016874817864,18242145073277.25,2.6346792200921956e-05,18242145073277.258,0.006312271763797976,44.49158617878983,2.7011651329818003,3.340030191298986,0.03321636044085703
25,0.3448275862068966,0.0,3.5714285714285716,2070,162417942.65355235,287629929.806542,154850623.66322026,106537051.01351723,-27487469.491119258,0.0010827862843570157,0.0006829868459453795,1635174582715.0134,2.6346792200921956e-05,1635174582715.0151,0.002061667707204251,46.288099382773176,2.9957671299496798,-0.9677708723421458,0.006697036548787616
26,0.3448275862068966,0.0,3.928571428571429,2070,269957595.79274106,379336006.6670911,137051572.57933015,88338576.94112347,-27622127.145792335,0.0017997173052849405,0.006597667768600758,20743014047274.117,2.6346792200921956e-05,20743014047274.125,0.0026500452932546603,48.99252043605698,3.2934021944127383,-0.9364809124235189,0.014307997122177951
27,0.3448275862068966,0.0,4.285714285714286,2070,140543257.53988487,262331461.53351626,124999679.26538739,118783039.56470479,-7174209.548721211,0.0009369550502658991,0.0,793312286081.4238,2.6346792200921956e-05,793312286081.4248,0.0007916799894904461,51.080390780887846,3.5941632346010897,-0.24038367744667896,0.002225305693042582
28,0.3448275862068966,0.0,4.642857142857143,2070,95251967.87257537,190763899.93689212,186960209.11522365,93667063.39890878,-29455637.429125737,0.0006350131191505025,0.0,113439391158.72083,2.6346792200921956e-05,113439391158.7215,0.0005250155515099808,53.023595946080746,3.8967496652409794,-0.9834068740607947,0.0010001752889006227
29,0.3448275862068966,0.0,5.0,2070,156215580.0334776,200286499.4681454,250761557.7136331,75549001.28123407,10758619.682194628,0.001041437200223184,0.00034185690184126825,1345909415823.896,2.6346792200921956e-05,1345909415823.8975,0.0008885985391842894,55.350427409295236,4.200061164690208,0.3587930589918213,0.002776258724311493
30,0.6896551724137931,0.0,0.0,2070,68845922.79845928,203256105.6821694,162489395.9248962,123768456.39402227,1176612.1828134903,0.00045897281865639515,0.0,22376143083.024986,2.6346792200921956e-05,22376143083.02547,0.00037869356857641895,23.289668146953783,-0.049934392449232125,0.03923926087073845,0.0005214301637297037
