country_code,country_name,year,value,indicator
BW,Botswana,2021,4.027967,GFDD.EI.01
BW,Botswana,2020,4.739947,GFDD.EI.01
BW,Botswana,2019,4.910614,GFDD.EI.01
BW,Botswana,2018,4.791569,GFDD.EI.01
BW,Botswana,2017,5.650038,GFDD.EI.01
BW,Botswana,2016,5.34478,GFDD.EI.01
BW,Botswana,2015,4.674407,GFDD.EI.01
BW,Botswana,2014,6.116154,GFDD.EI.01
BW,Botswana,2013,6.938756,GFDD.EI.01
BW,Botswana,2012,6.710332,GFDD.EI.01
BW,Botswana,2011,5.794765,GFDD.EI.01
BW,Botswana,2010,5.764369,GFDD.EI.01
ET,Ethiopia,2021,3.616413,GFDD.EI.01
ET,Ethiopia,2020,4.933449,GFDD.EI.01
ET,Ethiopia,2019,5.110764,GFDD.EI.01
ET,Ethiopia,2018,4.987929,GFDD.EI.01
ET,Ethiopia,2017,4.724348,GFDD.EI.01
ET,Ethiopia,2016,4.940063,GFDD.EI.01
ET,Ethiopia,2015,7.221776,GFDD.EI.01
ET,Ethiopia,2014,4.363307,GFDD.EI.01
ET,Ethiopia,2013,6.938034,GFDD.EI.01
ET,Ethiopia,2012,2.241755,GFDD.EI.01
ET,Ethiopia,2011,5.493914,GFDD.EI.01
ET,Ethiopia,2010,4.48166,GFDD.EI.01
GH,Ghana,2021,9.350288,GFDD.EI.01
GH,Ghana,2020,9.742304,GFDD.EI.01
GH,Ghana,2019,9.408853,GFDD.EI.01
GH,Ghana,2018,10.155,GFDD.EI.01
GH,Ghana,2017,10.73302,GFDD.EI.01
GH,Ghana,2016,11.53712,GFDD.EI.01
GH,Ghana,2015,11.38452,GFDD.EI.01
GH,Ghana,2014,10.16256,GFDD.EI.01
GH,Ghana,2013,11.75731,GFDD.EI.01
GH,Ghana,2012,9.63511,GFDD.EI.01
GH,Ghana,2011,9.241068,GFDD.EI.01
GH,Ghana,2010,12.25123,GFDD.EI.01
KE,Kenya,2021,6.141816,GFDD.EI.01
KE,Kenya,2020,6.17158,GFDD.EI.01
KE,Kenya,2019,6.414746,GFDD.EI.01
KE,Kenya,2018,6.793861,GFDD.EI.01
KE,Kenya,2017,7.625978,GFDD.EI.01
KE,Kenya,2016,8.750386,GFDD.EI.01
KE,Kenya,2015,8.403988,GFDD.EI.01
KE,Kenya,2014,8.469942,GFDD.EI.01
KE,Kenya,2013,9.564338,GFDD.EI.01
KE,Kenya,2012,8.066826,GFDD.EI.01
KE,Kenya,2011,8.184575,GFDD.EI.01
KE,Kenya,2010,8.157368,GFDD.EI.01
NG,Nigeria,2021,3.606432,GFDD.EI.01
NG,Nigeria,2020,4.724388,GFDD.EI.01
NG,Nigeria,2019,5.871056,GFDD.EI.01
NG,Nigeria,2018,6.172265,GFDD.EI.01
NG,Nigeria,2017,7.400814,GFDD.EI.01
NG,Nigeria,2016,5.651366,GFDD.EI.01
NG,Nigeria,2015,6.706002,GFDD.EI.01
NG,Nigeria,2014,7.122639,GFDD.EI.01
NG,Nigeria,2013,7.724467,GFDD.EI.01
NG,Nigeria,2012,9.363226,GFDD.EI.01
NG,Nigeria,2011,11.9194,GFDD.EI.01
NG,Nigeria,2010,2.243317,GFDD.EI.01
RW,Rwanda,2021,9.505542,GFDD.EI.01
RW,Rwanda,2020,9.448387,GFDD.EI.01
RW,Rwanda,2019,11.03955,GFDD.EI.01
RW,Rwanda,2018,8.762162,GFDD.EI.01
RW,Rwanda,2017,9.177214,GFDD.EI.01
RW,Rwanda,2016,8.970894,GFDD.EI.01
RW,Rwanda,2015,8.831505,GFDD.EI.01
RW,Rwanda,2014,8.763428,GFDD.EI.01
RW,Rwanda,2013,7.908429,GFDD.EI.01
RW,Rwanda,2012,10.08424,GFDD.EI.01
RW,Rwanda,2011,9.869065,GFDD.EI.01
RW,Rwanda,2010,8.785488,GFDD.EI.01
TZ,Tanzania,2021,8.044245,GFDD.EI.01
TZ,Tanzania,2020,8.409493,GFDD.EI.01
TZ,Tanzania,2019,8.998036,GFDD.EI.01
TZ,Tanzania,2018,8.799294,GFDD.EI.01
TZ,Tanzania,2017,8.934196,GFDD.EI.01
TZ,Tanzania,2016,9.077875,GFDD.EI.01
TZ,Tanzania,2015,7.847142,GFDD.EI.01
TZ,Tanzania,2014,8.494184,GFDD.EI.01
TZ,Tanzania,2013,7.525473,GFDD.EI.01
TZ,Tanzania,2012,7.034775,GFDD.EI.01
TZ,Tanzania,2011,7.180097,GFDD.EI.01
TZ,Tanzania,2010,5.767507,GFDD.EI.01
UG,Uganda,2021,9.678479,GFDD.EI.01
UG,Uganda,2020,8.615598,GFDD.EI.01
UG,Uganda,2019,10.91215,GFDD.EI.01
UG,Uganda,2018,9.739607,GFDD.EI.01
UG,Uganda,2017,10.68296,GFDD.EI.01
UG,Uganda,2016,10.0059,GFDD.EI.01
UG,Uganda,2015,8.625214,GFDD.EI.01
