company_id,quarter,quarter_date,active_users,user_growth_rate,churn_rate,total_transactions,transaction_volume_usd,avg_transaction_value_usd,customer_acquisition_cost_usd,agents_count
FT0001,Q1,2025-10-11,850,0.108,0.0634,4772,1994766.53,418.01,25.34,0
FT0001,Q2,2025-07-13,1730,0.1008,0.0615,25772,8306890.93,322.32,15.09,0
FT0001,Q3,2025-04-14,485,-0.067,0.0676,2450,1122873.39,458.32,41.78,0
FT0001,Q4,2025-01-14,1187,0.0703,0.076,21912,10294195.9,469.8,29.59,0
FT0001,Q5,2024-10-16,985,0.0391,0.044,8990,903583.24,100.51,12.86,0
FT0001,Q6,2024-07-18,734,-0.0175,0.0709,9386,1465299.99,156.12,27.63,0
FT0001,Q7,2024-04-19,501,-0.1514,0.0295,1188,208943.12,175.88,21.36,0
FT0001,Q8,2024-01-20,946,0.0813,0.0519,13599,5945679.45,437.21,10.02,0
FT0002,Q1,2025-10-11,13200,0.027,0.0317,217671,5147133.58,23.65,5.88,0
FT0002,Q2,2025-07-13,7286,-0.0625,0.0698,142416,11480287.9,80.61,32.17,0
FT0002,Q3,2025-04-14,12025,-0.0026,0.0717,165395,69665076.6,421.2,27.6,0
FT0002,Q4,2025-01-14,19914,0.0818,0.0633,252202,3254622.8,12.9,43.13,0
FT0002,Q5,2024-10-16,10805,-0.03,0.0453,42480,15559624.53,366.28,14.27,0
FT0002,Q6,2024-07-18,13926,0.0208,0.0289,43617,17468800.42,400.5,35.9,0
FT0002,Q7,2024-04-19,20333,0.1815,0.0779,155732,10298120.61,66.13,41.46,0
FT0002,Q8,2024-01-20,12246,-0.0186,0.036,206442,23825283.88,115.41,49.42,0
FT0003,Q1,2025-10-11,3160,-0.1211,0.0439,49656,4636075.85,93.36,39.81,0
FT0003,Q2,2025-07-13,6047,0.0939,0.0725,73272,1687839.29,23.04,14.64,0
FT0003,Q3,2025-04-14,8903,0.164,0.0315,122710,39609248.94,322.79,47.93,0
FT0003,Q4,2025-01-14,2713,-0.0137,0.0665,31387,12673481.22,403.78,13.41,0
FT0003,Q5,2024-10-16,7318,0.1953,0.0607,66536,20478281.4,307.78,16.94,0
FT0003,Q6,2024-07-18,1455,-0.1685,0.0301,19822,6937387.59,349.98,35.93,0
FT0003,Q7,2024-04-19,2220,-0.0885,0.0656,22655,8814771.05,389.09,32.54,0
FT0003,Q8,2024-01-20,2877,-0.0243,0.0424,49041,17358264.39,353.95,35.97,0
FT0004,Q1,2025-10-11,4750,-0.2494,0.0585,57271,19650100.29,343.11,33.12,0
FT0004,Q2,2025-07-13,13347,0.1411,0.0258,216690,103223554.15,476.37,21.83,0
FT0004,Q3,2025-04-14,4345,-0.0094,0.0225,62636,8323772.21,132.89,43.35,0
FT0004,Q4,2025-01-14,6333,0.0582,0.0536,58532,15847248.82,270.75,12.27,0
FT0004,Q5,2024-10-16,6540,0.0816,0.0757,90717,21278468.49,234.56,46.15,0
FT0004,Q6,2024-07-18,4698,0.0037,0.0254,61560,23856710.74,387.54,31.94,0
FT0004,Q7,2024-04-19,6833,0.1519,0.0677,79286,5177415.51,65.3,9.56,0
FT0004,Q8,2024-01-20,3831,-0.0649,0.0724,63390,16401655.01,258.74,21.56,0
FT0005,Q1,2025-10-11,8700,-0.0457,0.0536,98921,2042919.52,20.65,22.63,26
FT0005,Q2,2025-07-13,6287,-0.0318,0.0621,124014,39771916.45,320.71,11.22,23
FT0005,Q3,2025-04-14,3024,-0.1313,0.0598,34215,8554288.87,250.02,24.46,6
FT0005,Q4,2025-01-14,3841,-0.1143,0.0757,15397,2475604.38,160.78,42.79,7
FT0005,Q5,2024-10-16,6399,-0.0438,0.0765,46850,16793544.78,358.45,31.15,13
FT0005,Q6,2024-07-18,5596,-0.0867,0.0687,85436,31910177.67,373.5,13.01,13
FT0005,Q7,2024-04-19,10559,0.0808,0.0419,71722,30858648.31,430.25,28.15,73
FT0005,Q8,2024-01-20,8764,0.034,0.0596,130874,54925049.14,419.68,28.55,74
FT0006,Q1,2025-10-11,212,0.0674,0.0648,3277,1308812.44,399.39,24.85,0
FT0006,Q2,2025-07-13,388,0.0868,0.064,6745,2133194.79,316.26,41.11,0
FT0006,Q3,2025-04-14,269,0.0383,0.0221,3461,207717.84,60.02,44.32,0
FT0006,Q4,2025-01-14,213,0.0056,0.0272,3924,906576.44,231.03,41.64,0
FT0006,Q5,2024-10-16,516,0.2055,0.0514,2193,191811.28,87.47,13.48,0
FT0006,Q6,2024-07-18,258,0.0613,0.0411,4238,1974735.69,465.96,24.48,0
FT0006,Q7,2024-04-19,132,-0.124,0.0623,834,336398.22,403.36,6.88,0
FT0006,Q8,2024-01-20,218,0.0449,0.0574,2020,576974.5,285.63,33.98,0
FT0007,Q1,2025-10-11,82000,-0.1111,0.0439,1463246,321585839.55,219.78,48.24,0
FT0007,Q2,2025-07-13,144299,0.0827,0.0736,1808057,655234851.71,362.4,36.02,0
FT0007,Q3,2025-04-14,355447,0.242,0.0608,4464830,596575806.87,133.62,40.82,0
FT0007,Q4,2025-01-14,128195,0.0856,0.0485,1086829,433336174.15,398.72,47.24,0
FT0007,Q5,2024-10-16,285620,0.2879,0.0219,3825264,357401596.28,93.43,23.89,0
FT0007,Q6,2024-07-18,129622,0.1341,0.0505,2205458,90106170.61,40.86,40.3,0
FT0007,Q7,2024-04-19,101822,0.0984,0.0691,772543,250318244.78,324.02,34.53,0
FT0007,Q8,2024-01-20,69440,-0.0633,0.0326,438951,72841701.16,165.94,30.06,0
FT0008,Q1,2025-10-11,21250,-0.0623,0.0498,247100,36009618.86,145.73,20.68,0
FT0008,Q2,2025-07-13,18071,-0.0165,0.0279,178762,25078282.98,140.29,6.36,0
FT0008,Q3,2025-04-14,41699,0.1093,0.0561,526487,146134083.34,277.56,47.06,0
FT0008,Q4,2025-01-14,56861,0.1817,0.0205,309717,10351317.51,33.42,12.53,0
FT0008,Q5,2024-10-16,33333,0.1039,0.0476,202801,100583546.67,495.97,18.99,0
FT0008,Q6,2024-07-18,15871,-0.0499,0.0791,165961,69298922.27,417.56,29.96,0
FT0008,Q7,2024-04-19,23377,0.0432,0.0324,273052,113572654.69,415.94,11.89,0
FT0008,Q8,2024-01-20,27947,0.1723,0.0503,496997,105596781.87,212.47,10.67,0
FT0009,Q1,2025-10-11,6750,0.0535,0.0443,98649,8815661.38,89.36,46.71,0
FT0009,Q2,2025-07-13,20880,0.157,0.0425,250309,32133830.97,128.38,40.83,0
FT0009,Q3,2025-04-14,2687,-0.1164,0.0471,43577,5709109.05,131.01,33.55,0
FT0009,Q4,2025-01-14,14015,0.1383,0.052,101540,20545383.99,202.34,42.02,0
FT0009,Q5,2024-10-16,8559,0.0591,0.0512,56572,12994576.99,229.7,10.42,0
FT0009,Q6,2024-07-18,2004,-0.2552,0.0259,12076,4602847.54,381.16,7.51,0
FT0009,Q7,2024-04-19,6442,0.0041,0.0575,27552,4847366.71,175.94,23.65,0
FT0009,Q8,2024-01-20,7857,0.0894,0.0209,88346,37291910.41,422.11,11.26,0
FT0010,Q1,2025-10-11,13350,0.0194,0.0313,155112,21965967.04,141.61,42.47,0
FT0010,Q2,2025-07-13,5230,-0.1049,0.0441,93005,33604369.81,361.32,14.73,0
FT0010,Q3,2025-04-14,26752,0.1104,0.0414,179945,89048442.87,494.86,16.47,0
