company_id,event_date,event_type,severity,fine_amount_usd,resolution_status,description
FT0001,2024-09-11,Fine,Low,73269.83,Open,Fine issued by Rwanda Central Bank
FT0001,2024-12-17,Warning,Low,0.0,Resolved,Warning issued by Rwanda Central Bank
FT0003,2025-04-29,Warning,Low,0.0,Open,Warning issued by Zambia Central Bank
FT0007,2024-05-23,Warning,Low,0.0,Resolved,Warning issued by Tanzania Central Bank
FT0007,2025-03-06,Fine,Low,15841.75,Open,Fine issued by Tanzania Central Bank
FT0007,2025-03-28,Suspension,Low,72698.6,Resolved,Suspension issued by Tanzania Central Bank
FT0009,2024-06-02,Fine,Medium,7020.81,Open,Fine issued by Ethiopia Central Bank
FT0010,2025-04-04,Suspension,Low,26810.16,Resolved,Suspension issued by Nigeria Central Bank
FT0012,2024-02-02,Fine,Low,74663.96,Appealed,Fine issued by South Africa Central Bank
FT0015,2024-04-02,Suspension,Medium,92069.52,Resolved,Suspension issued by Ghana Central Bank
FT0015,2024-03-12,Suspension,Medium,11643.63,Resolved,Suspension issued by Ghana Central Bank
FT0016,2024-12-25,Fine,Low,21151.79,Open,Fine issued by Ethiopia Central Bank
FT0016,2024-06-08,Fine,Medium,51214.15,Open,Fine issued by Ethiopia Central Bank
FT0017,2024-07-15,Warning,Low,0.0,Open,Warning issued by Zambia Central Bank
FT0019,2025-09-06,Warning,Medium,0.0,Open,Warning issued by Tanzania Central Bank
FT0019,2025-04-18,License Revocation,Low,0.0,Appealed,License Revocation issued by Tanzania Central Bank
FT0019,2023-11-07,Fine,Low,60660.81,Resolved,Fine issued by Tanzania Central Bank
FT0020,2024-12-03,Warning,Low,0.0,Resolved,Warning issued by Rwanda Central Bank
FT0020,2024-03-19,Fine,Medium,33766.63,Resolved,Fine issued by Rwanda Central Bank
FT0023,2023-10-21,Warning,High,0.0,Resolved,Warning issued by Ethiopia Central Bank
FT0024,2024-11-05,License Revocation,High,0.0,Resolved,License Revocation issued by Ghana Central Bank
FT0028,2024-10-23,Warning,Medium,0.0,Resolved,Warning issued by Nigeria Central Bank
FT0033,2025-01-08,Warning,Low,0.0,Resolved,Warning issued by Senegal Central Bank
FT0037,2025-01-03,Fine,Medium,25607.21,Resolved,Fine issued by Nigeria Central Bank
FT0038,2025-01-18,Warning,Low,0.0,Resolved,Warning issued by Uganda Central Bank
FT0038,2024-06-19,Fine,Low,61156.99,Resolved,Fine issued by Uganda Central Bank
FT0040,2025-09-01,Warning,High,0.0,Open,Warning issued by Zambia Central Bank
FT0043,2024-01-19,Warning,Medium,0.0,Open,Warning issued by Nigeria Central Bank
FT0043,2023-10-28,Suspension,Medium,3564.23,Resolved,Suspension issued by Nigeria Central Bank
FT0043,2024-06-14,Suspension,Medium,11441.1,Resolved,Suspension issued by Nigeria Central Bank
FT0043,2025-08-16,License Revocation,Medium,0.0,Resolved,License Revocation issued by Nigeria Central Bank
FT0044,2023-11-17,Suspension,Medium,60206.54,Open,Suspension issued by Nigeria Central Bank
FT0044,2023-10-14,Warning,Low,0.0,Resolved,Warning issued by Nigeria Central Bank
FT0046,2023-12-26,Fine,Medium,97650.89,Open,Fine issued by Nigeria Central Bank
FT0047,2024-02-08,License Revocation,Low,0.0,Resolved,License Revocation issued by Uganda Central Bank
FT0049,2024-04-29,Warning,High,0.0,Resolved,Warning issued by Kenya Central Bank
FT0053,2024-11-13,Warning,Low,0.0,Open,Warning issued by Ethiopia Central Bank
FT0054,2024-06-24,Warning,Medium,0.0,Open,Warning issued by Uganda Central Bank
FT0056,2024-02-24,Suspension,Low,44573.14,Resolved,Suspension issued by Zambia Central Bank
FT0058,2024-03-18,Fine,Medium,59789.16,Appealed,Fine issued by Rwanda Central Bank
FT0060,2023-10-22,Fine,Low,41067.81,Resolved,Fine issued by Ethiopia Central Bank
FT0060,2023-12-13,Warning,Low,0.0,Open,Warning issued by Ethiopia Central Bank
FT0061,2024-05-31,Suspension,Low,23787.95,Appealed,Suspension issued by Tanzania Central Bank
FT0062,2023-12-15,Suspension,Medium,15244.75,Open,Suspension issued by Uganda Central Bank
FT0063,2024-06-19,License Revocation,Low,0.0,Open,License Revocation issued by Tanzania Central Bank
FT0063,2024-04-23,Fine,High,9034.77,Resolved,Fine issued by Tanzania Central Bank
FT0063,2024-09-27,Fine,Low,61348.55,Resolved,Fine issued by Tanzania Central Bank
FT0066,2025-04-19,Warning,Low,0.0,Appealed,Warning issued by South Africa Central Bank
FT0069,2024-12-24,Fine,Medium,38839.71,Resolved,Fine issued by Nigeria Central Bank
FT0069,2025-08-24,Warning,Medium,0.0,Resolved,Warning issued by Nigeria Central Bank
FT0073,2024-11-15,Fine,Low,34714.52,Resolved,Fine issued by Kenya Central Bank
FT0075,2024-06-01,Fine,Low,87460.79,Resolved,Fine issued by Uganda Central Bank
FT0078,2025-07-10,Warning,Low,0.0,Resolved,Warning issued by South Africa Central Bank
FT0079,2024-01-18,Fine,Low,19889.26,Resolved,Fine issued by Zambia Central Bank
FT0079,2025-04-28,Compliance Review,Low,0.0,Resolved,Compliance Review issued by Zambia Central Bank
FT0080,2025-08-07,Warning,Low,0.0,Resolved,Warning issued by Nigeria Central Bank
FT0086,2024-06-03,Suspension,Medium,30752.43,Open,Suspension issued by Tanzania Central Bank
FT0088,2025-03-29,Fine,High,5594.03,Resolved,Fine issued by Ghana Central Bank
FT0091,2024-04-02,Suspension,Low,23170.92,Resolved,Suspension issued by South Africa Central Bank
FT0093,2023-12-29,Suspension,Low,43220.02,Appealed,Suspension issued by Kenya Central Bank
FT0095,2024-05-30,Fine,Low,72399.47,Resolved,Fine issued by Zambia Central Bank
FT0096,2024-03-09,License Revocation,High,0.0,Resolved,License Revocation issued by South Africa Central Bank
FT0098,2025-05-31,Fine,Low,63719.34,Resolved,Fine issued by Nigeria Central Bank
FT0099,2024-06-13,Suspension,Medium,61340.66,Open,Suspension issued by Nigeria Central Bank
FT0100,2024-03-13,Fine,Low,21291.14,Resolved,Fine issued by Ghana Central Bank
FT0101,2024-04-17,Warning,Low,0.0,Resolved,Warning issued by South Africa Central Bank
FT0102,2024-06-17,Warning,Low,0.0,Appealed,Warning issued by Tanzania Central Bank
FT0103,2025-03-17,Fine,Low,44811.18,Resolved,Fine issued by Ghana Central Bank
FT0107,2024-09-20,Warning,Medium,0.0,Resolved,Warning issued by Rwanda Central Bank
FT0109,2024-12-26,Fine,High,59010.95,Resolved,Fine issued by Kenya Central Bank
FT0109,2024-08-14,Suspension,Low,78958.2,Resolved,Suspension issued by Kenya Central Bank
FT0115,2024-03-03,Suspension,High,41089.63,Open,Suspension issued by Senegal Central Bank
FT0115,2024-04-09,License Revocation,Medium,0.0,Appealed,License Revocation issued by Senegal Central Bank
FT0115,2024-05-19,Warning,Low,0.0,Resolved,Warning issued by Senegal Central Bank
FT0115,2024-12-14,Warning,Medium,0.0,Resolved,Warning issued by Senegal Central Bank
FT0115,2023-10-29,Warning,Low,0.0,Resolved,Warning issued by Senegal Central Bank
FT0116,2024-08-24,License Revocation,Low,0.0,Resolved,License Revocation issued by Zambia Central Bank
FT0116,2025-05-20,Fine,Low,77242.1,Open,Fine issued by Zambia Central Bank
FT0117,2025-07-19,Compliance Review,High,0.0,Resolved,Compliance Review issued by Uganda Central Bank
FT0117,2024-12-30,Fine,Low,42943.96,Resolved,Fine issued by Uganda Central Bank
FT0121,2023-12-22,Warning,Low,0.0,Resolved,Warning issued by Tanzania Central Bank
FT0122,2024-04-26,License Revocation,High,0.0,Resolved,License Revocation issued by Rwanda Central Bank
