country,year,quarter,date,cyber_incidents_total,phishing_attacks,malware_incidents,data_breaches,mobile_fraud_search_trend,sentiment_score,trust_index,social_media_mentions,complaint_rate_per_10k,hhi_index,new_licenses_issued_annual,total_active_licenses,top3_market_share_pct,new_entrants_quarter,financial_inclusion_rate,transaction_volume_millions,regulatory_risk_score,tech_adoption_index
Botswana,2018,1,2018-Q1,25,9,5,2,49,0.057,52,1768,43,0.351,0,12,34.42,2,42,43,41,38
Botswana,2018,2,2018-Q2,21,7,5,2,63,0.06,53,629,41,0.362,0,15,36.64,4,39,74,26,48
Botswana,2018,3,2018-Q3,26,8,8,3,66,-0.053,47,1284,48,0.334,0,16,34.07,0,46,56,46,40
Botswana,2018,4,2018-Q4,18,8,6,3,56,0.118,55,1356,40,0.337,15,16,36.22,4,42,70,46,55
Botswana,2019,1,2019-Q1,28,13,8,4,74,0.075,53,2125,52,0.294,0,20,26.43,3,46,89,24,46
Botswana,2019,2,2019-Q2,50,22,14,7,100,-0.167,41,885,59,0.33,0,20,31.65,7,51,61,21,53
Botswana,2019,3,2019-Q3,33,16,7,3,73,0.167,58,2327,48,0.312,0,23,30.88,2,48,89,34,47
Botswana,2019,4,2019-Q4,19,8,6,2,64,0.206,60,1842,32,0.262,19,23,26.64,2,55,52,47,53
Botswana,2020,1,2020-Q1,33,13,10,5,67,0.003,50,2024,53,0.29,0,26,29.46,4,53,100,41,46
Botswana,2020,2,2020-Q2,37,13,10,7,87,0.02,51,1089,52,0.276,0,29,26.25,8,54,96,42,58
Botswana,2020,3,2020-Q3,35,13,7,3,64,0.169,58,1317,43,0.246,0,31,25.15,0,59,98,44,54
Botswana,2020,4,2020-Q4,38,12,11,3,66,0.231,61,3024,39,0.269,24,33,26.45,6,55,88,46,52
Botswana,2021,1,2021-Q1,40,14,14,4,69,0.077,53,1942,45,0.267,0,31,27.66,6,56,78,40,58
Botswana,2021,2,2021-Q2,40,14,12,7,91,-0.031,48,2139,48,0.251,0,36,23.91,4,57,123,30,61
Botswana,2021,3,2021-Q3,39,16,13,5,80,0.145,57,3382,39,0.191,0,33,18.71,6,61,108,33,65
Botswana,2021,4,2021-Q4,26,8,8,4,87,0.009,50,2448,42,0.237,24,39,23.15,7,65,98,52,57
Botswana,2022,1,2022-Q1,30,12,6,4,87,0.244,62,2977,40,0.21,0,38,22.17,7,61,75,33,72
Botswana,2022,2,2022-Q2,46,14,18,5,93,0.065,53,2716,39,0.192,0,43,17.72,1,64,99,21,58
Botswana,2022,3,2022-Q3,46,18,15,4,81,-0.039,48,2062,44,0.17,0,39,17.67,9,69,107,36,70
Botswana,2022,4,2022-Q4,30,11,10,5,82,-0.012,49,2540,60,0.16,29,42,17.58,11,69,92,54,65
Botswana,2023,1,2023-Q1,48,16,14,9,97,0.152,57,1896,40,0.136,0,47,14.68,0,69,93,20,61
Botswana,2023,2,2023-Q2,36,16,11,5,100,0.245,62,3521,44,0.121,0,48,12.62,8,70,106,43,70
Botswana,2023,3,2023-Q3,53,23,13,5,100,0.178,58,2590,33,0.164,0,48,16.92,4,68,130,54,76
Botswana,2023,4,2023-Q4,110,50,24,17,100,-0.245,37,1728,58,0.15,35,52,13.87,4,76,114,34,80
Botswana,2024,1,2024-Q1,33,10,8,5,100,0.012,50,2320,42,0.105,0,51,11.06,6,77,116,26,79
Botswana,2024,2,2024-Q2,77,32,19,13,100,-0.152,42,1553,49,0.1,0,54,9.35,2,79,150,50,76
Botswana,2024,3,2024-Q3,97,39,23,19,100,-0.144,42,4126,68,0.1,0,60,9.45,2,74,101,26,81
Cameroon,2018,1,2018-Q1,11,3,3,1,53,0.423,71,674,33,0.347,0,15,35.11,3,39,43,44,39
Cameroon,2018,2,2018-Q2,12,5,4,2,68,0.453,72,1569,24,0.367,0,16,34.37,2,45,56,36,39
Cameroon,2018,3,2018-Q3,13,4,3,2,85,0.318,65,1083,27,0.325,0,18,33.32,3,40,69,31,40
Cameroon,2018,4,2018-Q4,15,7,5,2,79,0.327,66,2064,37,0.304,19,21,30.71,2,45,44,28,44
Cameroon,2019,1,2019-Q1,15,5,4,2,63,0.485,74,2317,22,0.295,0,23,32.0,4,50,73,31,43
Cameroon,2019,2,2019-Q2,14,5,3,2,87,0.319,65,1417,32,0.278,0,22,27.92,3,52,87,42,54
Cameroon,2019,3,2019-Q3,18,5,5,1,89,0.535,76,1235,27,0.298,0,25,29.4,3,49,77,50,52
Cameroon,2019,4,2019-Q4,17,7,6,2,77,0.472,73,2231,21,0.292,22,30,31.17,8,45,66,43,50
Cameroon,2020,1,2020-Q1,22,10,5,4,89,0.541,77,1143,19,0.296,0,31,29.22,1,47,75,18,57
Cameroon,2020,2,2020-Q2,19,8,6,2,100,0.544,77,2066,24,0.285,0,34,26.15,5,49,74,46,58
Cameroon,2020,3,2020-Q3,15,4,3,2,96,0.56,77,1961,18,0.263,0,34,24.32,3,59,98,33,56
Cameroon,2020,4,2020-Q4,33,15,9,4,100,0.438,71,1778,27,0.237,27,38,26.06,3,51,75,36,61
Cameroon,2021,1,2021-Q1,27,9,5,2,100,0.479,73,2127,23,0.236,0,36,24.19,4,59,89,33,53
Cameroon,2021,2,2021-Q2,22,8,6,3,100,0.585,79,2937,22,0.215,0,43,21.06,4,58,132,40,58
Cameroon,2021,3,2021-Q3,30,10,10,3,95,0.455,72,1291,23,0.207,0,47,20.65,1,58,101,54,59
Cameroon,2021,4,2021-Q4,27,12,8,4,89,0.414,70,1174,26,0.201,31,49,21.24,5,65,105,38,69
Cameroon,2022,1,2022-Q1,30,9,6,5,100,0.554,77,3499,24,0.216,0,48,23.12,3,60,107,35,58
Cameroon,2022,2,2022-Q2,21,9,7,3,100,0.466,73,3340,23,0.169,0,45,15.9,7,70,136,18,70
Cameroon,2022,3,2022-Q3,23,8,7,3,100,0.507,75,1649,27,0.169,0,48,16.66,11,71,135,52,66
Cameroon,2022,4,2022-Q4,34,15,11,5,100,0.341,67,1964,31,0.174,35,52,15.75,9,72,79,40,75
Cameroon,2023,1,2023-Q1,33,16,9,6,100,0.533,76,3620,25,0.136,0,59,14.69,10,71,90,32,71
Cameroon,2023,2,2023-Q2,30,11,8,5,100,0.519,75,3409,27,0.112,0,56,11.72,6,75,131,37,65
