material,temperature_C,fracture_toughness_MPa_sqrtm,uncertainty,test_method,reference
8YSZ_electrolyte,25,2.85,0.18,SENB,Malzbender2005
8YSZ_electrolyte,200,2.72,0.16,SENB,Zhang2018
8YSZ_electrolyte,400,2.58,0.15,SENB,Zhang2018
8YSZ_electrolyte,600,2.43,0.14,DCB,Frandsen2012
8YSZ_electrolyte,800,2.28,0.13,DCB,Frandsen2012
8YSZ_electrolyte,1000,2.1,0.15,Indentation,Lughi2006
8YSZ_electrolyte,1200,1.92,0.18,Extrapolated,Lughi2006
Ni_metal,25,105.0,12.0,,Metals_Handbook
Ni_metal,400,92.0,10.0,,Estimated
Ni_metal,800,78.0,9.0,,Estimated
Ni_YSZ_cermet,25,5.8,0.9,,Atkinson2007_SENB
Ni_YSZ_cermet,400,5.2,0.8,,Laurencin2008
Ni_YSZ_cermet,800,4.5,0.7,,Nakajo2012
LSM_YSZ_cathode,25,2.2,0.4,,Yakabe2001
LSM_YSZ_cathode,800,1.8,0.3,,Malzbender2004
NiO,25,1.8,0.3,,Pihlatie2009
