Temperature_K,Fracture_Toughness_MPa_sqrt_m,Critical_Energy_Release_Rate_J_per_m2,Uncertainty_K_ic_MPa_sqrt_m,Uncertainty_G_c_J_per_m2
300.0,2.0,20.0,0.3,4.0
350.0,1.98,19.900507614213197,0.297,3.9801015228426397
400.0,1.96,19.802061855670104,0.294,3.960412371134021
450.0,1.94,19.704712041884818,0.291,3.940942408376964
500.0,1.92,19.608510638297872,0.288,3.9217021276595747
550.0,1.9,19.513513513513512,0.285,3.902702702702703
600.0,1.88,19.41978021978022,0.282,3.8839560439560437
650.0,1.8599999999999999,19.327374301675974,0.27899999999999997,3.865474860335195
700.0,1.84,19.236363636363638,0.276,3.8472727272727276
750.0,1.82,19.146820809248556,0.273,3.8293641618497114
800.0,1.8,19.058823529411764,0.27,3.811764705882353
850.0,1.78,18.97245508982036,0.267,3.7944910179640723
900.0,1.76,18.88780487804878,0.264,3.777560975609756
950.0,1.74,18.80496894409938,0.261,3.760993788819876
1000.0,1.72,18.724050632911393,0.258,3.7448101265822786
1050.0,1.7,18.64516129032258,0.255,3.729032258064516
1100.0,1.68,18.568421052631578,0.252,3.7136842105263157
1150.0,1.66,18.493959731543626,0.24899999999999997,3.6987919463087255
1200.0,1.64,18.421917808219177,0.24599999999999997,3.684383561643836
