structure_id,structure_type,depth_m,length_m,width_m,height_m,construction_year,construction_duration_months,surrounding_soil_type,overburden_pressure_kPa,live_load_kPa,max_crack_width_mm,leakage_rate_L_per_day,maintenance_frequency_per_year,data_source,generation_date
STRUCT_001,Mining Shaft,13.908660413318879,14.90174614482269,26.413327773273764,8.197065072936297,2022,28,Sandy,68.5390199078403,4.196595616098491,2.152356957295727,127.15814080767451,3,Synthetic Underground Structures,2025-10-13
STRUCT_002,Tunnel,2.611455514705169,12.32923578831269,75.93527314079782,8.797568243512643,2019,22,Sandy,43.71517451700997,9.936145261486192,3.658857332269038,33.898924807752216,4,Synthetic Underground Structures,2025-10-13
STRUCT_003,Basement,43.45817032468554,110.59416329550527,23.692760653515577,6.953331946956583,1971,30,Mixed,936.1589213587228,9.645944621233074,0.22038340908625076,73.31693888217087,4,Synthetic Underground Structures,2025-10-13
STRUCT_004,Basement,3.9910115688342516,38.9590423765266,5.620675467595861,14.34708761507205,2022,19,Clayey,82.074194439426,0.9498837950846748,2.9026437524440594,44.93616426147044,3,Synthetic Underground Structures,2025-10-13
STRUCT_005,Tunnel,3.1210328834615857,20.376285445020937,184.58111720097622,6.7656324264361425,1994,25,Clayey,81.30530533920478,2.6982980131133187,2.737536079286237,20.826015463155848,0,Synthetic Underground Structures,2025-10-13
STRUCT_006,Mining Shaft,41.184463048629006,41.15879078689727,71.12721011500841,22.676565035400614,1964,12,Clayey,586.4833170877442,6.820187267629664,3.4264036222526864,14.061201704550353,2,Synthetic Underground Structures,2025-10-13
STRUCT_007,Tunnel,12.14819867340798,29.41946043435124,16.7467328796806,11.736893402713152,2014,29,Clayey,242.4235749199513,4.562286577692603,6.25015492318192,71.0641320041428,2,Synthetic Underground Structures,2025-10-13
STRUCT_008,Tunnel,8.9688055908176,306.36495901463394,38.6738345689298,23.83398207858708,1967,19,Mixed,134.45315898020027,3.855991174670412,0.7409624134638203,28.10421064401351,3,Synthetic Underground Structures,2025-10-13
STRUCT_009,Underground Storage,58.419283418190986,524.1680316596749,39.0065245407993,21.77903844827738,1960,26,Sandy,1200.5611161577274,5.900739502152124,1.1208039182710936,126.4356911409512,0,Synthetic Underground Structures,2025-10-13
STRUCT_010,Tunnel,25.307015293668222,10.63806608703999,33.56275157281272,8.085027373640822,1953,16,Mixed,483.2306396575741,3.4293278911471385,0.6094719992624512,185.8473781456095,6,Synthetic Underground Structures,2025-10-13
STRUCT_011,Underground Storage,7.771778957620233,12.471564173299246,6.649915715580912,6.755934609573358,1983,23,Clayey,165.99579106429957,4.2690077544933445,0.7923338223449539,11.810975425649598,0,Synthetic Underground Structures,2025-10-13
STRUCT_012,Subway Station,10.650580195632209,25.549864041616342,26.031988192383146,9.368114223256054,1997,20,Clayey,191.22307004089026,14.855835358359148,0.8004356753108912,41.17000395820699,0,Synthetic Underground Structures,2025-10-13
STRUCT_013,Underground Storage,35.65578287717599,27.398053160166043,64.62314066502786,12.269230442209778,1997,22,Sandy,849.0226260216472,7.138214073538105,4.07698339998378,38.49431034986377,2,Synthetic Underground Structures,2025-10-13
STRUCT_014,Mining Shaft,4.647940379491871,25.147023843516674,30.072819964516643,15.914292556067158,1989,21,Sandy,76.34985537111525,20.624341458946557,0.12992696722987024,101.28512945809246,1,Synthetic Underground Structures,2025-10-13
STRUCT_015,Basement,51.5966264014024,44.9596679658285,27.597378928257974,17.393647736036307,2008,22,Sandy,770.0094911785552,29.673441974624048,0.45304502183472994,58.718266479236966,4,Synthetic Underground Structures,2025-10-13
STRUCT_016,Basement,7.819657671982112,34.923683147492746,13.072888489112879,11.87527480466191,1997,21,Sandy,165.19906504083735,25.520379837351584,1.8860817678105672,46.7453352529713,3,Synthetic Underground Structures,2025-10-13
STRUCT_017,Basement,5.096278049068784,14.102998115762874,9.745611329161319,7.064317961406905,1990,26,Rock,149.16474195229748,2.9264247847752447,2.8979979368141233,56.81958207209564,1,Synthetic Underground Structures,2025-10-13
STRUCT_018,Underground Storage,36.1224040145087,19.554232499469567,5.708670108996651,7.619424166039712,1971,21,Rock,447.6791522987193,6.403383019026823,2.3905353019414033,24.670370244859498,3,Synthetic Underground Structures,2025-10-13
STRUCT_019,Basement,25.396355074129957,256.2974879748841,36.81744119233711,18.442964497813858,2013,27,Clayey,362.5898036078995,7.658301010149257,0.09539044660399594,161.30949293355272,2,Synthetic Underground Structures,2025-10-13
STRUCT_020,Basement,2.0614435644419653,38.18916181614345,16.83218004579166,7.241680148941587,1998,27,Sandy,43.61554492870371,19.118327196785316,1.2095195661804363,2.967633658217119,1,Synthetic Underground Structures,2025-10-13
STRUCT_021,Tunnel,10.948198773890399,36.28371827837743,6.868160491430482,19.071357233625324,2004,23,Rock,280.66939724915494,8.187572725486529,0.40784294029286267,1.4780828805462958,2,Synthetic Underground Structures,2025-10-13
STRUCT_022,Underground Storage,4.034173603639246,11.936045484734615,43.86544732111705,19.577254695343445,1964,13,Mixed,86.86452094091419,2.9130929697991452,8.869539915928359,26.857601819701603,2,Synthetic Underground Structures,2025-10-13
STRUCT_023,Underground Storage,27.06762698148918,34.35622664012855,12.559421943489637,41.55979657360048,1953,24,Sandy,459.0673993442108,7.93053958958743,13.610330953445642,8.395847004083418,2,Synthetic Underground Structures,2025-10-13
STRUCT_024,Tunnel,68.00719896778845,142.72253483473543,10.111850772272971,8.292213946225266,1957,20,Clayey,1503.0595758075929,0.452949983396693,0.10447915324299446,39.350955258003324,1,Synthetic Underground Structures,2025-10-13
STRUCT_025,Mining Shaft,20.857612430335983,99.04274042847321,13.504211355164095,9.392173889780633,2009,25,Mixed,470.99951424010726,17.965953662187182,2.2035794333174312,0.4525369238254239,1,Synthetic Underground Structures,2025-10-13
STRUCT_026,Mining Shaft,5.699237153285099,122.8666103207565,17.210653680995325,1.915238255919455,1952,21,Sandy,94.60193239121432,8.347093035721871,3.3539879954129357,30.779961396173462,3,Synthetic Underground Structures,2025-10-13
STRUCT_027,Tunnel,29.664197797890846,16.38560038644838,28.974544145302495,5.729004036307479,1956,24,Sandy,715.6258630145526,10.547405128666863,0.7854330424343806,17.47252398042751,5,Synthetic Underground Structures,2025-10-13
STRUCT_028,Basement,11.584234156225115,16.12518469542609,9.97168051766697,5.6694764786365806,1966,29,Clayey,229.68543291732516,2.243181533245412,2.3659655308738796,11.304917282092834,0,Synthetic Underground Structures,2025-10-13
STRUCT_029,Mining Shaft,11.31597167114952,169.59881260339273,45.07370777710449,18.256795293001936,1959,24,Sandy,127.32180997378983,8.167496894498736,0.41569362751905864,29.407795056225517,5,Synthetic Underground Structures,2025-10-13
STRUCT_030,Basement,7.498517170311846,124.74531014136593,29.588437816610735,51.72302923669368,1975,31,Sandy,144.91521116057476,7.563785890765592,0.27383802718639266,96.39578781644852,4,Synthetic Underground Structures,2025-10-13
STRUCT_031,Mining Shaft,13.52695991868057,42.162754569366996,13.30672841583205,19.38707073986993,1971,19,Sandy,232.05075278922484,9.66613306132709,5.188599016443923,53.267776455348056,2,Synthetic Underground Structures,2025-10-13
STRUCT_032,Tunnel,11.347812965563383,128.12934588874205,17.675299412772816,26.913648688690557,1964,17,Rock,300.99460417306705,18.800665663265185,2.0574397009255687,8.714196255215523,3,Synthetic Underground Structures,2025-10-13
STRUCT_033,Tunnel,1.1005417938172124,16.39544623615886,14.323409757224624,6.895960716789578,2007,14,Mixed,14.698003790650793,14.462076934067408,3.3959617257947006,34.54479170159794,0,Synthetic Underground Structures,2025-10-13
STRUCT_034,Tunnel,12.501711890248814,15.729405026084317,21.172258915512803,4.672154415069086,2009,24,Clayey,219.8348894771355,7.915859492446132,1.5216240406578945,134.171137202107,2,Synthetic Underground Structures,2025-10-13
STRUCT_035,Subway Station,10.616218422751437,10.832369716717373,67.75506202130484,10.03804974721568,1988,19,Clayey,225.97718606915527,22.387007295713705,0.336187365954756,28.92176035754318,1,Synthetic Underground Structures,2025-10-13
STRUCT_036,Tunnel,17.232875720874247,78.37229094053355,14.2058087116792,7.396423751766992,1952,23,Mixed,553.0924438521931,4.438188204225818,0.9453108762732085,31.795471502808027,0,Synthetic Underground Structures,2025-10-13
STRUCT_037,Mining Shaft,1.6376590806166227,67.81055589118498,23.372793089504565,6.117341439717809,2009,22,Clayey,48.76068057032473,6.783587111565983,4.268335387588166,141.81491568727614,0,Synthetic Underground Structures,2025-10-13
STRUCT_038,Basement,20.328071089167164,32.381377201509245,11.486056048442313,14.50666999603624,2002,27,Sandy,401.9634647422822,10.482062982250131,0.03145928464332012,7.298026219174098,1,Synthetic Underground Structures,2025-10-13
STRUCT_039,Tunnel,12.536034179030635,25.018295829490228,30.739978397532475,4.717428042041721,1973,25,Mixed,272.6144085546862,5.811885220041619,0.4643121649918831,66.4091007007901,1,Synthetic Underground Structures,2025-10-13
STRUCT_040,Tunnel,19.988067512386838,610.6650467514802,25.0563007491107,23.598532971294514,2004,26,Sandy,459.9239198014057,4.485055204305574,0.5841476657899035,17.77388305345075,2,Synthetic Underground Structures,2025-10-13
STRUCT_041,Basement,2.388995274124929,42.134589488586485,58.18887765795169,8.850262251010184,1951,36,Clayey,35.68638746231184,1.1922761171218768,0.6103233092985412,100.45536446174663,4,Synthetic Underground Structures,2025-10-13
STRUCT_042,Tunnel,3.5440865062893483,218.7800778511991,10.346494549457715,11.749482877964638,2017,24,Rock,71.06145759608044,10.103252894657722,0.20758281666390005,2.7947979988597247,3,Synthetic Underground Structures,2025-10-13
STRUCT_043,Subway Station,1.8682706391899806,47.16497516521459,34.8990726338669,13.194882255147851,1972,23,Sandy,50.03432002122194,2.139439543065765,3.770642310888011,232.3077771750546,1,Synthetic Underground Structures,2025-10-13
STRUCT_044,Mining Shaft,14.10201125585515,33.091858726694966,55.216777200437384,8.386543054798308,2008,28,Mixed,292.0253955211117,1.4879584822919698,0.34754977569246237,73.18227902074608,3,Synthetic Underground Structures,2025-10-13
STRUCT_045,Tunnel,8.627287418779375,225.12583438464577,14.15270555909207,33.52994965163545,2006,28,Sandy,256.6533803677668,2.01079869848749,3.5400865926672545,16.727013980387852,1,Synthetic Underground Structures,2025-10-13
STRUCT_046,Underground Storage,10.548715233243872,120.29705237758652,18.14576355815494,3.3715593394658083,2021,27,Rock,187.46972735336573,11.662933324591592,0.8772014921991027,71.53444767271888,0,Synthetic Underground Structures,2025-10-13
STRUCT_047,Basement,3.026929174437058,53.297582677586604,23.396595181944367,34.0104556645412,1991,32,Mixed,59.196859610845,1.4891683928325186,1.222463869675411,128.1778634914279,3,Synthetic Underground Structures,2025-10-13
STRUCT_048,Subway Station,3.633396879054452,169.64603371798552,16.62216533974993,9.229056212572925,1961,27,Rock,71.20183505562657,37.39583945506946,1.242958913888731,5.990858408679939,2,Synthetic Underground Structures,2025-10-13
STRUCT_049,Tunnel,1.0039157793643485,678.7864124709273,23.146772567108176,25.447002537734754,2022,16,Mixed,13.546116768311505,14.21057151409386,2.4975834840694198,122.42586267910829,3,Synthetic Underground Structures,2025-10-13
STRUCT_050,Basement,3.1722854306487944,26.249491921472647,34.42382746710854,14.310488829933783,1950,24,Sandy,80.98799107676422,4.987895288405056,2.62831829180641,22.327983799174223,5,Synthetic Underground Structures,2025-10-13
STRUCT_051,Tunnel,6.359589430395649,87.50856258982955,18.335134691900624,24.05631170179231,2003,26,Rock,116.57931969979754,8.996370575189506,2.0471285303514155,0.3240128517587364,3,Synthetic Underground Structures,2025-10-13
