Sample_ID,Location,Depth_m,Clay_Content_percent,Silt_Content_percent,Sand_Content_percent,Liquid_Limit_percent,Plastic_Limit_percent,Plasticity_Index,Shrinkage_Limit_percent,Activity,Clay_Mineral_Type,Specific_Gravity,Natural_Water_Content_percent,Bulk_Unit_Weight_kN_m3,Undrained_Shear_Strength_kPa,Sensitivity,Preconsolidation_Stress_kPa,Overconsolidation_Ratio,Compression_Index,Recompression_Index,Permeability_m_s,Pore_Pressure_Ratio,SPT_N_Value,Remarks
CL001,Yangtze_River_Delta,3.5,45.2,38.5,16.3,52.3,24.5,27.8,12.3,0.615,Illite-Montmorillonite,2.72,38.5,18.2,42.5,3.2,185.0,2.8,0.35,0.06,2.3e-9,0.42,8,Moderately sensitive clay
CL002,Yangtze_River_Delta,8.0,52.8,35.2,12.0,68.5,28.2,40.3,10.8,0.763,Montmorillonite,2.74,45.2,17.5,28.3,4.8,210.0,3.5,0.48,0.08,1.2e-9,0.51,5,Highly sensitive soft clay
CL003,Pearl_River_Delta,4.2,38.7,42.1,19.2,45.8,22.1,23.7,13.5,0.612,Illite-Kaolinite,2.71,32.8,18.8,55.8,2.5,165.0,2.3,0.28,0.05,3.5e-9,0.38,11,Low to moderate sensitivity
CL004,Pearl_River_Delta,10.5,48.5,38.8,12.7,61.2,26.8,34.4,11.5,0.709,Montmorillonite-Illite,2.73,42.1,17.8,32.7,4.1,195.0,3.2,0.42,0.07,1.8e-9,0.48,6,Sensitive soft clay
CL005,Beijing_Alluvial_Plain,2.8,35.2,45.6,19.2,38.5,20.3,18.2,14.8,0.517,Illite,2.70,28.3,19.2,72.5,2.1,145.0,2.1,0.22,0.04,4.8e-9,0.32,14,Low sensitivity stiff clay
CL006,Beijing_Alluvial_Plain,6.5,42.8,40.5,16.7,48.9,23.5,25.4,12.8,0.593,Illite-Montmorillonite,2.72,35.8,18.5,48.2,2.8,175.0,2.6,0.32,0.05,2.8e-9,0.40,9,Moderately sensitive clay
CL007,Shanghai_Coastal_Plain,5.0,55.3,33.8,10.9,75.2,30.5,44.7,9.8,0.808,Montmorillonite,2.75,51.8,17.1,22.5,5.8,235.0,4.2,0.55,0.09,8.5e-10,0.58,4,Highly sensitive very soft clay
CL008,Shanghai_Coastal_Plain,12.0,58.7,32.1,9.2,82.3,32.8,49.5,8.5,0.843,Montmorillonite-Smectite,2.76,58.2,16.5,18.8,6.5,265.0,4.8,0.62,0.10,6.2e-10,0.63,3,Extra sensitive soft clay
CL009,Tianjin_Harbor,3.8,40.5,43.2,16.3,46.7,22.8,23.9,13.2,0.590,Illite,2.71,33.5,18.7,52.3,2.6,158.0,2.4,0.29,0.05,3.2e-9,0.39,10,Moderately sensitive clay
CL010,Tianjin_Harbor,9.2,49.8,37.5,12.7,63.8,27.5,36.3,11.0,0.729,Montmorillonite-Illite,2.73,44.8,17.6,30.5,4.5,215.0,3.6,0.45,0.07,1.5e-9,0.52,5,Sensitive soft clay
CL011,Hebei_Plain,2.5,32.8,48.5,18.7,35.2,19.5,15.7,15.5,0.478,Illite-Kaolinite,2.69,25.8,19.5,85.2,1.8,130.0,1.9,0.18,0.03,6.2e-9,0.28,16,Low sensitivity stiff clay
CL012,Hebei_Plain,7.0,38.5,44.8,16.7,42.3,21.8,20.5,14.2,0.532,Illite,2.71,31.2,19.0,62.8,2.3,155.0,2.2,0.26,0.04,4.1e-9,0.36,12,Low to moderate sensitivity
CL013,Shandong_Coast,4.5,43.7,41.2,15.1,50.5,24.0,26.5,12.5,0.606,Illite-Montmorillonite,2.72,36.8,18.4,46.5,3.0,172.0,2.7,0.33,0.06,2.5e-9,0.41,9,Moderately sensitive clay
CL014,Jiangsu_Inland,6.8,47.2,39.5,13.3,57.8,25.8,32.0,11.8,0.678,Montmorillonite-Illite,2.73,41.5,17.9,35.8,3.8,192.0,3.1,0.40,0.07,1.9e-9,0.47,7,Sensitive clay
CL015,Zhejiang_Valley,3.2,36.5,45.8,17.7,40.8,21.2,19.6,14.5,0.537,Illite-Kaolinite,2.70,29.8,19.1,68.5,2.2,148.0,2.2,0.24,0.04,4.5e-9,0.34,13,Low sensitivity clay
