grid_id,latitude,longitude,elevation_m,soil_type,sand_%,silt_%,clay_%,organic_%,bulk_density_kg/m3,moisture_%,pH,EC_dS/m,CEC_meq/100g,permeability_m/day,shear_strength_kPa,bearing_capacity_kPa,frost_depth_m,erosion_risk,vegetation_cover_%
G001,38.85,100.35,1485,Sandy_loam,68.5,22.3,8.2,1.0,1580,12.5,8.2,0.85,8.5,2.5,35.2,185,1.2,Moderate,35
G002,38.90,100.40,1492,Loamy_sand,75.2,18.5,5.8,0.5,1620,10.8,8.3,0.72,6.2,3.8,42.5,215,1.3,Low,42
G003,38.95,100.45,1501,Sand,82.8,12.5,4.2,0.5,1685,8.5,8.4,0.58,4.8,5.2,48.5,245,1.4,Low,28
G004,35.65,139.65,5,Silty_sand,58.5,32.8,7.2,1.5,1520,18.5,7.2,1.25,12.5,1.2,28.5,155,0.0,High,65
G005,35.70,139.70,8,Sandy_silt,45.2,42.5,10.8,1.5,1485,22.3,7.0,1.42,15.8,0.8,22.8,135,0.0,High,72
G006,35.75,139.75,12,Silt,32.5,55.8,10.2,1.5,1450,25.8,6.8,1.58,18.5,0.5,18.5,115,0.0,Very_High,78
G007,37.75,-122.40,15,Sandy_clay_loam,52.8,28.5,16.2,2.5,1550,20.5,7.5,0.95,22.5,0.6,32.5,175,0.0,Moderate,58
G008,37.78,-122.42,18,Clay_loam,38.5,35.8,22.2,3.5,1485,24.8,7.3,1.15,28.5,0.3,25.8,145,0.0,High,62
G009,37.80,-122.45,22,Clay,25.2,42.5,28.8,3.5,1420,28.5,7.1,1.35,35.2,0.1,20.5,125,0.0,Very_High,55
G010,39.85,-3.90,825,Silty_clay,18.5,48.2,30.8,2.5,1385,32.5,7.8,0.65,38.5,0.08,35.8,165,0.5,High,48
G011,39.87,-3.93,835,Clay,12.8,52.5,32.2,2.5,1350,35.8,7.6,0.72,42.5,0.05,32.2,155,0.5,Very_High,45
G012,39.90,-3.95,845,Heavy_clay,8.5,55.8,33.8,1.9,1320,38.2,7.4,0.78,45.8,0.03,28.5,145,0.6,Very_High,42
G013,31.20,121.45,4,Soft_clay,5.2,35.8,56.5,2.5,1285,45.5,7.2,2.15,48.5,0.02,12.5,85,0.0,Very_High,15
G014,31.25,121.50,6,Silty_clay,8.5,38.5,50.8,2.2,1320,42.8,7.0,2.35,45.2,0.04,15.8,95,0.0,High,18
G015,31.30,121.55,8,Clayey_silt,12.2,42.2,43.8,1.8,1365,38.5,6.8,2.55,42.8,0.06,18.5,105,0.0,High,22
G016,51.50,-0.10,25,London_clay,6.8,38.5,52.2,2.5,1485,35.2,7.8,0.45,35.8,0.03,45.5,225,0.8,Moderate,68
G017,51.52,-0.12,32,Stiff_clay,5.5,35.8,55.8,2.9,1520,32.5,7.9,0.38,38.5,0.02,52.8,255,0.9,Low,72
G018,51.55,-0.15,38,Very_stiff_clay,4.2,32.5,59.8,3.5,1565,28.8,8.0,0.32,42.2,0.01,62.5,285,1.0,Low,75
G019,42.35,-71.05,18,Glacial_till,35.8,42.5,18.2,3.5,1625,22.5,6.5,0.55,25.5,0.4,38.5,195,1.8,Moderate,82
G020,42.38,-71.08,22,Boston_blue_clay,22.5,48.8,25.2,3.5,1485,28.8,6.3,0.68,32.5,0.2,28.5,165,2.0,High,78
