Specimen_ID,Mix_ID,Test_Temperature_C,Test_Type,InSitu_Compressive_Strength_MPa,InSitu_Modulus_of_Elasticity_MPa,Peak_Strain,Poissons_Ratio
C-28-IS-23-1,C,23,In-Situ,63.319620865462596,31492.846729562312,0.00223,0.19540000000000002
C-28-IS-23-2,C,23,In-Situ,70.46611801033498,31504.096244356704,0.00223,0.19540000000000002
C-28-IS-200-1,C,200,In-Situ,65.29170033321995,30050.750043988926,0.004,0.16
C-28-IS-200-2,C,200,In-Situ,62.77950700880576,28963.7198567873,0.004,0.16
C-28-IS-400-1,C,400,In-Situ,40.386368156636856,19922.209876957237,0.006,0.12000000000000001
C-28-IS-400-2,C,400,In-Situ,41.308994879343075,22593.652484102262,0.006,0.12000000000000001
C-28-IS-600-1,C,600,In-Situ,29.269396477905996,7293.934980668443,0.008,0.1
C-28-IS-600-2,C,600,In-Situ,25.411719677395347,6820.105577816391,0.008,0.1
R10S-28-IS-23-1,R10S,23,In-Situ,49.96286510011671,23555.03885750894,0.0031219999999999998,0.19540000000000002
R10S-28-IS-23-2,R10S,23,In-Situ,41.36619228799669,25459.032668883177,0.0031219999999999998,0.19540000000000002
R10S-28-IS-200-1,R10S,200,In-Situ,46.6798956516832,26077.035827762465,0.0056,0.16
R10S-28-IS-200-2,R10S,200,In-Situ,49.439119609416245,24359.15808383813,0.0056,0.16
R10S-28-IS-400-1,R10S,400,In-Situ,30.319476686794868,18845.121359993696,0.0084,0.12000000000000001
R10S-28-IS-400-2,R10S,400,In-Situ,28.361959647282,17267.197952990115,0.0084,0.12000000000000001
R10S-28-IS-600-1,R10S,600,In-Situ,17.826647291722654,6581.149659218882,0.0112,0.1
R10S-28-IS-600-2,R10S,600,In-Situ,20.814963464583528,5637.2996626604345,0.0112,0.1
R20S-28-IS-23-1,R20S,23,In-Situ,35.606712561197874,21498.446446631482,0.004014,0.19540000000000002
R20S-28-IS-23-2,R20S,23,In-Situ,33.31990591005089,20827.999025912646,0.004014,0.19540000000000002
R20S-28-IS-200-1,R20S,200,In-Situ,34.838653382377295,20856.799030449638,0.007200000000000001,0.16
R20S-28-IS-200-2,R20S,200,In-Situ,34.55650555568456,20454.078437901262,0.007200000000000001,0.16
R20S-28-IS-400-1,R20S,400,In-Situ,19.858827686486407,13907.244590311846,0.0108,0.12000000000000001
R20S-28-IS-400-2,R20S,400,In-Situ,18.632046144911815,13991.20497689384,0.0108,0.12000000000000001
R20S-28-IS-600-1,R20S,600,In-Situ,14.786715785482034,4520.8699700809675,0.014400000000000001,0.1
R20S-28-IS-600-2,R20S,600,In-Situ,12.800561996783873,4466.54287251209,0.014400000000000001,0.1
