x_mm,y_mm,z_mm
0.0,0.0,1.5137693038832944
6.25,0.0,1.3725510740772269
12.5,0.0,1.3883109365149586
18.75,0.0,1.2831176098782053
25.0,0.0,1.2026621917827043
31.25,0.0,1.0142988137123152
37.5,0.0,0.9858082306262661
43.75,0.0,0.9490710783586757
50.0,0.0,0.8406863027563647
56.25,0.0,0.8204383886558061
62.5,0.0,0.6917522718623368
68.75,0.0,0.8486256834699533
75.0,0.0,0.7136717819486025
81.25,0.0,0.7411622520079211
87.5,0.0,0.8950136312092728
93.75,0.0,0.801718120462184
100.0,0.0,0.8508459473377741
106.25,0.0,0.9404249068606604
112.5,0.0,1.0341497011247378
118.75,0.0,1.1641891381243827
125.0,0.0,1.1802321795848352
131.25,0.0,1.258009893593477
137.5,0.0,1.3285579344289502
143.75,0.0,1.4162497709174637
150.0,0.0,1.3999994816559576
0.0,6.25,1.5192716093866694
6.25,6.25,1.3392632493898604
12.5,6.25,1.140027883303435
18.75,6.25,1.0718250884114335
25.0,6.25,1.0805039374954688
31.25,6.25,0.8834670738106617
37.5,6.25,0.8563718005321196
43.75,6.25,0.8545039472544005
50.0,6.25,0.6799350524062253
56.25,6.25,0.770437223482134
62.5,6.25,0.6524251001528871
68.75,6.25,0.5460330177049445
75.0,6.25,0.6666416837138668
81.25,6.25,0.7234985771944036
87.5,6.25,0.6741131194593845
93.75,6.25,0.7477888173543745
100.0,6.25,0.8254605665039931
106.25,6.25,0.7765743265115533
112.5,6.25,0.8567734325377571
118.75,6.25,0.9643743770521711
125.0,6.25,1.050381329523152
131.25,6.25,1.2053142480219414
137.5,6.25,1.2761954442780785
143.75,6.25,1.2638030437757948
150.0,6.25,1.4304836836416246
0.0,12.5,1.4415053456298417
6.25,12.5,1.3433233974572294
12.5,12.5,1.0086741505972616
18.75,12.5,0.9017304448762183
25.0,12.5,0.8511357447008215
31.25,12.5,0.8191977655413725
37.5,12.5,0.7788918148730889
43.75,12.5,0.6727795489011279
50.0,12.5,0.606260010172055
56.25,12.5,0.6221474344087049
62.5,12.5,0.6620126258665452
68.75,12.5,0.5760106019467464
75.0,12.5,0.5599749492730924
81.25,12.5,0.5048922127505642
87.5,12.5,0.48543188441739715
93.75,12.5,0.5658565261960316
100.0,12.5,0.6486271854907327
106.25,12.5,0.6326736928333249
112.5,12.5,0.6940343428372823
118.75,12.5,0.8556087745118495
125.0,12.5,0.9269749351595208
131.25,12.5,1.051089933357673
137.5,12.5,1.0986142561645114
143.75,12.5,1.199790905225778
150.0,12.5,1.399541138184387
0.0,18.75,1.237906568430483
6.25,18.75,1.0373884254865664
12.5,18.75,1.1158960793514288
18.75,18.75,0.8738502431086385
25.0,18.75,0.7591327945493695
31.25,18.75,0.6991058061666998
37.5,18.75,0.623033030329376
43.75,18.75,0.671577426464976
50.0,18.75,0.5116457801365185
56.25,18.75,0.5162754323098102
62.5,18.75,0.47060520164971364
68.75,18.75,0.46645784005596996
75.0,18.75,0.42962828655414687
81.25,18.75,0.4908470500496623
87.5,18.75,0.46756552005098234
93.75,18.75,0.46106399200655873
100.0,18.75,0.5381184484079228
106.25,18.75,0.5634785939277517
112.5,18.75,0.6163477261708168
118.75,18.75,0.7373628152274538
125.0,18.75,0.804658599720011
131.25,18.75,0.9591833737373593
137.5,18.75,1.0291671810373448
143.75,18.75,1.1893402239680462
150.0,18.75,1.275261229080345
0.0,25.0,1.1600208362123223
6.25,25.0,0.9825854430217986
12.5,25.0,0.8269925277415562
18.75,25.0,0.8334480642762245
25.0,25.0,0.6279776783888703
31.25,25.0,0.6325334458760049
37.5,25.0,0.5282924849104713
43.75,25.0,0.5334757070974953
50.0,25.0,0.5220465924806088
56.25,25.0,0.38755253319718497
62.5,25.0,0.3812939808038087
68.75,25.0,0.3580478300222087
75.0,25.0,0.3280565820803631
81.25,25.0,0.35447931159736007
87.5,25.0,0.47570405096588675
