Material,Relative_Density,Temperature_C,Poissons_Ratio,Standard_Deviation,Measurement_Method,Notes
8YSZ,0.55,25,0.20,0.02,Nanoindentation,Green state
8YSZ,0.60,25,0.21,0.02,Nanoindentation,
8YSZ,0.70,25,0.22,0.02,Nanoindentation,
8YSZ,0.80,25,0.23,0.02,Nanoindentation,
8YSZ,0.90,25,0.23,0.02,Nanoindentation,
8YSZ,0.95,25,0.23,0.02,Nanoindentation,
8YSZ,0.98,25,0.23,0.02,Nanoindentation,
8YSZ,0.99,25,0.23,0.02,Resonant Ultrasound Spectroscopy,Fully sintered - constant with temperature
8YSZ,0.99,100,0.23,0.02,Resonant Ultrasound Spectroscopy,
8YSZ,0.99,200,0.23,0.02,Resonant Ultrasound Spectroscopy,
8YSZ,0.99,300,0.23,0.02,Resonant Ultrasound Spectroscopy,
8YSZ,0.99,400,0.23,0.02,Resonant Ultrasound Spectroscopy,
8YSZ,0.99,500,0.23,0.02,Resonant Ultrasound Spectroscopy,
8YSZ,0.99,600,0.23,0.02,Resonant Ultrasound Spectroscopy,
8YSZ,0.99,700,0.23,0.02,Resonant Ultrasound Spectroscopy,
8YSZ,0.99,800,0.23,0.02,Resonant Ultrasound Spectroscopy,
8YSZ,0.99,900,0.23,0.02,Resonant Ultrasound Spectroscopy,
8YSZ,0.99,1000,0.23,0.02,Resonant Ultrasound Spectroscopy,
Ni-YSZ,0.58,25,0.27,0.02,Nanoindentation,Green state
Ni-YSZ,0.65,25,0.28,0.02,Nanoindentation,
Ni-YSZ,0.75,25,0.29,0.02,Nanoindentation,
Ni-YSZ,0.85,25,0.29,0.02,Nanoindentation,
Ni-YSZ,0.92,25,0.29,0.02,Nanoindentation,
Ni-YSZ,0.96,25,0.29,0.02,Nanoindentation,
Ni-YSZ,0.98,25,0.29,0.02,Nanoindentation,
Ni-YSZ,0.99,25,0.29,0.02,Resonant Ultrasound Spectroscopy,Fully sintered - constant with temperature
Ni-YSZ,0.99,100,0.29,0.02,Resonant Ultrasound Spectroscopy,
Ni-YSZ,0.99,200,0.29,0.02,Resonant Ultrasound Spectroscopy,
Ni-YSZ,0.99,300,0.29,0.02,Resonant Ultrasound Spectroscopy,
Ni-YSZ,0.99,400,0.29,0.02,Resonant Ultrasound Spectroscopy,
Ni-YSZ,0.99,500,0.29,0.02,Resonant Ultrasound Spectroscopy,
Ni-YSZ,0.99,600,0.29,0.02,Resonant Ultrasound Spectroscopy,
Ni-YSZ,0.99,700,0.29,0.02,Resonant Ultrasound Spectroscopy,
Ni-YSZ,0.99,800,0.29,0.02,Resonant Ultrasound Spectroscopy,
Ni-YSZ,0.99,900,0.29,0.02,Resonant Ultrasound Spectroscopy,
Ni-YSZ,0.99,1000,0.29,0.02,Resonant Ultrasound Spectroscopy,
LSM-YSZ,0.60,25,0.24,0.02,Nanoindentation,Green state
LSM-YSZ,0.70,25,0.245,0.02,Nanoindentation,
LSM-YSZ,0.80,25,0.248,0.02,Nanoindentation,
LSM-YSZ,0.90,25,0.25,0.02,Nanoindentation,
LSM-YSZ,0.95,25,0.25,0.02,Nanoindentation,
LSM-YSZ,0.98,25,0.25,0.02,Nanoindentation,
LSM-YSZ,0.99,25,0.25,0.02,Resonant Ultrasound Spectroscopy,Fully sintered - constant with temperature
LSM-YSZ,0.99,100,0.25,0.02,Resonant Ultrasound Spectroscopy,
LSM-YSZ,0.99,200,0.25,0.02,Resonant Ultrasound Spectroscopy,
LSM-YSZ,0.99,300,0.25,0.02,Resonant Ultrasound Spectroscopy,
LSM-YSZ,0.99,400,0.25,0.02,Resonant Ultrasound Spectroscopy,
LSM-YSZ,0.99,500,0.25,0.02,Resonant Ultrasound Spectroscopy,
LSM-YSZ,0.99,600,0.25,0.02,Resonant Ultrasound Spectroscopy,
LSM-YSZ,0.99,700,0.25,0.02,Resonant Ultrasound Spectroscopy,
LSM-YSZ,0.99,800,0.25,0.02,Resonant Ultrasound Spectroscopy,
LSM-YSZ,0.99,900,0.25,0.02,Resonant Ultrasound Spectroscopy,
LSM-YSZ,0.99,1000,0.25,0.02,Resonant Ultrasound Spectroscopy
