Temperature_C,Time_min,Strain_dL_L0,Relative_Density,Shrinkage_Rate_per_min
25,0,0.0000,0.55,0.000000
200,5,0.0001,0.551,0.000020
400,10,0.0002,0.552,0.000020
600,15,0.0005,0.553,0.000030
800,20,0.0012,0.556,0.000070
900,25,0.0025,0.561,0.000130
1000,30,0.0050,0.571,0.000250
1100,35,0.0100,0.600,0.000500
1150,37,0.0150,0.625,0.002500
1200,40,0.0250,0.675,0.005000
1250,45,0.0400,0.740,0.003000
1300,50,0.0600,0.820,0.004000
1350,55,0.0850,0.900,0.005000
1350,60,0.0900,0.910,0.001000
1350,65,0.0920,0.918,0.000400
1350,70,0.0935,0.925,0.000300
1350,75,0.0945,0.930,0.000200
1350,80,0.0950,0.932,0.000100
1350,90,0.0960,0.938,0.000100
1350,120,0.0970,0.943,0.000033
1350,150,0.0975,0.946,0.000010
1350,180,0.0980,0.948,0.000008
