Temperature_C,Time_min,Strain_dL_L0,Relative_Density,Shrinkage_Rate_per_min
25,0,0.0000,0.58,0.000000
200,5,0.0001,0.582,0.000020
400,10,0.0003,0.584,0.000020
600,15,0.0008,0.589,0.000050
800,20,0.0020,0.600,0.000120
900,25,0.0045,0.620,0.000250
1000,30,0.0080,0.655,0.000350
1100,35,0.0150,0.710,0.001400
1150,37,0.0220,0.755,0.003500
1200,40,0.0320,0.800,0.005000
1250,45,0.0450,0.850,0.002600
1300,50,0.0600,0.890,0.003000
1350,55,0.0750,0.920,0.003000
1350,60,0.0780,0.928,0.000600
1350,65,0.0800,0.935,0.000400
1350,70,0.0815,0.940,0.000300
1350,75,0.0825,0.945,0.000200
1350,80,0.0830,0.947,0.000100
1350,90,0.0840,0.950,0.000100
1350,120,0.0850,0.955,0.000033
1350,150,0.0855,0.957,0.000010
1350,180,0.0860,0.958,0.000008
