# Material Properties Dataset for Yttria-Stabilized Zirconia (8YSZ - 8mol% Y2O3)
# Temperature-dependent properties for FEM thermomechanical modeling
# Temperature(°C),Young's Modulus(GPa),Poisson's Ratio,CTE(10^-6/K),Density(kg/m³),Thermal Conductivity(W/mK),Fracture Toughness(MPa√m),Characteristic Strength(MPa)
25,210.0,0.313,10.0,5900,2.7,2.5,250
100,208.5,0.313,10.1,5898,2.6,2.4,245
200,206.2,0.314,10.2,5895,2.5,2.3,240
300,203.8,0.314,10.3,5892,2.4,2.2,235
400,201.0,0.315,10.4,5889,2.3,2.1,230
500,198.0,0.315,10.5,5886,2.2,2.0,225
600,194.5,0.316,10.6,5883,2.15,1.95,220
700,190.5,0.316,10.7,5880,2.1,1.9,215
800,186.0,0.317,10.8,5877,2.05,1.85,210
900,181.0,0.318,10.9,5874,2.0,1.8,205
1000,175.5,0.319,11.0,5871,1.95,1.75,200
1100,169.5,0.320,11.1,5868,1.9,1.7,195
1200,163.0,0.321,11.2,5865,1.85,1.65,190
1300,156.0,0.322,11.3,5862,1.8,1.6,185
1400,148.5,0.323,11.4,5859,1.75,1.55,180
1500,140.5,0.324,11.5,5856,1.7,1.5,175

# Additional Parameters (Temperature-independent for simplified analysis)
# Weibull Modulus: 12.5
# Reference Volume: 1 mm³
# Creep Parameters (Norton Power Law: ε̇ = A·σⁿ·exp(-Q/RT))
# A (Pre-exponential factor): 1.2e-6 MPa⁻ⁿ·s⁻¹
# n (Stress exponent): 1.8
# Q (Activation energy): 460 kJ/mol
