Temperature_C,Youngs_Modulus_GPa,Tensile_Strength_MPa,Yield_Strength_MPa,Poissons_Ratio,Elongation_Percent,Test_Standard,Specimen_Type,Strain_Rate_s-1,Material,Heat_Treatment,Measurement_Uncertainty_Percent
20,206.02,1388.9,1183.1,0.2912,15.3,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
40,204.49,1355.2,1155.4,0.2936,15.8,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
60,205.87,1333.2,1126.4,0.2941,16.5,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
80,207.44,1353.5,1152.8,0.2936,16.9,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
100,203.62,1350.2,1150.6,0.2953,15.3,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
120,203.4,1333.0,1125.9,0.2968,15.9,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
140,206.86,1272.6,1100.4,0.3002,17.5,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
160,204.98,1272.2,1086.1,0.2971,17.9,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
180,202.24,1274.2,1071.1,0.2977,18.2,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
200,204.07,1275.9,1091.1,0.2975,21.6,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
220,201.81,1225.4,1031.8,0.2942,19.0,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
240,201.58,1218.4,1043.5,0.2983,19.9,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
260,202.78,1181.9,1016.2,0.2989,20.1,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
280,198.2,1165.8,982.8,0.3041,20.1,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
300,198.36,1199.3,1029.1,0.2992,19.5,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
320,200.48,1197.5,1022.0,0.3006,20.9,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
340,199.35,1149.9,985.7,0.3003,19.7,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
360,201.8,1160.1,1005.1,0.2985,20.6,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
380,199.12,1131.2,959.0,0.3035,20.7,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
400,197.88,1094.5,922.7,0.3031,21.6,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
420,203.43,1102.4,928.1,0.3036,24.4,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
440,199.81,1113.4,938.3,0.3006,20.2,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
460,200.17,1065.2,904.6,0.3056,23.4,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
480,196.97,1084.6,925.3,0.3004,21.1,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
500,198.5,983.0,838.3,0.3048,22.7,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
520,199.58,1039.9,892.2,0.3084,24.9,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
540,196.84,1010.6,859.1,0.3024,24.0,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
560,199.66,988.6,854.8,0.3037,23.0,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
580,197.49,982.1,832.1,0.3054,23.8,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
600,197.88,927.6,815.7,0.3046,25.8,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
620,197.04,848.7,727.7,0.3029,25.3,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
640,201.68,757.7,635.5,0.3065,27.8,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
660,197.76,683.5,570.3,0.3047,28.8,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
