Temperature_C,CTE_ppm_per_K,Thermal_Conductivity_W_per_mK,Specific_Heat_J_per_kgK,Thermal_Diffusivity_mm2_per_s,Linear_Expansion_Percent,Density_kg_per_m3,Measurement_Method_CTE,Measurement_Method_k,Measurement_Method_Cp,Material,Atmosphere,Heating_Rate_K_per_min
20,11.55,11.37,420.2,3.284,0.0,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
30,11.586,11.53,428.1,3.31,0.0116,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
40,11.765,11.29,422.6,3.208,0.0232,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
50,11.952,11.98,426.9,3.461,0.0351,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
60,11.877,11.47,431.1,3.348,0.047,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
70,11.977,12.09,434.1,3.393,0.0589,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
80,12.258,12.63,426.7,3.643,0.0711,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
90,12.277,12.01,431.9,3.442,0.0833,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
100,12.253,12.26,432.7,3.432,0.0956,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
110,12.392,12.58,433.4,3.559,0.1079,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
120,12.329,12.57,445.4,3.447,0.1203,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
130,12.366,12.45,440.9,3.455,0.1326,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
140,12.474,13.02,435.0,3.598,0.145,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
150,12.296,12.87,446.0,3.525,0.1574,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
160,12.353,13.43,452.8,3.656,0.1698,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
170,12.506,13.2,449.4,3.691,0.1822,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
180,12.499,14.02,439.5,3.97,0.1947,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
190,12.669,13.53,445.5,3.869,0.2073,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
200,12.584,13.81,454.8,3.651,0.2199,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
210,12.571,14.33,447.3,3.98,0.2325,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
220,12.897,13.95,453.9,3.766,0.2452,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
