Rubber_Content_%,Decomposition_Event,Peak_Temp_5C_per_min,Peak_Temp_10C_per_min,Peak_Temp_20C_per_min,Activation_Energy_Kissinger_kJ_mol,Activation_Energy_Ozawa_kJ_mol,Avg_Activation_Energy_kJ_mol,Pre_exponential_Factor_1_per_s,Reaction_Order,R_squared_Kissinger,R_squared_Ozawa,Timestamp
0,Free_Water,85.38980916663729,87.92433563519444,94.77418934011126,145.74442285058913,159.68089765932268,152.7126602549559,7.694622965300896e+37,1.0,0.9218197914931999,0.9453933640842583,2025-10-18T18:00:32.067579
0,C-S-H_Water,144.60728313233392,148.67200826228327,154.77189043941826,193.2950880318266,210.74496766397942,202.020027847903,3.527177093562574e+43,1.0,0.9225503833940549,0.9202594611262276,2025-10-18T18:00:32.067668
0,Ettringite,92.55650893370631,98.47368727800017,105.46225125725704,117.28823098243372,129.89719925405424,123.59271511824397,6.360051073467911e+28,1.1121858876186952,0.9747407160545128,0.9437666208810145,2025-10-18T18:00:32.067736
0,Gypsum,145.13405337477593,149.0287591447899,154.2610782278848,217.34811956894637,236.0481374138676,226.69812849140698,3.0116561421088236e+49,1.1173806258601713,0.9337522505374953,0.9055612326932145,2025-10-18T18:00:32.067807
0,Portlandite,455.4915283629698,457.69011711610403,466.8549184297675,474.6529495858435,512.1852871916774,493.41911838876047,8.0821289793308775e+62,1.4514427178267375,0.9508420065458036,0.926413922786143,2025-10-18T18:00:32.067868
0,C-S-H_Decomposition,704.4154697023141,707.876687669152,717.9244366142441,750.7418872783954,807.0050441220649,778.8734657002301,6.119773040309951e+74,1.115849852388011,0.9379494951930997,0.9309212938605596,2025-10-18T18:00:32.067929
0,Calcite,753.0475157061486,759.2751496424022,766.8968677822971,868.4290310466571,931.6607255082688,900.0448782774629,6.481333160617233e+82,1.1652073987598575,0.9576387937924514,0.9391566454702222,2025-10-18T18:00:32.067982
5,Free_Water,84.55269669201414,87.75838520639957,95.90338238767447,120.47489933344488,133.10040281743318,126.78765107543903,3.982207466980703e+30,1.0,0.9672999684531153,0.9263825685357111,2025-10-18T18:00:32.068035
5,C-S-H_Water,142.84580443015807,147.58537687187174,156.5884661959484,138.6545997236408,153.26563839085475,145.96011905724777,1.1634467112882714e+30,1.0,0.9446930743093889,0.924035375459343,2025-10-18T18:00:32.068088
5,Ettringite,94.27933721011527,98.96336140387751,106.62321639078402,121.90479250154777,134.7817077859641,128.34325014375594,9.864786591641229e+29,1.0512193403691825,0.9504465242441044,0.9314020077730385,2025-10-18T18:00:32.068141
5,Gypsum,143.5405847819759,148.384192837321,155.82481467930188,158.5261015426637,174.1682334253504,166.34716748400706,9.12027034214746e+34,1.0108838920415721,0.9772460489011923,0.942994253847856,2025-10-18T18:00:32.068193
5,Rubber_Volatiles,283.79955507100783,289.1814037939065,294.59548295344746,328.22374816022096,355.12762642468573,341.67568729245335,3.019710641652361e+56,1.4488452625674912,0.9924499509367096,0.9091895985787406,2025-10-18T18:00:32.068246
5,Rubber_Pyrolysis,423.96813002189344,428.54769588014676,434.7429084944963,512.645928298369,551.5938976628408,532.1199129806049,3.766077141723327e+71,1.4834129549441675,0.9706591434577893,0.9615710754048584,2025-10-18T18:00:32.068299
5,Portlandite,454.2170865016145,458.9866434780937,467.01867716798074,462.87395887027697,499.7825336836612,481.3282462769691,1.6734326699699193e+61,1.1097492282627244,0.9654166475383468,0.9797026288311723,2025-10-18T18:00:32.068358
5,C-S-H_Decomposition,702.9991693563165,709.3408404878112,715.1959281613848,894.7111673135847,958.4170076390967,926.5640874763408,1.48402442533201e+90,1.1540050900910463,0.9310935798035592,0.939267676510695,2025-10-18T18:00:32.068412
5,Calcite,753.7049646230167,758.3281263410928,766.6453675396555,909.630830370777,975.0114969876889,942.321163679233,9.890320438377893e+86,1.1935191827516323,0.9329319452065868,0.9566652351025268,2025-10-18T18:00:32.068464
5,Rubber_Char_Oxidation,605.3570598885441,607.7580552595671,616.2255452383896,736.9817264420263,790.7723739010702,763.8770501715483,2.0559544004909502e+82,1.471247848927295,0.9573293409332859,0.9695761153086644,2025-10-18T18:00:32.068513
10,Free_Water,84.0662178164099,88.71116904400941,96.09831237959372,118.44011956823371,130.95523305365117,124.69767631094244,9.833344051085717e+29,1.0,0.9623048198937251,0.9694678941910603,2025-10-18T18:00:32.068563
10,C-S-H_Water,144.15684498980283,147.6102603918739,155.32480127853933,169.43457285700097,185.6467515625624,177.5406622097817,4.786094068090213e+37,1.0,0.9460638315948603,0.927277188222407,2025-10-18T18:00:32.068613
10,Ettringite,95.72387524896203,97.92477753700302,106.59691476460301,127.02111926057701,140.17842103774186,133.59977014915944,2.5940030445625176e+31,1.2579389376791519,0.9227091717923739,0.9379233314389868,2025-10-18T18:00:32.068663
10,Gypsum,142.3243068430262,146.01542337510995,156.7005389462728,126.19373161060402,140.15499155751667,133.17436158406034,1.0774270463342652e+27,1.0278748181343118,0.9481502190621796,0.9164686591696003,2025-10-18T18:00:32.068713
10,Rubber_Volatiles,283.6762779230163,287.69551265471216,297.05906850232736,250.92090467308046,273.8314005057963,262.3761525894384,1.2442206774080715e+42,1.6678438511549678,0.9373230535584417,0.9317160010689237,2025-10-18T18:00:32.068762
10,Rubber_Pyrolysis,423.5906200057649,426.794216452521,435.94337962024724,417.0949146759088,451.0852437750341,434.0900792254714,2.4468267286561057e+57,1.3204656565362913,0.9424691990094974,0.9186339514198905,2025-10-18T18:00:32.068823
10,Portlandite,455.47906152896724,457.56661680716684,466.83720164022884,471.38879849464735,508.75105185684055,490.06992517574395,2.799943946519653e+62,1.1551666940542165,0.9458739246870903,0.9493592720597528,2025-10-18T18:00:32.068877
10,C-S-H_Decomposition,704.7838614961674,706.9951953175885,715.1161127448836,956.9182296856559,1023.8799121432178,990.3990709144368,6.448354332099069e+96,1.166149387291875,0.944597201103276,0.9347275023407714,2025-10-18T18:00:32.068928
10,Calcite,754.1655710973674,757.9088966377682,765.947016529048,983.9690208518507,1053.213688277315,1018.5913545645828,3.441500777349048e+94,1.4276093359115691,0.9606959832332361,0.9256056606026813,2025-10-18T18:00:32.068979
10,Rubber_Char_Oxidation,607.0891969924055,609.0040548624131,614.1628470744052,1175.6263315976692,1252.221802828098,1213.9240672128835,1.468987893251168e+134,1.6393055080414949,0.9490211647388629,0.9733088678705444,2025-10-18T18:00:32.069034
15,Free_Water,84.44875318660331,88.09786442627137,95.96017403385008,120.86339598985545,133.50821631607488,127.18580615296517,5.0410771525560566e+30,1.0,0.9346033447912546,0.9253736412391395,2025-10-18T18:00:32.069086
15,C-S-H_Water,143.9985208361719,148.65495471075963,156.18911755347614,159.54201884510968,175.2445263561852,167.39327260064744,1.5014057575239479e+35,1.0,0.9461726032832044,0.9060871283236759,2025-10-18T18:00:32.069139
15,Ettringite,94.32267937013842,98.90766304200031,105.0799909942034,141.83724828271923,155.73608040728206,148.78666434500064,4.279976503469065e+35,1.3692284988694952,0.9612058877446046,0.9364421358711837,2025-10-18T18:00:32.069190
15,Gypsum,143.0974914639495,147.58536975594274,157.766045576468,127.63238104834561,141.68388960566293,134.65813532700426,2.0028416771812138e+27,1.1636708902144755,0.9410627643520111,0.9212300358714279,2025-10-18T18:00:32.069240
15,Rubber_Volatiles,282.57213133358493,286.0988185485129,295.37481857229534,257.83795152592086,281.0839063905423,269.4609289582316,3.207623758262116e+43,1.5249796757850878,0.9755064393916497,0.9120872520963332,2025-10-18T18:00:32.069289
15,Rubber_Pyrolysis,425.8563208247639,428.47923731501044,435.225708728036,561.3121974956582,602.8140140864684,582.0631057910633,5.293556591883537e+78,1.5606754614647704,0.9635992414231498,0.9305060459839639,2025-10-18T18:00:32.069338
15,Portlandite,455.1714729745165,459.30961584097554,464.55982283943047,644.6637304275022,691.0097926413914,667.8367615344469,1.4969297718909568e+87,1.1107232223812338,0.9875685478923414,0.9290847073859199,2025-10-18T18:00:32.069387
15,C-S-H_Decomposition,705.2911196289348,706.9728652141289,715.5553850800901,928.7329513619151,994.2368590276981,961.4849051948065,6.025095593869404e+93,1.2555306541205113,0.91506615469805,0.9318312978922443,2025-10-18T18:00:32.069436
15,Calcite,753.265499072295,757.9232874057908,766.9609381654501,852.7006351356832,915.120518168295,883.9105766519891,1.781833778463081e+81,1.1098669774153351,0.9710618436783179,0.9439726258654049,2025-10-18T18:00:32.069504
15,Rubber_Char_Oxidation,604.1155322425519,609.2672492480822,615.9655953513918,740.0866580382382,794.0221451546677,767.0544015964529,4.7891459078965606e+82,1.6674371135861876,0.9251957518352075,0.9287243613717154,2025-10-18T18:00:32.069558
20,Free_Water,83.712916586951,88.18805540741658,95.22298299172155,123.7467247964671,136.52691383792381,130.13681931719546,3.798671726264812e+31,1.0,0.9539374054599621,0.9387116028680301,2025-10-18T18:00:32.069610
20,C-S-H_Water,144.5805799606602,147.7285577128289,156.65022183015697,152.76427065537422,168.12575615983627,160.44501340760524,3.147772484858523e+33,1.0,0.9454224372306003,0.9281375772137872,2025-10-18T18:00:32.069661
20,Ettringite,93.53359064968458,97.0445843365722,104.9448910085568,127.67546090787764,140.83271507123416,134.2540879895559,5.653618015153789e+31,1.0516867858795078,0.977104102452635,0.9787632368272223,2025-10-18T18:00:32.069713
20,Gypsum,145.4237993155666,148.4972495492808,155.0433769477188,199.2261091723364,216.995467765375,208.1107884688557,9.501424746547293e+44,1.144716813963128,0.9385021061423927,0.9436215878915828,2025-10-18T18:00:32.069763
20,Rubber_Volatiles,282.69193388310407,286.92079317573837,295.689189454764,260.6807421778621,284.077556160788,272.37914916932505,9.968510011542875e+43,1.532800545283638,0.976949680172881,0.9511124930899206,2025-10-18T18:00:32.069825
20,Rubber_Pyrolysis,423.4700778893597,426.79195936226995,436.0345224697518,411.1188372640532,444.79819594261687,427.95851660333506,3.163007333074105e+56,1.4089872052399077,0.9530375035215889,0.9379842158969015,2025-10-18T18:00:32.069879
20,Portlandite,453.7008971146614,458.4159936015998,466.85752875609194,447.41416196429,483.51338217278237,465.4637720685362,1.141714521147618e+59,1.2437968281238094,0.9546543850279422,0.9243081964407605,2025-10-18T18:00:32.069931
20,C-S-H_Decomposition,704.6852110163812,708.6625214942209,714.1080876866612,1155.5432328722484,1232.8205803082524,1194.1819065902505,8.215900235870062e+117,1.164169546458788,0.9506096595078362,0.9446050756822507,2025-10-18T18:00:32.069984
20,Calcite,754.1523948053288,758.7537990482712,766.3424627790042,973.5387281248469,1042.2431212535298,1007.8909246891883,2.767172825925962e+93,1.1184505915512686,0.9578824635616144,0.9193210265186867,2025-10-18T18:00:32.070033
20,Rubber_Char_Oxidation,604.2676147665454,606.481182349309,615.9849840219917,666.0025027817074,716.090799431871,691.0466511067892,9.839097490882536e+73,1.3723677187746974,0.9621655634817444,0.9305172520948258,2025-10-18T18:00:32.070083
