Rubber_Content_%,Temperature_C,Total_Mass_Loss_%,Residual_Mass_%,Dominant_Process,Free_Water_Loss_%,Bound_Water_Loss_%,Rubber_Decomposition_%,Portlandite_Loss_%,Timestamp
0,105,2.232320611781031,97.76767938821897,Free Water Evaporation,2.232320611781031,0.0,0.0,0.0,2025-10-18T18:00:32.070506
0,200,6.061784033321879,93.93821596667811,CSH Dehydration,2.5,3.561784033321879,0.0,0.0,2025-10-18T18:00:32.070513
0,300,6.483869818203393,93.51613018179661,Portlandite Decomposition,2.5,3.9838698182033934,0.0,0.0,2025-10-18T18:00:32.070520
0,400,6.256553388578123,93.74344661142187,Portlandite Decomposition,2.5,3.756553388578123,0.0,0.0,2025-10-18T18:00:32.070524
0,500,10.947671633369966,89.05232836663004,Portlandite Decomposition,2.5,4.0,0.0,4.5,2025-10-18T18:00:32.070528
0,600,11.114987720733494,88.8850122792665,CSH & Calcite Decomposition,2.5,4.0,0.0,4.5,2025-10-18T18:00:32.070531
0,700,10.698339272985594,89.30166072701441,CSH & Calcite Decomposition,2.5,4.0,0.0,4.5,2025-10-18T18:00:32.070534
0,800,13.578614504922673,86.42138549507733,CSH & Calcite Decomposition,2.5,4.0,0.0,4.5,2025-10-18T18:00:32.070536
0,900,16.38510536621836,83.61489463378163,Residual Decomposition,2.5,4.0,0.0,4.5,2025-10-18T18:00:32.070539
0,1000,16.47511470813871,83.5248852918613,Residual Decomposition,2.5,4.0,0.0,4.5,2025-10-18T18:00:32.070542
5,105,1.9538732909067658,98.04612670909323,Free Water Evaporation,1.9538732909067658,0.0,0.0,0.0,2025-10-18T18:00:32.070545
5,200,5.765511534203075,94.23448846579693,CSH Dehydration,2.25,3.5,0.0,0.0,2025-10-18T18:00:32.070548
5,300,6.39980967466475,93.60019032533525,Rubber Volatile Release,2.25,3.5,0.0,0.0,2025-10-18T18:00:32.070550
5,400,6.349522013068859,93.65047798693114,Portlandite Decomposition,2.25,3.5,0.75,0.0,2025-10-18T18:00:32.070553
5,500,12.372330699213927,87.62766930078607,Portlandite Decomposition,2.25,3.5,2.5,4.0,2025-10-18T18:00:32.070555
5,600,11.881545176062657,88.11845482393734,Rubber Char Oxidation,2.25,3.5,2.5,4.0,2025-10-18T18:00:32.070557
5,700,12.978070826960835,87.02192917303917,Rubber Char Oxidation,2.25,3.5,3.0,4.0,2025-10-18T18:00:32.070560
5,800,14.853335694930074,85.14666430506992,CSH & Calcite Decomposition,2.25,3.5,3.0,4.0,2025-10-18T18:00:32.070562
5,900,17.359989656959165,82.64001034304084,Residual Decomposition,2.25,3.5,3.0,4.0,2025-10-18T18:00:32.070565
5,1000,17.272725402344054,82.72727459765595,Residual Decomposition,2.25,3.5,3.0,4.0,2025-10-18T18:00:32.070567
10,105,1.902675811960535,98.09732418803947,Free Water Evaporation,1.902675811960535,0.0,0.0,0.0,2025-10-18T18:00:32.070570
10,200,5.4291777219635025,94.5708222780365,CSH Dehydration,2.0,3.0,0.0,0.0,2025-10-18T18:00:32.070573
10,300,4.716672495488837,95.28332750451116,Rubber Volatile Release,2.0,2.7166724954888366,0.0,0.0,2025-10-18T18:00:32.070575
10,400,6.219222365895324,93.78077763410468,Rubber Pyrolysis,2.0,3.0,1.5,0.0,2025-10-18T18:00:32.070577
10,500,13.322012457875351,86.67798754212465,Rubber Pyrolysis,2.0,3.0,5.0,3.5,2025-10-18T18:00:32.070580
10,600,13.382272478809988,86.61772752119,Rubber Char Oxidation,2.0,3.0,5.0,3.5,2025-10-18T18:00:32.070582
10,700,14.609607659000645,85.39039234099936,Rubber Char Oxidation,2.0,3.0,6.0,3.5,2025-10-18T18:00:32.070585
10,800,17.080198151585606,82.9198018484144,CSH & Calcite Decomposition,2.0,3.0,6.0,3.5,2025-10-18T18:00:32.070587
10,900,18.80129434939332,81.19870565060668,Residual Decomposition,2.0,3.0,6.0,3.5,2025-10-18T18:00:32.070590
10,1000,19.130242105479784,80.86975789452022,Residual Decomposition,2.0,3.0,6.0,3.5,2025-10-18T18:00:32.070592
15,105,1.5623620418113524,98.43763795818865,Free Water Evaporation,1.5623620418113524,0.0,0.0,0.0,2025-10-18T18:00:32.070594
15,200,4.215429095368776,95.78457090463122,CSH Dehydration,1.75,2.4654290953687763,0.0,0.0,2025-10-18T18:00:32.070597
15,300,4.7625892212340615,95.23741077876593,Rubber Volatile Release,1.75,2.5,0.0,0.0,2025-10-18T18:00:32.070599
15,400,7.011637311742967,92.98836268825703,Rubber Pyrolysis,1.75,2.5,2.25,0.0,2025-10-18T18:00:32.070601
15,500,14.794547887136291,85.20545211286371,Rubber Pyrolysis,1.75,2.5,7.5,3.0,2025-10-18T18:00:32.070604
15,600,14.739450322314676,85.26054967768532,Rubber Char Oxidation,1.75,2.5,7.5,3.0,2025-10-18T18:00:32.070606
15,700,16.40296998470002,83.59703001529998,Rubber Char Oxidation,1.75,2.5,9.0,3.0,2025-10-18T18:00:32.070608
15,800,17.881678953523632,82.11832104647637,CSH & Calcite Decomposition,1.75,2.5,9.0,3.0,2025-10-18T18:00:32.070610
15,900,19.51868920616478,80.48131079383522,Residual Decomposition,1.75,2.5,9.0,3.0,2025-10-18T18:00:32.070613
15,1000,20.49754882714384,79.50245117285615,Residual Decomposition,1.75,2.5,9.0,3.0,2025-10-18T18:00:32.070615
20,105,1.3687935941607103,98.6312064058393,Free Water Evaporation,1.3687935941607103,0.0,0.0,0.0,2025-10-18T18:00:32.070617
20,200,3.549631862470393,96.45036813752961,CSH Dehydration,1.5,2.0,0.0,0.0,2025-10-18T18:00:32.070619
20,300,3.183485870641429,96.81651412935857,Rubber Volatile Release,1.5,1.6834858706414288,0.0,0.0,2025-10-18T18:00:32.070622
20,400,6.359621633936759,93.64037836606325,Rubber Pyrolysis,1.5,2.0,3.0,0.0,2025-10-18T18:00:32.070624
20,500,15.963968464259416,84.03603153574059,Rubber Pyrolysis,1.5,2.0,10.0,2.5,2025-10-18T18:00:32.070626
20,600,15.8856962206074,84.1143037793926,Rubber Char Oxidation,1.5,2.0,10.0,2.5,2025-10-18T18:00:32.070629
20,700,17.636975898328583,82.36302410167141,Rubber Char Oxidation,1.5,2.0,12.0,2.5,2025-10-18T18:00:32.070631
20,800,19.220150963376128,80.77984903662387,CSH & Calcite Decomposition,1.5,2.0,12.0,2.5,2025-10-18T18:00:32.070633
20,900,21.81628862480607,78.18371137519392,Residual Decomposition,1.5,2.0,12.0,2.5,2025-10-18T18:00:32.070636
20,1000,22.569304616594096,77.4306953834059,Residual Decomposition,1.5,2.0,12.0,2.5,2025-10-18T18:00:32.070638
