Temperature_C,Rubber_Content_%,Peak_Number,Sample_ID,Peak_2Theta,Peak_Intensity,Peak_Phase,d_spacing_A,FWHM,Crystallite_Size_nm,Timestamp
20,0,1,XRD_Peak_20_0_1,17.947528929888215,1050.555987390649,Portlandite,31.51479438199333,0.152,44.6,2025-10-18T18:00:15.364970
20,0,2,XRD_Peak_20_0_2,34.07293885362169,939.7871193163787,Portlandite,16.81410977593091,0.152,44.6,2025-10-18T18:00:15.364974
20,0,3,XRD_Peak_20_0_3,47.11033350158662,982.80865365475,Portlandite,12.33890585811997,0.152,44.6,2025-10-18T18:00:15.364976
20,0,4,XRD_Peak_20_0_4,29.400067737516192,296.43535570940054,C-S-H,12.01990808111074,0.504,9.9,2025-10-18T18:00:15.364978
20,0,5,XRD_Peak_20_0_5,50.10773816768939,277.74677418731017,C-S-H,7.179818981458259,0.504,9.9,2025-10-18T18:00:15.364979
20,0,6,XRD_Peak_20_0_6,26.589051719242352,821.4779017779438,Quartz,14.518599502980466,0.12,100.0,2025-10-18T18:00:15.364984
20,0,7,XRD_Peak_20_0_7,20.91427670175986,790.9968870317839,Quartz,18.414642167854147,0.12,100.0,2025-10-18T18:00:15.364986
20,5,1,XRD_Peak_20_5_1,18.00667605653887,808.9911310260311,Portlandite,31.51479438199333,0.152,44.6,2025-10-18T18:00:15.365010
20,5,2,XRD_Peak_20_5_2,34.0788678537621,833.3998811471015,Portlandite,16.81410977593091,0.152,44.6,2025-10-18T18:00:15.365011
20,5,3,XRD_Peak_20_5_3,47.13644896303994,800.7655223848332,Portlandite,12.33890585811997,0.152,44.6,2025-10-18T18:00:15.365013
20,5,4,XRD_Peak_20_5_4,29.38160619029537,248.7818892164252,C-S-H,12.01990808111074,0.504,9.9,2025-10-18T18:00:15.365014
20,5,5,XRD_Peak_20_5_5,49.89141668889569,227.74024420635746,C-S-H,7.179818981458259,0.504,9.9,2025-10-18T18:00:15.365016
20,5,6,XRD_Peak_20_5_6,26.58340143169748,779.7522285077864,Quartz,14.518599502980466,0.12,100.0,2025-10-18T18:00:15.365017
20,5,7,XRD_Peak_20_5_7,20.93058376503598,826.641037339784,Quartz,18.414642167854147,0.12,100.0,2025-10-18T18:00:15.365019
20,10,1,XRD_Peak_20_10_1,18.009512890954852,874.0716273912187,Portlandite,31.51479438199333,0.152,44.6,2025-10-18T18:00:15.365037
20,10,2,XRD_Peak_20_10_2,34.114543084402364,705.2246238574868,Portlandite,16.81410977593091,0.152,44.6,2025-10-18T18:00:15.365043
20,10,3,XRD_Peak_20_10_3,47.051580927145075,841.4603912497574,Portlandite,12.33890585811997,0.152,44.6,2025-10-18T18:00:15.365044
20,10,4,XRD_Peak_20_10_4,29.261113027824337,148.2590116029514,C-S-H,12.01990808111074,0.504,9.9,2025-10-18T18:00:15.365046
20,10,5,XRD_Peak_20_10_5,50.074540355270784,217.49455078268392,C-S-H,7.179818981458259,0.504,9.9,2025-10-18T18:00:15.365050
20,10,6,XRD_Peak_20_10_6,26.598382545788635,811.1318493135897,Quartz,14.518599502980466,0.12,100.0,2025-10-18T18:00:15.365053
20,10,7,XRD_Peak_20_10_7,20.889696422427335,809.4391888142405,Quartz,18.414642167854147,0.12,100.0,2025-10-18T18:00:15.365054
20,15,1,XRD_Peak_20_15_1,17.918905614588876,712.4903027233438,Portlandite,31.51479438199333,0.152,44.6,2025-10-18T18:00:15.365074
20,15,2,XRD_Peak_20_15_2,34.142103309296246,688.1193811385624,Portlandite,16.81410977593091,0.152,44.6,2025-10-18T18:00:15.365075
20,15,3,XRD_Peak_20_15_3,47.19142024696028,646.9552602785952,Portlandite,12.33890585811997,0.152,44.6,2025-10-18T18:00:15.365077
20,15,4,XRD_Peak_20_15_4,29.266252938985357,208.96653415560243,C-S-H,12.01990808111074,0.504,9.9,2025-10-18T18:00:15.365078
20,15,5,XRD_Peak_20_15_5,49.96588066245584,170.29629699773244,C-S-H,7.179818981458259,0.504,9.9,2025-10-18T18:00:15.365083
20,15,6,XRD_Peak_20_15_6,26.58792109615769,798.248108769503,Quartz,14.518599502980466,0.12,100.0,2025-10-18T18:00:15.365085
20,15,7,XRD_Peak_20_15_7,20.880800662494842,779.6991478791012,Quartz,18.414642167854147,0.12,100.0,2025-10-18T18:00:15.365087
20,20,1,XRD_Peak_20_20_1,17.970815887214012,557.9020697086903,Portlandite,31.51479438199333,0.152,44.6,2025-10-18T18:00:15.365113
