temperature_C,exposure_condition,surface_RH_%,depth_mm,saturation_degree,moisture_content_kg_m3,moisture_loss_rate_kg_m2h,test_duration_hours,rubber_content_%
20,sealed,100,0,0.723956033666078,144.7912067332156,0.0,24,15
20,sealed,100,10,0.4442301301516598,88.84602603033196,0.0,24,15
20,sealed,100,20,0.26159603051671615,52.31920610334323,0.0,24,15
20,sealed,100,30,0.17072233869252512,34.14446773850502,0.0,24,15
20,sealed,100,40,0.1027817183700257,20.55634367400514,0.0,24,15
20,sealed,100,50,0.05974734985840656,11.949469971681312,0.0,24,15
50,sealed,100,0,0.7476272816509701,149.52545633019403,0.0,24,15
50,sealed,100,10,0.4516563707572986,90.33127415145972,0.0,24,15
50,sealed,100,20,0.2812145871693078,56.242917433861564,0.0,24,15
50,sealed,100,30,0.16858714727931567,33.71742945586313,0.0,24,15
50,sealed,100,40,0.10347352267477102,20.6947045349542,0.0,24,15
50,sealed,100,50,0.061654865274666106,12.33097305493322,0.0,24,15
80,sealed,100,0,0.7460103121534768,149.20206243069535,0.0,24,15
80,sealed,100,10,0.46679069132856704,93.35813826571341,0.0,24,15
80,sealed,100,20,0.27558754588118034,55.11750917623607,0.0,24,15
80,sealed,100,30,0.16284566577403076,32.56913315480615,0.0,24,15
80,sealed,100,40,0.10243172217423933,20.486344434847865,0.0,24,15
80,sealed,100,50,0.059480731291490854,11.89614625829817,0.0,24,15
105,sealed,100,0,0.7361257004221268,147.22514008442536,0.0,24,15
105,sealed,100,10,0.4551893099321038,91.03786198642076,0.0,24,15
105,sealed,100,20,0.2595467081652503,51.909341633050055,0.0,24,15
105,sealed,100,30,0.16986712474953813,33.973424949907624,0.0,24,15
105,sealed,100,40,0.09865362205498833,19.730724410997666,0.0,24,15
105,sealed,100,50,0.06419796434416253,12.839592868832506,0.0,24,15
150,sealed,100,0,0.7215692348563582,144.31384697127163,0.0,24,15
150,sealed,100,10,0.43807458457047316,87.61491691409464,0.0,24,15
150,sealed,100,20,0.2522988107595107,50.45976215190214,0.0,24,15
150,sealed,100,30,0.16206477239194136,32.41295447838827,0.0,24,15
150,sealed,100,40,0.09512634945261125,19.02526989052225,0.0,24,15
150,sealed,100,50,0.05805218793945105,11.61043758789021,0.0,24,15
200,sealed,100,0,0.6313394810536002,126.26789621072004,0.0,24,15
200,sealed,100,10,0.4312234653896029,86.24469307792057,0.0,24,15
200,sealed,100,20,0.25196437054959003,50.392874109918004,0.0,24,15
200,sealed,100,30,0.1502809066655134,30.05618133310268,0.0,24,15
200,sealed,100,40,0.08908423894134582,17.816847788269165,0.0,24,15
200,sealed,100,50,0.05909790743381438,11.819581486762875,0.0,24,15
20,RH50,50,0,0.7529524869011875,150.5904973802375,0.00122140275816017,24,15
20,RH50,50,10,0.46087839787966517,92.17567957593303,0.001099262482344153,24,15
20,RH50,50,20,0.2681069034374724,53.62138068749448,0.000977122206528136,24,15
20,RH50,50,30,0.16816911991233263,33.633823982466524,0.0008549819307121189,24,15
20,RH50,50,40,0.10644772985119107,21.289545970238212,0.000732841654896102,24,15
20,RH50,50,50,0.05689474308047781,11.378948616095562,0.000610701379080085,24,15
50,RH50,50,0,0.8012344226597761,160.2468845319552,0.0016487212707001282,24,15
50,RH50,50,10,0.44133152327443864,88.26630465488773,0.0014838491436301154,24,15
50,RH50,50,20,0.2848282055278011,56.965641105560216,0.0013189770165601027,24,15
50,RH50,50,30,0.1599352613341815,31.9870522668363,0.0011541048894900896,24,15
50,RH50,50,40,0.09941436557362109,19.882873114724216,0.000989232762420077,24,15
50,RH50,50,50,0.06282399044426552,12.564798088853104,0.0008243606353500641,24,15
80,RH50,50,0,0.7382520305388081,147.65040610776163,0.002225540928492468,24,15
80,RH50,50,10,0.461783109229464,92.35662184589279,0.0020029868356432213,24,15
80,RH50,50,20,0.27713498621720006,55.42699724344001,0.0017804327427939745,24,15
80,RH50,50,30,0.16816263891501804,33.63252778300361,0.0015578786499447275,24,15
80,RH50,50,40,0.10157394723334594,20.314789446669188,0.0013353245570954808,24,15
80,RH50,50,50,0.058800475368279086,11.760095073655817,0.001112770464246234,24,15
105,RH50,50,0,0.7303989043491071,146.07978086982143,0.002857651118063164,24,15
105,RH50,50,10,0.452297819736598,90.4595639473196,0.0025718860062568477,24,15
105,RH50,50,20,0.26884584324205263,53.76916864841053,0.0022861208944505314,24,15
105,RH50,50,30,0.1623776906419249,32.475538128384976,0.0020003557826442147,24,15
105,RH50,50,40,0.09455547828703012,18.911095657406022,0.0017145906708378982,24,15
105,RH50,50,50,0.061211296091197194,12.24225921823944,0.001428825559031582,24,15
150,RH50,50,0,0.7542198555322887,150.84397110645773,0.004481689070338065,24,15
150,RH50,50,10,0.42824380994244987,85.64876198848998,0.004033520163304259,24,15
150,RH50,50,20,0.260242240451716,52.0484480903432,0.003585351256270452,24,15
150,RH50,50,30,0.1693038571763567,33.86077143527134,0.0031371823492366453,24,15
150,RH50,50,40,0.0936970687089651,18.739413741793022,0.0026890134422028387,24,15
150,RH50,50,50,0.05755357798172431,11.51071559634486,0.0022408445351690324,24,15
200,RH50,50,0,0.6908039984262792,138.16079968525582,0.007389056098930651,24,15
200,RH50,50,10,0.4143493629083391,82.86987258166782,0.006650150489037586,24,15
200,RH50,50,20,0.2554818135684914,51.096362713698284,0.005911244879144521,24,15
200,RH50,50,30,0.1475676494714183,29.513529894283657,0.005172339269251455,24,15
200,RH50,50,40,0.0891729909641832,17.83459819283664,0.0044334336593583904,24,15
200,RH50,50,50,0.054908337885935764,10.981667577187153,0.0036945280494653254,24,15
20,RH95,95,0,0.75593425311908,151.186850623816,0.00011426308117957227,24,15
20,RH95,95,10,0.44567413306860004,89.13482661372001,0.00010283677306161505,24,15
20,RH95,95,20,0.27649586938797227,55.299173877594455,9.141046494365783e-05,24,15
20,RH95,95,30,0.17287020578878087,34.57404115775618,7.998415682570059e-05,24,15
20,RH95,95,40,0.09982506438067554,19.96501287613511,6.855784870774337e-05,24,15
20,RH95,95,50,0.06129437334956203,12.258874669912407,5.713154058978614e-05,24,15
50,RH95,95,0,0.723175373760305,144.635074752061,0.00013956124250860897,24,15
50,RH95,95,10,0.4562177103573656,91.24354207147312,0.00012560511825774806,24,15
50,RH95,95,20,0.27630210741476613,55.26042148295323,0.00011164899400688718,24,15
50,RH95,95,30,0.16487676947065408,32.97535389413081,9.769286975602627e-05,24,15
50,RH95,95,40,0.10249307749636309,20.498615499272617,8.373674550516537e-05,24,15
50,RH95,95,50,0.061914744342551925,12.382948868510384,6.978062125430448e-05,24,15
80,RH95,95,0,0.7345137461952274,146.90274923904548,0.00017046048653227531,24,15
80,RH95,95,10,0.4529084510289361,90.58169020578723,0.0001534144378790478,24,15
80,RH95,95,20,0.27231046001044534,54.462092002089065,0.00013636838922582027,24,15
80,RH95,95,30,0.1724495133530822,34.48990267061644,0.00011932234057259272,24,15
80,RH95,95,40,0.1012855642963822,20.25711285927644,0.00010227629191936518,24,15
80,RH95,95,50,0.06051472305474714,12.102944610949427,8.523024326613766e-05,24,15
105,RH95,95,0,0.7173570724896626,143.47141449793253,0.00020137527074704767,24,15
105,RH95,95,10,0.4537498186499653,90.74996372999306,0.00018123774367234292,24,15
105,RH95,95,20,0.26217126447533595,52.43425289506719,0.00016110021659763814,24,15
105,RH95,95,30,0.15999218250057035,31.998436500114067,0.00014096268952293336,24,15
105,RH95,95,40,0.1030304007838857,20.60608015677714,0.0001208251624482286,24,15
105,RH95,95,50,0.061602490158568904,12.32049803171378,0.00010068763537352383,24,15
150,RH95,95,0,0.6982895467593054,139.6579093518611,0.00027182818284590454,24,15
150,RH95,95,10,0.43335780112583566,86.67156022516713,0.0002446453645613141,24,15
150,RH95,95,20,0.27101342553900143,54.202685107800285,0.00021746254627672364,24,15
150,RH95,95,30,0.15763802982684738,31.527605965369474,0.00019027972799213317,24,15
150,RH95,95,40,0.10211802146316024,20.423604292632046,0.00016309690970754272,24,15
150,RH95,95,50,0.05727844978718729,11.455689957437459,0.00013591409142295227,24,15
200,RH95,95,0,0.6895201840948196,137.90403681896393,0.00037936678946831777,24,15
200,RH95,95,10,0.4287338590974782,85.74677181949563,0.000341430110521486,24,15
200,RH95,95,20,0.24937559219434532,49.875118438869066,0.0003034934315746542,24,15
200,RH95,95,30,0.15045383297093487,30.090766594186974,0.00026555675262782244,24,15
200,RH95,95,40,0.09101457614396938,18.202915228793877,0.00022762007368099066,24,15
200,RH95,95,50,0.05647548343906291,11.295096687812583,0.00018968339473415889,24,15
