temperature_C,porosity,permeability_m2,saturation_degree,pore_pressure_MPa,moisture_diffusivity_m2_s,damage_parameter,rubber_content_%
20,0.17776318521127124,2.8520471538248155e-18,0.7312654190028537,0.3350301598547184,5.477044774221839e-10,0,20
40,0.172790307232326,2.3854497108620606e-18,0.7644910954043055,0.9427471733363271,1.0728067673257044e-09,0,20
60,0.1764554476958493,2.5905386548555033e-18,0.7488886096484368,4.4509241456726665,1.5393472304694173e-09,0,20
80,0.1774208702976978,2.8860315663768816e-18,0.7580216395124276,9.558983568256991,2.8498868446686003e-09,0,20
100,0.18699129162623734,3.3964569303487333e-18,0.7461372886660221,22.115061574661823,3.604965905481486e-09,0,20
120,0.17863843403099072,9.12424288455861e-18,0.7783029395163821,0.6024011389902859,6.9087626868242094e-09,0,20
140,0.18195015579179682,1.694457959577264e-17,0.7465899730656317,0.747775954344059,1.0140698801088786e-08,0,20
160,0.19913276262583557,3.224006034020977e-17,0.7030411407569818,1.1183526534308423,1.1144280622977751e-08,0,20
180,0.19996558117781055,3.207710784749575e-17,0.7465694562856772,2.192415117719046,1.6592501230186165e-08,0,20
200,0.1993596717212794,4.778900900758689e-17,0.7279488047786942,3.108914853720683,2.04278959802356e-08,0,20
220,0.20313362745253008,1.0431522441858741e-16,0.7180578281445179,4.376266438759267,2.765328813634868e-08,0,20
240,0.20867694358302122,1.7728167812207992e-16,0.71492834541582,1.800915834529531,3.3512804620994e-08,0,20
260,0.20818983949304637,2.0979230836259128e-16,0.6520622072051069,3.370375620696013,3.522019651471912e-08,0,20
280,0.20818593174978317,2.895447170284365e-16,0.6238683533887354,4.663150880330378,4.575681723507148e-08,0,20
300,0.21344949273017952,4.2066486144005136e-16,0.6594842170697595,5.714010020679832,5.3669059830841176e-08,0,20
320,0.21974765985231617,5.084251871886775e-16,0.6261357139276522,9.408301513214521,5.975067518970002e-08,0,20
340,0.2177286154854921,7.064729504258961e-16,0.6532120223735542,15.626986746686283,7.135639165387153e-08,0,20
360,0.22835470375426917,1.0258127087304894e-15,0.5891127747847722,26.8312997022335,7.202530672513594e-08,0,20
380,0.2175605280300518,1.0055892159918188e-15,0.6363389923580183,26.861433628294073,1.0540454832236392e-07,0,20
400,0.22966281739150804,1.1619393947059582e-15,0.6248555470015232,46.584667776057444,1.0325210178245128e-07,0,20
420,0.2410890071776436,3.0752507879963204e-15,0.6373900616631692,87.75314906548277,1.3363275206223354e-07,0,20
440,0.239503768256967,4.8521373327912554e-15,0.6065658142566528,92.7459103648019,1.2474632205975108e-07,0,20
460,0.24844399322984403,7.856403554598161e-15,0.5911756032328809,164.39261790378325,1.4791583358754508e-07,0,20
480,0.24519047603278066,8.986983410614744e-15,0.6284323402179175,116.99584008835828,1.846548678793007e-07,0,20
500,0.23922432224545936,1.3407494574156235e-14,0.5906044688089188,178.14945032098322,1.8039846595647388e-07,0,20
520,0.24347998501271248,1.549454005954186e-14,0.6156993332213221,244.3129907185646,2.3273776050451988e-07,0,20
540,0.26145321079101447,1.8873975121294808e-14,0.5903816236864559,331.71659798785765,2.0821731580953752e-07,0,20
560,0.25595834640087806,2.348818099943059e-14,0.6231131873473783,624.7444512428305,3.0524966572982255e-07,0,20
580,0.26090085930488216,2.6223067631477056e-14,0.6097839581451922,867.1534712286616,2.966037514816032e-07,0,20
600,0.272597477455696,3.427841360240806e-14,0.6108154570717634,1165.660507741752,3.54309526667482e-07,0,20
620,0.2759446328813969,4.305751911175701e-14,0.6259130142457069,2208.892276886826,3.766738737693905e-07,0,20
640,0.2794149178155476,6.594791570036072e-14,0.5984586446201536,2842.027969609224,3.492021571896253e-07,0,20
660,0.28692997537739506,1.0876118486109081e-13,0.6486808729676818,4764.025847580791,4.458114624807914e-07,0,20
680,0.2792577616519676,1.045699503596867e-13,0.6061461613360822,6788.028041229023,4.3447514031354005e-07,0,20
700,0.2863059818899877,1.4453642056118355e-13,0.660693373312899,10795.473845482304,4.811390046888098e-07,0,20
720,0.2924854850055,1.9024011992672485e-13,0.5972863418500614,14761.3704234117,4.422615016138095e-07,0,20
740,0.2865295141222345,1.269357406681602e-13,0.6242270409750612,21855.814671369364,5.811767208152607e-07,0,20
760,0.29220028805983705,2.2313558384317734e-13,0.595033781875238,29954.089034269065,5.302759537197848e-07,0,20
780,0.2995806850742433,2.608952632695155e-13,0.5812058301815151,55587.197136027615,5.57969506768754e-07,0,20
800,0.30785072432042426,3.1668806379061196e-13,0.6290880522050343,66060.87677668137,6.424228518236683e-07,0,20
