temperature_C,thermal_conductivity_W_mK,specific_heat_J_kgK,density_kg_m3,thermal_diffusivity_m2_s,volumetric_heat_capacity_J_m3K
20,1.3468803988221496,933.5910713251228,2358.097660402889,6.118015257398828e-07,2201498.9210647987
30,1.3265600588967899,936.4539232504231,2356.805103695059,6.01058625186674e-07,2207039.3856918584
40,1.2921982778783012,897.1432483801664,2353.106187380157,6.121048758907189e-07,2111073.328729702
50,1.3148009426237612,912.1707021236356,2361.521778802529,6.103682472308226e-07,2154110.9790505595
60,1.271389305171221,901.8521309253653,2366.836898122088,5.956277003678184e-07,2134536.9001241866
70,1.2728121852240384,913.7470448956726,2361.1248126946175,5.899556894533623e-07,2157470.8202295555
80,1.2392094788693484,925.8050435731982,2358.08021908592,5.67631658243107e-07,2183122.559979937
90,1.2172811943155497,931.8005045779393,2354.1761656140284,5.5491825630086e-07,2193622.53898451
100,1.1678423947724865,928.4492908666421,2363.263468551709,5.322478384163716e-07,2194170.291507875
110,1.1651844924788808,2276.9096245101355,2343.5616131044058,2.1835971927591997e-07,5336077.99250992
120,1.1882673382351514,2263.2220100653794,2336.3859489344663,2.247203570029727e-07,5287760.103635971
130,1.1639443363108761,1461.6871997674107,2327.2550922141086,3.4216357774889194e-07,3401718.9788828874
140,1.1607422880712097,1041.5300064258054,2330.4276097237607,4.782207359794609e-07,2427210.283330463
150,1.1829540770553784,929.2115767380253,2295.723522803797,5.54541035854051e-07,2133212.8743790905
160,1.1120172447960355,944.8202225159577,2289.133427295194,5.141516511002895e-07,2162819.5541457618
170,1.149672040979755,900.1958675209869,2308.0087479154404,5.533494776810675e-07,2077659.9370757665
180,1.1040329031320593,891.9748009504649,2285.342931238506,5.41599248699056e-07,2038468.3061950183
190,1.1092249880877856,920.8079886943655,2278.2182738471374,5.287559105687812e-07,2097801.5865479317
200,1.0780627499535747,914.0987367494823,2265.575291820291,5.205619634616338e-07,2070959.512263768
210,1.0559377648790809,1031.6094222487184,2265.837396045407,4.5174596489085597e-07,2337459.2070439425
220,1.065287795177732,996.3570165077009,2253.9573938164654,4.7435803952633135e-07,2245746.2642384465
230,1.0440388216272891,1086.1855799063924,2259.663428590083,4.253719597712414e-07,2454413.8315763865
240,1.030061168416899,1022.0613115238875,2241.9259960871586,4.495363276113644e-07,2291385.823900339
250,1.0309405145375214,1053.2383078758523,2246.305682682422,4.357507112712447e-07,2365895.196200345
260,0.9929845591169767,1049.911538685618,2230.4738949926214,4.240261511553506e-07,2341800.279089807
270,1.0019441720174516,1090.7985658698692,2245.132511885303,4.0912591181510727e-07,2448987.3241523053
280,1.0125355476049986,1118.2107700880154,2240.5964812079237,4.0413173811249266e-07,2505459.11670801
290,0.9758359247597306,1109.3184657122654,2242.3182941803757,3.923045090664624e-07,2487445.0897387187
300,0.9762775110738252,1107.8580364129818,2233.4791843871635,3.9455473856348314e-07,2474377.8635844314
310,0.9739859926713115,1128.9457916009824,2229.179582433396,3.870210310232705e-07,2516622.9083110173
320,0.9195698767868291,1126.6829999352894,2224.2808579416105,3.669385753106408e-07,2506059.4297242933
330,0.9386678333386175,1108.2782296212467,2218.754732093523,3.817278415181078e-07,2458997.5664483737
340,0.937772550212348,1114.3926250352,2227.2536304068676,3.7782406079217257e-07,2482035.019808288
350,0.9444259121165017,1178.0372572567298,2232.108449482463,3.591646427958028e-07,2629506.915727893
360,0.944257972743932,1172.7143168091993,2221.2755581521737,3.624899709528445e-07,2604921.6486233994
370,0.9360296516877259,1204.7284716609981,2188.501823498323,3.550205721209218e-07,2636550.457050442
380,0.8930034666030557,1153.87131558274,2204.9776447416693,3.509874409981687e-07,2544260.4557686015
390,0.8949565274051582,1202.0380253534997,2204.902210478303,3.3767149505590693e-07,2650376.299180906
400,0.8816151804446353,1242.271682228502,2198.0509381471848,3.228677903470737e-07,2730576.4365560403
410,0.8744824699148978,1213.153849670659,2195.4988967338545,3.283235266445264e-07,2663477.9385203603
420,0.8939138237720612,1226.630886321051,2179.837351029119,3.343163892536678e-07,2673855.8219285803
430,0.8862577143749476,1172.8613186502348,2183.526520320241,3.46062781460457e-07,2560973.7939305566
440,0.8468572438187959,1214.1492474235708,2181.346517982711,3.1975214812246815e-07,2648480.2331787352
450,0.8363555395831005,1246.9106362127209,2190.852831203666,3.0615573778265673e-07,2731797.697604604
460,0.844152645238564,1222.9883174909744,2175.1839627864956,3.1732382792386354e-07,2660224.5748816067
470,0.8530156494542995,1196.3576771699752,2168.9125386094015,3.28741035288413e-07,2594795.166675578
480,0.8286755096073193,1213.5006736804787,2175.8056557518935,3.1385162453565716e-07,2640341.6290527186
490,0.7894861485312396,1216.6464416307097,2174.6333164460316,2.9839674893310916e-07,2645759.8863056535
500,0.7900113972615332,1187.2361458527448,2166.952362715354,3.0707671235250367e-07,2572684.171356676
510,0.7622125226125158,1255.3218243283538,2169.4203700862035,2.7988349383071756e-07,2723320.7367117056
520,0.8119254775836592,1237.3390230779894,2161.7344981802253,3.035464137256416e-07,2674798.4521323075
530,0.7932784996836428,1216.5260973574043,2146.6619292975224,3.037670051538208e-07,2611470.259194031
540,0.7351419709154561,1223.7240369711453,2150.573978738829,2.7934013641458274e-07,2631709.0710673775
550,0.8068270221937582,1223.952825682917,2162.201046338027,3.0487350428581846e-07,2646432.080359988
560,0.7714532033487501,1173.1253156749901,2169.131037162457,3.0316523052928335e-07,2544662.532711626
570,0.7659428166006673,1232.7351230001573,2169.8792076754135,2.8634593297417003e-07,2674886.3119692346
580,0.7853944465655034,1216.5313909324486,2159.6833508352165,2.989333891947979e-07,2627322.5907652173
590,0.7108023383464261,1244.9027438342698,2153.8134010260064,2.650973270961537e-07,2681288.2126442958
600,0.7131494465539379,1209.6667429811725,2150.395641633928,2.7415516827953025e-07,2601262.0919362223
610,0.7360916464100986,1194.7437147901285,2158.3425683644814,2.854544110034421e-07,2578666.2179174474
620,0.750570899846373,1211.0404223113753,2146.703191041877,2.887095044579504e-07,2599744.3390565314
630,0.760506850746521,1183.7086758377986,2153.814320063223,2.9829779269087184e-07,2549488.6968025262
640,0.6934903203144149,1213.0869538465074,2158.798131842304,2.6481125400797756e-07,2618809.8497261116
650,0.7243762098735851,1182.51691229106,2146.5631781492616,2.853731720915741e-07,2538347.2614627494
660,0.6565126611299756,1210.83221035495,2155.8148117690343,2.515056171813003e-07,2610330.01365024
670,0.6614339101199712,1153.0299286002073,2136.78801815953,2.6846299840915676e-07,2463780.5360122616
680,0.6906070440286671,1154.7769632933664,2150.8681050556997,2.780475756218311e-07,2483772.9388007782
690,0.7046292561772923,1188.3258986434496,2136.8712821672775,2.774896225817845e-07,2539299.4866668102
700,0.661610854211633,1184.572345727883,2145.139040165629,2.6036678773483897e-07,2541072.3847214584
710,0.6528360634911252,1117.9101294048019,2134.2814341641542,2.7361856414473116e-07,2385934.8342527156
720,0.7077643873654084,1162.1508969283884,2142.5189460400406,2.8425068089294144e-07,2489930.3148264987
730,0.6428216004405041,1147.159727772118,2142.567652611472,2.6153633024660266e-07,2457867.3251031223
740,0.6700461153495821,1145.1231716817463,2136.1140641447087,2.7392271749498193e-07,2446113.712207374
750,0.6527590444456121,1147.6205690088425,2138.440762949651,2.659851251977006e-07,2454118.6051679817
760,0.6550972659172528,1142.1578727365095,2145.711759879365,2.6730572961480615e-07,2450741.5791695276
770,0.6553051106988178,1123.1652922288288,2112.8253654022924,2.7614442407858146e-07,2373052.1189605477
780,0.6671296283926875,1146.5703336034765,2131.6194323492086,2.72960532990581e-07,2444051.603664285
790,0.6378577386765182,1130.458287975356,2149.5966485918466,2.624897264760425e-07,2430029.3472047015
800,0.6342660179491371,1119.180368371808,2117.659212564337,2.676179800473073e-07,2370042.6176037076
810,0.614659519631661,1113.3488778952712,2132.6416359270934,2.5887222275211396e-07,2374374.172312165
820,0.6316131329098315,1135.955633969716,2105.167420195734,2.641211268653981e-07,2391376.7914208365
830,0.6319201336697013,1118.6911190240019,2118.371334682844,2.6665511041666395e-07,2369803.198904719
840,0.6226279456110458,1100.8005185485074,2115.9293879787438,2.6731222043662286e-07,2329216.167499027
850,0.6313666687593993,1113.616810807301,2129.154207636935,2.6628012699838456e-07,2371061.9184255893
860,0.5981152291689039,1078.092322044568,2103.512448560038,2.6374474843948926e-07,2267780.6201177463
870,0.5792614663881636,1121.0118444923937,2101.866630522266,2.458438127356525e-07,2356217.388358778
880,0.5561760516837426,1100.703861986927,2098.09641859334,2.4083319762930463e-07,2309382.8307666294
890,0.6234264001248107,1090.2674205684245,2099.5013075416846,2.7235540924303075e-07,2289017.8750535073
900,0.595112076252043,1091.0312398037613,2092.684404346736,2.6065006611945687e-07,2283184.060192415
910,0.5798163634506553,1077.3691343258563,2100.204803441575,2.5625024606013815e-07,2262695.830990855
920,0.5577163413967271,1100.0646859499448,2093.9929805201705,2.421140123528365e-07,2303527.73049731
930,0.5964962237539044,1090.8098237034374,2072.1702499315506,2.638962530288115e-07,2260343.6650113426
940,0.5837664066519281,1097.36241116237,2082.7121626770654,2.5542286174241664e-07,2285490.040592499
