test_type,mix_design,curing_age_days,specimen_id,temperature_c,cooling_regime,compressive_strength_mpa,tensile_strength_mpa,flexural_strength_mpa,modulus_elasticity_mpa,density_kg_m3,upv_m_s,poisson_ratio,mass_loss_percent,spalling_depth_mm,thermal_expansion_coeff,w_c_ratio,cement_content_kg_m3,rubber_content_percent,rubber_size_mm,admixtures,thermal_strain_microstrain,pore_pressure_mpa,generation_timestamp,dataset_version,research_topic
insitu_thermal,control,28,1,200,N/A,36.84744923369447,,,24164.54934767716,,,0.186372,,,,0.45,400,0,N/A,None,1730.238466662908,1.0,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,control,28,2,200,N/A,38.22700118991495,,,24823.90095357301,,,0.186372,,,,0.45,400,0,N/A,None,1788.7873491772477,1.0,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,control,28,3,200,N/A,37.75428877384197,,,26158.824387478096,,,0.186372,,,,0.45,400,0,N/A,None,1824.1233886040804,1.0,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,control,28,1,400,N/A,31.59193465147971,,,20875.598708731533,,,0.19357199999999997,,,,0.45,400,0,N/A,None,3958.521006404062,3.0,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,control,28,2,400,N/A,27.050819954178298,,,22063.932764594207,,,0.19357199999999997,,,,0.45,400,0,N/A,None,3988.5524213206268,3.0,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,control,28,3,400,N/A,28.02200009962936,,,22415.313663629022,,,0.19357199999999997,,,,0.45,400,0,N/A,None,3965.7543668654903,3.0,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,control,28,1,600,N/A,19.15201700412624,,,17201.913365149274,,,0.20077199999999998,,,,0.45,400,0,N/A,None,6050.688540298949,5.0,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,control,28,2,600,N/A,16.62461737638322,,,20348.76815710434,,,0.20077199999999998,,,,0.45,400,0,N/A,None,6047.768581713917,5.0,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,control,28,3,600,N/A,19.37880868111199,,,17813.148233148724,,,0.20077199999999998,,,,0.45,400,0,N/A,None,6118.299334890456,5.0,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,control,28,1,800,N/A,13.345564463895384,,,15263.3347326032,,,0.207972,,,,0.45,400,0,N/A,None,8344.575128071554,7.0,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,control,28,2,800,N/A,12.360503933574705,,,14760.081924083232,,,0.207972,,,,0.45,400,0,N/A,None,8361.294443690824,7.0,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,control,28,3,800,N/A,14.138946030110276,,,14941.560626884655,,,0.207972,,,,0.45,400,0,N/A,None,8410.472889302491,7.0,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
insitu_thermal,rubber_5_fine,28,1,200,N/A,35.668291267804264,,,26825.355843365982,,,0.186372,,,,0.45,400,5,0.5-2mm,SP + AEA,1837.4000129351855,0.985,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
