Mix_ID,Temperature_C,Analysis_Type,SEM_MicroCT_Porosity_R2,SEM_XRD_Crystallinity_R2,MicroCT_XRD_Phase_R2,TGA_SEM_Rubber_Degradation_R2,XRD_MicroCT_Rubber_Phase_R2,Multi_Technique_Rubber_Consistency,SEM_MicroCT_Crack_Density_R2,Damage_Parameter_Consistency,ITZ_Multi_Scale_Consistency,Bond_Quality_Correlation_R2,Cross_Validation_Score,Data_Consistency_Index,Measurement_Precision_Index,Statistical_Significance_p_value
C-0,25,Cross_Correlation,0.8224898928027866,0.8333343818274359,0.7721868064784655,0.86282440691041,0.7902828883945282,0.8849517061772239,0.7168179303573389,0.811936107950411,0.7206429884191939,0.583463473309414,0.7529421127893768,0.7590070994613037,0.8648426939861303,0.013514915576367185
C-0,200,Cross_Correlation,0.8264206794760035,0.7660681095061513,0.846467910407324,0.8908027979839295,0.7695943255649864,0.8971586505051949,0.8747648886923022,0.84796545012261,0.6382922288698816,0.6127672833984114,0.8004650609855144,0.8217478588032054,0.8237004142903934,0.01509976149567692
C-0,400,Cross_Correlation,0.9450857523331277,0.7193853510993072,0.7837828136591922,0.8009602132785946,0.7798537199475497,0.8203035111427146,0.7206280125790322,0.8727680498100745,0.7943583031462716,0.7315375223581817,0.8915744669683339,0.8314960169034276,0.9293360372526407,0.011104186971887104
C-0,600,Cross_Correlation,0.8894241094904239,0.6528158184375206,0.7252610760881227,0.8637888377904273,0.603023173701502,0.8285341954265713,0.8045583498130008,0.7929695174450289,0.6250966692484041,0.5952529782818031,0.822656674143439,0.8816375424925278,0.8046620410778498,0.027478000743636873
C-0,800,Cross_Correlation,0.9069963463997665,0.6638201755570788,0.782634573049304,0.8489766909545153,0.8284164063380042,0.7815864068450974,0.763672082628896,0.8566422913479996,0.6826633265149932,0.6828368601463987,0.7066070674461759,0.9469804872350072,0.9484904074168141,0.03208564629258714
C-10,25,Cross_Correlation,0.762151054617996,0.6649739922745561,0.808994726158138,0.8427596654305152,0.7556973618757933,0.8516927219141214,0.8677302796558596,0.7147167239639077,0.7444658811227481,0.7443408297096903,0.7981545972644652,0.9161287329877889,0.8236297162832792,0.03696099049221003
C-10,200,Cross_Correlation,0.9385964183041957,0.7163766641987133,0.773267288482393,0.8125324515786282,0.7603731948936779,0.8439166233579279,0.7080691517464736,0.8230087662034017,0.8073211239362562,0.7767799010351886,0.8091468172341284,0.8405160069803514,0.9577046878157739,0.020536144134338814
C-10,400,Cross_Correlation,0.8810886250469123,0.7730724512801852,0.7744322199637024,0.8130334906349073,0.6053538846676714,0.8228004158910158,0.7962403149646713,0.8392160016836752,0.7036029124778678,0.6202899686833674,0.7924192936150306,0.7975980960848043,0.8164449100006922,0.006539108650619255
C-10,600,Cross_Correlation,0.8138308919793855,0.6525352835116982,0.7440406573362476,0.9181284711398531,0.6586542981075777,0.7688240168767178,0.8898161119989079,0.7931681267608724,0.6150064873589165,0.5655609916237258,0.8224244251398339,0.8580257604129823,0.8123074590307373,0.011991458273693432
C-10,800,Cross_Correlation,0.9358085828971177,0.7644021620962035,0.7880650796295661,0.837523311788055,0.6334245105754677,0.8184473862988157,0.8844733118662601,0.6612036210058346,0.8477447039857167,0.601953180050502,0.7817534720798018,0.7590102616331436,0.9052607965594457,0.02469420800464859
C-20,25,Cross_Correlation,0.883341406946956,0.7585356254582946,0.7796355569294138,0.9106635046717506,0.6062552819467394,0.8419749335486812,0.7227752407658018,0.7502819166097416,0.7977813292145041,0.5856151865651,0.8871620697544971,0.9277009384782808,0.8746829127560057,0.001292767195570892
C-20,200,Cross_Correlation,0.9079489653348971,0.8261791606824566,0.7349476184710865,0.9374288313224836,0.828524319323674,0.8301194446758124,0.8596069621595683,0.7523380350025574,0.7410115664796544,0.6299597524524408,0.7318938690641649,0.8993073167628063,0.8002507120134444,0.029398081792790295
C-20,400,Cross_Correlation,0.9229372052756927,0.6942554573552902,0.7665798913596005,0.8881228779296694,0.6617175616327851,0.8940727657462332,0.773320633422511,0.7837711555585738,0.6565302868998022,0.5603465842477464,0.7347400532027321,0.7592397875217607,0.8843487019303795,0.029745232154984425
C-20,600,Cross_Correlation,0.7589350415370906,0.6680964443075866,0.7971050053620702,0.9198769898301464,0.7570022947289298,0.7678007374176579,0.877508454768299,0.8610135540016417,0.6812392069623652,0.7040044479703406,0.7984654300369424,0.9384047537259643,0.8915747359307724,0.04803832487189115
C-20,800,Cross_Correlation,0.7898685101060412,0.719107351539136,0.8562690480192274,0.9175416103390052,0.7830458184891762,0.8961339489931017,0.8405092345887624,0.7962995832286138,0.714731253269378,0.6667719358323317,0.7812322986408483,0.8740423599407641,0.8731995072619388,0.00822722139024325
C-30,25,Cross_Correlation,0.7713059232417293,0.8348944550487556,0.7049477815075765,0.8158200892708479,0.7113262186613967,0.7946974653737445,0.7811697800804291,0.6770128977665932,0.6327267342118434,0.7501644771812789,0.8518217488200608,0.7708505731449229,0.9202022746818236,0.030856254844418684
C-30,200,Cross_Correlation,0.8926725445360459,0.7448897809124948,0.7539973655066882,0.8995518754034791,0.6928393566307055,0.7872219931720673,0.7817258027438566,0.8255520621882194,0.7189482991340505,0.6249660658583556,0.8663737229647657,0.926328751036187,0.8779850762790815,0.01935971301561784
C-30,400,Cross_Correlation,0.872539789403793,0.6615948892115826,0.8382646321135194,0.917343140806587,0.6993604818142929,0.7796846945012574,0.7057636750281726,0.796566487882033,0.6672483516587274,0.665972396780321,0.7772711043315061,0.7849769591894925,0.8915063603229267,0.02352008261429616
C-30,600,Cross_Correlation,0.8748295245739665,0.7003769989059574,0.7429278159706811,0.9221517589634708,0.7755480612410104,0.8812750967875658,0.7246579623510055,0.7015291179652141,0.74388287905091,0.7643003367182271,0.878422928633694,0.9163819924509854,0.807811630295197,0.04122308004813059
C-30,800,Cross_Correlation,0.9298182355042163,0.6613498180305304,0.7832561787553975,0.8804915484945053,0.658187593220875,0.8378365615263088,0.8771911575922129,0.8493967764595258,0.8349593203143701,0.6710274495986356,0.782113389058784,0.8831575638064706,0.8750169039681862,0.0030552852040420303
