Sample_ID,Mix_ID,Replicate,Analysis_Type,Measurement_Scale,Total_Mass_Loss_Percent,Mass_Loss_Stage1_25_200C_Percent,Mass_Loss_Stage2_200_400C_Percent,Mass_Loss_Stage3_400_600C_Percent,Mass_Loss_Stage4_600_800C_Percent,Residual_Mass_800C_Percent,Onset_Temperature_C,Peak_Decomposition_Temperature_C,Endset_Temperature_C,T50_Temperature_C,Rubber_Decomposition_Onset_C,Rubber_Peak_Decomposition_C,Rubber_Mass_Loss_Percent,Rubber_Char_Yield_Percent,CSH_Dehydration_Peak_C,CH_Dehydration_Peak_C,Bound_Water_Loss_Percent,Free_Water_Loss_Percent,Endothermic_Peak1_Temperature_C,Endothermic_Peak1_Enthalpy_J_g,Endothermic_Peak2_Temperature_C,Endothermic_Peak2_Enthalpy_J_g,Exothermic_Peak_Temperature_C,Exothermic_Peak_Enthalpy_J_g,Activation_Energy_kJ_mol,Pre_exponential_Factor_s,Reaction_Order,Conversion_Degree_Alpha,CO2_Evolution_Peak_C,H2O_Evolution_Peak_C,Volatile_Organics_Peak_C,Total_Gas_Evolution_ml_g,Heating_Rate_C_min,Atmosphere,Sample_Mass_mg,Temperature_Accuracy_C,Mass_Resolution_ug,Baseline_Stability_Percent,Measurement_Uncertainty_Percent
C-0-TGA-R0,C-0,0,TGA,Bulk,7.061396973571549,2.56660008003788,1.5591601421001973,2.6418026011814684,1.0406952199081216,92.93860302642845,94.03945509415198,469.13182439958956,773.3095761934203,431.41496763301916,0.0,0.0,-0.05812643265733375,-0.03435648175040699,177.79790409141418,457.17790507911315,2.3517009224546377,2.56660008003788,130.52036052025133,-166.0822175317919,458.9823950260166,-74.10239032172616,347.8237541813768,43.625810312378526,168.74237165147315,1139060713864.677,1.053209735120584,0.5404672502766933,628.0093728822624,169.46643619644306,378.5115970044466,25.32741945405492,10.0,Air,9.102889003771738,0.1,0.1,95.01103859402113,3.7104533360050516
C-0-TGA-R1,C-0,1,TGA,Bulk,7.774960011045686,2.89868901919393,1.2244243041675127,2.54320030085575,1.1543494069250335,92.22503998895431,77.53289284408683,430.0864041649601,730.7348318227808,393.0414511688642,0.0,0.0,0.060542816552020456,-0.0159867789156549,186.72123669039408,450.43498244014967,1.9873843944242378,2.89868901919393,132.14204969537718,-176.61459147495466,475.6589564368316,-93.1760532229016,345.6648358972704,35.75871454304298,185.58259122418696,12757577719244.568,1.0436439907743291,0.585782522988144,666.2091527675311,157.1330471901303,382.8738561019416,26.98163036803655,10.0,Air,8.606506117416915,0.1,0.1,96.71837425688078,4.105075254261024
C-0-TGA-R2,C-0,2,TGA,Bulk,8.382782321568703,2.709426903294943,1.385260517186614,3.162213973790924,0.9469865278355752,91.6172176784313,93.889840922101,443.73465463521353,756.1810940426633,403.7404832029006,0.0,0.0,0.08128148580526826,-0.006207139654608909,174.41940432833073,445.8016905189953,2.333924709323891,2.709426903294943,114.71089054649343,-140.76453059596116,481.6358382004292,-94.95715974042533,352.43688259080625,56.92946176080993,180.57408644611667,12583676294.706224,0.963383507056693,0.6173433490482467,618.0091635724814,149.75461643065123,401.91377575162676,29.00452211712082,10.0,Air,8.49543442586538,0.1,0.1,95.59767110764508,4.316351293346342
C-0-TGA-R3,C-0,3,TGA,Bulk,8.501384117151002,2.842772759425472,1.2634410819036634,2.698144881096818,1.1331845719434603,91.498615882849,89.42175217395584,462.2382451131216,779.3847404944753,426.8155093593497,0.0,0.0,0.004092650169952056,-0.01892318152027426,182.78706346298804,458.3151930140672,2.072884546232709,2.842772759425472,115.05936423778863,-133.7437777509193,439.6376896328943,-68.8242859727316,331.2799407472779,44.9389818216447,195.79263000243742,21349224697557.758,1.4603503459760925,0.6749964683060187,678.9149170786613,133.45981096085592,381.0643361896502,21.593914389613165,10.0,Air,10.946213239463962,0.1,0.1,95.73955678235401,2.907507847006702
C-0-TGA-R4,C-0,4,TGA,Bulk,7.993710316616015,2.5888967815147237,1.669310037187926,2.726959628187061,0.8513109576587853,92.00628968338398,84.65220341187272,436.3136564349168,761.6242081397743,389.3388920385855,0.0,0.0,0.048221559403776953,-0.04365634403448916,198.58790241776816,420.0003322005443,2.487397925644044,2.5888967815147237,114.76327245040605,-139.2219123980256,437.25710369310593,-96.66601674569571,333.0672574891288,47.44529180162938,160.74964634622128,12202782512.472572,1.4329859798885467,0.5205144877439293,681.674025203083,152.21747910849047,386.2142811367803,23.460016512079896,10.0,Air,11.99915748725038,0.1,0.1,95.65769044604511,4.023903331865569
C-10-TGA-R0,C-10,0,TGA,Bulk,16.89791094436181,2.3622892776420263,2.640659913248794,6.850856643442335,3.921976422704578,83.10208905563819,79.03608165150878,482.8373962759546,735.4432238165489,424.1637227921889,299.9587896879511,374.8193130633596,6.48455489776641,3.5490055457774834,174.77201381669704,441.96912043415205,4.695916906281495,2.3622892776420263,129.83143398641582,-161.28417789073848,446.68930518212034,-83.07158979298711,358.0256320230477,31.29729074937796,221.5996032165471,2672552442924.0596,1.2026021048727762,0.5434379741651797,639.9132821774854,143.84979607783362,364.68910083572194,34.54287335904345,10.0,Air,9.066264228168727,0.1,0.1,95.68240021322626,2.1698876445528734
C-10-TGA-R1,C-10,1,TGA,Bulk,16.238376926209824,2.6727886939143346,2.299599996165202,7.115392384686073,4.192833896023031,83.76162307379018,76.48804189875645,469.61483489995453,763.9822928186312,401.4552028131436,291.1309397599046,394.3853371127866,6.417697572706551,3.5322229905465927,175.14326178048378,428.6469721460407,4.434217711571024,2.6727886939143346,119.79579627589044,-175.70887585312707,461.1050704083592,-99.22572847983801,359.1444576669092,44.63909057434766,239.41560402142957,62531838523.30146,1.270051996231029,0.5559215002135504,646.7151728748145,137.84765974968334,371.67578934768596,29.818694324216665,10.0,Air,10.627928783693308,0.1,0.1,97.16181983568536,3.27031589495816
C-10-TGA-R2,C-10,2,TGA,Bulk,16.346001666820943,2.4157220716082293,2.6928223615450197,7.229598458235266,4.016255597805232,83.65399833317906,92.54121365171994,483.1544728587222,751.91036367723,415.8923806067541,282.63985408796975,375.6577096868086,6.508022588560747,3.5147130460497595,185.7935429940256,460.4114426110801,4.8617018990156,2.4157220716082293,125.37805875135044,-173.44311487718974,444.58561652286465,-74.77835981830596,346.32689554924144,52.885549359172906,220.6558861590676,429905472993.322,0.9209887668339918,0.5074076215988748,619.9927425810266,137.66091977682157,383.5078785461884,33.00748019267898,10.0,Air,8.379708011299487,0.1,0.1,97.30716981280224,4.59114924383946
C-10-TGA-R3,C-10,3,TGA,Bulk,15.52044657851915,2.0339398297234204,2.6251762612313874,7.355352239005066,3.8552691141052406,84.47955342148084,82.714953918808,456.3494736236082,726.381445836562,412.2762151625832,298.70145904712524,385.3449687686229,6.5969629325615236,3.493439527607029,195.9147915530944,432.30505347997826,4.831781932932907,2.0339398297234204,108.53713101032379,-137.8487969452538,453.5704165431318,-87.29249589011593,356.8512231199063,40.00452125308465,231.3997657798488,12379535078.776953,1.3750384700150355,0.6240675549643951,655.8046537798817,141.97820425045217,397.0254552926751,31.123883404953155,10.0,Air,8.768948267971583,0.1,0.1,95.8614935043641,2.7874787555144662
C-10-TGA-R4,C-10,4,TGA,Bulk,16.153060209191125,2.548316333093023,2.3643182317851337,7.194062291977003,4.155616466373493,83.84693979080888,75.87030955307077,466.68786551290725,755.6112071126886,420.1452736543872,260.78141387958044,371.31698197545813,6.412366144262425,3.5068965072549934,185.8155955067787,429.58452980540864,4.5225369193782345,2.548316333093023,114.99033358026217,-160.21177539743874,475.99011657948915,-92.21362381883466,351.93256485302635,53.48806537502653,239.68664108400506,6574708997379.723,0.9404012393310043,0.5086529761303099,676.3662554317639,156.66264377138933,367.97166513571295,36.230465748288566,10.0,Air,10.781461190806318,0.1,0.1,98.77917920493573,4.321171784189058
C-20-TGA-R0,C-20,0,TGA,Bulk,24.662951132987377,2.5449822808497906,3.382751686452844,11.177736896766884,7.084788350197077,75.33704886701263,88.50715943388013,507.86836226877284,742.0307419958734,439.4546638270042,296.3377741102964,369.81497356562244,13.039463667877486,7.0373204439772685,172.40565592058542,469.82491445129557,6.736072755482909,2.5449822808497906,114.96174378814332,-132.34452430582502,438.4914931486863,-73.79028005316289,357.0855232231518,44.74277490242869,277.9444925540829,1297666002787.699,1.058243218342624,0.6971203335601737,664.9672691090169,166.92734682215365,394.03128949809366,45.6129602898466,10.0,Air,8.22054694064509,0.1,0.1,96.43448167046724,2.8930914943058386
C-20-TGA-R1,C-20,1,TGA,Bulk,23.77302342625611,2.9177178605198657,3.420822724441109,11.4169766527,6.969335544665281,76.22697657374388,92.09537538440416,490.8700039400268,738.6811706056989,438.84399589874226,276.9752431591281,372.7974218625665,12.957927745998381,6.968645392131106,173.44002228830433,457.4643481949503,6.845915720251109,2.9177178605198657,116.59674506128894,-137.26060734442245,484.34890848439767,-84.91595682062061,348.5055685635847,34.92330470844293,275.0549949459677,18819060691989.285,1.27419431382689,0.6915158755173213,641.3772228623453,159.0732980316272,363.0442879845478,37.82054048655229,10.0,Air,11.618161739710501,0.1,0.1,95.60454878729297,2.127658323821644
C-20-TGA-R2,C-20,2,TGA,Bulk,23.79818946838951,2.5220794788186396,3.509342369131229,10.634107267771055,6.849926972861844,76.20181053161049,75.93721511558408,504.034397042216,776.8646482840908,438.6617978509349,268.5248947419645,367.69588654204733,13.075500434228166,7.045870873353624,170.4718630688356,438.2150297961225,6.699574549462545,2.5220794788186396,115.88009053238818,-149.85217443715612,469.1230489322463,-79.82437666981504,368.0400632670496,32.99680375564496,297.17508439497516,7324923851611.742,1.365516345227638,0.6501558484317598,673.888440982005,143.37932363253884,372.65286128519284,43.088294437102256,10.0,Air,9.283914423934899,0.1,0.1,98.02772173272899,4.353562280659405
C-20-TGA-R3,C-20,3,TGA,Bulk,24.066800641301025,2.5367562386668165,3.65583248183749,11.317030862224408,6.934878176812268,75.93319935869897,91.03124435150582,502.56836026701643,734.0475384551148,461.24639007968506,267.46135687344633,367.7914733896439,13.014908602410046,7.04086521987834,161.41836094103053,469.5900982556953,7.050941740504813,2.5367562386668165,120.1941363211052,-128.34627307672622,477.1738467585524,-64.98852780734845,360.75495819226694,55.28977063640985,266.14572477468545,53568706713.336395,1.4273788324331655,0.6411764385825676,624.0820165760963,142.15412595499765,364.5491702484378,43.4242830372806,10.0,Air,11.501519911676347,0.1,0.1,95.55742103304276,3.196941213683907
C-20-TGA-R4,C-20,4,TGA,Bulk,23.566302340152635,2.0096810852796496,3.370713776263224,10.879583251977879,6.836887854897085,76.43369765984737,86.32975115653639,485.3269064989053,722.7876997366527,443.48606109362436,289.1711933536441,390.03414328908303,12.997108119973397,7.046865879733451,196.56256578129825,453.0810975060079,6.634588751856588,2.0096810852796496,118.34855793208251,-179.81793432582464,470.5497265869617,-77.40181983801236,367.5017658194432,47.82696375723732,265.97343979069063,15398855908456.465,1.3717182617814794,0.5422897878811126,689.4284875114184,164.15277087453163,407.21587614889717,39.27662771285039,10.0,Air,11.058978616539651,0.1,0.1,97.32789343216562,2.328575434705019
C-30-TGA-R0,C-30,0,TGA,Bulk,32.00356719514042,2.9311380008386783,4.503874527267137,15.288698989553472,9.811563994656783,67.99643280485958,89.56162825725187,527.8734954454991,749.9716670935761,471.3818919665225,285.86602019547587,392.48783645279656,19.43535393010667,10.49036942100227,166.25161123927364,449.79925393319354,9.090484224133178,2.9311380008386783,121.21266039091677,-123.34778311670038,455.6257576883814,-77.32173545841206,365.4105029621661,39.64215000528476,330.11638167609095,267428027171.74017,1.0598774590753284,0.694684262138821,663.9331095174072,160.28647395288385,369.8316940812206,45.64341185530645,10.0,Air,10.008612074806132,0.1,0.1,98.4259107753737,2.5859522316300776
C-30-TGA-R1,C-30,1,TGA,Bulk,32.87888552979826,2.794431434569022,4.685215293713485,14.88976487519593,9.994254797231074,67.12111447020175,86.8670865179736,521.5906214482026,770.9434051236262,454.71243382227993,296.162495501327,393.1248995751278,19.518577480871357,10.46867506132549,192.73659330813956,452.91525687297593,9.152144756272264,2.794431434569022,129.51589361149138,-131.11151240464102,439.3364657842896,-75.71914286517344,349.32577197074886,58.38358409998553,337.46077834897847,158518244954.23865,1.2407074532984865,0.6232438865682522,633.7313033540318,138.240004247637,403.8252113611493,45.48715568900105,10.0,Air,9.669477127831867,0.1,0.1,98.89985992094839,2.3954995042549374
