Sample_ID,Mix_ID,Temperature,Rubber_Content,Replicate,Analysis_Type,Measurement_Scale,Voxel_Size_um,Scan_Volume_mm3,Total_Porosity_3D_Percent,Connected_Porosity_Percent,Isolated_Porosity_Percent,Connectivity_Ratio,Pore_Count_Total,Pore_Volume_Mean_um3,Pore_Volume_StdDev_um3,Pore_Sphericity_Mean,Pore_Elongation_Index,Crack_Volume_Fraction_Percent,Crack_Network_Length_mm,Tortuosity_Factor,Specific_Surface_Area_mm2_per_mm3,Anisotropy_Index,Rubber_Particle_Volume_Percent,Rubber_Particle_Count,Rubber_Distribution_Uniformity,Interface_Area_Density_mm2_per_mm3,Damage_Parameter_Percent,Fractal_Dimension,Euler_Number
C-0-28-R-25-Furnace-Rep1,C-0,25,0,1,MicroCT,Meso,10,512,6.34,4.03,2.31,0.636,3169,46.5,27.9,0.682,0.465,0.057,-0.9,1.357,0.404,1.052,0.0,0,,2.499,3.14,2.535,-633
C-0-28-R-25-Furnace-Rep2,C-0,25,0,2,MicroCT,Meso,10,512,7.43,4.67,2.76,0.629,3716,38.6,23.1,0.697,0.434,0.0,1.9,1.673,0.493,1.035,0.0,0,,2.187,-1.58,2.492,-743
C-0-28-R-25-Furnace-Rep3,C-0,25,0,3,MicroCT,Meso,10,512,7.18,4.34,2.85,0.604,3592,28.0,16.8,0.724,0.382,0.0,0.96,1.607,0.525,0.932,0.0,0,,2.533,5.17,2.506,-718
C-0-28-R-200-Furnace-Rep1,C-0,200,0,1,MicroCT,Meso,10,512,9.15,6.16,2.99,0.673,4572,53.5,32.1,0.642,0.557,0.223,4.75,1.904,0.646,1.146,0.0,0,,2.482,4.47,2.561,-914
C-0-28-R-200-Furnace-Rep2,C-0,200,0,2,MicroCT,Meso,10,512,8.96,5.8,3.15,0.648,4477,52.2,31.3,0.69,0.45,0.229,2.39,1.6,0.631,1.121,0.0,0,,2.474,5.2,2.521,-895
C-0-28-R-200-Furnace-Rep3,C-0,200,0,3,MicroCT,Meso,10,512,7.29,4.79,2.5,0.657,3643,49.5,29.7,0.646,0.548,0.193,2.97,1.836,0.792,0.999,0.0,0,,2.732,8.2,2.585,-728
C-0-28-R-400-Furnace-Rep1,C-0,400,0,1,MicroCT,Meso,10,512,10.73,7.88,2.85,0.734,5362,77.5,46.5,0.668,0.497,0.451,6.44,2.057,0.801,1.14,0.0,0,,2.741,9.45,2.656,-1072
C-0-28-R-400-Furnace-Rep2,C-0,400,0,2,MicroCT,Meso,10,512,10.41,7.13,3.28,0.685,5204,67.9,40.7,0.609,0.642,0.303,7.3,2.17,0.81,1.07,0.0,0,,2.374,13.96,2.627,-1040
C-0-28-R-400-Furnace-Rep3,C-0,400,0,3,MicroCT,Meso,10,512,11.03,7.03,3.99,0.638,5513,72.5,43.5,0.662,0.512,0.359,7.48,2.201,0.819,1.206,0.0,0,,2.531,11.83,2.645,-1102
C-0-28-R-600-Furnace-Rep1,C-0,600,0,1,MicroCT,Meso,10,512,14.23,10.44,3.79,0.734,7116,83.7,50.2,0.656,0.524,0.54,12.0,2.49,1.147,1.205,0.0,0,,2.636,16.44,2.735,-1423
C-0-28-R-600-Furnace-Rep2,C-0,600,0,2,MicroCT,Meso,10,512,13.78,10.41,3.37,0.755,6891,79.2,47.5,0.64,0.562,0.394,10.6,2.368,1.11,1.235,0.0,0,,2.89,20.8,2.726,-1378
C-0-28-R-600-Furnace-Rep3,C-0,600,0,3,MicroCT,Meso,10,512,13.47,9.54,3.93,0.708,6735,82.8,49.7,0.608,0.644,0.396,11.48,2.405,1.05,1.141,0.0,0,,2.581,20.18,2.709,-1347
C-0-28-R-800-Furnace-Rep1,C-0,800,0,1,MicroCT,Meso,10,512,16.35,14.46,1.9,0.884,8177,106.5,63.9,0.575,0.738,0.828,14.33,2.82,1.22,1.405,0.0,0,,2.395,25.06,2.811,-1635
C-0-28-R-800-Furnace-Rep2,C-0,800,0,2,MicroCT,Meso,10,512,14.95,12.3,2.65,0.823,7477,99.5,59.7,0.604,0.655,0.899,15.16,2.765,1.131,1.402,0.0,0,,2.559,23.45,2.809,-1495
C-0-28-R-800-Furnace-Rep3,C-0,800,0,3,MicroCT,Meso,10,512,15.6,13.41,2.19,0.86,7799,102.0,61.2,0.588,0.701,0.731,15.32,2.557,1.257,1.329,0.0,0,,2.603,26.64,2.773,-1559
C-10-28-R-25-Furnace-Rep1,C-10,25,10,1,MicroCT,Meso,10,512,11.0,6.31,4.7,0.573,7335,64.6,38.7,0.618,0.618,0.138,0.44,1.732,0.618,1.13,7.39,1962,0.761,2.642,2.58,2.49,-1467
C-10-28-R-25-Furnace-Rep2,C-10,25,10,2,MicroCT,Meso,10,512,10.82,7.41,3.41,0.685,7216,65.7,39.4,0.645,0.55,0.0,1.92,1.388,0.603,1.106,7.96,1962,0.646,2.596,-3.55,2.455,-1443
C-10-28-R-25-Furnace-Rep3,C-10,25,10,3,MicroCT,Meso,10,512,11.25,7.75,3.51,0.688,7502,64.6,38.7,0.613,0.632,0.065,-0.0,1.553,0.598,1.052,6.93,1962,0.632,2.712,-0.24,2.544,-1500
C-10-28-R-200-Furnace-Rep1,C-10,200,10,1,MicroCT,Meso,10,512,14.7,10.03,4.67,0.682,9802,95.8,57.5,0.64,0.562,0.106,4.9,1.922,0.807,1.176,5.63,1700,0.662,2.491,7.28,2.65,-1960
C-10-28-R-200-Furnace-Rep2,C-10,200,10,2,MicroCT,Meso,10,512,13.7,9.19,4.51,0.671,9135,103.2,61.9,0.634,0.578,0.368,5.26,1.929,0.721,1.075,5.82,1700,0.733,2.904,10.78,2.633,-1827
C-10-28-R-200-Furnace-Rep3,C-10,200,10,3,MicroCT,Meso,10,512,13.65,8.71,4.94,0.638,9101,101.8,61.1,0.638,0.569,0.252,3.96,1.939,0.795,1.206,7.25,1700,0.727,2.836,8.11,2.613,-1820
C-10-28-R-400-Furnace-Rep1,C-10,400,10,1,MicroCT,Meso,10,512,17.16,13.92,3.24,0.811,11442,124.0,74.4,0.609,0.643,0.399,9.23,2.255,0.99,1.137,5.41,1400,0.621,2.843,14.17,2.602,-2288
C-10-28-R-400-Furnace-Rep2,C-10,400,10,2,MicroCT,Meso,10,512,17.65,12.98,4.67,0.735,11764,134.3,80.6,0.65,0.538,0.403,8.62,2.308,0.883,1.157,4.72,1400,0.582,2.35,14.99,2.669,-2352
C-10-28-R-400-Furnace-Rep3,C-10,400,10,3,MicroCT,Meso,10,512,18.41,14.21,4.21,0.772,12276,133.3,80.0,0.598,0.672,0.365,9.18,2.306,0.962,1.17,5.11,1400,0.604,2.583,14.85,2.605,-2455
C-10-28-R-600-Furnace-Rep1,C-10,600,10,1,MicroCT,Meso,10,512,21.71,18.98,2.72,0.875,14471,165.0,99.0,0.637,0.569,0.843,13.42,2.614,1.135,1.33,0.0,0,,2.656,20.15,2.772,-2894
C-10-28-R-600-Furnace-Rep2,C-10,600,10,2,MicroCT,Meso,10,512,22.3,17.33,4.98,0.777,14866,166.2,99.7,0.556,0.799,0.747,11.43,2.47,1.193,1.33,0.0,0,,2.459,25.14,2.695,-2973
C-10-28-R-600-Furnace-Rep3,C-10,600,10,3,MicroCT,Meso,10,512,22.22,18.89,3.33,0.85,14814,162.0,97.2,0.573,0.744,0.766,13.17,2.477,1.274,1.334,0.0,0,,2.841,19.32,2.71,-2962
C-10-28-R-800-Furnace-Rep1,C-10,800,10,1,MicroCT,Meso,10,512,25.4,22.89,2.51,0.901,16931,192.3,115.4,0.57,0.755,0.86,18.52,2.972,1.372,1.378,0.0,0,,2.825,27.19,2.739,-3386
C-10-28-R-800-Furnace-Rep2,C-10,800,10,2,MicroCT,Meso,10,512,26.87,23.76,3.12,0.884,17914,192.0,115.2,0.541,0.848,1.048,17.1,2.742,1.379,1.356,0.0,0,,2.431,31.97,2.842,-3582
C-10-28-R-800-Furnace-Rep3,C-10,800,10,3,MicroCT,Meso,10,512,26.13,21.79,4.33,0.834,17417,195.0,117.0,0.574,0.744,0.948,17.05,2.919,1.468,1.413,0.0,0,,2.575,26.17,2.81,-3483
C-20-28-R-25-Furnace-Rep1,C-20,25,20,1,MicroCT,Meso,10,512,15.01,8.5,6.52,0.566,12512,100.9,60.5,0.602,0.662,0.008,-0.46,1.867,0.684,1.208,15.43,3925,0.791,3.16,3.61,2.497,-2502
C-20-28-R-25-Furnace-Rep2,C-20,25,20,2,MicroCT,Meso,10,512,14.48,10.12,4.36,0.699,12067,104.4,62.6,0.572,0.749,0.042,0.62,1.536,0.735,1.117,15.71,3925,0.728,3.063,-4.69,2.504,-2413
C-20-28-R-25-Furnace-Rep3,C-20,25,20,3,MicroCT,Meso,10,512,14.42,10.97,3.45,0.761,12012,96.5,57.9,0.62,0.613,0.071,1.02,1.864,0.63,1.106,16.75,3925,0.765,2.524,-0.09,2.551,-2402
C-20-28-R-200-Furnace-Rep1,C-20,200,20,1,MicroCT,Meso,10,512,19.09,11.14,7.95,0.583,15910,145.1,87.1,0.538,0.857,0.082,3.69,1.717,0.912,1.215,12.97,3400,0.769,2.961,11.15,2.573,-3182
C-20-28-R-200-Furnace-Rep2,C-20,200,20,2,MicroCT,Meso,10,512,18.53,13.3,5.23,0.718,15441,141.3,84.8,0.594,0.684,0.288,6.57,2.062,0.906,1.316,12.88,3400,0.653,2.883,6.31,2.561,-3088
C-20-28-R-200-Furnace-Rep3,C-20,200,20,3,MicroCT,Meso,10,512,19.16,13.52,5.64,0.706,15967,146.1,87.7,0.57,0.754,0.219,5.91,2.167,0.828,1.21,13.85,3400,0.618,2.929,5.81,2.527,-3193
C-20-28-R-400-Furnace-Rep1,C-20,400,20,1,MicroCT,Meso,10,512,25.42,21.53,3.89,0.847,21179,194.3,116.6,0.558,0.794,0.544,8.72,2.242,1.182,1.248,9.36,2800,0.683,2.674,13.93,2.626,-4235
