specimen_id,rubber_content_pct,temperature_C,exposure_time_hrs,scan_resolution_um,total_porosity_pct,macro_porosity_50_1000um_pct,meso_porosity_10_50um_pct,micro_porosity_1_10um_pct,capillary_porosity_0_1_1um_pct,gel_porosity_below_0_1um_pct,avg_pore_diameter_um,pore_sphericity,pore_connectivity_index,specific_surface_area_mm2_mm3,tortuosity_factor,permeability_m2,notes
MCT-R0-RT-01,0,20,0,5.2,8.45,0.82,1.35,2.68,2.15,1.45,2.85,0.68,0.42,12.5,1.85,2.35e-18,Typical cement paste porosity
MCT-R0-RT-02,0,20,0,5.1,8.23,0.78,1.28,2.58,2.21,1.38,2.72,0.69,0.41,12.2,1.82,2.18e-18,Well-hydrated control
MCT-R0-RT-03,0,20,0,5.3,8.67,0.85,1.42,2.78,2.09,1.53,2.98,0.67,0.43,12.8,1.88,2.52e-18,Good quality concrete
MCT-R5-RT-01,5,20,0,5.2,12.85,2.15,2.12,3.45,3.18,1.95,4.68,0.61,0.51,15.8,2.15,5.48e-18,Rubber increases porosity
MCT-R5-RT-02,5,20,0,5.1,13.21,2.28,2.24,3.58,3.06,2.05,4.85,0.60,0.53,16.2,2.21,5.89e-18,More connected pore network
MCT-R5-RT-03,5,20,0,5.3,12.48,2.05,2.01,3.32,3.25,1.85,4.52,0.62,0.49,15.4,2.10,5.12e-18,Rubber ITZ effects
MCT-R10-RT-01,10,20,0,5.2,16.32,4.28,3.15,4.25,3.05,1.59,6.82,0.55,0.62,18.9,2.52,1.24e-17,Significant porosity increase
MCT-R10-RT-02,10,20,0,5.1,16.89,4.52,3.32,4.41,2.98,1.66,7.15,0.54,0.64,19.5,2.61,1.38e-17,Higher permeability
MCT-R10-RT-03,10,20,0,5.3,15.78,4.08,3.01,4.12,2.92,1.65,6.52,0.56,0.60,18.4,2.45,1.15e-17,Moderate pore connectivity
MCT-R15-RT-01,15,20,0,5.2,19.85,6.82,4.28,5.15,2.68,0.92,9.35,0.49,0.73,21.8,3.05,2.85e-17,High rubber content effects
MCT-R15-RT-02,15,20,0,5.1,20.42,7.15,4.52,5.38,2.51,0.86,9.82,0.48,0.76,22.5,3.18,3.15e-17,Poor pore quality
MCT-R15-RT-03,15,20,0,5.3,19.28,6.52,4.08,4.95,2.82,0.91,8.95,0.50,0.71,21.2,2.95,2.68e-17,Rubber agglomeration
MCT-R20-RT-01,20,20,0,5.2,23.68,9.45,5.82,6.28,1.85,0.28,12.45,0.43,0.85,24.8,3.82,5.68e-17,Very high porosity
MCT-R20-RT-02,20,20,0,5.1,24.35,9.92,6.15,6.58,1.42,0.28,13.08,0.42,0.88,25.6,3.98,6.25e-17,Excessive rubber
MCT-R20-RT-03,20,20,0,5.3,22.95,9.05,5.52,6.02,2.08,0.28,11.92,0.44,0.83,24.1,3.68,5.28e-17,Poor material quality
MCT-R0-200-01,0,200,2,5.2,10.58,1.42,1.85,3.25,2.45,1.61,3.58,0.65,0.48,14.2,2.05,4.18e-18,Thermal microcracking
MCT-R0-200-02,0,200,2,5.1,10.92,1.55,1.98,3.38,2.38,1.63,3.72,0.64,0.50,14.6,2.12,4.52e-18,Ettringite decomposition
MCT-R0-200-03,0,200,2,5.3,10.25,1.32,1.73,3.15,2.52,1.53,3.45,0.66,0.46,13.9,1.98,3.95e-18,Minor thermal damage
MCT-R5-200-01,5,200,2,5.2,16.48,3.28,2.95,4.52,3.85,1.88,6.18,0.57,0.58,18.2,2.48,9.85e-18,Rubber thermal stress
MCT-R5-200-02,5,200,2,5.1,17.05,3.52,3.12,4.68,3.92,1.81,6.48,0.56,0.61,18.8,2.58,1.08e-17,Void formation at ITZ
MCT-R5-200-03,5,200,2,5.3,15.92,3.08,2.81,4.38,3.78,1.87,5.92,0.58,0.56,17.6,2.39,9.25e-18,Initial degradation
MCT-R10-200-01,10,200,2,5.2,21.85,6.28,4.58,5.92,3.68,1.39,8.95,0.51,0.70,22.5,3.12,2.48e-17,Significant thermal impact
MCT-R10-200-02,10,200,2,5.1,22.48,6.65,4.82,6.15,3.52,1.34,9.35,0.50,0.73,23.2,3.25,2.75e-17,Microcracking evident
MCT-R10-200-03,10,200,2,5.3,21.25,5.95,4.38,5.72,3.82,1.38,8.58,0.52,0.68,21.9,3.02,2.28e-17,Moderate damage
MCT-R15-200-01,15,200,2,5.2,27.32,9.15,6.28,7.48,3.25,1.16,11.85,0.46,0.82,26.8,3.95,4.85e-17,Severe ITZ degradation
MCT-R15-200-02,15,200,2,5.1,28.05,9.58,6.58,7.82,2.98,1.09,12.35,0.45,0.85,27.6,4.12,5.32e-17,Rubber-paste debonding
MCT-R20-200-01,20,200,2,5.2,33.48,12.85,8.52,9.28,2.15,0.68,15.45,0.40,0.92,31.5,5.25,9.85e-17,Catastrophic porosity increase
MCT-R20-200-02,20,200,2,5.1,34.32,13.42,8.92,9.65,1.82,0.51,16.08,0.39,0.94,32.4,5.48,1.08e-16,Extensive damage
MCT-R0-400-01,0,400,2,5.2,15.28,2.85,3.12,4.58,3.05,1.68,5.48,0.61,0.56,17.8,2.52,8.95e-18,Major thermal cracking
MCT-R0-400-02,0,400,2,5.1,15.82,3.05,3.28,4.78,3.18,1.53,5.72,0.60,0.59,18.4,2.61,9.68e-18,CSH degradation
MCT-R0-400-03,0,400,2,5.3,14.78,2.68,2.98,4.42,2.95,1.75,5.28,0.62,0.54,17.2,2.45,8.38e-18,Moderate cracking
