specimen_id,rubber_content_pct,temperature_C,exposure_time_hrs,itz_type,itz_thickness_um,microcrack_density_per_mm2,crack_width_um,porosity_pct,rubber_degradation_score,paste_morphology_score,ch_crystals_visible,ettringite_present,notes
CTRL-R0-RT-01,0,20,0,aggregate_paste,25.3,2.1,0.5,8.2,0,9.5,yes,yes,Dense ITZ with minimal porosity
CTRL-R0-RT-02,0,20,0,aggregate_paste,26.8,1.8,0.4,7.9,0,9.7,yes,yes,Good bond quality
CTRL-R0-RT-03,0,20,0,aggregate_paste,24.1,2.3,0.6,8.5,0,9.3,yes,yes,Typical control specimen
CTRL-R5-RT-01,5,20,0,rubber_paste,42.5,3.2,1.2,12.4,0,8.8,yes,yes,Slightly thicker ITZ around rubber
CTRL-R5-RT-02,5,20,0,rubber_paste,44.1,3.5,1.3,13.1,0,8.6,yes,yes,Rubber particles well-dispersed
CTRL-R5-RT-03,5,20,0,aggregate_paste,28.3,2.4,0.7,9.1,0,9.1,yes,yes,Aggregate ITZ relatively unaffected
CTRL-R10-RT-01,10,20,0,rubber_paste,48.7,4.1,1.8,15.8,0,8.2,yes,yes,More porous ITZ at rubber interface
CTRL-R10-RT-02,10,20,0,rubber_paste,51.2,4.4,2.1,16.3,0,8.0,yes,yes,Evidence of weak bonding zones
CTRL-R10-RT-03,10,20,0,aggregate_paste,29.5,2.6,0.8,9.8,0,8.9,yes,yes,Minimal effect on aggregate ITZ
CTRL-R15-RT-01,15,20,0,rubber_paste,55.8,5.2,2.5,18.9,0,7.6,yes,partial,Significant ITZ thickness increase
CTRL-R15-RT-02,15,20,0,rubber_paste,58.3,5.6,2.8,19.7,0,7.4,yes,partial,Clustering of rubber particles observed
CTRL-R15-RT-03,15,20,0,aggregate_paste,31.2,2.9,0.9,10.5,0,8.7,yes,yes,Aggregate bonds still reasonable
CTRL-R20-RT-01,20,20,0,rubber_paste,63.4,6.8,3.4,22.3,0,7.0,partial,partial,Very thick ITZ with poor bonding
CTRL-R20-RT-02,20,20,0,rubber_paste,66.1,7.2,3.7,23.8,0,6.8,partial,no,Rubber agglomeration evident
CTRL-R20-RT-03,20,20,0,aggregate_paste,33.7,3.3,1.1,11.4,0,8.4,yes,yes,Aggregate ITZ quality declining
HEAT-R0-200-01,0,200,2,aggregate_paste,27.4,3.8,1.2,10.1,0,8.9,yes,no,Minor ITZ deterioration
HEAT-R0-200-02,0,200,2,aggregate_paste,28.1,4.1,1.4,10.6,0,8.7,yes,no,Ettringite decomposed
HEAT-R5-200-01,5,200,2,rubber_paste,46.8,5.7,2.3,16.2,1.2,7.8,yes,no,Rubber showing initial thermal stress
HEAT-R5-200-02,5,200,2,rubber_paste,48.3,6.1,2.5,17.1,1.4,7.6,yes,no,Small voids at rubber interface
HEAT-R5-200-03,5,200,2,aggregate_paste,30.5,3.6,1.3,11.2,0,8.3,yes,no,Aggregate ITZ mildly affected
HEAT-R10-200-01,10,200,2,rubber_paste,54.2,7.8,3.1,21.4,1.8,6.9,yes,no,Rubber particles showing surface cracks
HEAT-R10-200-02,10,200,2,rubber_paste,56.7,8.3,3.4,22.6,2.1,6.7,yes,no,Increased microcracking at ITZ
HEAT-R10-200-03,10,200,2,aggregate_paste,32.8,4.2,1.5,12.3,0,7.9,yes,no,Moderate thermal damage
HEAT-R15-200-01,15,200,2,rubber_paste,62.5,10.2,4.2,26.8,2.5,6.2,partial,no,Significant rubber-paste debonding
HEAT-R15-200-02,15,200,2,rubber_paste,65.1,10.8,4.6,28.3,2.7,6.0,partial,no,Rubber surface degradation visible
HEAT-R20-200-01,20,200,2,rubber_paste,71.8,13.5,5.8,32.7,3.2,5.4,partial,no,Severe ITZ degradation
HEAT-R20-200-02,20,200,2,rubber_paste,74.3,14.2,6.3,34.5,3.5,5.2,no,no,Extensive debonding observed
HEAT-R0-400-01,0,400,2,aggregate_paste,31.2,7.8,2.8,14.8,0,7.2,yes,no,Significant microcracking
HEAT-R0-400-02,0,400,2,aggregate_paste,32.8,8.4,3.1,15.6,0,7.0,yes,no,Paste densification observed
HEAT-R5-400-01,5,400,2,rubber_paste,53.6,12.5,5.2,28.4,4.3,5.8,partial,no,Rubber particles showing melting
HEAT-R5-400-02,5,400,2,rubber_paste,56.2,13.2,5.7,30.1,4.6,5.6,partial,no,Large voids from rubber degradation
HEAT-R5-400-03,5,400,2,aggregate_paste,35.7,6.9,2.5,14.2,0,6.8,yes,no,Thermal cracking evident
HEAT-R10-400-01,10,400,2,rubber_paste,64.8,18.7,7.8,38.5,5.8,4.6,no,no,Severe rubber decomposition
HEAT-R10-400-02,10,400,2,rubber_paste,68.3,19.8,8.5,41.2,6.2,4.4,no,no,Extensive void network formed
HEAT-R10-400-03,10,400,2,aggregate_paste,38.5,8.1,2.9,16.5,0,6.3,yes,no,Aggregate-paste bond weakening
HEAT-R15-400-01,15,400,2,rubber_paste,76.4,25.3,10.4,46.8,7.5,3.8,no,no,Complete rubber-paste separation
HEAT-R15-400-02,15,400,2,rubber_paste,79.8,26.7,11.2,49.5,7.9,3.6,no,no,Rubber particles completely degraded
HEAT-R20-400-01,20,400,2,rubber_paste,88.5,34.2,14.6,56.3,8.8,3.0,no,no,Catastrophic ITZ failure
HEAT-R20-400-02,20,400,2,rubber_paste,92.1,36.1,15.8,59.8,9.2,2.8,no,no,Interconnected pore network
HEAT-R0-600-01,0,600,2,aggregate_paste,38.6,15.8,5.4,22.5,0,5.4,partial,no,Severe paste decomposition
HEAT-R0-600-02,0,600,2,aggregate_paste,41.2,17.2,6.1,24.3,0,5.2,partial,no,CH dehydroxylation evident
HEAT-R5-600-01,5,600,2,rubber_paste,72.5,28.4,12.8,54.7,9.5,3.2,no,no,Complete rubber burnout
HEAT-R5-600-02,5,600,2,rubber_paste,76.8,30.1,13.9,58.2,9.8,3.0,no,no,Large interconnected voids
HEAT-R5-600-03,5,600,2,aggregate_paste,45.3,14.2,5.8,23.8,0,5.0,no,no,Extensive thermal damage
HEAT-R10-600-01,10,600,2,rubber_paste,95.7,42.5,18.5,68.4,10.0,2.3,no,no,Total ITZ breakdown
HEAT-R10-600-02,10,600,2,rubber_paste,99.3,45.2,20.1,72.6,10.0,2.1,no,no,Massive void spaces remaining
HEAT-R15-600-01,15,600,2,rubber_paste,112.8,56.8,24.7,78.9,10.0,1.6,no,no,Complete structural disintegration
HEAT-R15-600-02,15,600,2,rubber_paste,117.5,60.3,26.8,82.5,10.0,1.4,no,no,Only residual ash remains
HEAT-R20-600-01,20,600,2,rubber_paste,128.4,72.6,32.4,86.7,10.0,1.0,no,no,Total material breakdown
HEAT-R20-600-02,20,600,2,rubber_paste,134.2,76.9,35.1,89.3,10.0,0.8,no,no,Extreme porosity and damage
