#,ALPX [1/K]
Temperature_C,cte_1k
20.0,9.268409600760871e-06
40.0,9.28485227406817e-06
60.0,9.321455005954309e-06
80.0,9.472021946662864e-06
100.0,9.987109444111244e-06
120.0,1.0507241730465461e-05
140.0,1.0673076431989125e-05
160.0,1.0735567070560007e-05
180.0,1.0789169113196013e-05
200.0,1.0850128480146928e-05
220.0,1.0922016877321374e-05
240.0,1.100672351036044e-05
260.0,1.1105946732137638e-05
280.0,1.122134616940444e-05
300.0,1.1354513781960512e-05
320.0,1.150694137354439e-05
340.0,1.1680033576549196e-05
360.0,1.1875175875805988e-05
380.0,1.2093757837805885e-05
400.0,1.2336785332769839e-05
420.0,1.2603428716074337e-05
440.0,1.2888415779956438e-05
460.0,1.3180512437763347e-05
480.0,1.3465499501645433e-05
500.0,1.373214288494983e-05
520.0,1.3975170379913012e-05
540.0,1.4193752341907217e-05
560.0,1.4388894641121942e-05
580.0,1.4561986843815913e-05
600.0,1.4714414433103029e-05
620.0,1.4847582028688199e-05
640.0,1.4962981340556036e-05
660.0,1.5062203635754042e-05
680.0,1.5146903422288763e-05
700.0,1.5218741232513093e-05
720.0,1.5279326932706314e-05
740.0,1.533017463268903e-05
760.0,1.5372672629552172e-05
780.0,1.540806751181111e-05
800.0,1.5437459672181854e-05
